Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Thiaw,Newcastle United,Schalke 04,RCB,24,25000000,2029-06-30,31,2718,2,3.07,0,0.16,19.44,56.56,Germany,"Germany, Finland",right,194,89,no,10.93,7.25,68.49,5.3,54.37,0.23,0.33,0.73,5.73,8.25,1.19,3,0.1,0,0.0,0.83,0.07,2,0.07,0.1,1,0.03,20,0.66,20.0,10.0,0.0,0.26,37.5,0.0,0.0,0.26,37.5,0.0,0.96,55.17,2.91,45.45,0.86,0.96,0.3,34.9,0.23,0.43,51.26,87.98,19.8,79.77,4.34,94.66,21.49,95.07,45.66,91.3,5.33,62.11,20.9,38.64,0.01,0.13,0.07,0.07,0.17,40.0,0.07,5.13,65.81,0.79,45.83,0.43,23.08,0.23,0.1,9.8,72.64,0,,0,,0,0.0,0.0,0.0,,,2.98,,,0.0,0.0,0.0,0.0,0,0.0
N. Füllkrug,Milan,Werder Bremen,CF,33,15000000,2028-06-30,33,2693,19,16.33,6,4.48,28.67,37.76,Germany,Germany,right,189,83,yes,2.51,2.17,46.15,10.66,44.51,0.27,0.4,0.03,1.24,1.87,1.14,2,0.07,0,0.0,4.04,0.63,17,0.57,0.55,5,0.17,111,3.71,38.74,17.117,0.2,1.24,32.43,0.33,40.0,0.9,29.63,0.03,2.81,64.29,9.06,36.53,6.32,1.0,0.27,17.88,3.17,1.2,25.8,69.43,5.85,57.14,5.58,84.43,8.15,73.36,23.19,71.61,1.44,62.79,15.76,26.92,0.15,1.3,0.03,0.07,0.87,46.15,0.7,3.31,59.6,2.34,61.43,0.9,29.63,1.87,0.4,2.84,85.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.03,2,100.0
J. Beste,Freiburg,Jahn Regensburg,"RW, RAMF",27,15000000,2030-06-30,26,2077,4,4.17,4,3.49,19.33,43.95,Germany,Germany,left,175,66,no,7.15,6.46,56.38,1.78,31.71,0.43,0.56,0.04,3.08,4.0,1.39,6,0.26,0,0.0,3.77,0.17,4,0.17,0.18,0,0.0,49,2.12,48.98,8.163,0.17,2.47,43.86,1.08,48.0,1.39,40.63,0.48,3.47,47.5,7.97,40.76,2.3,1.17,0.82,13.78,1.34,1.82,20.24,72.81,3.51,56.79,5.24,87.6,7.71,74.16,16.25,78.4,1.56,61.11,18.67,26.45,0.15,1.56,0.04,0.04,0.04,0.0,0.39,1.17,77.78,2.21,49.02,0.22,40.0,0.26,1.04,3.08,69.01,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.52,0.04,100.0,2.64,0,0.0
K. Itakura,Ajax,Schalke 04,"CB, RCB",29,12000000,2029-06-30,31,2838,4,1.62,0,0.34,14.14,57.85,Japan,Japan,right,188,80,no,10.21,5.61,68.36,3.58,54.87,0.41,0.61,0.51,5.96,8.8,0.76,3,0.1,0,0.0,0.79,0.13,4,0.13,0.05,0,0.0,12,0.38,50.0,33.333,0.0,0.19,33.33,0.1,33.33,0.1,33.33,0.0,0.7,68.18,1.9,53.33,0.6,0.98,0.16,30.1,0.1,0.6,45.86,90.73,14.14,78.7,4.79,97.35,21.37,96.74,41.26,94.24,4.41,60.43,19.07,32.29,0.01,0.19,0.03,0.06,0.16,40.0,0.1,3.96,74.4,0.92,58.62,0.48,53.33,0.54,0.06,5.61,71.19,0,,0,,0,0.0,0.0,0.0,,,2.66,,,0.0,0.0,0.0,0.0,0,0.0
E. Dinkçi,Heidenheim,Werder Bremen,"RW, RAMF, CF",24,12000000,2026-06-30,21,701,0,1.94,2,1.77,25.55,35.68,Germany,"Germany, Türkiye",right,188,70,yes,6.29,7.57,44.07,3.47,37.04,0.13,0.2,0.0,2.82,4.43,1.41,1,0.13,0,0.0,4.49,0.0,0,0.0,0.25,0,0.0,15,1.93,26.67,0.0,0.26,2.82,31.82,0.39,33.33,2.44,31.58,0.13,5.39,50.0,10.01,33.33,3.98,3.47,2.18,15.92,2.44,0.26,21.44,59.28,6.29,44.9,4.11,84.38,5.78,64.44,17.72,65.94,1.03,25.0,13.5,6.93,0.23,1.41,0.0,0.0,1.41,27.27,0.77,2.05,50.0,3.47,40.74,1.41,18.18,2.18,0.77,5.14,62.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Röhl,Everton,Ingolstadt,"RCMF, LCMF, RW",24,12000000,2029-06-30,26,1802,1,1.59,1,1.04,26.62,39.96,Germany,Germany,right,192,79,no,8.64,7.84,53.5,2.75,32.73,0.25,0.29,0.3,4.2,4.79,1.6,6,0.3,0,0.0,2.9,0.05,1,0.05,0.08,0,0.0,25,1.25,28.0,4.0,0.05,1.1,18.18,0.45,11.11,0.65,23.08,0.15,4.59,46.74,11.74,37.45,1.3,1.25,1.0,13.14,0.4,1.6,25.07,74.3,9.09,60.44,3.7,87.84,7.49,83.33,22.18,79.95,1.8,38.89,17.92,22.82,0.05,0.45,0.0,0.05,0.45,44.44,0.25,3.15,61.9,1.4,32.14,0.35,28.57,0.35,0.2,4.15,51.81,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.05,0.0,0.0,0.05,0,0.0
M. Eggestein,Freiburg,Werder Bremen,DMF,29,10000000,,3,294,1,0.8,0,0.0,15.61,50.98,Germany,Germany,right,181,82,no,7.04,6.73,54.55,2.76,77.78,0.61,0.92,0.0,2.76,4.15,0.61,1,0.31,0,0.0,0.92,0.31,0,0.0,0.25,0,0.0,2,0.61,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,33.33,3.67,33.33,0.0,0.61,0.31,35.82,0.0,0.61,46.22,85.43,13.47,63.64,7.65,92.0,18.67,96.72,41.33,87.41,4.9,68.75,18.6,31.32,0.0,0.0,0.0,0.0,0.61,50.0,0.0,7.65,72.0,0.92,33.33,0.0,0.0,0.31,0.0,5.51,61.11,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,1,100.0
R. Schmid,Werder Bremen,Werder Bremen,"LCMF, RCMF, LW",26,10000000,2027-06-30,33,2507,3,4.23,5,5.8,25.42,44.77,Austria,Austria,right,168,69,no,7.32,6.17,59.88,2.94,31.71,0.9,1.34,0.04,2.73,4.07,1.18,8,0.29,0,0.0,6.03,0.11,3,0.11,0.15,0,0.0,61,2.19,36.07,4.918,0.18,2.87,40.0,1.65,34.78,1.15,46.88,0.25,5.89,56.71,12.24,41.35,2.69,2.37,1.26,28.54,1.94,1.4,40.24,76.9,13.35,69.89,6.61,92.39,11.99,73.95,34.89,81.69,2.62,50.68,16.1,29.14,0.21,1.69,0.18,0.0,1.87,40.38,0.86,5.28,72.79,4.92,49.64,2.15,31.67,2.12,1.11,6.57,83.06,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.0,0.0,0.0,0.07,0,0.0
J. Vagnoman,Stuttgart,Hamburger SV,"LB, RB",25,10000000,2028-06-30,12,721,2,1.38,1,1.22,21.35,47.37,Germany,"Germany, Côte d'Ivoire",right,190,90,no,6.87,6.12,63.27,3.5,64.29,0.0,0.0,0.12,3.0,5.71,0.75,0,0.0,0,0.0,3.5,0.25,2,0.25,0.17,0,0.0,13,1.62,30.77,15.385,0.12,1.87,40.0,1.5,33.33,0.37,66.67,0.37,3.5,57.14,8.49,35.29,2.75,2.37,1.5,36.32,1.75,0.75,46.31,89.49,14.73,82.2,9.11,98.63,14.36,93.04,42.69,92.69,1.87,60.0,17.44,29.11,0.15,0.75,0.0,0.0,0.37,66.67,0.37,5.99,89.58,2.75,68.18,0.5,50.0,1.25,0.75,8.36,80.6,0,,0,,0,0.0,0.0,0.0,,,1.62,,,0.0,0.0,0.0,0.0,0,0.0
T. Doyle,Birmingham City,Hamburger SV,"LCMF, RCMF, AMF",24,10000000,2028-06-30,6,101,1,0.71,0,0.08,24.06,25.93,England,England,right,172,73,no,8.02,8.02,33.33,0.89,0.0,0.89,1.76,0.0,4.46,8.82,1.78,1,0.89,0,0.0,4.46,0.89,1,0.89,0.63,0,0.0,5,4.46,40.0,20.0,0.0,3.56,50.0,0.0,0.0,3.56,50.0,0.0,4.46,20.0,10.69,16.67,5.35,3.56,1.78,33.86,0.0,0.0,41.88,70.21,16.93,68.42,6.24,100.0,10.69,66.67,35.64,77.5,2.67,0.0,14.65,6.76,0.07,0.89,0.0,0.0,1.78,0.0,0.89,6.24,71.43,6.24,57.14,0.89,0.0,0.0,1.78,13.37,86.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.89,0.0,0.0,0.89,0,0.0
