Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Akpom,Ipswich Town,PAOK,CF,30,12000000,2029-06-30,34,1915,7,8.8,1,0.67,21.95,37.47,England,"England, Nigeria",right,183,81,no,2.68,2.35,48.0,6.3,43.28,0.28,0.45,0.14,1.27,2.04,1.55,3,0.14,0,0.0,2.87,0.33,7,0.33,0.41,1,0.05,48,2.26,45.83,14.583,0.05,0.47,40.0,0.19,75.0,0.28,16.67,0.05,2.44,65.38,9.49,37.62,3.67,0.89,0.7,8.27,1.36,1.88,12.41,82.58,1.74,56.76,3.9,92.77,3.81,85.19,11.8,84.46,0.14,66.67,13.47,3.57,0.03,0.38,0.0,0.0,0.23,20.0,0.23,1.08,86.96,0.33,28.57,0.14,0.0,0.38,0.19,0.85,72.22,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.0,0.0,0.0,0.0,0,0.0
A. Živković,PAOK,PAOK,"RAMF, RW, LW",30,8000000,2027-06-30,31,2537,4,3.32,6,6.47,20.22,47.54,Serbia,Serbia,left,169,62,no,6.99,6.88,56.7,1.6,26.67,0.21,0.34,0.07,2.87,4.58,1.42,6,0.21,0,0.0,5.21,0.14,4,0.14,0.12,0,0.0,37,1.31,51.35,10.811,0.21,4.12,35.34,1.6,26.67,2.38,40.3,0.53,4.54,58.59,9.37,46.97,2.45,1.88,1.17,25.97,1.77,0.74,36.01,77.14,8.3,67.52,9.72,92.34,10.82,71.48,29.94,84.83,2.09,45.76,17.35,29.45,0.23,1.74,0.14,0.0,0.89,48.0,0.78,2.34,71.21,4.93,53.96,0.96,40.74,1.84,1.35,6.17,77.59,0,,0,,0,0.0,0.0,0.0,,,0.25,,,0.82,0.07,100.0,2.06,0,0.0
Douglas Augusto,Krasnodar,PAOK,"AMF, CF, LDMF",29,6000000,2028-06-30,21,1563,3,3.47,2,1.62,18.31,41.19,Brazil,Brazil,left,173,68,no,5.99,5.53,55.21,2.76,29.17,0.35,0.55,0.29,2.59,4.14,1.79,6,0.35,0,0.0,2.07,0.17,2,0.12,0.2,0,0.0,32,1.84,37.5,9.375,0.12,0.75,30.77,0.46,0.0,0.23,75.0,0.06,1.96,38.24,6.79,37.29,2.65,1.32,0.81,35.12,0.52,1.44,45.32,88.69,10.36,77.78,8.18,95.77,18.02,92.97,41.52,90.85,3.17,70.91,17.32,31.57,0.09,0.92,0.06,0.12,0.75,53.85,0.58,7.08,85.37,2.19,57.89,0.92,31.25,1.27,0.29,5.41,84.04,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.23,0.0,0.0,0.06,1,100.0
K. Świderski,Widzew Łódź,PAOK,CF,29,5000000,2029-06-30,16,820,4,2.69,1,0.74,18.99,34.68,Poland,Poland,left,184,78,no,2.3,1.87,41.18,3.62,36.36,0.22,0.38,0.11,1.32,2.26,0.99,1,0.11,0,0.0,3.07,0.44,4,0.44,0.3,2,0.22,20,2.2,65.0,20.0,0.11,0.88,12.5,0.55,20.0,0.22,0.0,0.11,2.85,53.85,8.89,35.8,4.28,0.44,0.22,11.2,1.43,2.09,15.26,77.7,1.65,73.33,4.39,90.0,4.5,70.73,14.05,82.81,0.44,25.0,13.07,7.54,0.08,0.77,0.0,0.0,0.11,0.0,0.44,0.55,80.0,0.77,57.14,0.11,0.0,0.66,0.11,0.88,62.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
H. Onyekuru,Gençlerbirliği,Olympiacos Piraeus,"LAMF, RAMF",29,4500000,2027-06-30,14,662,0,1.25,0,0.55,15.91,39.32,Nigeria,Nigeria,right,175,70,no,3.81,3.13,47.83,2.04,40.0,0.0,0.0,0.14,2.31,3.38,0.68,0,0.0,0,0.0,2.45,0.0,0,0.0,0.17,0,0.0,8,1.09,37.5,0.0,0.0,0.14,100.0,0.14,100.0,0.0,0.0,0.0,3.26,50.0,8.29,34.43,2.72,1.9,1.36,12.37,2.58,0.82,17.27,85.04,4.21,67.74,4.62,94.12,5.03,94.59,16.86,84.68,0.27,100.0,14.63,5.53,0.07,1.09,0.0,0.0,0.54,50.0,0.54,1.09,62.5,1.09,87.5,0.41,33.33,1.5,0.14,2.18,93.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
G. Krychowiak,,AEK Athens,"RCMF, LDMF, RDMF",36,4000000,,9,783,2,1.63,2,0.6,16.44,48.25,Poland,Poland,right,187,87,no,4.94,4.48,53.85,1.49,61.54,0.11,0.18,0.23,2.41,3.82,0.92,3,0.34,0,0.0,2.41,0.23,2,0.23,0.19,0,0.0,16,1.84,18.75,12.5,0.23,1.49,38.46,0.23,100.0,1.26,27.27,0.34,2.87,40.0,7.93,42.03,3.1,0.92,0.57,34.94,1.15,1.38,47.47,83.78,16.78,75.34,6.55,89.47,15.63,90.44,40.46,88.35,5.63,63.27,18.37,38.26,0.07,0.92,0.0,0.11,1.03,33.33,0.46,10.23,75.28,2.18,73.68,1.61,35.71,1.49,0.46,8.16,87.32,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
S. Ingason,Panathinaikos,PAOK,RCB,32,4000000,2028-06-30,20,1616,2,1.29,1,0.44,12.59,71.68,Iceland,Iceland,right,188,84,no,8.02,4.9,76.14,4.79,74.42,0.33,0.5,0.56,3.95,5.97,1.06,5,0.28,0,0.0,0.39,0.11,2,0.11,0.07,1,0.06,6,0.33,50.0,33.333,0.06,0.17,33.33,0.06,0.0,0.11,50.0,0.11,0.17,100.0,0.95,64.71,0.78,1.28,0.22,44.61,0.45,0.95,56.58,89.67,19.38,74.14,3.29,98.31,29.68,98.69,50.07,94.99,6.35,49.12,21.81,35.78,0.02,0.06,0.0,0.0,0.06,0.0,0.06,4.73,64.71,0.28,20.0,0.0,0.0,0.17,0.06,7.63,64.23,0,,0,,0,0.0,0.0,0.0,,,2.73,,,0.0,0.0,0.0,0.0,0,0.0
G. Masouras,Olympiacos Piraeus,Olympiacos Piraeus,"LAMF, RAMF, LW",32,4000000,2027-06-30,31,2115,7,7.25,5,2.42,17.87,42.14,Greece,Greece,right,184,76,no,5.74,4.98,49.57,3.36,49.37,0.26,0.38,0.04,3.02,4.49,1.19,3,0.13,0,0.0,2.94,0.3,7,0.3,0.31,1,0.04,47,2.0,48.94,14.894,0.21,2.43,22.81,1.11,38.46,1.28,10.0,0.38,2.21,48.08,6.04,33.8,3.49,0.77,0.51,18.3,1.19,1.11,25.06,75.55,4.3,61.39,6.43,93.38,7.79,74.32,22.13,81.92,0.64,53.33,15.65,14.1,0.1,0.98,0.09,0.0,0.6,57.14,0.47,2.17,68.63,2.0,40.43,0.6,50.0,0.68,0.6,3.19,64.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.55,0.09,50.0,1.53,0,0.0
O. Reabciuk,,Olympiacos Piraeus,LB,28,4000000,,32,3053,1,0.26,1,2.29,17.83,56.86,Moldova,"Moldova, Portugal",left,180,72,no,9.17,7.28,63.16,2.54,53.49,0.06,0.09,0.09,4.51,6.88,1.39,4,0.12,0,0.0,2.39,0.03,1,0.03,0.01,0,0.0,5,0.15,60.0,20.0,0.03,3.27,33.33,3.27,33.33,0.0,0.0,0.18,1.77,68.33,5.04,55.56,0.65,1.24,0.77,27.74,2.36,1.59,37.88,82.57,12.15,75.97,8.43,96.5,11.76,80.95,31.66,90.41,3.07,53.85,19.08,34.74,0.07,0.56,0.12,0.0,0.03,0.0,0.32,3.63,74.8,2.8,41.05,0.09,0.0,0.35,1.0,7.16,73.25,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.0,0,0.0
A. Mitriță,Zhejiang Professional,PAOK,"LAMF, LW, AMF",31,3500000,2026-12-31,24,1314,1,1.85,2,1.65,24.32,43.38,Romania,Romania,right,167,65,no,4.11,3.42,60.0,1.44,19.05,0.21,0.31,0.07,1.85,2.82,0.89,4,0.27,0,0.0,4.79,0.07,1,0.07,0.13,1,0.07,22,1.51,45.45,4.545,0.14,0.89,38.46,0.62,55.56,0.27,0.0,0.14,5.75,53.57,15.34,42.41,2.05,3.01,1.51,24.32,1.44,3.15,29.38,85.31,8.01,78.63,6.85,96.0,8.36,83.61,26.99,87.82,1.58,69.57,16.5,21.67,0.11,0.82,0.0,0.0,1.16,58.82,0.41,4.52,81.82,2.33,55.88,1.03,46.67,1.37,0.27,4.52,93.94,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.34,0.14,50.0,0.55,0,0.0
