Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
K. Schade,Brentford,CF,24,22000000,2028-06-30,1,69,2,0.87,Germany,"Germany, Nigeria",right,185,74,no
K. Sildillia,PSV,"RCB, LCB",24,15000000,2030-06-30,16,1445,1,0.65,France,"France, Guadeloupe",right,186,84,no
D. Zagadou,Stuttgart,"CB, LCB",27,10000000,2027-06-30,3,205,0,0.0,France,"France, Côte d'Ivoire",left,196,90,no
A. Knauff,Eintracht Frankfurt,LWB,24,10000000,2028-06-30,8,597,1,1.85,Germany,"Germany, Ghana",right,180,73,no
N. Atubolu,Freiburg,GK,24,10000000,2027-06-30,31,2936,0,0.0,Germany,"Germany, Nigeria",right,190,99,no
J. Njinmah,Werder Bremen,"CF, LWF, LWB",25,9000000,2027-06-30,17,1193,5,4.53,Germany,"Germany, Nigeria",right,184,75,no
G. Nilsson,Club Brugge,CF,29,6000000,2028-06-30,30,2352,14,17.89,Sweden,Sweden,right,196,78,no
K. Schlotterbeck,Augsburg,"CB, LCB",29,6000000,2027-06-30,1,97,0,0.0,Germany,Germany,left,189,84,no
H. Siquet,Club Brugge,"RWB, RB",23,5000000,2028-06-30,4,280,1,0.36,Belgium,Belgium,right,180,70,no
L. Maloney,Mainz 05,"RCB, LCB",26,5000000,2028-06-30,27,2306,1,0.6,Germany,"Germany, United States",right,187,88,no
B. Hollerbach,Mainz 05,"RAMF, CF, LAMF",25,4000000,2029-06-30,31,1489,1,2.93,Germany,Germany,right,180,83,no
Y. Engelhardt,Borussia M'gladbach,"LCMF, DMF, RCMF",25,4000000,2027-06-30,29,2590,1,2.45,Germany,Germany,right,184,74,yes
J. Makengo,Freiburg,LCB,24,3500000,2028-06-30,5,218,0,0.0,France,"France, Congo DR",left,191,79,no
J. Siebert,Lecce,"RCB, RB",24,3000000,2028-06-30,13,970,0,0.73,Germany,Germany,right,193,86,no
R. Wagner,Dynamo Dresden,"RCMF, LCMF",22,3000000,2026-06-30,27,2313,2,1.99,Germany,Germany,right,181,80,yes
M. Broschinski,Basel,"CF, LWB",25,3000000,2029-06-30,10,190,0,0.82,Germany,Germany,right,190,77,no
I. Pherai,Elversberg,"AMF, LCMF",25,2800000,2027-06-30,31,2580,6,5.51,Netherlands,"Netherlands, Suriname",right,175,74,yes
O. Traorè,Heidenheim,RB,28,2500000,2026-06-30,33,2662,2,3.24,Germany,"Germany, Togo",right,187,80,no
J. Yeboah,Venezia,"RWF, LWF, RW",25,2500000,2028-06-30,18,1441,0,4.24,Germany,"Germany, Ecuador",left,170,68,no
K. Schmidt,Fortuna Düsseldorf,LCB,24,2500000,2028-06-30,28,2466,0,0.12,Germany,Germany,left,187,81,no
M. Nicolas,Borussia M'gladbach,GK,28,2500000,2029-06-30,31,2957,0,0.0,Germany,Germany,right,193,89,no
M. Dietz,Górnik Zabrze,"RCB, LCMF",24,2500000,2029-06-30,2,25,0,0.0,United States,"United States, Germany",right,189,80,no
A. Irving,Sparta Praha,"RDMF, LCMF, AMF",26,2000000,2029-06-30,23,1212,1,1.21,Scotland,Scotland,left,190,80,no
P. Treu,Freiburg,"RWB, RB",25,2000000,,27,2001,0,0.09,Germany,Germany,right,172,69,no
B. Tomiak,Hannover 96,RCB,27,1800000,2028-06-30,35,3172,5,3.28,Germany,Germany,right,193,88,no
F. Passlack,Hibernian,RWB,28,1800000,2029-06-30,1,94,0,0.09,Germany,Germany,right,170,74,no
S. Karweina,Wehen Wiesbaden,"RWB, RW, LW",27,1500000,2029-06-30,13,815,2,0.87,Germany,Germany,right,171,68,no
R. Obermair,Paderborn,"RB, RWB",30,1500000,2027-06-30,36,3294,2,2.26,Germany,"Germany, Philippines",right,182,75,no
J. Niehues,Heidenheim,"RCMF, LCMF, DMF",25,1500000,2027-06-30,17,388,1,0.77,Germany,Germany,right,195,88,no
A. Kamara,Saarbrücken,"RCMF, LCMF",21,1500000,2027-06-30,14,548,0,1.1,Guinea,"Guinea, France",right,185,77,no
S. Tigges,Paderborn,CF,27,1500000,2027-06-30,5,452,4,1.38,Germany,Germany,left,193,90,no
O. Pohlmann,Rio Ave,"LWB, RWB",25,1500000,2027-06-30,37,1907,2,2.81,Germany,Germany,right,183,80,no
L. Kerber,Heidenheim,"LCMF, LDMF, RCMF",24,1300000,2027-06-30,27,2356,1,1.21,Germany,Germany,right,183,82,no
M. Kwarteng,Bochum,"RCMF, LCMF, RAMF",28,1200000,2027-06-30,11,327,2,1.7,Germany,"Germany, Ghana",right,175,69,no
K. Finnsson,Vålerenga,LCB,26,1200000,2029-12-31,19,1566,0,0.07,Iceland,Iceland,left,181,77,yes
T. Raschl,Preußen Münster,"RCMF, LCMF",26,1200000,2026-06-30,22,1781,3,3.09,Germany,Germany,right,177,75,no
S. Conteh,Heidenheim,"RWF, CF",29,1000000,2027-06-30,21,1184,5,4.68,Germany,"Germany, Ghana",right,179,78,no
J. Ceka,Dynamo Dresden,"RWF, CF, AMF",26,1000000,2028-06-30,36,2083,11,10.87,Germany,"Germany, Albania",left,169,63,yes
K. Klefisch,Darmstadt 98,"RCMF, LCMF, RDMF",26,1000000,,33,2889,1,2.23,Germany,Germany,right,188,75,no
V. Vermeij,Dynamo Dresden,CF,31,1000000,2026-06-30,28,1900,11,8.16,Netherlands,Netherlands,right,196,87,no
A. Papadopoulos,Lugano,"RCB, RCMF, LCMF",26,1000000,2027-06-30,26,2316,1,1.24,Germany,"Germany, Greece",right,187,83,no
N. Burkart,Winterthur,"LWF, CF, RWF",26,1000000,2027-06-30,17,927,2,2.41,Switzerland,"Switzerland, England",right,174,70,no
J. Krahl,Kaiserslautern,GK,26,900000,,26,2390,0,0.0,Germany,Germany,right,194,90,no
