Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Okafor,Leeds United,Salzburg,CF,26,20000000,2029-06-30,21,1034,9,6.67,7,3.43,24.46,38.79,Switzerland,Switzerland,right,185,85,no,3.57,2.79,75.0,1.57,11.11,0.35,0.66,0.0,1.13,2.13,0.7,1,0.09,0,0.0,7.4,0.78,9,0.78,0.58,0,0.0,35,3.05,54.29,25.714,0.61,3.05,42.86,2.44,39.29,0.61,57.14,0.7,7.57,55.17,15.93,37.16,5.14,2.44,1.48,18.71,2.61,1.04,25.42,76.71,2.96,64.71,7.83,90.0,10.18,74.36,20.72,82.35,1.74,70.0,15.91,24.37,0.3,1.65,0.0,0.0,0.7,37.5,1.31,1.31,73.33,3.74,58.14,0.52,0.0,2.18,1.22,3.13,86.11,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.0,0.0,0.0,0.0,0,0.0
M. Camara,Al Sadd,Salzburg,DMF,26,20000000,2029-06-30,25,1875,1,1.46,2,1.88,20.98,56.98,Mali,Mali,right,173,68,no,9.79,6.82,60.56,1.58,54.55,0.43,0.85,0.14,5.23,10.32,1.78,9,0.43,0,0.0,2.74,0.05,0,0.0,0.07,0,0.0,20,0.96,20.0,5.0,0.1,0.29,33.33,0.1,50.0,0.19,25.0,0.0,3.36,70.0,9.22,60.42,0.29,1.58,0.48,41.42,0.14,2.64,61.25,87.46,21.02,76.03,5.47,93.86,26.5,94.93,54.24,91.59,6.72,56.43,19.83,39.47,0.09,0.67,0.0,0.1,0.62,15.38,0.34,11.38,73.42,2.54,43.4,1.87,28.21,1.06,0.1,10.08,84.76,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.0,0.0,0.0,0.05,1,100.0
N. Seiwald,RB Leipzig,Salzburg,"LCMF, DMF, RCMF",25,16000000,2028-06-30,32,2588,0,1.16,6,4.58,18.29,51.9,Austria,Austria,right,179,79,no,10.43,7.37,65.57,1.84,49.06,0.49,0.94,0.31,5.11,9.82,1.04,3,0.1,0,0.0,2.3,0.0,0,0.0,0.04,0,0.0,22,0.77,31.82,0.0,0.21,1.5,25.58,0.94,14.81,0.56,43.75,0.24,2.71,57.69,5.74,40.0,1.22,1.11,0.21,35.58,0.42,0.42,51.33,83.54,14.74,69.1,8.62,94.76,19.75,88.73,43.02,89.41,6.89,58.59,19.76,39.78,0.16,1.36,0.07,0.17,0.38,27.27,0.42,9.11,72.9,3.65,44.76,1.29,21.62,1.46,0.38,8.21,80.93,0,,0,,0,0.0,0.0,0.0,,,0.56,,,0.77,0.0,0.0,2.78,0,0.0
L. Sučić,Real Sociedad,Salzburg,"RCMF, AMF",23,15000000,2029-06-30,28,1934,8,5.16,1,2.95,13.26,46.32,Austria,"Austria, Croatia",left,185,78,no,4.93,3.54,64.47,1.07,39.13,0.0,0.0,0.09,2.65,5.01,0.42,1,0.05,0,0.0,3.12,0.37,8,0.37,0.24,0,0.0,54,2.51,38.89,14.815,0.05,1.07,34.78,0.23,20.0,0.79,41.18,0.14,2.42,59.62,5.86,39.68,1.86,1.54,0.79,30.25,0.84,0.7,42.35,80.0,12.01,61.63,8.89,93.19,14.61,85.35,36.81,85.46,4.56,45.92,17.6,36.02,0.14,1.4,0.23,0.0,1.26,25.93,0.42,6.56,65.25,3.58,57.14,2.05,25.0,1.63,0.33,6.33,78.68,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.93,0.09,50.0,2.93,0,0.0
M. Kjærgaard,Salzburg,Salzburg,"LCMF, CF, RCMF",22,13000000,2028-06-30,17,829,2,1.42,2,0.91,15.63,48.61,Denmark,Denmark,left,192,77,no,6.51,4.34,77.5,1.85,23.53,0.11,0.21,0.11,3.04,5.83,0.54,1,0.11,0,0.0,3.15,0.22,2,0.22,0.15,1,0.11,13,1.41,53.85,15.385,0.22,2.5,34.78,2.17,40.0,0.22,0.0,0.11,2.93,44.44,6.73,40.32,2.61,2.82,1.3,24.75,2.39,1.09,35.5,80.73,9.34,70.93,8.03,95.95,10.64,80.61,29.53,87.87,3.47,53.13,16.48,27.68,0.1,0.87,0.0,0.11,0.33,66.67,0.54,4.89,71.11,4.56,61.9,0.76,42.86,2.61,0.87,6.95,79.69,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.33,0.0,0.0,0.11,0,0.0
A. Prass,Hoffenheim,Sturm Graz,"LCMF, LAMF",25,12000000,2028-06-30,28,2031,0,1.18,3,2.33,24.11,50.74,Austria,Austria,left,180,72,no,11.65,8.55,62.69,2.3,38.46,0.8,1.19,0.09,5.49,8.21,1.42,2,0.09,0,0.0,3.86,0.0,0,0.0,0.05,0,0.0,26,1.15,23.08,0.0,0.13,2.26,33.33,2.13,31.25,0.13,66.67,0.31,4.79,51.85,9.0,47.29,1.29,1.02,0.44,22.02,0.53,1.42,37.27,66.94,15.82,54.34,4.96,86.61,9.7,72.15,29.96,73.22,5.32,45.0,18.54,34.19,0.1,1.06,0.09,0.0,0.93,38.1,0.53,7.58,57.89,3.77,34.12,1.91,30.23,1.02,0.71,7.93,72.07,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.58,0.04,0.0,0.18,0,0.0
B. Aaronson,Leeds United,Salzburg,AMF,25,12000000,2029-06-30,26,2013,4,6.16,4,3.94,21.64,41.12,United States,United States,right,177,69,no,4.83,4.43,59.6,3.17,22.54,0.0,0.0,0.18,2.19,4.43,0.89,1,0.04,0,0.0,3.67,0.18,3,0.13,0.28,0,0.0,48,2.15,35.42,8.333,0.18,1.74,30.77,0.49,45.45,1.25,25.0,0.13,3.76,52.38,10.19,42.98,3.8,1.7,1.3,21.37,1.79,2.01,31.07,77.27,8.36,60.43,7.06,93.04,8.18,79.78,27.94,82.56,1.39,29.03,15.47,21.0,0.18,1.48,0.04,0.0,1.61,25.0,1.03,3.13,61.43,3.58,48.75,1.56,25.71,2.1,0.54,3.22,79.17,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.18,0.09,0.0,0.49,1,100.0
M. Berisha,Kaiserslautern,Salzburg,CF,28,10000000,2027-06-30,2,55,1,0.47,0,0.0,29.45,38.89,Germany,Germany,right,188,81,no,0.0,0.0,0.0,8.18,80.0,0.0,0.0,0.0,0.0,0.0,1.64,0,0.0,0,0.0,6.55,1.64,1,1.64,0.77,0,0.0,4,6.55,50.0,25.0,0.0,4.91,33.33,4.91,33.33,0.0,0.0,0.0,6.55,25.0,18.0,18.18,3.27,1.64,1.64,22.91,1.64,1.64,27.82,76.47,3.27,0.0,11.45,100.0,4.91,66.67,22.91,85.71,1.64,100.0,18.94,31.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,1.64,0.0,1.64,0.0,1.64,0.0,0.0,0.0,1.64,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.64,1.64,100.0,0.0,0,0.0
M. Wöber,Werder Bremen,Salzburg,LCB,28,10000000,2027-06-30,22,1892,4,2.01,0,0.66,18.74,66.75,Austria,Austria,left,188,86,yes,10.51,5.52,71.55,7.09,71.14,0.33,0.63,0.48,6.23,11.77,1.14,7,0.33,0,0.0,1.05,0.19,4,0.19,0.1,3,0.14,14,0.67,42.86,28.571,0.0,0.86,33.33,0.81,35.29,0.05,0.0,0.05,0.76,56.25,1.38,44.83,0.9,1.28,0.0,38.53,0.67,0.29,62.08,85.59,27.45,76.6,3.09,96.92,27.16,93.7,53.71,90.88,7.61,53.75,22.91,38.71,0.03,0.43,0.05,0.0,0.05,100.0,0.19,10.47,70.45,2.05,30.23,0.81,23.53,0.52,0.19,12.18,77.34,0,,0,,0,0.0,0.0,0.0,,,1.81,,,0.24,0.24,20.0,0.0,0,0.0
O. Solet,Udinese,Salzburg,"RCB, LCB",26,10000000,2027-06-30,22,1776,1,1.15,1,0.29,18.9,61.66,France,"France, Central African Republic",right,192,88,no,9.63,6.13,74.38,5.42,55.14,0.05,0.1,0.35,5.02,10.14,0.86,0,0.0,0,0.0,1.32,0.05,1,0.05,0.06,0,0.0,10,0.51,20.0,10.0,0.05,0.15,33.33,0.0,0.0,0.15,33.33,0.0,1.47,65.52,3.19,52.38,0.71,2.53,0.3,43.33,0.61,0.66,63.09,90.52,22.2,83.11,3.4,95.52,31.22,95.94,59.04,92.96,3.9,55.84,21.05,35.39,0.01,0.2,0.0,0.0,0.41,50.0,0.05,8.72,78.49,1.62,46.88,1.06,33.33,0.86,0.05,9.63,85.79,0,,0,,0,0.0,0.0,0.0,,,2.03,,,0.0,0.0,0.0,0.0,0,0.0
