Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Foster,Burnley,Westerlo,CF,25,13000000,2028-06-30,23,1676,4,7.49,3,2.48,32.92,38.83,South Africa,South Africa,right,185,82,no,3.65,3.54,60.61,4.56,43.53,0.0,0.0,0.11,1.5,2.44,1.13,1,0.05,0,0.0,5.53,0.21,4,0.21,0.4,0,0.0,48,2.58,45.83,8.333,0.16,1.83,26.47,1.18,36.36,0.64,8.33,0.38,7.36,48.91,19.87,35.41,6.55,2.85,1.34,14.07,1.93,1.13,24.11,77.51,3.33,67.74,5.48,91.18,9.56,76.97,21.64,82.63,0.75,50.0,16.86,14.79,0.13,1.34,0.11,0.05,0.75,35.71,0.59,1.34,64.0,2.52,40.43,0.75,35.71,2.09,0.43,2.09,87.18,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.0,0.0,0.0,0.0,1,0.0
M. De Cuyper,Brighton,Westerlo,"LB, LW, RW",25,9000000,2030-06-30,25,2182,6,5.27,4,4.35,22.23,49.91,Belgium,Belgium,left,182,72,no,8.79,8.95,55.3,2.93,54.93,0.21,0.32,0.08,3.63,5.68,1.48,5,0.21,1,0.04,4.08,0.25,6,0.25,0.22,2,0.08,41,1.69,31.71,14.634,0.16,3.26,39.24,2.85,39.13,0.37,33.33,0.49,3.46,59.52,7.18,47.13,3.42,1.11,0.74,28.75,2.68,1.73,39.1,78.06,12.5,71.62,7.34,91.57,12.42,77.08,32.09,84.7,3.92,54.74,18.46,31.1,0.18,1.2,0.08,0.0,0.33,62.5,0.91,5.69,69.57,3.34,51.85,0.87,23.81,1.03,1.24,8.46,79.51,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.21,0.08,0.0,0.37,0,0.0
Z. El Ouahdi,Genk,RWD Molenbeek,"LAMF, RAMF, CF",24,4500000,2028-06-30,21,887,1,2.37,1,1.0,30.24,40.6,Belgium,"Belgium, Morocco",right,172,66,no,10.25,7.61,68.0,4.26,38.1,0.41,0.59,0.3,4.67,6.76,1.32,4,0.41,0,0.0,3.65,0.1,1,0.1,0.24,0,0.0,14,1.42,35.71,7.143,0.1,2.23,36.36,1.12,54.55,1.01,20.0,0.1,6.19,37.7,13.9,31.39,3.96,2.44,1.32,17.25,1.62,1.62,26.38,77.69,5.89,63.79,8.02,94.94,5.58,63.64,22.42,83.71,1.83,55.56,16.39,20.97,0.1,1.12,0.0,0.0,0.0,0.0,0.51,2.13,66.67,2.13,23.81,0.1,0.0,0.51,0.81,2.84,67.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
K. Saito,Queens Park Rangers,Lommel SK,"CF, LW, LAMF",24,4000000,,20,1477,5,5.46,2,2.91,20.41,37.61,Japan,Japan,right,170,60,no,3.96,3.96,58.46,2.01,21.21,0.37,0.43,0.06,1.28,1.5,1.1,2,0.12,0,0.0,4.02,0.3,4,0.24,0.33,1,0.06,32,1.95,50.0,15.625,0.12,1.1,33.33,0.67,45.45,0.43,14.29,0.3,4.57,57.33,10.24,40.48,4.08,1.46,0.61,13.83,1.83,1.46,19.38,82.08,3.6,72.88,7.07,92.24,4.63,81.58,17.79,84.93,0.49,87.5,14.23,10.21,0.18,0.73,0.12,0.0,0.06,100.0,0.43,1.04,70.59,0.91,46.67,0.0,0.0,0.61,0.49,2.25,62.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
A. Verschueren,Twente,Lommel SK,"RCMF, CF",29,2700000,2028-06-30,15,1387,3,2.73,3,1.9,18.56,49.65,Belgium,Belgium,right,185,73,no,10.19,6.81,59.05,2.98,52.17,1.43,1.76,0.19,4.74,5.82,1.75,4,0.26,0,0.0,1.88,0.19,3,0.19,0.18,1,0.06,15,0.97,40.0,20.0,0.19,0.97,26.67,0.13,0.0,0.84,30.77,0.19,1.1,70.59,3.96,39.34,1.82,0.71,0.58,16.94,1.49,1.04,28.03,73.38,9.73,62.0,4.02,91.94,8.82,76.47,22.97,79.94,4.15,46.88,18.44,31.86,0.12,0.91,0.0,0.0,0.84,53.85,0.84,4.8,59.46,2.08,46.88,1.04,56.25,1.04,0.26,5.19,68.75,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.0,0.0,0.0,0.0,0,0.0
E. Bocat,Stoke City,Mouscron,"LWB, LB",26,2200000,2028-06-30,25,2215,1,0.86,1,2.5,18.61,51.31,France,"France, Senegal",left,182,71,no,10.2,5.93,55.48,0.98,58.33,0.33,0.37,0.24,6.58,7.55,0.93,1,0.04,0,0.0,3.9,0.04,1,0.04,0.03,0,0.0,17,0.69,23.53,5.882,0.04,3.17,17.95,3.05,17.33,0.12,33.33,0.24,5.57,54.01,9.14,49.78,0.93,2.8,1.79,21.29,1.3,1.26,34.46,70.17,13.16,56.79,7.64,94.68,8.86,71.56,27.59,81.15,3.78,32.26,19.62,31.63,0.1,0.49,0.0,0.0,0.2,80.0,0.28,4.14,56.86,2.8,33.33,0.33,62.5,0.53,0.77,7.56,54.84,0,,0,,0,0.0,0.0,0.0,,,0.65,,,0.08,0.0,0.0,0.0,0,0.0
N. Mujakić,Gaziantep,SK Beveren,LCB,28,2000000,2027-06-30,7,601,0,0.0,0,0.35,18.12,57.85,Bosnia and Herzegovina,Bosnia and Herzegovina,left,189,78,yes,11.98,8.24,67.27,2.85,26.32,0.15,0.19,0.6,6.29,8.13,1.2,1,0.15,0,0.0,1.35,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.8,75.0,4.04,55.56,0.6,1.35,0.45,24.56,0.15,0.75,40.43,82.22,18.27,71.31,2.55,88.24,16.77,92.86,33.39,90.13,6.89,45.65,22.56,38.85,0.05,0.15,0.0,0.0,0.0,0.0,0.0,6.29,52.38,0.6,25.0,0.15,0.0,0.3,0.0,6.74,62.22,0,,0,,0,0.0,0.0,0.0,,,0.9,,,0.0,0.0,0.0,0.0,0,0.0
C. Fiermarín,Defensa y Justicia,Lommel SK,GK,28,1500000,2028-12-31,18,1719,0,0.0,0,0.0,1.05,80.0,Uruguay,Uruguay,right,189,72,no,2.25,0.1,50.0,0.63,91.67,0.0,0.0,0.0,2.2,2.72,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.21,50.0,0.0,0.0,0.0,17.8,0.21,0.31,27.23,85.38,13.3,73.23,0.0,0.0,13.25,97.63,19.58,96.26,7.64,57.53,30.76,48.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,34.38,0.37,0.0,0.1,0.0,0.0,0.0,5.71,59.63,33,1.73,104,5.45,2,68.27,30.57,1.6,-2.43,-0.127,0.0,2.15,0.63,,,,0.0,0,0.0
T. Reyners,Lommel SK,SK Beveren,"AMF, LW, RWF",26,1200000,2028-06-30,22,1216,1,1.45,1,1.14,27.75,46.67,Belgium,Belgium,right,170,63,no,5.25,7.03,58.95,1.85,16.0,0.0,0.0,0.0,1.11,1.54,0.74,1,0.07,0,0.0,7.11,0.07,1,0.07,0.11,0,0.0,25,1.85,60.0,4.0,0.07,3.18,44.19,1.78,41.67,1.41,47.37,0.52,6.51,65.91,14.95,46.53,2.96,2.29,1.63,20.65,1.33,3.11,32.71,78.73,7.85,65.09,6.96,92.55,12.43,79.17,27.46,84.64,2.52,47.06,18.4,31.0,0.08,1.11,0.07,0.0,0.67,44.44,0.52,3.33,66.67,3.4,54.35,0.67,44.44,1.41,1.26,5.11,84.06,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.15,0.0,0.0,0.37,0,0.0
L. Fraser,Reading,Deinze,"RCMF, RDMF, LDMF",28,1000000,2027-06-30,10,849,0,0.27,1,0.25,13.25,52.8,Canada,Canada,right,185,83,no,8.27,7.0,57.58,0.64,33.33,0.74,0.93,0.11,3.5,4.38,1.17,2,0.21,0,0.0,1.17,0.0,0,0.0,0.03,0,0.0,6,0.64,0.0,0.0,0.11,0.74,42.86,0.21,50.0,0.42,25.0,0.21,0.95,88.89,3.07,58.62,0.32,0.74,0.32,44.1,0.42,0.95,61.06,86.63,18.45,75.29,7.95,96.0,27.67,90.8,54.38,91.42,5.94,48.21,19.59,40.42,0.03,0.42,0.11,0.0,0.21,0.0,0.11,9.86,70.97,1.8,41.18,1.06,30.0,0.74,0.32,10.39,79.59,0,,0,,0,0.0,0.0,0.0,,,0.64,,,0.0,0.0,0.0,0.53,0,0.0
