Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Z. Romero,Getafe,"LCB, LB",26,6000000,2030-06-30,25,2075,0,0.23,Argentina,"Argentina, Syria",left,192,92,no
U. Sánchez,Gimnasia Mendoza,"RB, RW, LW",27,4800000,2026-12-31,29,1746,1,1.38,Argentina,Argentina,right,176,71,yes
S. Longo,Belgrano,"RCMF, DMF",28,4000000,2027-12-31,21,1572,1,0.46,Argentina,"Argentina, Italy",right,176,71,no
G. Hernández,San Lorenzo,LCB,28,4000000,2027-12-31,11,1005,0,0.26,Argentina,"Argentina, Spain",left,185,78,no
M. Roffo,Instituto,GK,26,3800000,2026-12-31,13,1255,0,0.0,Argentina,"Argentina, Croatia",right,184,81,no
A. Mansilla,Leones del Norte,AMF,28,3500000,2026-12-31,1,31,0,0.0,Argentina,Argentina,right,170,64,no
N. Losada,Lanús,GK,33,3000000,2028-12-31,30,2869,0,0.0,Argentina,Argentina,right,188,79,no
M. Giménez,Argentinos Juniors,"CF, LW",27,2800000,2029-12-31,30,2290,8,7.26,Argentina,Argentina,left,185,73,no
L. Blondel,Huracán,"RB, RWB",29,2500000,2027-12-31,28,2231,3,2.28,Argentina,"Argentina, Switzerland",right,178,75,yes
F. González Metilli,Belgrano,"AMF, LCMF",29,2000000,2026-12-31,28,2008,1,2.19,Argentina,Argentina,left,178,70,no
F. Máter,Univ. Concepción,"RW, RCMF, RB",27,2000000,2026-12-31,17,1367,0,0.4,Argentina,Argentina,right,166,64,yes
J. Cozzani,Platense,GK,27,1800000,2029-12-31,27,2611,0,0.0,Argentina,Argentina,right,184,77,no
L. Carrizo,Huracán,LB,29,1500000,2028-12-31,25,2354,2,2.09,Argentina,Argentina,left,180,70,no
F. Alarcón,Instituto,"RCB, CB",32,1500000,2026-12-31,30,2832,0,1.06,Argentina,Argentina,right,183,69,no
