Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Quiñones,Al Qadisiyah,Atlas,CF,29,10000000,2029-06-30,42,3856,14,14.95,4,3.77,30.55,36.59,Colombia,"Colombia, Mexico",right,180,78,no,4.29,3.73,56.88,5.09,32.57,0.3,0.44,0.14,1.87,2.73,1.33,10,0.23,1,0.02,3.73,0.33,14,0.33,0.35,4,0.09,118,2.75,33.05,11.864,0.09,0.84,41.67,0.77,42.42,0.07,33.33,0.12,4.67,44.0,16.41,34.42,3.29,1.47,0.96,15.75,2.24,2.01,23.34,76.6,5.2,63.68,4.11,89.2,9.01,81.61,20.45,79.11,2.17,65.59,17.95,35.89,0.09,0.77,0.09,0.02,0.86,48.65,0.56,3.13,69.4,1.84,59.49,0.89,47.37,0.98,0.35,2.54,84.4,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.14,0.12,20.0,0.02,1,0.0
Álvaro Fidalgo,Real Betis,América,LCMF,29,8000000,2030-06-30,39,3230,6,3.28,1,2.44,18.64,48.58,Spain,Spain,right,172,67,no,5.96,5.18,63.44,1.2,46.51,0.28,0.42,0.0,2.4,3.64,0.53,4,0.11,0,0.0,3.71,0.17,5,0.14,0.09,4,0.11,25,0.7,48.0,24.0,0.03,1.09,41.03,0.78,35.71,0.31,54.55,0.06,4.54,55.83,9.84,45.33,0.5,3.15,1.25,28.59,0.72,1.7,40.79,89.62,12.09,82.26,6.35,97.37,14.93,91.23,36.98,92.46,2.79,69.0,18.27,34.29,0.07,0.84,0.08,0.03,0.72,53.85,0.31,6.83,83.27,2.03,63.01,0.95,47.06,0.81,0.47,6.63,89.92,0,,0,,0,0.0,0.0,0.0,,,0.25,,,0.06,0.0,0.0,0.08,1,100.0
V. Janssen,Portland Timbers,Monterrey,CF,32,8000000,2028-06-30,27,1671,3,7.76,0,1.75,23.86,37.02,Netherlands,Netherlands,left,185,88,no,2.69,2.26,61.9,3.18,32.2,0.38,0.6,0.05,0.92,1.47,1.62,4,0.22,1,0.05,4.09,0.16,3,0.16,0.42,1,0.05,69,3.72,40.58,4.348,0.0,0.86,18.75,0.59,27.27,0.27,0.0,0.05,3.61,59.7,13.9,36.43,4.85,0.97,0.38,11.74,1.35,1.89,18.42,75.44,3.45,65.63,4.58,87.06,5.71,81.13,16.75,77.81,0.81,86.67,15.23,11.6,0.09,0.97,0.16,0.0,0.75,35.71,0.32,1.29,83.33,1.4,53.85,0.54,20.0,1.02,0.16,1.62,86.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0
L. Fernández,Peñarol,Toluca,"AMF, CF",27,7500000,2027-12-31,28,1717,7,4.22,7,5.49,19.6,45.19,Uruguay,Uruguay,left,166,62,no,3.83,2.94,58.93,0.73,21.43,0.84,1.27,0.0,1.26,1.9,0.84,2,0.1,0,0.0,4.72,0.37,5,0.26,0.22,0,0.0,50,2.62,38.0,14.0,0.37,1.94,29.73,0.84,18.75,0.94,33.33,0.37,4.98,52.63,12.27,45.3,1.31,1.89,1.62,29.14,1.05,3.09,35.91,75.18,11.74,60.27,5.45,89.42,12.84,79.18,27.57,82.7,6.55,56.0,20.91,35.35,0.29,2.04,0.05,0.1,1.21,43.48,0.63,8.54,61.96,3.2,42.62,2.25,39.53,1.05,0.47,6.66,86.61,0,,0,,0,0.0,0.0,0.0,,,0.1,,,2.41,0.68,30.77,2.67,2,100.0
V. Guzmán,Monterrey,Club Tijuana,"RCB, LCB",24,7000000,2028-06-30,24,2056,0,0.45,0,0.0,15.71,58.77,Mexico,Mexico,right,182,83,no,10.59,8.32,65.79,3.46,58.23,0.26,0.35,0.57,4.86,6.39,0.79,3,0.13,1,0.04,0.66,0.0,0,0.0,0.02,0,0.0,2,0.09,50.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.74,70.59,1.62,51.35,0.09,0.7,0.22,18.08,0.48,0.26,27.97,86.85,11.6,76.23,2.1,95.83,11.51,96.2,24.64,91.3,3.28,54.67,21.36,31.54,0.0,0.0,0.0,0.0,0.13,66.67,0.0,3.2,63.01,0.26,33.33,0.13,33.33,0.09,0.0,4.86,68.47,0,,0,,0,0.0,0.0,0.0,,,1.31,,,0.0,0.0,0.0,0.0,0,0.0
O. Pineda,AEK Athens,Cruz Azul,"AMF, LW, RCMF",30,7000000,2027-06-30,13,1187,1,2.15,2,1.39,20.85,42.18,Mexico,Mexico,right,169,63,no,4.4,4.47,59.32,2.65,22.86,0.0,0.0,0.08,1.74,2.56,0.91,0,0.0,0,0.0,4.09,0.08,1,0.08,0.16,0,0.0,19,1.44,26.32,5.263,0.15,0.61,25.0,0.23,33.33,0.38,20.0,0.08,4.47,54.24,10.24,42.22,1.52,1.29,0.83,29.34,0.76,1.9,37.91,84.4,10.84,72.03,6.9,95.6,13.95,89.67,35.03,85.5,2.43,81.25,18.07,40.7,0.11,0.91,0.08,0.0,1.9,60.0,0.38,6.22,78.05,3.11,68.29,1.29,47.06,2.27,0.08,4.93,92.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.08,0.0,0.0,0.38,0,0.0
C. Rodríguez,Cruz Azul,Cruz Azul,"RCMF, CF",29,7000000,2029-12-31,29,2365,4,2.75,4,4.33,15.41,43.95,Mexico,Mexico,right,171,65,no,4.83,4.79,45.24,1.6,33.33,0.46,0.67,0.04,2.21,3.22,1.29,6,0.23,0,0.0,2.4,0.15,4,0.15,0.1,2,0.08,21,0.8,47.62,19.048,0.15,0.95,52.0,0.27,28.57,0.61,62.5,0.11,1.79,59.57,5.59,44.22,1.1,1.83,1.56,22.95,0.68,1.41,35.16,83.01,11.61,75.74,6.36,90.42,11.87,86.86,30.82,85.31,3.5,70.65,18.02,37.24,0.16,1.71,0.04,0.0,1.07,42.86,0.42,5.29,79.86,2.63,57.97,1.33,34.29,1.14,0.46,5.94,82.05,0,,0,,0,0.0,0.0,0.0,,,0.08,,,1.29,0.0,0.0,1.9,0,0.0
S. Cáceres,América,América,"LCB, RCB",26,7000000,2027-06-30,25,2271,1,0.71,0,0.0,15.89,61.6,Uruguay,Uruguay,right,180,77,no,8.4,6.3,74.84,4.56,53.04,0.24,0.36,0.44,3.45,5.22,0.83,4,0.16,1,0.04,0.55,0.04,1,0.04,0.03,1,0.04,5,0.2,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,66.67,2.22,48.21,0.32,0.52,0.16,20.05,0.28,0.71,31.31,87.09,12.05,78.29,1.86,87.23,14.31,95.29,27.15,90.8,4.16,62.86,21.13,39.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,65.75,0.2,20.0,0.16,25.0,0.04,0.0,5.11,65.89,0,,0,,0,0.0,0.0,0.0,,,1.11,,,0.0,0.0,0.0,0.0,0,0.0
Y. Soteldo,Fluminense,Tigres UANL,"LW, LCMF, CF",28,7000000,2028-12-31,16,636,1,1.47,2,2.69,31.98,39.82,Venezuela,Venezuela,left,160,54,no,3.54,4.95,40.0,1.56,36.36,0.28,0.5,0.14,1.27,2.27,1.13,2,0.28,1,0.14,10.19,0.14,1,0.14,0.21,0,0.0,10,1.42,50.0,10.0,0.28,6.93,40.82,5.66,42.5,1.27,33.33,1.13,12.17,52.33,22.22,42.04,3.11,5.8,1.84,22.22,1.98,2.41,35.38,79.6,7.92,85.71,7.22,94.12,13.87,68.37,27.17,90.63,1.84,53.85,21.55,24.17,0.38,2.83,0.0,0.0,0.71,40.0,0.42,1.84,84.62,6.65,46.81,0.85,16.67,1.84,2.41,6.23,93.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.71,0.14,0.0,2.83,0,0.0
U. Antuna,Pumas UNAM,Cruz Azul,"RW, RAMF, RWF",28,6500000,2028-06-30,35,2650,2,6.17,3,3.76,17.02,47.31,Mexico,Mexico,right,174,64,no,5.3,3.84,61.06,1.77,32.69,0.31,0.44,0.03,2.65,3.8,0.71,6,0.2,0,0.0,5.81,0.07,2,0.07,0.21,0,0.0,39,1.32,56.41,5.128,0.1,4.65,40.15,0.51,53.33,4.11,38.84,0.31,5.67,55.09,9.1,50.0,2.45,2.28,1.15,17.02,2.89,2.04,23.23,75.88,4.11,76.03,5.16,94.08,8.08,65.97,17.97,85.44,0.85,60.0,19.07,16.92,0.13,0.92,0.03,0.0,0.24,28.57,0.65,1.53,66.67,3.7,50.46,0.24,14.29,0.61,1.77,4.21,86.29,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.0,0.0,0.0,0.2,1,0.0
