Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Destan,Westerlo,Altınordu,CF,24,4800000,2028-06-30,14,662,1,1.54,0,0.04,25.56,30.85,Türkiye,Türkiye,right,186,83,yes,4.76,4.49,42.42,5.57,48.78,0.95,1.19,0.41,1.9,2.37,1.9,6,0.82,0,0.0,1.09,0.14,1,0.14,0.21,0,0.0,11,1.5,45.45,9.091,0.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.68,20.0,10.47,15.58,1.5,0.54,0.41,11.28,1.09,1.09,19.98,66.67,5.71,47.62,5.03,86.49,5.44,72.5,18.76,67.39,0.95,71.43,15.73,16.31,0.0,0.14,0.0,0.0,1.22,22.22,0.41,3.81,46.43,1.77,30.77,1.63,41.67,0.68,0.0,2.04,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
E. Bayram,İstanbul Başakşehir,Boluspor,"LCB, RCB",23,4000000,2030-06-30,29,2407,2,2.62,0,0.24,18.4,64.23,Türkiye,Türkiye,right,186,78,no,11.44,6.88,69.57,5.12,56.93,0.49,0.63,0.6,6.17,8.05,0.86,1,0.04,0,0.0,1.16,0.07,2,0.07,0.1,1,0.04,19,0.71,47.37,10.526,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,1.2,65.63,2.39,60.94,0.97,1.27,0.34,28.72,0.11,1.08,44.87,86.08,19.85,76.08,1.98,96.23,19.82,95.28,38.55,91.08,6.24,56.29,21.98,37.72,0.01,0.15,0.0,0.0,0.04,100.0,0.04,4.6,65.85,0.37,10.0,0.67,16.67,0.07,0.04,8.3,72.52,0,,0,,0,0.0,0.0,0.0,,,1.42,,,0.0,0.0,0.0,0.0,0,0.0
T. Altıkardeş,Göztepe,Bursaspor,"RCB, LCB",22,2800000,2028-06-30,12,685,0,0.46,0,0.0,12.09,59.78,Türkiye,Türkiye,right,188,75,no,9.99,5.78,63.64,2.89,54.55,0.66,0.84,0.92,5.65,7.21,0.53,1,0.13,2,0.26,1.05,0.0,0,0.0,0.06,0,0.0,6,0.79,16.67,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.92,100.0,1.18,77.78,0.53,1.18,0.53,44.41,0.26,0.39,59.12,87.56,22.99,74.29,3.55,92.59,28.38,97.69,52.55,93.75,6.44,38.78,21.62,38.9,0.0,0.0,0.13,0.0,0.13,0.0,0.13,6.04,56.52,0.26,50.0,0.39,66.67,0.13,0.0,9.59,65.75,0,,0,,0,0.0,0.0,0.0,,,1.97,,,0.0,0.0,0.0,0.0,0,0.0
K. Yılmaz,Beşiktaş,Ümranıyespor,DMF,25,2700000,2028-06-30,30,2696,1,1.54,7,6.33,18.23,54.58,Türkiye,Türkiye,right,178,70,no,11.85,9.65,59.52,2.1,46.03,0.17,0.23,0.2,5.94,8.27,1.3,11,0.37,0,0.0,1.3,0.03,1,0.03,0.05,0,0.0,20,0.67,25.0,5.0,0.23,1.14,41.18,0.3,55.56,0.77,34.78,0.07,1.3,46.15,3.61,46.3,0.43,0.57,0.5,31.55,0.17,1.0,47.84,84.58,14.49,76.04,6.98,94.26,18.79,89.34,41.53,88.83,5.21,59.62,18.9,35.21,0.21,1.74,0.07,0.03,0.27,25.0,0.23,7.51,74.22,1.67,54.0,0.77,26.09,0.5,0.5,7.81,68.8,0,,0,,0,0.0,0.0,0.0,,,1.5,,,1.87,0.13,25.0,3.61,0,0.0
G. Zahid,Partizan,Ankaragücü,"AMF, LCMF",31,2500000,2026-06-30,29,2228,5,3.85,1,2.0,15.03,36.56,Norway,"Norway, Pakistan",right,173,66,no,2.87,2.18,53.7,1.21,26.67,0.2,0.28,0.08,1.49,2.07,0.65,3,0.12,1,0.04,2.87,0.2,5,0.2,0.16,1,0.04,40,1.62,37.5,12.5,0.04,1.25,29.03,0.77,36.84,0.44,18.18,0.2,3.35,48.19,8.89,35.91,2.83,2.1,0.97,36.64,1.01,1.09,46.94,88.55,13.29,82.07,9.41,95.71,15.19,90.16,43.99,91.28,1.74,60.47,16.19,32.01,0.08,0.97,0.12,0.04,0.81,35.0,0.4,6.22,83.12,2.79,60.87,1.05,19.23,1.29,0.28,5.98,89.19,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.2,0.0,0.0,0.28,0,0.0
G. Gül,Al Akhdoud,Gençlerbirliği,LCB,27,2000000,2027-06-30,31,2718,3,3.04,1,1.34,13.64,60.68,Germany,"Germany, Türkiye",right,183,78,no,8.34,5.26,67.92,4.83,52.05,0.46,0.56,0.73,4.3,5.16,0.96,2,0.07,0,0.0,0.86,0.1,2,0.07,0.1,2,0.07,34,1.13,52.94,8.824,0.03,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.3,77.78,1.16,71.43,0.79,0.66,0.26,21.82,0.26,0.83,34.04,84.53,14.07,73.18,1.62,100.0,15.66,93.02,28.38,91.02,5.6,52.66,23.52,42.25,0.04,0.23,0.03,0.07,0.07,50.0,0.17,4.57,63.04,0.46,28.57,0.46,21.43,0.33,0.0,6.39,62.18,0,,0,,0,0.0,0.0,0.0,,,1.03,,,0.23,0.23,57.14,0.0,1,100.0
M. Osmajić,Preston North End,Bandırmaspor,"CF, LAMF",26,2000000,2027-06-30,13,636,7,3.8,0,0.15,20.94,39.86,Montenegro,Montenegro,both,186,84,no,3.54,3.54,64.0,6.23,40.91,0.0,0.0,0.0,1.27,1.84,1.84,3,0.42,1,0.14,2.97,0.99,6,0.85,0.54,1,0.14,22,3.11,50.0,31.818,0.0,0.28,0.0,0.14,0.0,0.14,0.0,0.0,1.7,83.33,6.65,38.3,4.53,0.99,0.57,10.61,1.7,0.71,12.59,75.28,2.12,66.67,4.1,89.66,3.82,62.96,11.89,77.38,0.42,66.67,14.92,8.17,0.02,0.14,0.0,0.0,0.0,0.0,0.14,1.13,75.0,0.42,66.67,0.0,0.0,0.42,0.0,0.85,100.0,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.0,0.0,0.0,0.0,1,100.0
E. Yardımcı,Kaiserslautern,Eyüpspor,"RW, CF, LW",24,2000000,2027-06-30,7,107,0,0.28,0,0.09,33.64,35.0,Türkiye,Türkiye,right,188,78,yes,8.41,7.57,33.33,10.09,33.33,0.0,0.0,0.84,5.89,7.24,1.68,0,0.0,0,0.0,1.68,0.0,0,0.0,0.24,0,0.0,3,2.52,33.33,0.0,0.0,2.52,0.0,0.84,0.0,1.68,0.0,0.0,4.21,20.0,10.09,41.67,4.21,1.68,0.0,13.46,1.68,2.52,15.14,55.56,5.89,71.43,0.84,100.0,5.05,33.33,11.78,64.29,0.84,100.0,15.7,3.83,0.08,0.84,0.0,0.0,0.0,0.0,0.0,1.68,50.0,0.84,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
I. Olawoyin,Rizespor,Ankara Keçiörengücü,"AMF, LW, LAMF",28,1800000,2027-06-30,33,2956,8,6.34,4,3.71,27.19,45.02,Nigeria,Nigeria,right,178,71,no,5.88,5.82,54.97,3.41,31.25,0.37,0.53,0.06,2.31,3.37,2.07,2,0.06,0,0.0,4.75,0.24,8,0.24,0.19,2,0.06,65,1.98,32.31,12.308,0.12,1.86,29.51,1.13,35.14,0.73,20.83,0.15,6.58,50.46,13.82,45.81,2.92,2.59,1.58,18.66,1.61,1.95,28.35,78.52,8.37,73.45,6.42,93.84,7.58,74.7,25.39,83.21,1.13,51.35,16.1,22.64,0.11,1.07,0.0,0.0,0.94,25.81,0.4,3.44,69.91,2.37,44.87,1.07,22.86,0.97,0.58,4.17,71.53,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.09,0.0,0.0,0.15,0,0.0
P. Keny,Zürich,Bandırmaspor,CF,27,1600000,2028-06-30,34,3230,13,11.28,7,4.74,33.66,36.18,Senegal,Senegal,right,190,80,no,3.76,3.57,49.22,7.86,49.29,0.06,0.08,0.08,1.95,2.89,1.64,10,0.28,0,0.0,5.04,0.36,11,0.31,0.31,1,0.03,75,2.09,52.0,17.333,0.2,2.03,28.77,0.84,26.67,1.17,28.57,0.28,7.22,43.24,16.47,30.46,3.57,2.01,1.11,12.09,2.37,1.56,18.56,68.62,3.23,49.14,5.04,87.29,6.07,66.97,15.74,75.58,0.89,34.38,16.95,22.64,0.13,0.78,0.03,0.0,0.81,31.03,0.47,1.84,46.97,2.03,39.73,0.81,27.59,0.72,0.59,1.7,80.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0
