Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
N. Deossa,Real Betis,"LCMF, LB",26,4000000,2030-06-30,7,70,0,0.0,Colombia,Colombia,left,178,74,no
G. Puerta,Racing Santander,"LCMF, AMF",22,3000000,2029-06-30,11,660,0,0.29,Colombia,Colombia,right,173,70,no
F. Gil,Atlético Bucaramanga,"RWF, RW",31,900000,2026-12-31,19,1062,3,2.05,Colombia,Colombia,right,178,75,yes
D. Alfonzo,Deportivo Táchira,"RB, LB",25,900000,2026-12-31,18,1576,0,0.19,Venezuela,Venezuela,right,178,72,no
Jermein Peña,Junior,"RCB, CB, LCB",26,850000,2029-12-31,7,667,0,0.16,Colombia,Colombia,right,187,80,no
B. Moreno,,CF,26,850000,,22,1667,6,4.05,Colombia,Colombia,right,188,77,no
B. Ceballos,New England,"LCB, RCB, CB",25,800000,2027-12-31,21,1830,0,0.0,Colombia,Colombia,right,189,80,no
J. Castillo,Vitória Guimarães,GK,23,800000,2029-06-30,23,2163,0,0.76,Colombia,Colombia,right,191,76,no
L. Mina,Gimpo Citizen,"CF, LAMF, LWF",32,750000,,19,1192,4,4.1,Colombia,Colombia,right,180,75,no
A. Salazar,Riga FC,"CF, LB, RW",23,750000,2026-12-31,8,267,1,0.57,Colombia,Colombia,left,182,72,no
R. Hinojosa,Blooming,"RWF, AMF, RAMF",26,700000,2027-12-31,34,2638,8,5.71,Colombia,Colombia,left,170,65,yes
J. Quiñónes,Once Caldas,"RB, LDMF",25,700000,2026-12-31,21,1448,0,1.06,Colombia,Colombia,right,170,0,no
J. Cabezas,Millonarios,"RAMF, CF, LAMF",22,700000,2029-06-30,8,241,0,0.06,Colombia,Colombia,left,185,77,yes
S. Lora,Venados,"CF, LAMF, RAMF",30,650000,,11,783,2,1.49,Colombia,Colombia,right,188,76,no
K. Perez,Junior,"RAMF, LAMF, RW",28,650000,2028-12-31,17,1384,4,3.42,Colombia,Colombia,right,170,69,no
A. Parra,Tolima,CF,29,600000,,21,1982,10,6.27,Colombia,Colombia,right,179,75,no
L. Sandoval,Tolima,CF,27,600000,2027-12-31,17,1245,7,6.83,Colombia,Colombia,right,183,78,yes
