Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
J. Wind,Sporting Braga,CF,27,20000000,2029-06-30,16,1387,6,8.36,Denmark,Denmark,right,190,82,no
V. Nelsson,Hellas Verona,LCB,27,17000000,2027-06-30,2,101,0,0.0,Denmark,Denmark,right,185,78,yes
M. Frendrup,Genoa,"LCMF, RCMF",25,15000000,2028-06-30,15,1302,2,1.13,Denmark,Denmark,right,175,63,no
G. Isaksen,Lazio,"RWF, LWF, CF",24,12000000,2028-06-30,30,2018,5,6.65,Denmark,Denmark,left,181,65,no
E. Holm,Juventus,"RB, RWB",25,12000000,2028-06-30,25,2273,3,3.54,Sweden,Sweden,right,191,83,yes
A. Grønbæk,Hamburger SV,"RCMF, LWF, LW",25,12000000,2030-06-30,31,2122,3,2.35,Denmark,Denmark,right,176,73,no
K. Grabara,Wolfsburg,GK,27,12000000,2028-06-30,32,3110,0,0.0,Poland,Poland,right,195,85,no
M. Daramy,Reims,"LAMF, LWF",24,10000000,2028-06-30,6,458,2,1.58,Denmark,"Denmark, Sierra Leone",right,180,71,no
F. Moumbagna,Cremonese,CF,25,10000000,2028-06-30,10,383,0,1.3,Cameroon,Cameroon,left,185,78,yes
R. Onyedika,Club Brugge,"RCMF, DMF",25,10000000,2031-06-30,31,2748,2,3.09,Nigeria,Nigeria,right,184,78,no
M. Hermansen,West Ham United,GK,25,9000000,2030-06-30,29,2814,0,0.0,Denmark,Denmark,right,187,81,no
R. Bardghji,Barcelona,"RW, RWF, RAMF",20,9000000,2029-06-30,13,775,2,2.28,Sweden,"Sweden, Syria",left,173,70,no
M. Bidstrup,Olympique Lyonnais,"RDMF, RCMF, LDMF",25,9000000,2031-06-30,13,1085,0,0.87,Denmark,Denmark,right,175,70,no
J. Stage,Werder Bremen,"RAMF, LCMF, RW",29,7500000,2028-06-30,22,1848,5,3.36,Denmark,Denmark,right,187,81,no
A. Nagalo,Konyaspor,"LCB, RCB",23,7000000,2029-06-30,27,2192,1,1.04,Burkina Faso,"Burkina Faso, Côte d'Ivoire",right,185,75,yes
R. Nicolaisen,Toulouse,LCB,29,6000000,2029-06-30,3,137,0,0.09,Denmark,Denmark,left,191,81,no
E. Jelert,Southampton,LB,23,5500000,2029-06-30,11,483,0,0.05,Denmark,Denmark,right,178,71,yes
D. Vavro,Wolfsburg,RCB,30,5000000,2027-06-30,14,1351,1,0.61,Slovakia,Slovakia,right,189,81,no
O. Óskarsson,Real Sociedad,CF,21,5000000,2030-06-30,1,22,0,0.04,Iceland,Iceland,right,186,78,no
V. Claesson,Värnamo,"LWF, LW, LAMF",34,4500000,2029-12-31,10,778,1,2.43,Sweden,Sweden,right,183,80,no
M. Uhre,Midtjylland,CF,31,4000000,2029-06-30,16,1247,11,5.54,Denmark,Denmark,right,188,86,no
M. Diomandé,Rangers,"AMF, RCMF",24,4000000,2028-06-30,25,1599,3,1.9,Côte d'Ivoire,"Côte d'Ivoire, Ghana",left,175,75,no
K. Diks,Borussia M'gladbach,"RB, LB",29,4000000,2030-06-30,26,2107,2,1.88,Netherlands,Netherlands,right,182,73,no
I. Jóhannesson,Köln,"RW, LCMF, RAMF",23,3500000,2030-06-30,16,605,4,2.56,England,"England, Iceland",left,184,72,no
W. Bøving,Mainz 05,"LW, LAMF, LWF",23,3500000,2029-06-30,26,1346,2,1.95,Denmark,Denmark,both,176,67,no
M. Frøkjær-Jensen,Brøndby,"AMF, LAMF, CF",26,3200000,2029-06-30,28,1685,6,4.35,Denmark,Denmark,right,186,79,no
A. Gaaei,Ajax,"RWF, RW",23,3000000,2028-06-30,6,256,0,0.33,Denmark,Denmark,right,183,73,no
O. Fraulo,Borussia M'gladbach,LCMF,22,3000000,2029-06-30,1,26,0,0.03,Denmark,"Denmark, Italy",right,180,77,no
O. Christensen,Sturm Graz,GK,26,3000000,2028-06-30,6,579,0,0.0,Denmark,Denmark,right,190,82,yes
O. Villadsen,Brøndby,"RB, RWB",24,3000000,2029-06-30,32,2861,5,4.13,Denmark,Denmark,right,173,67,no
L. Lerager,Widzew Łódź,"RCMF, RDMF",33,3000000,2028-06-30,29,2254,6,2.9,Denmark,Denmark,right,188,80,no
N. Madsen,Queens Park Rangers,"RCB, RCMF, LCB",25,2500000,2029-06-30,4,180,0,0.0,Denmark,Denmark,right,192,81,no
F. Alves,Brøndby,RCB,26,2500000,2028-06-30,4,55,0,0.0,Denmark,"Denmark, Brazil",right,195,78,no
