Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Tengstedt,Feyenoord,Horsens,"CF, AMF, LWF",26,5000000,2029-06-30,26,1922,15,10.72,5,4.93,23.74,41.81,Denmark,Denmark,right,184,79,no,5.2,4.26,61.54,4.31,42.39,0.37,0.45,0.05,2.2,2.64,1.03,1,0.05,0,0.0,5.57,0.7,14,0.66,0.5,3,0.14,72,3.37,47.22,20.833,0.23,2.53,35.19,1.08,34.78,1.31,35.71,0.42,5.76,48.78,11.57,38.87,5.9,3.23,1.22,19.81,2.29,1.73,26.36,73.89,6.74,56.94,5.62,94.17,8.38,75.98,21.82,80.69,2.01,48.84,17.11,24.51,0.23,1.12,0.14,0.0,1.08,26.09,0.84,3.0,53.13,2.76,55.93,1.12,29.17,2.11,0.8,4.31,78.26,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.23,0.23,40.0,0.0,2,50
M. Stamenić,Swansea City,HB Køge,"LCMF, DMF",24,5000000,2029-06-30,23,2059,2,2.49,0,1.4,18.36,50.95,New Zealand,"New Zealand, Serbia",right,188,78,no,11.06,7.04,63.35,2.8,46.88,0.7,0.84,0.61,5.9,7.09,1.4,4,0.17,0,0.0,1.49,0.09,1,0.04,0.11,0,0.0,27,1.18,29.63,7.407,0.0,0.44,30.0,0.31,28.57,0.13,33.33,0.04,1.92,47.73,5.03,42.61,1.01,0.66,0.39,22.73,0.26,0.79,37.55,84.17,11.02,70.63,6.43,93.88,14.95,87.43,32.87,88.83,4.24,53.61,19.69,39.53,0.06,0.48,0.0,0.09,0.39,22.22,0.04,5.73,70.23,1.36,29.03,0.35,50.0,0.48,0.17,5.07,69.83,0,,0,,0,0.0,0.0,0.0,,,0.74,,,0.0,0.0,0.0,0.0,1,100
L. Hey,Anderlecht,Lyngby,"CB, RWB",23,3000000,2029-06-30,2,33,0,0.0,0,0.0,,,Denmark,Denmark,right,189,80,no,,,,,,,0.0,,,3.75,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0
O. Olusegun,Rostov,Fremad Amager,"CF, AMF",24,2800000,2029-06-30,3,198,0,0.0,0,0.33,35.91,43.04,Nigeria,Nigeria,right,167,67,no,2.27,4.55,50.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0,0.0,0,0.0,5.0,0.0,0,0.0,0.0,0,0.0,1,0.45,100.0,0.0,0.0,1.36,66.67,0.45,100.0,0.91,50.0,0.0,6.36,57.14,24.09,47.17,1.36,2.27,0.91,11.36,0.0,4.55,18.64,82.93,2.27,80.0,4.55,80.0,9.09,80.0,16.82,86.49,0.45,0.0,13.02,6.02,0.15,0.91,0.0,0.0,0.45,0.0,0.45,2.27,80.0,0.91,50.0,0.45,0.0,0.45,0.91,3.64,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0
K. Tshiembe,Vålerenga,Lyngby,LCB,29,1500000,2027-12-31,2,195,0,0.0,0,0.0,24.46,56.6,Denmark,"Denmark, Congo DR",right,186,83,no,8.31,7.85,70.59,5.54,25.0,0.0,0.0,0.46,2.77,3.4,3.23,0,0.0,0,0.0,2.77,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.92,0.0,0.0,3.69,75.0,5.54,75.0,1.85,1.85,1.38,27.69,0.0,1.85,42.0,89.01,15.23,81.82,1.38,100.0,22.62,93.88,35.54,94.81,5.54,66.67,22.42,39.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,71.43,1.38,0.0,0.46,0.0,0.46,0.0,5.08,63.64,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,0,0
T. Santos,Motor Lublin,Horsens,"RB, RWB",27,1200000,2027-06-30,31,2679,0,2.85,3,3.96,22.18,46.71,Denmark,"Denmark, Brazil",right,178,68,no,9.42,7.44,61.21,2.33,29.85,0.7,0.81,0.07,4.17,4.88,0.8,3,0.1,0,0.0,4.55,0.0,0,0.0,0.1,0,0.0,22,0.76,27.27,0.0,0.1,3.79,43.12,0.45,23.08,3.34,45.83,0.31,4.73,56.62,8.03,44.59,2.05,2.78,1.56,16.72,1.6,0.63,29.1,72.28,9.8,63.83,5.56,93.13,8.48,67.62,22.49,79.13,3.06,57.95,17.71,29.57,0.14,1.15,0.1,0.1,0.07,50.0,0.76,2.68,63.64,3.3,58.95,0.21,50.0,0.66,1.46,6.92,63.32,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.0,0.0,0.0,0.0,0,0
L. Deedson,Dallas,Hobro,"CF, RW",25,1200000,2028-12-31,28,2097,6,7.22,3,3.22,31.46,42.43,Haiti,"Haiti, United States",left,178,70,no,6.05,5.88,60.58,2.58,16.67,0.17,0.2,0.0,2.32,2.63,1.33,3,0.13,0,0.0,8.8,0.26,6,0.26,0.31,0,0.0,83,3.56,38.55,7.229,0.13,3.65,30.59,1.37,25.0,2.27,33.96,0.52,10.77,56.97,17.9,44.6,4.68,3.26,2.15,11.46,1.46,1.24,18.67,70.57,5.15,66.67,4.64,94.44,4.89,56.14,13.95,83.08,1.33,41.94,20.98,28.5,0.14,1.03,0.04,0.0,0.34,50.0,0.6,1.89,61.36,2.88,46.27,0.3,28.57,1.03,1.03,3.13,76.71,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.09,0.0,0.0,0.77,0,0
S. Korač,Venezia,Esbjerg,"RCB, LCB",24,900000,2029-06-30,18,1312,1,1.21,0,0.0,22.35,60.74,Luxembourg,"Luxembourg, Serbia",right,191,89,no,13.78,8.16,72.27,6.03,57.95,1.58,2.16,0.96,6.31,8.65,1.44,8,0.55,0,0.0,0.82,0.07,1,0.07,0.08,1,0.07,10,0.69,20.0,10.0,0.0,0.34,40.0,0.0,0.0,0.34,40.0,0.07,0.96,57.14,3.29,50.0,0.89,1.44,0.27,31.39,0.21,0.69,46.68,85.61,15.29,67.71,4.52,98.48,22.14,96.59,40.51,92.55,5.83,40.0,20.97,38.39,0.0,0.0,0.0,0.0,0.07,0.0,0.0,5.21,46.05,0.96,21.43,0.82,25.0,0.14,0.14,5.69,63.86,0,,0,,0,0.0,0.0,0.0,,,3.43,,,0.0,0.0,0.0,0.0,0,0
J. Gomez,OB,Horsens,"RCB, LCB",24,900000,2028-12-31,31,2705,0,0.79,0,0.35,21.03,58.76,Gambia,Gambia,right,189,80,no,11.7,7.78,69.91,5.92,62.21,0.62,0.72,0.69,5.64,6.6,1.45,6,0.2,0,0.0,1.17,0.0,0,0.0,0.03,0,0.0,8,0.28,25.0,0.0,0.0,0.55,50.0,0.03,0.0,0.52,53.33,0.07,1.41,56.1,3.79,42.73,1.03,1.2,0.21,25.23,0.14,0.59,42.54,82.93,18.76,72.66,2.68,92.31,16.76,90.76,34.8,90.11,7.19,50.72,21.91,39.94,0.01,0.21,0.0,0.0,0.17,20.0,0.07,6.81,61.62,1.1,34.38,0.69,15.0,0.31,0.17,8.54,71.77,0,,0,,0,0.0,0.0,0.0,,,1.55,,,0.07,0.0,0.0,0.0,0,0
A. Sørensen,OB,Lyngby,"LWB, LB",25,900000,2029-06-30,32,2871,1,1.86,6,6.43,15.08,51.44,Denmark,Denmark,left,165,60,no,7.96,6.18,67.03,1.47,50.0,0.57,0.73,0.03,3.24,4.19,0.4,1,0.03,0,0.0,3.24,0.03,1,0.03,0.06,0,0.0,12,0.4,33.33,8.333,0.2,4.58,38.69,4.51,38.52,0.0,0.0,0.43,2.44,46.58,3.84,42.61,3.21,2.71,1.24,27.05,3.58,0.3,37.04,73.74,11.17,61.08,8.42,92.06,10.9,73.31,30.16,81.93,2.71,39.51,17.69,31.11,0.21,1.37,0.1,0.03,0.53,37.5,0.8,3.18,66.32,4.41,53.03,0.5,33.33,1.6,1.57,7.96,71.43,0,,0,,0,0.0,0.0,0.0,,,0.5,,,0.13,0.0,0.0,0.2,0,0
