Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
J. Beste,Freiburg,"LAMF, LW",27,15000000,2030-06-30,34,2896,12,6.94,Germany,Germany,left,175,66,no
R. Hack,Borussia M'gladbach,"LWF, CF, LW",27,8000000,2029-06-30,33,2933,10,8.4,Germany,Germany,right,178,72,no
D. Köhn,Union Berlin,"LWB, LB",27,6000000,2029-06-30,33,3177,5,2.13,Germany,"Germany, Ghana",left,180,73,no
T. Kleindienst,Borussia M'gladbach,CF,30,6000000,2029-06-30,32,3038,25,15.22,Germany,Germany,left,194,85,no
F. Reese,Hertha BSC,"CF, LWB, RWB",28,5000000,2030-06-30,33,2902,11,9.53,Germany,Germany,right,187,80,no
I. Matanović,Freiburg,CF,23,5000000,2029-06-30,18,689,0,3.29,Germany,"Germany, Croatia",right,194,84,no
N. Tresoldi,Club Brugge,"CF, RWF",21,5000000,2029-06-30,13,477,0,0.99,Italy,"Italy, Germany",right,183,77,no
J. Piotrowski,Udinese,"DMF, LW",28,5000000,2029-06-30,2,24,0,0.04,Poland,Poland,right,188,79,no
L. Bénes,Gent,"LCMF, AMF",28,5000000,2030-06-30,33,1929,6,7.44,Slovakia,"Slovakia, Hungary",left,181,72,no
P. Tietz,Mainz 05,CF,29,5000000,2028-06-30,34,3073,12,15.31,Germany,Germany,right,190,90,no
L. Maloney,Mainz 05,"DMF, LCB, RDMF",26,5000000,2028-06-30,33,2784,0,0.54,Germany,"Germany, United States",right,187,88,no
B. Humphreys,Burnley,LCB,23,4800000,2029-06-30,12,1160,0,0.27,England,"England, Uganda",left,186,79,no
L. Reis,Club Brugge,"RCMF, RDMF",26,4500000,2029-06-30,33,3056,9,4.65,Netherlands,"Netherlands, Slovakia",right,178,78,no
M. Hartel,St. Louis City ,"LCMF, LW",30,4000000,2028-06-30,34,3257,5,5.47,Germany,Germany,both,177,68,no
E. Smith,St. Pauli,"CB, DMF",29,4000000,2027-06-30,26,2405,2,1.45,Sweden,Sweden,right,192,86,no
