Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Ilias Akhomach,Villarreal,"RWF, RW",22,15000000,2028-06-30,23,1294,1,0.91,Spain,"Spain, Morocco",left,174,68,no
Chadi Riad,Crystal Palace,LCB,23,15000000,2029-06-30,36,3132,3,1.54,Spain,"Spain, Morocco",left,187,77,no
Rafa Marín,Napoli,"CB, LCB, RCB",24,7500000,2029-06-30,40,3893,3,2.52,Spain,Spain,right,191,77,no
Jorge Herrando,Osasuna,LCB,25,6000000,2030-06-30,32,3035,4,1.52,Spain,Spain,left,192,77,no
Arnau Tenas,Villarreal,GK,25,5000000,2029-06-30,30,2899,0,0.0,Spain,Spain,right,185,85,no
Iker Muñoz,Osasuna,"DMF, LDMF, RDMF",23,5000000,2030-06-30,29,2701,1,2.04,Spain,Spain,right,180,69,no
Jon Aramburu,Real Sociedad,RB,23,5000000,2030-06-30,33,2219,3,1.08,Venezuela,"Venezuela, Spain",right,176,71,no
Carlos Vicente,Birmingham City,RAMF,27,4000000,2029-06-30,40,3628,8,9.48,Spain,Spain,right,179,71,no
Pablo Torre,Mallorca,LCMF,23,3000000,2029-06-30,3,254,0,0.14,Spain,Spain,right,173,63,no
Peter González,Górnik Zabrze,"LWB, LCMF, RWB",24,3000000,2029-06-30,40,3003,6,5.04,Spain,"Spain, Dominican Republic",left,180,75,no
Hugo Sotelo,Celta de Vigo,"LCMF, RCMF",22,2500000,2028-06-30,29,1931,1,1.84,Spain,Spain,right,180,76,no
Diego García,Malmö FF,CF,26,2000000,2029-06-30,36,2969,13,13.04,Spain,Spain,right,186,80,no
Z. Inoussa,Swansea City,"LAMF, LW",24,2000000,2030-06-30,16,663,0,0.18,Sweden,"Sweden, Benin",right,177,67,no
Carlos Dotor,Málaga,"LCMF, AMF",25,2000000,2028-06-30,29,2411,12,7.02,Spain,Spain,right,180,67,yes
Iker Losada,Real Betis,"LWF, AMF, CF",24,1800000,2029-06-30,35,2845,9,7.64,Spain,Spain,right,175,70,no
Gabri Martínez,Sporting Braga,"LW, CF",23,1800000,2029-06-30,36,2747,5,5.98,Spain,Spain,right,185,77,no
I. Chaira,Real Oviedo,"CF, RW, AMF",25,1600000,2028-06-30,31,2178,11,5.56,Spain,"Spain, Morocco",right,186,75,no
R. Vega,Zenit,LB,22,1500000,2030-06-30,17,1001,0,0.0,Argentina,Argentina,left,177,74,no
Pablo Marín,Real Sociedad,"CF, AMF, RCMF",23,1500000,2029-06-30,28,2032,4,3.09,Spain,Spain,right,178,73,no
Jesús Bernal,Sporting Gijón,"RDMF, LDMF",29,1200000,2027-06-30,40,3265,0,0.52,Spain,Spain,right,182,76,no
Iván Chapela,Tenerife,"RW, RAMF",27,1200000,2028-06-30,35,2651,8,7.84,Spain,Spain,right,181,76,no
Urko González,Espanyol,"DMF, CB, RCB",25,1200000,2030-06-30,25,1935,0,0.35,Spain,Spain,right,189,83,no
J. Gómez,PAOK,"LB, LWB",22,1200000,2027-06-30,29,2242,1,1.19,United States,"United States, Mexico",left,178,74,no
Jon Ander Olasagasti,Levante,"LCMF, RCMF",25,1200000,2028-06-30,29,2530,3,4.93,Spain,Spain,left,176,74,no
Alberto Quiles,Tianjin Tigers,"RW, RWF, RAMF",31,1000000,2026-12-31,34,2846,16,12.86,Spain,Spain,left,188,74,no
Sergio Ortu,Cádiz,"RCMF, LCMF, RDMF",27,1000000,2028-06-30,41,3395,3,2.75,Spain,Spain,right,178,72,no
Sergio Barcia,Sporting Braga,"CB, RCB",25,1000000,2030-06-30,31,2774,1,1.07,Spain,Spain,right,186,82,no
Álex Sancris,Getafe,"RW, RAMF, LAMF",29,900000,2028-06-30,37,2791,4,3.52,Spain,Spain,right,181,77,no
C. Sánchez,Sporting Gijón,GK,26,800000,2026-06-30,25,2414,0,0.0,Cuba,"Cuba, France",left,193,88,no
Josué Dorrio,Málaga,"RW, RAMF",32,800000,,39,2316,2,1.95,Spain,Spain,right,170,67,no
Álvaro Sanz,Al Shahaniya,"RCMF, DMF",25,800000,,12,713,1,0.78,Spain,Spain,right,170,68,no
Luismi Cruz,Deportivo La Coruña,"RWF, RW",25,800000,2029-06-30,37,2642,8,5.8,Spain,Spain,left,166,60,no
Fabrício,Vitória,"CF, LW, LWF",25,800000,2026-12-31,38,2346,2,5.89,Brazil,"Brazil, Spain",right,186,77,no
Iker Benito,Osasuna,"LW, LAMF, RAMF",23,800000,2027-06-30,32,1719,3,4.26,Spain,Spain,right,177,74,no
Miguel Rodríguez,Deportivo Alavés,"CF, RWF, AMF",23,800000,2031-06-30,28,2015,8,10.31,Spain,Spain,left,179,70,no
Pablo Ramón,Racing Santander,"LCB, LB, RWB",25,800000,2028-06-30,19,1482,0,0.39,Spain,Spain,right,184,82,no
David Castro,Celje,LCB,30,700000,2027-06-30,37,3469,1,2.08,Spain,Spain,left,192,86,no
Álvaro Núñez,Celta de Vigo,RB,26,700000,2030-06-30,39,3732,1,1.08,Spain,Spain,right,177,60,no
Jesús de Miguel,Tenerife,CF,29,600000,2028-06-30,32,2394,7,9.52,Spain,Spain,left,189,75,no
Sergio Cubero,Eibar,"RB, RW",26,600000,2027-06-30,37,3281,1,1.9,Spain,Spain,right,187,71,no
Fernando Medrano,Estoril,"LCB, LWB",26,600000,2028-06-30,33,3124,0,1.33,Spain,Spain,left,172,64,no
Toni Abad,Huesca,RB,29,600000,,40,3696,1,0.79,Spain,Spain,right,174,65,no
Álex Carbonell,Penafiel,"RCMF, DMF",28,600000,2027-06-30,37,2881,0,2.58,Spain,Spain,right,182,76,no
Alberto Reina,Real Oviedo,"LCMF, DMF, LDMF",28,600000,2027-06-30,35,3125,1,1.01,Spain,Spain,right,179,72,no
Pablo García,Sporting Gijón,"LB, LW",26,600000,2028-06-30,34,1876,6,1.78,Spain,Spain,left,176,68,no
Lucas Pérez,Cádiz,CF,37,600000,2026-06-30,21,2052,9,6.53,Spain,Spain,left,180,78,no
Roberto Fernández,Espanyol,CF,24,600000,2031-06-30,36,2460,7,7.26,Spain,Spain,right,186,75,no
Jon Mikel,Eibar,GK,25,600000,2027-06-30,32,3068,0,0.0,Spain,Spain,right,183,78,no
Jesús Clemente,Eldense,"RW, RAMF",25,600000,2027-06-30,37,2390,3,6.03,Spain,Spain,right,183,77,no
Diego Moreno,Zamora,RB,25,600000,,23,1999,1,0.47,Spain,Spain,right,177,70,no
