Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Muñoz,Crystal Palace,Genk,RB,29,23000000,2028-06-30,36,3394,8,6.3,5,3.65,17.5,47.88,Colombia,Colombia,right,181,73,no,11.72,8.49,59.69,2.2,53.01,0.64,0.9,0.37,6.02,8.47,1.48,10,0.27,0,0.0,2.02,0.21,8,0.21,0.17,5,0.13,36,0.95,58.33,22.222,0.13,1.35,43.14,0.03,0.0,1.33,44.0,0.13,1.51,50.88,3.9,31.97,2.41,2.33,0.98,38.82,2.09,0.69,51.07,84.01,22.14,77.49,7.69,95.86,13.9,90.46,43.06,88.85,6.74,60.63,18.4,32.16,0.1,0.72,0.16,0.08,0.21,50.0,0.42,8.41,74.45,1.99,61.33,0.82,45.16,1.03,0.53,12.57,79.96,0,,0,,0,0.0,0.0,0.0,,,0.88,,,0.0,0.0,0.0,0.0,0,0.0
B. Verbruggen,Brighton,Anderlecht,GK,23,18000000,2028-06-30,17,1650,0,0.22,0,0.0,0.16,100.0,Netherlands,Netherlands,right,194,75,no,2.18,0.0,0.0,0.05,100.0,0.0,0.0,0.0,2.18,3.14,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.01,0,0.0,1,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,0.0,0.0,22.91,0.16,0.05,33.49,82.25,18.82,70.43,0.0,0.0,14.24,97.32,21.0,98.18,12.49,55.46,32.95,50.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,42.25,0.33,33.33,0.6,27.27,0.11,0.0,7.31,68.66,21,1.15,86,4.69,8,75.58,24.84,1.35,3.84,0.209,0.0,0.93,0.05,,,,0.0,0,0.0
N. Lang,Galatasaray,Club Brugge,"LAMF, CF, LWF",26,18000000,2030-06-30,33,2456,9,9.13,6,10.13,21.25,41.21,Netherlands,"Netherlands, Suriname",right,179,69,yes,3.44,3.26,56.18,1.06,24.14,0.04,0.05,0.04,1.58,2.28,0.84,8,0.29,0,0.0,6.19,0.33,6,0.22,0.33,0,0.0,54,1.98,46.3,16.667,0.22,2.38,30.77,1.87,31.37,0.44,33.33,0.33,7.51,48.78,14.51,38.89,3.88,4.1,1.76,29.24,2.05,1.5,38.66,77.16,12.83,68.86,8.57,92.31,9.86,78.81,34.12,82.6,2.38,41.54,20.33,25.82,0.37,2.24,0.18,0.04,1.83,48.0,1.03,5.02,62.77,4.87,54.89,2.31,39.68,2.6,0.7,6.71,86.34,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.7,0.0,0.0,3.08,3,100.0
A. Skov Olsen,Rangers,Club Brugge,"RWB, RAMF, RW",26,18000000,2029-06-30,23,1681,7,5.79,7,4.88,17.67,49.7,Denmark,Denmark,left,187,75,yes,4.18,3.64,51.47,0.86,25.0,0.05,0.08,0.11,2.25,3.45,0.64,4,0.21,0,0.0,7.76,0.37,7,0.37,0.31,0,0.0,56,3.0,39.29,12.5,0.37,4.39,42.68,0.27,40.0,4.12,42.86,0.86,6.69,65.6,11.4,54.46,4.12,4.23,0.75,27.52,2.52,1.55,35.39,79.43,6.21,65.52,8.3,90.97,13.22,79.35,29.45,86.36,1.87,51.43,17.62,23.96,0.26,2.14,0.16,0.0,0.59,54.55,1.39,2.73,82.35,4.39,59.76,0.64,50.0,1.82,1.82,7.01,87.79,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.7,0.27,20.0,2.94,0,0.0
Cameron Puertas,Werder Bremen,Union Saint-Gilloise,"RCMF, DMF",27,15000000,2027-06-30,34,1103,4,2.18,1,1.24,28.64,50.14,Switzerland,"Switzerland, Spain",right,178,74,yes,9.22,9.47,60.34,2.12,50.0,0.57,0.89,0.08,2.94,4.58,1.96,2,0.16,0,0.0,3.67,0.33,4,0.33,0.18,0,0.0,31,2.53,32.26,12.903,0.08,0.98,25.0,0.16,50.0,0.82,20.0,0.0,4.98,50.82,12.89,39.24,2.04,0.9,0.65,27.33,0.65,1.8,39.98,83.06,10.69,70.99,6.61,95.06,13.54,89.76,36.64,85.97,2.61,59.38,14.45,16.13,0.1,0.65,0.08,0.0,0.24,33.33,0.33,5.3,70.77,1.31,56.25,0.33,25.0,0.57,0.16,4.73,68.97,0,,0,,0,0.0,0.0,0.0,,,0.57,,,0.49,0.24,33.33,1.06,0,0.0
C. Stengs,Pisa,Antwerp,"RAMF, RDMF, AMF",27,15000000,2027-06-30,25,2098,1,3.02,4,3.49,19.95,43.23,Netherlands,"Netherlands, Suriname",left,187,68,yes,5.83,6.69,53.85,1.46,32.35,0.26,0.38,0.21,1.97,2.94,1.54,8,0.34,1,0.04,3.9,0.04,1,0.04,0.13,0,0.0,33,1.42,30.3,3.03,0.17,1.33,41.94,0.26,50.0,1.03,41.67,0.21,4.2,57.14,9.78,40.79,2.87,2.23,0.64,28.06,1.42,0.94,36.98,78.42,12.44,63.79,7.25,91.72,12.31,88.85,33.55,81.71,2.19,50.98,18.21,30.55,0.15,1.54,0.04,0.09,1.72,30.0,0.51,6.09,64.79,3.6,64.29,1.84,27.91,1.93,0.47,7.34,83.04,0,,0,,0,0.0,0.0,0.0,,,0.26,,,1.07,0.0,0.0,3.6,0,0.0
L. Foster,Burnley,Westerlo,CF,25,13000000,2028-06-30,21,1665,8,4.95,2,1.94,25.03,32.83,South Africa,South Africa,right,185,82,no,3.14,3.41,52.38,3.84,32.39,0.05,0.07,0.05,1.3,1.64,1.14,3,0.16,0,0.0,3.19,0.43,8,0.43,0.27,1,0.05,40,2.16,45.0,20.0,0.11,0.49,22.22,0.38,28.57,0.11,0.0,0.05,3.89,51.39,14.92,28.26,4.0,2.27,1.19,13.84,1.51,1.19,22.54,77.7,4.11,65.79,6.92,91.41,5.84,80.56,21.46,79.35,0.59,63.64,15.64,14.42,0.1,0.92,0.16,0.0,0.65,16.67,0.49,1.14,71.43,1.84,73.53,0.38,14.29,2.05,0.05,2.22,75.61,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.0,0.0,0.0,0.0,0,0.0
P. Onuachu,Trabzonspor,Genk,CF,31,13000000,2028-06-30,19,1263,16,11.71,0,0.73,32.71,29.63,Nigeria,Nigeria,right,201,98,no,3.28,2.71,52.63,7.2,41.58,0.07,0.1,0.0,1.78,2.38,2.21,3,0.21,0,0.0,2.71,1.14,12,0.86,0.83,6,0.43,40,2.85,52.5,40.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,2.57,44.44,17.17,20.75,4.42,0.57,0.14,13.61,2.21,2.21,18.95,84.21,1.35,57.89,6.06,88.24,7.41,90.38,17.53,85.37,1.35,73.68,17.03,20.09,0.05,0.71,0.29,0.0,0.29,25.0,0.21,1.35,73.68,0.29,50.0,0.29,0.0,0.57,0.0,1.07,46.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,4,100.0
M. Keita,Parma,Antwerp,"RDMF, LDMF",24,13000000,2029-06-30,25,1547,1,0.43,1,0.78,22.17,54.33,Belgium,"Belgium, Guinea",right,181,78,no,10.76,9.54,65.85,2.44,52.38,0.41,0.62,0.12,4.07,6.23,1.45,1,0.06,0,0.0,1.69,0.06,1,0.06,0.03,0,0.0,9,0.52,22.22,11.111,0.06,0.06,100.0,0.0,0.0,0.06,100.0,0.0,2.79,54.17,7.5,44.19,0.29,0.52,0.35,27.29,0.29,1.75,42.35,86.54,11.52,70.71,6.4,95.45,17.8,93.14,39.85,88.76,2.44,50.0,18.55,29.36,0.05,0.29,0.0,0.0,0.17,0.0,0.12,5.29,76.92,0.99,64.71,0.58,10.0,0.41,0.06,5.47,63.83,0,,0,,0,0.0,0.0,0.0,,,0.99,,,0.0,0.0,0.0,0.0,0,0.0
M. Trésor,Burnley,Genk,"LAMF, AMF, LW",26,12000000,2028-06-30,39,3516,8,7.41,22,13.41,19.12,37.08,Belgium,"Belgium, Burundi",right,172,67,no,5.25,4.61,53.89,0.95,32.43,0.1,0.14,0.0,2.66,3.74,0.95,1,0.03,1,0.03,3.69,0.2,8,0.2,0.19,0,0.0,58,1.48,36.21,13.793,0.56,1.72,40.3,1.25,38.78,0.44,47.06,0.28,4.99,38.46,11.19,32.49,2.07,2.71,1.38,23.22,1.43,0.95,31.36,76.73,9.52,70.97,6.55,87.11,9.09,78.03,28.39,80.07,1.38,51.85,16.24,27.17,0.34,2.48,0.08,0.08,1.38,38.89,0.61,3.1,73.55,3.53,60.14,1.28,36.0,1.95,0.64,6.09,74.37,0,,0,,0,0.0,0.0,0.0,,,0.05,,,1.87,0.31,25.0,5.07,1,0.0
