Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Johnston,Derby County,Cove Rangers,RB,22,1000000,2029-06-30,11,1009,0,0.3,3,2.76,15.43,51.45,England,"England, Scotland",right,185,76,no,8.12,5.89,68.18,1.87,42.86,0.09,0.14,0.36,4.01,6.16,0.71,1,0.09,0,0.0,3.84,0.0,0,0.0,0.03,0,0.0,2,0.18,0.0,0.0,0.27,5.0,48.21,0.18,50.0,4.82,48.15,0.8,2.85,50.0,4.46,36.0,1.25,1.07,0.54,22.75,0.98,0.27,35.32,68.43,18.82,63.03,4.28,91.67,8.21,73.91,23.73,78.95,6.78,47.37,21.65,30.73,0.25,1.25,0.0,0.0,0.0,0.0,1.07,6.15,60.87,3.48,56.41,0.0,0.0,0.09,2.05,10.53,72.03,0,,0,,0,0.0,0.0,0.0,,,0.71,,,0.36,0.09,0.0,0.36,0,0.0
Robbie Deas,Kilmarnock,Inverness CT,LCB,26,650000,2027-05-31,22,1876,1,0.95,0,0.16,18.44,65.3,Scotland,Scotland,left,188,78,no,11.94,7.11,70.92,7.51,64.43,0.45,0.6,0.86,6.45,8.53,1.11,4,0.19,0,0.0,0.4,0.05,1,0.05,0.05,1,0.05,8,0.4,37.5,12.5,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.25,60.0,0.91,55.56,0.76,1.71,0.15,26.1,0.25,0.35,45.1,76.98,23.28,62.99,2.92,93.1,15.77,92.33,34.87,86.27,10.23,45.32,24.21,38.36,0.01,0.1,0.05,0.05,0.1,50.0,0.05,8.26,51.83,1.21,37.5,1.06,33.33,0.55,0.05,11.69,68.1,0,,0,,0,0.0,0.0,0.0,,,2.42,,,0.0,0.0,0.0,0.0,0,0.0
Lyall Cameron,Rangers,Dundee,LCMF,23,600000,2029-05-31,26,1632,8,4.99,2,1.27,23.25,42.67,Scotland,Scotland,right,180,63,no,7.79,7.67,56.35,3.41,37.5,0.18,0.28,0.24,3.29,5.03,0.67,0,0.0,0,0.0,2.49,0.44,7,0.43,0.3,1,0.06,30,1.83,36.67,23.333,0.12,1.16,26.32,0.61,30.0,0.49,12.5,0.18,3.41,39.29,8.76,35.42,2.86,0.97,0.61,23.55,0.79,2.13,41.99,78.26,14.79,66.67,8.88,91.1,10.65,83.43,36.45,82.97,4.38,52.78,16.21,29.63,0.08,0.85,0.0,0.0,0.37,50.0,0.43,6.94,63.16,2.49,53.66,0.55,22.22,1.34,0.43,7.06,70.69,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.06,0.06,0.0,0.0,0,0.0
L. McCowan,Celtic,Dundee,"RW, LW, LAMF",28,600000,2028-05-31,30,1812,7,4.21,3,5.61,23.68,44.42,Scotland,Scotland,left,177,71,no,7.29,6.08,62.61,2.27,32.56,0.05,0.09,0.11,3.44,5.6,0.79,4,0.2,0,0.0,6.29,0.35,7,0.37,0.22,0,0.0,54,2.85,31.48,12.963,0.16,4.44,42.86,2.01,44.74,2.22,45.24,0.69,6.18,53.85,12.16,39.57,2.85,1.9,0.58,19.77,1.22,1.06,33.35,69.57,12.26,59.91,5.5,88.46,10.04,71.58,25.21,78.41,3.81,41.67,19.51,33.3,0.3,1.96,0.26,0.05,0.48,33.33,0.85,4.97,53.19,5.18,53.06,0.58,18.18,1.27,1.96,7.82,80.41,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.37,0.26,40.0,2.17,0,0.0
Toyosi Olusanya,Aberdeen,Arbroath,CF,28,500000,2026-12-31,9,428,1,1.1,0,0.2,40.79,28.87,England,"England, Nigeria",right,181,68,no,2.73,4.0,57.89,7.57,16.67,0.0,0.0,0.0,0.42,0.59,2.73,0,0.0,0,0.0,4.63,0.21,1,0.21,0.23,1,0.21,6,1.26,50.0,16.667,0.0,1.47,28.57,1.26,16.67,0.21,100.0,0.42,5.68,59.26,19.77,31.91,2.94,2.73,0.84,8.83,1.05,2.31,14.09,68.66,3.15,53.33,4.42,80.95,2.94,71.43,12.41,74.58,0.21,0.0,14.38,2.54,0.04,0.21,0.0,0.0,0.21,100.0,0.21,1.68,62.5,1.05,60.0,0.21,100.0,0.63,0.21,0.84,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
P. McMullan,Raith Rovers,Dundee,"RW, CF, RAMF",30,450000,2027-05-31,35,2541,6,4.75,5,8.47,17.79,52.85,Scotland,Scotland,right,181,70,no,5.89,3.9,64.0,1.76,24.44,0.2,0.29,0.0,3.2,4.79,0.55,0,0.0,0,0.0,7.14,0.21,6,0.23,0.19,0,0.0,46,1.79,41.3,13.043,0.2,4.72,33.06,0.86,50.0,3.82,28.57,0.98,5.66,73.79,9.75,60.4,3.12,3.04,1.64,18.96,1.48,1.37,31.29,64.46,13.03,63.77,2.77,78.87,10.46,66.04,23.17,71.72,3.63,55.91,20.32,28.96,0.33,2.5,0.12,0.04,1.4,47.22,0.94,6.24,63.13,5.81,54.36,1.25,50.0,2.15,1.52,9.13,85.9,0,,0,,0,0.0,0.0,0.0,,,0.0,,,2.65,0.12,66.67,3.08,0,0.0
Scott Tiffoney,Kilmarnock,Partick Thistle,"LAMF, LWF",27,400000,2027-05-31,25,1546,8,6.84,4,3.39,26.42,41.57,Scotland,Scotland,right,176,70,no,5.25,5.0,56.1,1.4,13.04,0.06,0.09,0.06,2.38,3.53,1.04,1,0.06,0,0.0,7.63,0.47,8,0.49,0.42,1,0.06,46,2.81,54.35,17.391,0.24,3.54,29.31,2.99,26.53,0.43,42.86,0.37,8.79,53.47,17.02,42.29,5.37,3.66,1.46,18.18,2.14,2.68,26.73,69.41,7.02,66.09,5.13,91.67,8.73,65.03,21.23,77.87,2.07,50.0,20.05,24.39,0.21,0.98,0.06,0.0,0.79,46.15,0.73,2.75,62.22,2.87,36.17,0.92,40.0,1.04,0.85,4.09,77.61,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.06,0.06,0.0,0.06,0,0.0
C. Shields,Svay Rieng,Queen's Park,"CF, AMF",29,400000,2028-05-31,14,1307,5,4.92,1,1.85,32.85,30.61,Scotland,Scotland,right,179,80,no,3.93,3.65,49.06,12.19,21.47,0.14,0.24,0.0,2.0,3.48,1.31,5,0.34,0,0.0,4.75,0.34,5,0.34,0.34,0,0.0,30,2.07,46.67,16.667,0.07,3.72,35.19,1.1,25.0,2.62,39.47,0.69,4.75,52.17,11.43,36.14,4.41,1.38,0.69,13.43,2.75,0.76,19.83,69.1,3.72,46.3,4.89,92.96,5.78,64.29,15.22,78.28,0.96,57.14,18.6,23.28,0.13,0.69,0.0,0.07,0.0,0.0,0.55,1.31,63.16,2.75,40.0,0.14,50.0,0.69,1.24,2.62,68.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
B. Maguire,,Dundee,"RCMF, DMF, RDMF",28,375000,,11,849,0,1.06,0,0.19,23.06,52.87,Scotland,Scotland,right,189,81,no,12.72,10.47,64.56,3.84,37.93,0.4,0.64,0.4,5.57,8.94,2.12,2,0.21,0,0.0,0.93,0.0,0,0.0,0.14,0,0.0,6,0.8,33.33,0.0,0.0,0.4,0.0,0.13,0.0,0.27,0.0,0.0,1.86,35.71,4.51,35.29,0.66,0.93,0.66,12.06,0.0,1.06,31.41,78.9,12.59,60.0,3.31,96.0,11.8,93.26,27.3,86.41,3.71,32.14,16.61,30.62,0.02,0.4,0.0,0.0,0.0,0.0,0.13,5.7,48.84,1.06,62.5,0.13,0.0,0.53,0.0,3.58,77.78,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.0,0.0,0.0,0.0,0,0.0
C. Harper,Carlisle United,Inverness CT,"LB, LCMF",24,375000,2027-06-30,31,2718,5,1.33,1,0.84,16.67,51.06,Scotland,Scotland,left,183,0,no,10.53,7.8,64.09,2.94,46.99,0.07,0.1,0.39,5.46,7.37,0.5,2,0.07,0,0.0,1.74,0.17,5,0.18,0.05,1,0.04,22,0.78,45.45,22.727,0.04,2.06,31.03,1.84,32.69,0.21,16.67,0.28,1.24,57.14,3.69,38.46,0.92,1.06,0.67,27.41,1.1,0.32,41.35,74.01,15.32,58.56,6.63,94.65,13.55,79.84,32.94,82.88,6.42,41.99,21.17,37.27,0.03,0.5,0.0,0.07,0.21,16.67,0.11,7.38,54.81,2.73,35.06,0.85,20.83,0.53,0.57,9.08,66.02,0,,0,,0,0.0,0.0,0.0,,,0.96,,,1.06,0.14,25.0,1.21,0,0.0
