Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Bukari,Widzew Łódź,Crvena Zvezda,"RW, RAMF",27,7000000,2030-06-30,29,2072,12,8.34,2,4.91,21.98,44.47,Ghana,"Ghana, Serbia",right,170,65,no,4.0,3.52,56.79,1.56,27.78,0.17,0.29,0.04,1.82,3.1,1.09,3,0.13,0,0.0,6.91,0.52,12,0.52,0.36,0,0.0,54,2.35,51.85,22.222,0.09,3.0,30.43,0.13,0.0,2.87,31.82,0.56,7.91,57.69,13.33,45.6,6.73,3.69,1.35,23.93,1.95,1.04,33.06,77.53,6.91,66.67,8.95,91.26,9.82,73.01,28.97,83.36,1.17,51.85,15.63,21.0,0.21,1.61,0.26,0.04,0.74,29.41,0.91,2.61,65.0,3.91,51.11,0.61,28.57,2.69,0.83,3.87,86.52,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.0,0.0,0.0,0.17,0,0.0
P. Ratkov,Lazio,Bačka Topola,CF,22,5000000,2030-06-30,36,2572,13,13.62,3,2.22,24.49,44.0,Serbia,"Serbia, Croatia",right,193,82,no,3.81,3.67,45.71,9.55,51.65,0.28,0.43,0.07,1.85,2.88,1.89,4,0.14,0,0.0,2.31,0.45,13,0.45,0.48,2,0.07,72,2.52,41.67,18.056,0.1,0.45,30.77,0.17,40.0,0.24,28.57,0.0,1.57,57.78,6.61,39.68,3.81,0.38,0.17,13.09,3.11,2.06,16.66,73.95,3.6,54.37,4.41,91.27,4.97,76.76,15.54,76.13,0.66,52.63,16.16,11.15,0.08,0.7,0.1,0.0,0.52,40.0,0.38,2.17,46.77,0.94,40.74,0.63,38.89,0.63,0.1,1.57,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.1,0.1,33.33,0.0,0,0.0
M. Ivanić,Crvena Zvezda,Crvena Zvezda,"LCMF, AMF, LW",32,5000000,2027-06-30,29,2096,8,8.42,10,6.23,16.53,50.39,Serbia,"Serbia, Montenegro",right,183,71,no,5.71,3.99,61.29,1.55,33.33,0.09,0.16,0.04,3.18,5.87,0.73,2,0.09,0,0.0,5.84,0.34,8,0.34,0.36,1,0.04,73,3.13,39.73,10.959,0.43,2.79,26.15,2.4,25.0,0.3,28.57,0.3,5.11,59.66,9.1,50.47,5.41,3.74,1.16,38.43,1.67,0.77,48.35,80.55,14.81,74.49,8.67,87.62,14.3,83.48,43.07,85.14,2.58,61.67,16.6,32.92,0.27,1.98,0.09,0.09,1.59,51.35,0.94,6.74,77.71,5.15,57.5,1.63,47.37,3.26,0.73,7.64,85.96,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.0,0.0,0.0,0.13,0,0.0
Ricardo Gomes,Al Khor,Partizan,CF,34,4300000,2027-06-30,35,3078,19,17.97,2,1.48,23.57,32.13,Cape Verde Islands,"Cape Verde Islands, Portugal",right,187,82,no,1.78,1.49,52.94,6.11,28.71,0.0,0.0,0.03,0.99,1.46,0.99,3,0.09,1,0.03,3.68,0.56,16,0.47,0.53,4,0.12,98,2.87,47.96,19.388,0.06,0.64,31.82,0.26,22.22,0.38,38.46,0.06,3.74,53.91,11.55,32.41,4.8,0.64,0.23,10.2,1.96,1.49,13.86,73.21,2.98,55.88,3.3,84.96,3.39,75.0,13.1,75.45,0.15,40.0,13.16,6.07,0.04,0.88,0.03,0.03,0.29,30.0,0.2,0.94,59.38,0.76,53.85,0.2,28.57,0.85,0.15,1.05,61.11,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3,100.0
S. Baždar,Real Zaragoza,Partizan,AMF,22,4000000,2029-06-30,27,968,4,3.87,1,1.2,24.17,48.08,Serbia,Serbia,right,186,75,no,6.51,6.69,51.39,2.32,48.0,0.93,1.69,0.0,2.14,3.9,1.67,5,0.46,0,0.0,3.9,0.37,4,0.37,0.36,0,0.0,35,3.25,31.43,11.429,0.09,1.21,38.46,0.74,50.0,0.46,20.0,0.0,4.83,46.15,11.06,45.38,3.9,1.39,0.65,27.24,1.86,1.86,36.45,75.77,10.04,69.44,7.07,88.16,10.41,81.25,33.75,77.96,1.49,56.25,15.92,12.83,0.11,0.84,0.19,0.0,0.65,28.57,0.28,4.74,68.63,2.7,65.52,0.65,42.86,1.86,0.37,4.28,84.78,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.0,0.0,0.0,0.0,0,0.0
M. Topić,Norwich City,Vojvodina,"RCMF, RDMF, DMF",25,3500000,2029-06-30,35,2754,0,0.7,0,0.79,19.03,57.56,Serbia,Serbia,right,191,85,no,11.21,7.98,62.3,2.94,54.44,0.2,0.27,0.26,6.05,8.25,1.9,2,0.07,0,0.0,1.08,0.0,0,0.0,0.02,0,0.0,25,0.82,16.0,0.0,0.0,0.72,22.73,0.2,16.67,0.52,25.0,0.13,1.14,65.71,4.54,51.08,0.46,1.96,0.88,29.42,0.23,0.72,49.2,83.32,16.57,70.22,6.02,94.57,20.5,90.59,42.17,88.6,6.31,54.92,19.87,36.82,0.03,0.59,0.2,0.07,0.13,25.0,0.16,8.34,72.55,1.7,50.0,0.49,33.33,0.85,0.13,8.5,70.38,0,,0,,0,0.0,0.0,0.0,,,0.69,,,0.13,0.07,50.0,0.0,0,0.0
I. Vujačić,Rubin Kazan',Partizan,"LCB, RCB",31,3500000,2029-06-30,33,3040,2,1.94,0,0.05,13.35,63.64,Montenegro,"Montenegro, Serbia",right,189,77,no,7.13,3.91,67.42,4.62,63.46,0.12,0.17,0.27,4.38,6.27,1.1,6,0.18,0,0.0,0.44,0.06,2,0.06,0.06,1,0.03,21,0.62,19.05,9.524,0.0,0.09,0.0,0.06,0.0,0.03,0.0,0.0,0.38,76.92,2.1,60.56,0.74,0.65,0.06,36.44,0.71,1.48,54.27,85.76,24.63,77.16,2.69,94.51,22.62,94.76,45.77,91.59,8.41,54.93,21.99,37.34,0.0,0.03,0.0,0.06,0.12,25.0,0.06,6.78,63.76,0.59,25.0,0.3,30.0,0.12,0.0,11.4,69.61,0,,0,,0,0.0,0.0,0.0,,,2.1,,,0.06,0.0,0.0,0.0,0,0.0
S. Marković,Slovan Bratislava,Partizan,RCB,26,3000000,2030-06-30,22,2014,2,2.65,0,0.1,15.91,59.55,Bosnia and Herzegovina,"Bosnia and Herzegovina, Serbia",right,186,78,no,9.12,6.97,69.87,4.51,45.54,0.22,0.35,0.22,4.02,6.31,1.43,5,0.22,0,0.0,0.58,0.09,2,0.09,0.12,1,0.04,13,0.58,53.85,15.385,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.31,85.71,1.47,54.55,1.03,0.22,0.04,25.2,0.31,0.4,42.77,85.37,17.25,71.76,2.64,96.61,19.08,96.02,36.38,91.52,6.35,50.7,22.22,41.4,0.0,0.09,0.0,0.0,0.0,0.0,0.04,5.0,60.71,0.31,0.0,0.18,0.0,0.09,0.0,8.13,68.13,0,,0,,0,0.0,0.0,0.0,,,1.97,,,0.0,0.0,0.0,0.0,0,0.0
M. Ivezić,Holstein Kiel,Voždovac,"LDMF, LCMF, RDMF",24,3000000,2027-06-30,29,2475,0,2.73,0,0.55,19.38,46.72,Serbia,Serbia,right,191,81,no,11.42,8.36,52.61,3.71,52.94,0.98,1.31,0.8,6.04,8.06,2.18,5,0.18,0,0.0,0.65,0.0,0,0.0,0.1,0,0.0,16,0.58,18.75,0.0,0.0,0.07,50.0,0.0,0.0,0.07,50.0,0.04,1.16,37.5,3.42,32.98,0.51,1.09,0.29,23.35,0.36,0.65,36.18,80.8,11.82,61.23,5.64,96.13,13.93,89.82,31.09,86.55,5.02,45.65,20.07,33.77,0.02,0.36,0.0,0.0,0.15,50.0,0.07,6.25,57.56,0.95,42.31,0.44,33.33,0.33,0.04,5.82,62.5,0,,0,,0,0.0,0.0,0.0,,,0.8,,,0.0,0.0,0.0,0.04,0,0.0
A. Ćirković,Lechia Gdańsk,Voždovac,"LW, LAMF",24,2700000,2027-12-31,5,392,0,0.21,0,0.33,21.58,52.13,Serbia,Serbia,right,180,75,no,6.66,3.9,76.47,1.38,16.67,1.15,1.52,0.0,2.53,3.33,0.23,0,0.0,0,0.0,3.44,0.0,0,0.0,0.05,0,0.0,6,1.38,0.0,0.0,0.0,1.38,16.67,1.38,16.67,0.0,0.0,0.69,5.74,52.0,13.78,50.0,0.92,2.98,2.07,16.99,3.21,3.21,25.26,69.09,7.12,48.39,3.9,88.24,8.95,79.49,21.58,74.47,2.3,50.0,18.21,31.0,0.08,0.92,0.0,0.0,1.38,16.67,0.0,2.98,53.85,2.76,50.0,1.61,28.57,1.61,0.46,4.59,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.23,0,0.0
N. Stojić,Sochi,Bačka Topola,"CB, DMF, RCB",28,2700000,2028-06-30,36,3440,1,3.38,1,0.42,15.1,62.74,Serbia,Serbia,right,190,80,no,9.05,4.71,65.0,4.89,65.78,0.39,0.6,0.84,5.6,8.62,0.97,7,0.18,0,0.0,0.81,0.03,1,0.03,0.09,1,0.03,28,0.73,28.57,3.571,0.03,0.16,33.33,0.0,0.0,0.16,33.33,0.05,0.6,69.57,2.59,60.61,0.71,1.88,0.76,32.49,0.18,1.52,49.19,84.89,18.78,70.47,3.85,93.88,22.06,94.78,39.85,91.53,9.21,57.1,21.72,37.04,0.01,0.1,0.0,0.0,0.18,71.43,0.05,6.96,60.15,1.54,30.51,1.23,27.66,0.44,0.05,9.26,72.88,0,,0,,0,0.0,0.0,0.0,,,1.65,,,0.0,0.0,0.0,0.0,0,0.0
