Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
M. Borja,Al Wasl,CF,33,4500000,,17,1485,10,10.84,Colombia,Colombia,right,184,89,no
N. Deossa,Real Betis,"LCMF, LAMF, AMF",26,4000000,2030-06-30,17,572,2,0.8,Colombia,Colombia,left,178,74,no
E. Cetré,Estudiantes,"RAMF, CF, LAMF",28,3500000,2028-12-31,43,2348,2,4.35,Colombia,Colombia,right,171,79,no
J. Cabal,Juventus,"LCB, LB",25,3500000,2029-06-30,23,2129,1,0.89,Colombia,Colombia,left,186,80,no
J. Portilla,Athletico Paranaense,"RCMF, RDMF, DMF",27,2500000,2028-12-31,38,3448,0,1.52,Colombia,Colombia,right,183,75,no
J. Mosquera,Portland Timbers,"RB, RAMF",23,2500000,2027-12-31,21,1675,3,1.29,Colombia,Colombia,right,180,70,no
A. Llinás,Millonarios,RCB,28,2200000,2029-06-30,44,4141,0,2.43,Colombia,"Colombia, Spain",right,188,73,no
Á. Montero,Boca Juniors,GK,31,2200000,2030-06-30,49,4711,0,0.0,Colombia,Colombia,right,196,85,no
D. Ruiz,CSKA Moskva,"LAMF, LW",24,2000000,2027-06-30,48,3982,7,7.41,Colombia,Colombia,left,171,69,yes
Gabriel Fuentes,Fortaleza,LB,29,1800000,2028-08-31,28,2149,1,0.97,Colombia,Colombia,left,180,74,yes
K. Velasco,Puebla,"LB, LW, LAMF",29,1800000,,30,2466,7,7.37,Colombia,Colombia,left,172,65,no
B. Vera,CF Montréal,"LB, LCB",27,1500000,2028-06-30,28,2149,0,0.46,Colombia,Colombia,left,180,74,no
M. Carreazo,,"RW, CF, AMF",26,1500000,,16,1232,3,3.06,Colombia,"Colombia, Venezuela",right,179,62,no
L. Castro,Millonarios,CF,34,1200000,2028-12-31,42,3924,24,15.08,Colombia,Colombia,right,180,80,no
J. Hernández,Tolima,LB,27,1200000,2027-12-30,37,3587,3,2.57,Colombia,Colombia,left,172,69,no
J. González,Orenburg,"RW, LAMF, AMF",24,1200000,2027-06-30,9,651,2,1.99,Colombia,Colombia,right,172,67,yes
