Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
O. Óskarsson,Real Sociedad,CF,21,5000000,2030-06-30,12,781,4,4.99,Iceland,Iceland,right,186,78,no
M. Rajović,Legia Warszawa,CF,27,2500000,2029-06-30,15,1382,9,9.99,Denmark,"Denmark, Montenegro",right,189,82,no
O. Provstgaard,Lazio,LCB,23,2000000,2029-06-30,30,2857,2,1.95,Denmark,Denmark,left,194,73,no
J. Fischer,Metz,GK,24,1700000,2029-06-30,1,100,0,0.0,Denmark,Denmark,left,197,88,no
G. Onugkha,Kayserispor,CF,30,1700000,2027-06-30,14,906,6,6.06,Russia,"Russia, Nigeria",right,193,92,no
A. Mucolli,IFK Göteborg,"LWF, LAMF, RWF",26,1500000,2026-12-31,28,1919,7,6.59,Denmark,"Denmark, Albania",left,175,70,no
L. Deedson,Dallas,CF,25,1200000,2028-12-31,26,2082,10,6.83,Haiti,"Haiti, United States",left,178,70,no
N. Trott,Cardiff City,GK,27,1000000,2029-06-30,19,1760,0,0.0,England,"England, Bermuda",left,188,75,no
A. Nibe,Sarpsborg 08,"RDMF, LB, RCMF",23,900000,2028-12-31,15,736,0,0.42,Denmark,Denmark,left,187,78,no
F. Đukić,Viborg,GK,26,900000,2028-06-30,32,3057,0,0.0,Montenegro,"Montenegro, Denmark",right,181,72,no
Alexander Jensen,Elfsborg,"RB, LB",24,900000,2030-06-30,16,1397,1,1.55,Denmark,Denmark,right,180,78,no
A. Pyndt,Sirius,"DMF, LDMF",25,900000,2028-12-31,31,2893,4,1.68,Denmark,Denmark,right,175,68,no
T. Adamsen,Rapid Wien,CF,31,900000,2028-06-30,1,92,0,0.09,Denmark,Denmark,left,180,74,no
S. Ezatolahi,Shabab Al Ahli Dubai,"RCMF, LCMF, AMF",29,900000,2028-06-30,20,1509,2,1.88,Iran,Iran,right,190,78,no
C. McCowatt,Silkeborg,"RDMF, LW",27,850000,2027-12-31,30,2098,9,4.37,New Zealand,New Zealand,right,179,73,no
E. Frederiksen,Istra 1961,"RWF, RAMF, RW",25,800000,2028-06-30,29,2544,16,10.12,Denmark,Denmark,left,175,71,no
P. Christiansen,Viking,"CF, LWF, LAMF",26,800000,2027-12-31,30,2199,9,10.07,Denmark,Denmark,right,175,72,no
M. Elvius,Hvidovre,"RWB, RB",24,750000,2028-06-30,30,2156,1,1.71,Denmark,Denmark,right,185,78,no
