Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Ibayi,Thun,Rouen,CF,30,700000,2027-06-30,15,1259,8,7.68,1,0.63,12.51,31.43,France,"France, Congo",right,187,82,no,2.14,2.0,53.57,3.72,34.62,0.14,0.19,0.07,0.93,1.26,1.22,2,0.14,0,0.0,1.5,0.57,8,0.57,0.55,2,0.14,37,2.64,43.24,21.622,0.07,0.57,12.5,0.14,0.0,0.43,16.67,0.07,0.43,66.67,4.43,22.58,4.15,0.36,0.14,12.08,2.07,0.71,16.01,78.13,2.64,62.16,5.29,87.84,4.22,76.27,14.58,80.88,0.86,75.0,13.78,22.97,0.04,0.36,0.0,0.0,0.07,0.0,0.29,1.36,73.68,0.36,0.0,0.14,50.0,0.43,0.07,1.14,56.25,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.36,0.36,20.0,0.0,0,0.0
S. Bouzamoucha,Farul Constanţa,Rouen,RCB,26,600000,2028-06-30,26,2295,2,1.54,1,0.39,15.06,67.19,France,"France, Tunisia",right,184,73,no,10.59,6.67,78.24,3.1,56.96,0.12,0.16,0.63,5.25,7.09,0.9,7,0.27,0,0.0,0.47,0.08,2,0.08,0.06,1,0.04,8,0.31,25.0,25.0,0.04,0.16,50.0,0.04,100.0,0.12,33.33,0.04,0.43,72.73,2.63,56.72,0.71,1.41,0.16,41.73,0.86,1.45,56.39,89.57,22.9,80.99,2.59,96.97,24.67,96.18,49.76,94.25,6.55,54.49,19.98,37.56,0.02,0.16,0.0,0.04,0.0,0.0,0.04,5.22,69.92,0.59,46.67,0.27,14.29,0.12,0.08,7.57,64.77,0,,0,,0,0.0,0.0,0.0,,,1.61,,,0.0,0.0,0.0,0.0,0,0.0
M. Bastian,Francs Borains,Sochaux,"LB, LWB",25,600000,2027-06-30,6,309,0,0.0,0,0.02,16.44,77.5,France,France,left,184,65,no,13.15,9.45,78.26,1.23,33.33,0.0,0.0,0.0,5.75,11.35,1.23,0,0.0,0,0.0,1.64,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.23,33.33,1.23,33.33,0.0,0.0,0.41,1.23,100.0,4.52,90.91,0.82,1.23,0.82,29.18,0.41,3.29,39.86,79.38,14.38,68.57,5.34,92.31,13.56,87.88,35.75,83.91,2.88,42.86,17.48,23.06,0.01,0.41,0.0,0.0,0.0,0.0,0.0,6.16,73.33,1.64,50.0,0.41,0.0,0.41,0.41,6.58,81.25,0,,0,,0,0.0,0.0,0.0,,,1.23,,,0.0,0.0,0.0,0.0,0,0.0
Amine Hemia,Guingamp,Martigues,"AMF, LCMF",28,600000,2027-06-30,24,2138,7,7.67,1,2.17,19.78,49.56,France,"France, Algeria",right,178,70,no,5.84,5.23,59.66,2.37,38.89,0.44,0.58,0.09,2.29,3.04,0.79,0,0.0,0,0.0,3.43,0.29,6,0.26,0.34,0,0.0,56,2.46,46.43,12.5,0.04,1.27,44.83,0.44,60.0,0.7,25.0,0.22,2.55,60.34,9.67,50.45,1.98,1.45,0.57,25.27,1.19,3.3,34.89,82.24,8.92,65.52,6.59,98.0,14.5,86.06,30.1,87.3,3.6,53.66,19.07,33.83,0.1,0.62,0.09,0.0,0.4,44.44,0.26,5.98,72.79,1.71,56.41,0.75,29.41,0.66,0.4,4.75,75.93,0,,0,,0,0.0,0.0,0.0,,,0.31,,,0.83,0.18,100.0,0.66,2,50.0
L. Morante,Cannes,Martigues,LCB,29,600000,2027-06-30,26,2498,1,2.06,1,0.11,13.49,62.33,France,"France, Spain",right,194,87,no,8.15,3.96,70.75,5.64,63.58,0.11,0.15,0.34,5.23,6.87,0.6,2,0.07,0,0.0,0.6,0.04,1,0.04,0.08,1,0.04,13,0.49,53.85,7.692,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,61.54,1.83,38.78,0.82,0.34,0.04,30.83,0.41,0.78,47.32,87.2,19.32,75.24,2.09,92.86,22.99,96.42,39.54,92.82,7.77,58.65,23.66,41.25,0.0,0.07,0.04,0.0,0.04,100.0,0.04,4.41,61.02,0.26,0.0,0.34,11.11,0.0,0.0,8.22,66.36,0,,0,,0,0.0,0.0,0.0,,,1.27,,,0.0,0.0,0.0,0.0,0,0.0
Y. Zouaoui,Le Havre,Martigues,LB,28,600000,2027-06-30,25,2246,2,1.41,3,3.38,13.82,57.1,France,"France, Algeria",left,183,72,no,7.25,5.17,68.22,1.72,51.16,0.12,0.16,0.36,3.61,4.75,0.88,6,0.24,2,0.08,2.6,0.08,2,0.08,0.06,0,0.0,15,0.6,40.0,13.333,0.12,2.36,35.59,2.0,38.0,0.36,22.22,0.32,2.48,61.29,5.37,49.25,0.32,2.0,0.8,23.88,1.88,1.28,34.54,73.78,12.9,61.8,5.93,94.59,10.74,76.49,26.37,83.59,5.89,45.58,21.13,37.72,0.14,1.2,0.0,0.04,0.16,0.0,0.4,5.05,46.83,2.93,42.47,0.84,23.81,0.44,0.72,7.93,71.21,0,,0,,0,0.0,0.0,0.0,,,0.4,,,1.32,0.12,66.67,1.96,1,0.0
R. Hachem,Red Star,Red Star,"LCMF, RCMF, LB",28,600000,2027-06-30,28,2540,1,3.19,1,2.06,19.42,48.78,France,"France, Algeria",left,172,75,no,7.09,6.02,63.82,2.73,42.03,0.52,0.76,0.16,2.73,4.04,1.35,3,0.11,0,0.0,2.26,0.04,1,0.04,0.13,0,0.0,29,1.15,24.14,3.448,0.04,1.9,27.08,1.55,28.21,0.32,12.5,0.24,2.46,56.45,7.53,43.16,1.47,2.18,0.79,26.47,0.52,2.14,38.12,81.7,12.92,76.99,5.63,94.37,13.43,84.66,32.62,87.48,3.69,58.06,19.0,36.48,0.08,0.55,0.0,0.04,0.32,25.0,0.36,6.38,77.02,2.02,43.14,0.55,21.43,0.48,0.48,5.51,78.42,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.0,0.0,0.0,0.0,0,0.0
A. Kerouedan,Grenoble,Avranches,"CF, RW, RWF",26,600000,2027-06-30,31,2868,15,13.52,7,5.9,15.16,43.89,France,France,right,177,66,no,5.24,5.4,48.26,1.41,40.0,0.19,0.24,0.13,2.45,3.18,0.94,4,0.13,0,0.0,3.17,0.47,9,0.28,0.42,2,0.06,83,2.6,33.73,18.072,0.22,1.79,38.6,0.53,35.29,1.26,40.0,0.28,2.6,55.42,6.03,46.35,3.04,1.22,0.44,16.16,2.23,1.44,22.0,75.89,5.05,59.01,6.34,93.56,6.84,74.31,17.76,81.8,2.51,58.75,18.69,31.64,0.19,1.13,0.0,0.0,0.47,33.33,0.56,2.95,56.38,1.88,50.0,1.0,28.13,0.63,0.72,3.36,73.83,0,,0,,0,0.0,0.0,0.0,,,0.25,,,1.16,0.38,16.67,1.76,6,100.0
S. Renel,Red Star,Niort,"RCMF, RDMF",24,500000,2027-06-30,30,2522,0,0.79,4,4.4,15.1,44.12,Martinique,"Martinique, France",right,178,70,no,7.25,7.36,54.27,0.63,17.65,0.07,0.1,0.07,3.18,4.29,0.93,2,0.07,0,0.0,1.18,0.0,0,0.0,0.03,0,0.0,20,0.74,30.0,0.0,0.15,0.93,52.0,0.44,75.0,0.48,30.77,0.19,1.07,31.03,5.03,34.56,0.15,0.59,0.3,32.6,0.3,0.85,47.04,83.95,15.62,72.04,6.96,93.09,19.13,90.72,40.34,88.72,5.81,56.05,20.58,38.43,0.16,1.44,0.11,0.04,0.3,50.0,0.3,8.44,66.23,2.18,44.07,0.78,33.33,0.52,0.44,8.03,82.49,0,,0,,0,0.0,0.0,0.0,,,0.52,,,1.44,0.19,60.0,3.7,0,0.0
S. Benchamma,Rodez ,Niort,"LCMF, LDMF, LCB",26,500000,2028-06-30,30,2782,4,1.28,3,1.2,14.01,55.61,France,"France, Algeria",right,187,73,no,9.36,6.49,59.79,2.88,63.95,0.27,0.36,0.33,5.22,6.99,0.9,2,0.06,0,0.0,0.87,0.13,4,0.13,0.04,0,0.0,29,0.97,34.48,13.793,0.1,0.17,60.0,0.07,50.0,0.1,66.67,0.03,0.94,35.71,2.71,40.74,0.37,1.2,0.53,30.19,0.07,0.77,45.5,83.32,16.11,72.61,3.78,91.15,21.13,90.19,37.21,87.87,8.12,62.96,22.29,37.77,0.04,0.37,0.03,0.03,0.27,37.5,0.13,10.46,69.97,0.87,50.0,0.67,30.0,0.43,0.1,8.56,82.03,0,,0,,0,0.0,0.0,0.0,,,0.74,,,0.03,0.03,0.0,0.0,0,0.0
