Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Godart,Mondorf-les-Bains,Haguenau,RB,24,200000,2027-06-30,1,97,0,0.0,0,0.0,13.92,40.0,France,France,right,173,78,no,5.57,3.71,25.0,3.71,25.0,0.0,0.0,0.0,4.64,5.56,0.0,0,0.0,0,0.0,0.93,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,50.0,3.71,50.0,0.0,0.0,0.93,10.21,0.0,0.93,13.92,60.0,9.28,40.0,1.86,100.0,2.78,100.0,9.28,70.0,4.64,40.0,19.54,27.18,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,100.0,0.93,100.0,0.0,0.0,0.0,0.0,6.49,28.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
S. Laiton,,Auxerre II,GK,26,150000,,2,191,0,0.0,0,0.0,0.47,0.0,Réunion,"Réunion, France",right,191,87,no,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.18,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31,0.0,0.0,18.85,87.5,12.72,85.19,0.0,0.0,5.18,100.0,12.25,96.15,6.6,71.43,34.33,51.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,78.57,3,1.41,6,2.83,1,50.0,3.06,1.44,0.06,0.028,0.0,0.47,0.0,,,,0.0,0,0.0
K. Danois,Auxerre,Auxerre II,"RCMF, LDMF, RDMF",21,100000,2029-06-30,2,191,0,0.0,0,0.03,13.66,58.62,Guadeloupe,"Guadeloupe, France",right,183,72,no,6.6,5.18,72.73,1.41,66.67,0.0,0.0,0.0,2.83,3.53,0.94,1,0.47,0,0.0,1.41,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.41,66.67,0.47,100.0,0.94,50.0,0.47,0.47,100.0,3.77,37.5,0.47,0.94,0.0,37.7,0.47,0.0,52.3,87.39,13.19,67.86,10.84,100.0,22.15,91.49,46.65,91.92,4.24,44.44,18.4,35.08,0.01,0.94,0.0,0.0,0.0,0.0,0.0,11.31,70.83,1.88,75.0,0.0,0.0,0.47,0.47,9.42,90.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.47,0.0,0.0,0.0,0,0.0
K. Silvestre,Granville,Auxerre II,"RW, AMF",23,75000,2026-06-30,2,142,0,0.24,0,0.0,23.45,43.24,France,France,left,176,58,no,3.17,1.9,66.67,0.0,0.0,0.0,0.0,0.0,1.9,2.43,0.0,0,0.0,0,0.0,1.27,0.0,0,0.0,0.15,0,0.0,2,1.27,0.0,0.0,0.0,1.9,33.33,1.27,0.0,0.63,100.0,0.63,3.8,16.67,17.75,35.71,1.27,0.63,0.0,11.41,1.27,1.9,17.75,82.14,2.54,75.0,3.8,83.33,6.97,81.82,14.58,86.96,1.27,100.0,21.58,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,100.0,2.54,25.0,0.0,0.0,0.0,0.63,2.54,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.63,0,0.0
M. Coulibaly,Nîmes,Racing Besançon,"LCMF, DMF",28,25000,,1,101,0,0.18,0,0.0,27.62,54.84,France,France,right,187,0,no,13.37,11.58,84.62,0.89,0.0,0.0,0.0,0.0,3.56,5.71,0.89,0,0.0,0,0.0,0.89,0.0,0,0.0,0.16,0,0.0,2,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,33.33,13.37,26.67,0.89,1.78,0.0,15.15,0.0,1.78,24.06,77.78,10.69,58.33,3.56,100.0,8.02,100.0,19.6,72.73,4.46,100.0,22.06,40.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,85.71,0.0,0.0,0.0,0.0,0.0,0.0,6.24,85.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
E. Daoud,Haguenau,Haguenau,,22,0,,1,15,0,0.0,0,0.0,,,France,France,,181,73,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
J. Gyebohao,Olympique St Quentin,Olympique St Quentin,RWB,24,0,,2,120,0,0.02,0,0.0,23.25,41.94,France,France,unknown,0,0,no,5.25,6.75,33.33,3.0,75.0,1.5,2.0,0.0,1.5,2.0,1.5,0,0.0,1,0.75,3.75,0.0,0,0.0,0.02,0,0.0,1,0.75,100.0,0.0,0.0,3.0,25.0,0.0,0.0,3.0,25.0,0.0,3.0,75.0,11.25,40.0,3.0,1.5,0.0,21.0,2.25,2.25,27.75,78.38,4.5,100.0,11.25,86.67,6.75,66.67,24.75,84.85,0.75,100.0,18.65,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,100.0,0.75,0.0,0.0,0.0,0.0,0.0,2.25,33.33,0,,0,,0,0.0,0.0,0.0,,,0.75,,,0.0,0.0,0.0,0.0,0,0.0
J. Monteiro,Wasquehal,Wasquehal,GK,32,0,,2,201,0,0.0,0,0.0,1.79,50.0,France,France,right,184,75,no,4.03,0.45,100.0,0.9,50.0,0.0,0.0,0.0,3.58,4.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.45,0.45,26.42,74.58,14.33,56.25,0.0,0.0,11.19,96.0,12.09,96.3,14.33,56.25,34.12,45.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,20.0,0.45,0.0,0.0,0.0,0.0,0.0,8.06,55.56,2,0.9,15,6.72,1,86.67,4.09,1.83,2.09,0.936,0.0,3.13,0.9,,,,0.0,0,0.0
M. Colin,Haguenau,Olympique St Quentin,"CF, LCMF, LW",24,0,2028-06-30,2,144,1,0.78,0,0.0,33.75,33.33,France,France,right,176,0,no,6.25,5.63,66.67,3.13,20.0,0.0,0.0,0.63,2.5,3.08,0.63,0,0.0,0,0.0,2.5,0.63,1,0.63,0.49,0,0.0,7,4.38,28.57,14.286,0.0,0.63,0.0,0.63,0.0,0.0,0.0,0.0,5.0,25.0,19.38,29.03,3.13,0.63,1.88,11.88,1.25,2.5,17.5,67.86,3.13,40.0,5.63,66.67,5.63,77.78,14.37,78.26,2.5,25.0,15.43,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,66.67,0.63,0.0,0.63,0.0,0.0,0.0,1.25,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
I. Bouleghcha,Le Puy F.43 Auvergne,Wasquehal,RB,23,0,2028-06-30,2,201,0,0.09,0,0.0,17.46,69.23,France,"France, Morocco",right,177,68,no,10.3,8.51,78.95,1.34,33.33,0.9,1.03,0.0,2.69,3.1,0.9,1,0.45,0,0.0,2.69,0.0,0,0.0,0.04,0,0.0,1,0.45,0.0,0.0,0.0,1.34,33.33,0.0,0.0,1.34,33.33,0.0,3.13,71.43,6.27,64.29,0.9,0.9,0.0,14.78,0.9,1.34,25.52,70.18,10.3,56.52,4.03,77.78,5.37,83.33,20.15,75.56,4.03,55.56,21.3,37.15,0.0,0.0,0.0,0.0,0.45,0.0,0.0,2.24,40.0,0.9,0.0,0.45,0.0,0.0,0.45,5.82,53.85,0,,0,,0,0.0,0.0,0.0,,,1.79,,,0.0,0.0,0.0,0.0,0,0.0
