Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Woledzi,Nashville SC,Fredrikstad,"LCB, RCB",24,1700000,2028-12-31,15,1463,0,0.25,0,0.01,19.93,57.1,Ghana,Ghana,right,187,79,no,10.52,6.64,74.07,4.0,58.46,0.06,0.08,0.43,5.54,7.24,0.86,1,0.06,0,0.0,1.05,0.0,0,0.0,0.02,0,0.0,5,0.31,20.0,0.0,0.0,0.25,0.0,0.12,0.0,0.12,0.0,0.0,1.6,57.69,5.97,36.08,0.43,1.48,0.49,43.19,0.62,0.86,58.87,91.85,20.49,85.89,5.72,95.7,23.68,95.84,56.1,93.75,2.58,57.14,17.54,32.06,0.0,0.06,0.18,0.0,0.18,33.33,0.0,12.18,88.89,0.68,27.27,0.37,33.33,0.12,0.0,8.3,77.04,0,,0,,0,0.0,0.0,0.0,,,1.29,,,0.0,0.0,0.0,0.0,0,0.0
S. Langås,Derby County,Ranheim,RCB,25,1000000,2029-06-30,11,1066,0,0.88,0,0.01,10.64,60.32,Norway,Norway,right,187,83,no,8.95,3.55,69.05,3.71,68.18,0.34,0.42,1.01,6.16,7.63,0.76,2,0.17,1,0.08,0.34,0.0,0,0.0,0.07,0,0.0,5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,100.0,1.77,47.62,0.59,1.27,0.25,47.7,0.42,0.25,63.57,93.23,22.12,83.21,3.04,100.0,35.21,98.56,58.51,96.39,5.07,56.67,22.52,37.91,0.0,0.08,0.0,0.0,0.0,0.0,0.0,10.22,84.3,0.17,0.0,0.25,33.33,0.0,0.0,8.36,83.84,0,,0,,0,0.0,0.0,0.0,,,2.28,,,0.0,0.0,0.0,0.0,0,0.0
O. Sivertsen,Go Ahead Eagles,Kristiansund,"RWF, RW, RB",22,1000000,2028-06-30,25,1400,4,1.97,8,5.8,23.72,43.9,Norway,Norway,right,177,72,no,4.82,6.11,44.21,1.03,25.0,0.0,0.0,0.0,2.12,2.89,1.09,3,0.19,0,0.0,8.42,0.26,4,0.26,0.13,0,0.0,30,1.93,46.67,13.333,0.51,8.04,26.4,0.96,20.0,7.07,27.27,1.09,8.1,65.87,14.08,48.86,2.31,3.15,1.22,24.88,2.7,0.64,36.26,68.79,7.71,54.17,10.54,95.73,10.93,64.12,26.94,84.01,1.61,16.0,19.45,21.24,0.37,2.44,0.0,0.0,0.19,33.33,0.96,1.67,50.0,6.11,43.16,0.19,66.67,1.16,2.25,6.43,61.0,0,,0,,0,0.0,0.0,0.0,,,0.06,,,1.61,0.45,57.14,4.24,0,0.0
S. Kvia-Egeskog,Viking,Skeid,"LCMF, LW",23,750000,2029-12-31,20,1126,4,1.52,1,0.82,16.15,43.07,Norway,Norway,right,176,73,no,5.12,5.75,50.0,2.0,8.0,0.0,0.0,0.08,2.24,2.44,0.56,0,0.0,0,0.0,2.32,0.32,4,0.32,0.12,0,0.0,19,1.52,47.37,21.053,0.08,0.48,16.67,0.32,0.0,0.16,50.0,0.16,2.08,73.08,5.83,49.32,2.0,1.2,0.32,13.27,0.88,1.04,19.82,87.5,4.0,84.0,6.55,95.12,4.32,87.04,18.86,90.25,0.56,57.14,13.29,7.2,0.07,0.8,0.16,0.0,0.08,0.0,0.32,1.36,94.12,1.36,64.71,0.08,0.0,0.96,0.0,2.0,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.08,0.08,100.0,0.56,0,0.0
H. Skogvold,Fredrikstad,Start,CF,22,750000,2028-06-30,8,769,7,4.62,1,1.18,17.79,41.45,Norway,Norway,both,176,72,no,3.39,3.63,51.61,2.34,25.0,0.0,0.0,0.12,1.52,2.01,0.7,1,0.12,0,0.0,4.33,0.82,7,0.82,0.54,2,0.23,25,2.93,48.0,28.0,0.12,1.17,30.0,0.35,33.33,0.7,33.33,0.23,4.56,56.41,8.78,45.33,5.38,1.52,0.94,7.14,1.05,0.7,10.18,64.37,1.76,26.67,3.28,85.71,2.81,79.17,8.66,70.27,0.59,40.0,16.62,17.02,0.14,0.59,0.0,0.0,0.12,0.0,0.47,0.47,75.0,0.59,40.0,0.12,0.0,0.47,0.35,0.82,42.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
J. Magnússon,Elfsborg,Fredrikstad,DMF,28,600000,2029-12-31,28,2475,0,1.54,0,1.19,12.73,52.57,Iceland,Iceland,right,178,71,no,9.45,5.67,60.26,3.09,57.65,0.33,0.4,0.44,5.71,7.05,1.24,6,0.22,0,0.0,0.51,0.0,0,0.0,0.06,0,0.0,19,0.69,26.32,0.0,0.0,0.65,27.78,0.11,0.0,0.55,33.33,0.11,0.44,25.0,1.78,26.53,0.36,0.65,0.04,36.8,0.22,0.51,52.8,84.64,15.02,64.89,9.53,96.95,21.27,91.79,47.85,88.91,4.33,46.22,18.54,30.73,0.04,0.33,0.04,0.07,0.11,33.33,0.18,7.67,69.19,1.49,41.46,0.58,25.0,0.4,0.22,6.47,62.92,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.0,0.0,0.0,0.0,0,0.0
R. Alte,Viking,Ranheim,RCMF,26,600000,2029-12-31,30,2749,4,5.6,2,3.31,22.3,46.55,Norway,Norway,right,177,71,no,5.5,5.04,60.39,1.31,12.5,0.26,0.32,0.16,2.19,2.65,0.75,4,0.13,0,0.0,5.01,0.13,4,0.13,0.18,0,0.0,77,2.52,31.17,5.195,0.07,1.9,25.86,0.39,8.33,1.41,30.23,0.39,6.61,55.45,13.65,46.76,3.5,2.98,0.98,21.51,1.41,2.03,27.93,80.77,7.92,71.07,6.55,96.0,8.15,86.75,24.23,86.76,1.9,56.9,18.42,34.07,0.11,0.75,0.07,0.0,0.39,16.67,0.36,3.9,78.15,1.67,49.02,0.62,21.05,0.62,0.46,3.63,75.68,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.16,0.03,0.0,0.13,0,0.0
S. Tounekti,Celtic,Ranheim,LW,24,600000,2030-05-31,5,331,1,0.43,0,0.23,19.58,36.11,Norway,"Norway, Tunisia",right,182,65,no,2.99,3.81,50.0,1.9,28.57,0.0,0.0,0.0,1.09,1.33,0.82,1,0.27,0,0.0,4.08,0.27,1,0.27,0.12,0,0.0,4,1.09,50.0,25.0,0.0,2.18,25.0,1.9,28.57,0.27,0.0,0.54,5.44,55.0,11.96,38.64,2.72,3.81,1.36,17.67,3.53,1.09,23.66,75.86,4.89,61.11,8.7,96.88,7.07,76.92,20.94,80.52,0.54,100.0,16.37,17.15,0.06,0.54,0.0,0.0,0.27,0.0,0.27,0.27,100.0,2.99,36.36,0.27,0.0,0.54,0.82,2.18,62.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
O. Okeke,Brommapojkarna,KFUM,"LWF, LW",24,600000,2029-12-31,28,1893,5,7.49,8,3.79,26.39,40.36,Norway,Norway,right,170,70,no,5.66,5.8,55.74,2.66,14.29,0.05,0.06,0.14,2.38,3.02,1.47,1,0.05,0,0.0,5.37,0.24,5,0.24,0.36,0,0.0,55,2.61,30.91,9.091,0.38,1.85,35.9,1.24,42.31,0.57,25.0,0.29,6.7,57.45,15.36,42.41,4.75,2.04,0.81,12.55,1.81,3.19,16.69,74.93,2.23,65.96,4.9,85.44,4.94,74.04,14.69,79.94,0.19,75.0,14.21,2.65,0.18,1.09,0.0,0.1,0.1,50.0,0.62,0.43,66.67,1.38,37.93,0.1,50.0,0.9,0.62,1.14,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Njie,KFUM,KFUM,CB,24,550000,2026-12-31,24,2193,0,0.68,1,0.0,13.75,68.36,Norway,Norway,right,191,90,no,8.7,6.2,74.83,2.87,61.43,0.33,0.4,0.45,3.73,4.57,1.03,5,0.21,0,0.0,0.53,0.0,0,0.0,0.03,0,0.0,3,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,81.25,1.93,57.45,0.25,0.66,0.0,38.54,0.16,0.66,51.42,91.62,17.48,83.33,1.93,93.62,27.74,97.19,47.28,94.53,4.15,58.42,20.73,39.24,0.0,0.04,0.04,0.04,0.04,0.0,0.0,8.91,82.03,0.62,46.67,0.57,35.71,0.25,0.0,8.08,78.68,0,,0,,0,0.0,0.0,0.0,,,1.48,,,0.0,0.0,0.0,0.0,0,0.0
