Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Roger,Al Ittihad,Sporting Braga II,"LW, LWB, RW",20,10000000,2029-06-30,7,644,1,0.99,4,2.6,24.32,52.3,Guinea-Bissau,"Guinea-Bissau, Portugal",left,166,54,no,8.11,5.73,53.66,1.26,33.33,0.14,0.19,0.0,4.89,6.77,0.98,1,0.14,0,0.0,7.55,0.14,1,0.14,0.14,0,0.0,14,1.96,35.71,7.143,0.56,4.89,22.86,4.33,22.58,0.42,33.33,1.4,9.08,63.08,15.37,52.73,3.91,4.33,2.38,21.1,1.82,1.68,34.1,72.13,7.83,58.93,7.97,92.98,12.58,63.33,27.25,83.59,2.52,44.44,19.17,33.06,0.36,2.1,0.0,0.14,0.28,0.0,0.42,3.77,59.26,4.33,29.03,0.56,25.0,1.54,0.84,5.87,80.95,0,,0,,0,0.0,0.0,0.0,,,0.28,,,1.26,0.14,0.0,2.52,0,0.0
Gonçalo Esteves,Catanzaro,Sporting CP II,RB,22,1300000,2028-06-30,1,102,0,0.0,0,0.0,16.76,63.16,Portugal,Portugal,right,171,73,no,2.65,5.29,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0,0.0,0,0.0,3.53,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,80.0,7.06,75.0,0.0,2.65,2.65,39.71,0.0,3.53,49.41,91.07,16.76,89.47,3.53,100.0,22.06,100.0,47.65,90.74,1.76,100.0,17.24,34.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,100.0,0.88,100.0,0.0,0.0,0.0,0.0,7.06,62.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
André Lacximicant,Estoril,Sporting Braga II,"CF, LWF, AMF",25,400000,2028-06-30,18,1520,5,4.45,0,1.44,22.09,42.9,Portugal,Portugal,left,188,80,no,4.38,4.2,59.15,2.84,29.17,0.3,0.42,0.06,1.6,2.24,1.3,0,0.0,0,0.0,3.38,0.3,5,0.3,0.26,0,0.0,42,2.49,33.33,11.905,0.0,2.19,21.62,1.6,22.22,0.59,20.0,0.36,3.38,61.4,11.84,43.5,3.02,1.78,0.89,12.79,1.54,2.25,17.82,69.44,3.97,70.15,4.44,89.33,5.98,61.39,14.21,78.75,1.6,51.85,20.66,32.12,0.09,0.53,0.06,0.0,0.18,0.0,0.3,2.07,57.14,1.54,38.46,0.18,33.33,0.47,0.36,1.95,69.7,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.24,0.24,25.0,0.0,0,0.0
Gabriel Tigrão,Yongin,Canelas 2010,"CF, RWF",24,350000,,14,1352,3,3.4,1,2.44,29.62,39.1,Brazil,Brazil,left,0,0,no,3.33,3.53,56.6,4.99,32.0,0.33,0.49,0.0,1.0,1.48,1.6,3,0.2,0,0.0,4.26,0.2,3,0.2,0.23,2,0.13,24,1.6,41.67,12.5,0.07,1.53,43.48,0.4,16.67,1.13,52.94,0.27,5.79,49.43,17.37,38.31,3.33,2.46,0.67,7.19,2.06,3.33,12.05,78.45,1.66,80.0,3.73,94.64,3.99,71.67,10.12,83.55,0.6,66.67,17.6,25.67,0.16,0.93,0.0,0.0,0.2,33.33,0.6,1.26,78.95,0.87,46.15,0.07,0.0,0.53,0.53,1.07,93.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Diogo Martins,União de Leiria,Alverca,"LW, LCMF, LDMF",29,300000,2027-06-30,31,2730,2,3.16,2,3.43,18.63,44.25,Portugal,Portugal,right,174,69,no,9.07,8.87,55.39,0.69,19.05,0.33,0.46,0.07,3.82,5.33,1.58,7,0.23,0,0.0,2.93,0.07,2,0.07,0.1,0,0.0,56,1.85,33.93,3.571,0.07,1.58,31.25,0.76,30.43,0.79,33.33,0.23,3.23,45.92,7.38,35.27,1.15,1.88,0.73,32.18,1.35,0.66,43.98,81.33,13.95,70.21,8.47,92.22,15.76,85.98,36.33,86.3,6.16,64.17,19.84,38.29,0.11,0.86,0.13,0.03,0.59,55.56,0.3,7.81,68.35,2.8,43.53,1.58,39.58,0.82,0.56,8.67,78.71,0,,0,,0,0.0,0.0,0.0,,,0.79,,,0.66,0.1,33.33,0.92,0,0.0
Tamble Monteiro,Rio Ave,Felgueiras 1932,CF,25,300000,2028-06-30,14,1002,9,8.66,3,2.3,22.99,36.72,Portugal,Portugal,right,191,0,no,3.41,2.69,63.33,6.02,32.84,0.0,0.0,0.18,1.71,2.66,1.35,0,0.0,0,0.0,2.96,0.81,8,0.72,0.78,3,0.27,31,2.78,48.39,29.032,0.27,0.9,50.0,0.0,0.0,0.81,55.56,0.0,1.62,55.56,8.98,34.0,5.12,0.63,0.27,8.8,2.51,1.8,15.0,76.05,1.98,45.45,6.2,85.51,3.23,80.56,13.92,78.71,0.36,25.0,15.03,13.61,0.21,0.9,0.09,0.0,0.54,50.0,0.63,0.9,40.0,0.9,60.0,0.36,50.0,0.9,0.36,1.08,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,50.0
J. Moreno,,1º Dezembro,"CF, RAMF, RWF",23,300000,,7,291,0,0.56,0,0.14,32.78,33.96,Colombia,Colombia,left,188,80,no,4.02,4.02,53.85,4.33,28.57,0.31,0.43,0.0,1.55,2.14,3.09,1,0.31,0,0.0,3.71,0.0,0,0.0,0.17,0,0.0,6,1.86,33.33,0.0,0.0,1.55,40.0,0.31,100.0,1.24,25.0,0.0,4.95,50.0,19.18,27.42,4.33,0.62,0.31,11.44,1.55,1.86,21.03,77.94,4.33,64.29,8.04,88.46,6.49,71.43,18.56,81.67,0.93,66.67,18.39,9.05,0.04,0.31,0.0,0.0,0.31,0.0,0.31,1.55,80.0,3.09,50.0,0.31,0.0,0.62,0.93,2.78,88.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Pedro Venaque,Torreense,Alverca,LCB,26,300000,,28,2680,2,0.89,0,0.08,11.69,63.51,Brazil,Brazil,left,185,79,no,7.56,4.37,73.85,3.32,55.56,0.03,0.05,0.81,4.3,6.06,0.64,0,0.0,0,0.0,0.3,0.07,2,0.07,0.03,1,0.03,3,0.1,100.0,66.667,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.03,0.4,50.0,2.22,56.06,0.37,0.81,0.1,31.03,0.13,0.81,44.73,84.76,20.01,71.48,2.85,94.12,18.57,96.75,38.12,92.69,6.51,39.69,22.83,40.74,0.0,0.07,0.03,0.07,0.0,0.0,0.03,5.94,59.89,0.47,14.29,0.6,11.11,0.13,0.03,9.0,65.67,0,,0,,0,0.0,0.0,0.0,,,1.88,,,0.0,0.0,0.0,0.0,0,0.0
Léo Teixeira,Felgueiras 1932,Varzim,"RB, RWB, LAMF",26,300000,2028-06-30,26,1573,1,2.03,1,2.27,30.15,53.32,Portugal,Portugal,right,177,60,no,11.39,9.84,68.02,2.69,48.94,1.26,2.02,0.11,3.43,5.52,1.77,4,0.23,0,0.0,6.64,0.06,1,0.06,0.12,0,0.0,27,1.54,25.93,3.704,0.06,3.26,40.35,1.09,36.84,2.17,42.11,0.51,8.47,56.76,14.88,48.46,2.23,4.12,1.14,22.49,1.37,2.92,32.1,73.26,11.73,69.27,5.38,92.55,8.12,70.42,27.64,77.85,1.26,54.55,16.19,17.34,0.13,0.74,0.06,0.0,0.4,28.57,0.34,3.38,74.58,3.38,45.76,0.23,0.0,0.63,1.26,7.21,73.81,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.46,0.06,0.0,1.54,0,0.0
João Resende,Pontevedra,Académica,"AMF, LWF, LW",23,275000,2028-06-30,8,268,0,0.74,0,0.03,21.49,43.75,Portugal,Portugal,right,178,69,yes,4.03,3.69,63.64,2.01,16.67,0.0,0.0,0.0,1.68,3.0,0.34,0,0.0,0,0.0,3.36,0.0,0,0.0,0.25,0,0.0,8,2.69,37.5,0.0,0.0,1.01,0.0,0.67,0.0,0.34,0.0,0.0,4.37,53.85,12.43,40.54,3.36,0.67,0.67,13.77,1.01,1.34,26.53,74.68,7.05,71.43,5.04,66.67,8.06,87.5,23.84,80.28,1.68,40.0,16.5,9.56,0.01,0.67,0.0,0.0,0.67,0.0,0.0,3.36,70.0,1.01,66.67,1.01,0.0,0.67,0.0,4.03,75.0,0,,0,,0,0.0,0.0,0.0,,,0.34,,,0.0,0.0,0.0,0.0,0,0.0
