Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Nanasi,Strasbourg,Malmö FF,"AMF, RAMF, LWB",24,8000000,2029-06-30,29,2716,11,7.52,4,4.73,16.44,47.38,Sweden,"Sweden, Hungary",right,178,71,no,5.6,4.9,60.81,0.76,34.78,0.2,0.33,0.03,2.42,3.97,0.73,0,0.0,0,0.0,4.18,0.36,10,0.33,0.25,0,0.0,66,2.19,48.48,16.667,0.13,1.26,28.95,0.96,24.14,0.27,37.5,0.2,4.08,55.28,8.45,45.88,5.0,2.72,0.76,41.42,1.09,1.09,50.2,85.81,12.86,75.77,12.46,95.48,12.23,86.99,47.42,88.54,1.52,47.83,14.39,25.5,0.16,1.36,0.1,0.1,0.86,57.69,0.53,4.64,80.0,3.48,63.81,0.73,50.0,2.85,0.46,6.33,81.68,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.17,0.03,0.0,1.19,1,100.0
J. Ondrejka,Parma,Elfsborg,"RAMF, LAMF",23,4000000,2029-06-30,12,974,7,5.64,5,4.81,19.68,38.97,Sweden,Sweden,right,180,70,no,3.88,4.25,39.13,2.03,40.91,0.0,0.0,0.09,2.22,2.6,1.76,2,0.18,0,0.0,5.54,0.65,7,0.65,0.52,2,0.18,34,3.14,50.0,20.588,0.46,2.59,46.43,1.48,50.0,1.11,41.67,0.18,4.99,55.56,11.18,39.67,4.71,2.4,0.55,16.08,3.42,0.55,20.98,73.57,5.27,57.89,4.99,92.59,6.28,77.94,17.46,78.84,1.02,45.45,16.51,23.37,0.44,2.22,0.0,0.0,0.18,0.0,1.02,1.57,64.71,2.96,68.75,0.18,0.0,1.48,1.2,3.23,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.83,0.09,100.0,3.7,0,0.0
B. Traoré,New York City,Häcken,CF,23,4000000,2030-06-30,14,1311,12,10.66,3,1.61,16.34,30.67,Côte d'Ivoire,Côte d'Ivoire,right,172,68,no,2.47,3.71,33.33,1.85,25.93,0.0,0.0,0.07,1.24,1.65,1.3,0,0.0,0,0.0,2.81,0.82,8,0.55,0.73,1,0.07,37,2.54,59.46,32.432,0.21,0.76,36.36,0.41,33.33,0.34,40.0,0.07,2.95,34.88,8.17,29.41,4.46,1.1,0.96,8.38,0.82,1.24,10.92,74.21,1.99,62.07,2.95,83.72,3.02,72.73,9.95,77.93,0.21,33.33,13.35,8.0,0.11,1.03,0.21,0.0,0.14,0.0,0.41,0.55,87.5,1.1,43.75,0.21,33.33,1.44,0.27,1.37,65.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,4,100.0
K. Lund,Birmingham City,Häcken,LB,24,3500000,2030-06-30,19,1706,0,0.81,4,3.34,16.67,51.9,Denmark,"Denmark, United States",left,184,65,no,8.23,5.8,58.18,2.16,56.1,0.11,0.13,0.26,4.75,6.05,0.53,2,0.11,0,0.0,2.8,0.0,0,0.0,0.04,0,0.0,11,0.58,9.09,0.0,0.21,4.91,27.96,4.8,27.47,0.05,0.0,1.37,1.9,69.44,5.49,47.12,2.37,1.95,0.9,38.56,4.59,1.11,51.17,82.58,15.19,75.0,10.81,97.56,16.14,80.07,43.31,90.38,3.11,57.63,17.81,30.99,0.18,1.53,0.0,0.05,0.16,33.33,0.63,4.7,82.02,4.27,38.27,0.42,25.0,0.74,1.32,9.6,73.08,0,,0,,0,0.0,0.0,0.0,,,0.74,,,0.0,0.0,0.0,0.0,0,0.0
J. Erabi,Genk,Hammarby,CF,23,3000000,2029-06-30,23,1443,7,4.95,0,0.47,27.07,33.41,Sweden,"Sweden, Afghanistan",right,183,84,no,3.87,2.99,70.83,5.18,34.94,0.25,0.35,0.19,1.5,2.09,1.0,2,0.12,0,0.0,2.18,0.44,7,0.44,0.31,2,0.12,33,2.06,39.39,21.212,0.0,0.25,50.0,0.19,66.67,0.06,0.0,0.06,2.37,52.63,14.41,27.27,3.87,0.94,0.56,7.17,2.06,2.18,10.29,83.03,1.31,71.43,3.56,85.96,3.18,86.27,9.92,83.65,0.12,100.0,15.82,4.17,0.03,0.44,0.19,0.0,0.12,0.0,0.19,0.37,100.0,0.56,66.67,0.12,0.0,0.75,0.12,0.56,77.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Baidoo,Umm Salal,Elfsborg,"AMF, RDMF, CF",27,3000000,2028-06-30,28,2588,5,5.01,5,1.99,16.76,40.46,Ghana,Ghana,right,174,70,no,5.63,5.49,47.47,1.29,29.73,0.1,0.13,0.28,2.92,3.56,1.63,7,0.24,0,0.0,2.19,0.17,4,0.14,0.17,0,0.0,42,1.46,33.33,11.905,0.17,0.56,31.25,0.21,33.33,0.24,42.86,0.1,2.68,51.95,7.16,38.35,2.02,1.43,0.56,21.07,1.04,0.73,31.92,84.97,8.21,75.85,7.37,96.23,10.78,87.42,28.62,88.46,2.78,60.0,16.95,34.06,0.07,0.8,0.1,0.0,0.24,57.14,0.28,3.58,75.73,1.74,50.0,0.59,23.53,1.08,0.21,3.83,78.18,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.03,0.0,0.0,0.03,1,100.0
D. Cornelius,Olympique Marseille,Malmö FF,"LCB, CB",28,2800000,2028-06-30,25,2288,3,3.51,0,0.52,15.14,62.34,Canada,"Canada, Jamaica",left,187,86,no,8.61,5.27,64.93,4.68,60.5,0.12,0.18,0.63,5.07,7.95,1.22,4,0.16,0,0.0,0.75,0.12,3,0.12,0.14,2,0.08,24,0.94,41.67,12.5,0.0,0.2,20.0,0.16,25.0,0.04,0.0,0.08,0.59,53.33,2.75,60.0,0.98,0.31,0.0,50.07,0.51,1.49,65.65,92.87,24.51,86.36,2.75,92.86,30.45,97.8,62.39,95.27,3.07,48.72,17.53,34.8,0.02,0.12,0.04,0.0,0.04,0.0,0.12,3.58,74.73,0.39,20.0,0.12,33.33,0.12,0.04,6.41,64.42,0,,0,,0,0.0,0.0,0.0,,,0.83,,,0.16,0.16,50.0,0.0,0,0.0
A. Sigurdsson,Malmö FF,IFK Norrköping,"LAMF, LWF",27,2800000,2027-12-31,10,937,5,0.97,0,1.77,21.23,52.94,Iceland,Iceland,right,177,71,no,4.8,4.42,65.22,0.67,71.43,0.19,0.23,0.0,1.73,2.04,1.25,3,0.29,0,0.0,5.76,0.48,5,0.48,0.09,0,0.0,17,1.63,47.06,29.412,0.0,2.11,40.91,1.82,47.37,0.29,0.0,0.29,6.92,58.33,13.83,49.31,1.73,3.17,1.15,18.06,0.86,3.36,23.63,82.52,6.15,73.44,6.82,97.18,7.88,84.15,20.07,89.0,1.44,53.33,18.56,24.71,0.17,1.63,0.1,0.0,0.29,33.33,0.19,2.5,76.92,2.98,54.84,0.67,42.86,1.15,0.96,4.9,84.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,,2.69,0.58,33.33,4.32,0,0.0
O. Dovin,Coventry City,Hammarby,GK,23,2500000,2028-06-30,29,2850,0,0.0,0,0.0,0.76,83.33,England,"England, Sweden",right,187,77,no,1.36,0.0,0.0,0.57,88.89,0.0,0.0,0.0,1.36,1.77,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.03,15.19,0.09,0.16,21.57,91.22,8.62,81.32,0.0,0.0,11.53,98.08,15.41,98.98,6.13,72.16,26.73,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,66.67,36,1.14,127,4.01,9,71.65,39.32,1.24,3.32,0.105,0.0,1.42,0.57,,,,0.0,0,0.0
M. Rajović,Legia Warszawa,Kalmar,CF,26,2500000,2029-06-30,20,1842,7,6.19,1,0.24,17.0,36.49,Denmark,"Denmark, Montenegro",right,189,82,no,3.27,1.86,65.79,4.64,38.95,0.05,0.06,0.34,2.0,2.62,0.83,1,0.05,0,0.0,1.61,0.34,7,0.34,0.3,2,0.1,43,2.1,48.84,16.279,0.05,0.49,0.0,0.24,0.0,0.24,0.0,0.1,0.83,70.59,5.72,32.48,2.69,0.68,0.1,8.36,2.05,0.64,12.46,69.41,2.1,65.12,4.01,84.15,3.27,56.72,11.38,73.39,0.59,50.0,13.54,18.12,0.01,0.2,0.05,0.0,0.1,0.0,0.1,1.07,54.55,0.64,30.77,0.15,0.0,0.54,0.0,1.32,51.85,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.15,0.15,0.0,0.0,0,0.0
