Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Milleskog,Sirius,Örebro,CF,24,1200000,2028-12-31,13,1160,5,5.71,0,0.85,21.96,38.16,Sweden,Sweden,left,178,70,no,3.65,3.8,44.9,4.11,37.74,0.08,0.1,0.23,1.86,2.3,1.4,1,0.08,0,0.0,3.1,0.39,5,0.39,0.44,0,0.0,31,2.41,45.16,16.129,0.0,1.09,21.43,0.54,28.57,0.54,14.29,0.23,3.1,55.0,10.16,38.93,4.11,1.24,0.47,13.81,2.56,2.17,16.29,76.67,2.56,66.67,5.28,83.82,4.42,71.93,14.82,80.1,0.39,100.0,14.02,12.29,0.07,0.62,0.0,0.0,0.16,50.0,0.23,0.85,72.73,0.7,66.67,0.16,50.0,0.39,0.23,0.85,63.64,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
P. Vagić,Liaoning Tieren,Helsingborg,RCB,26,1000000,2026-12-31,7,611,0,0.23,0,0.0,13.4,67.03,Sweden,"Sweden, Serbia",right,188,80,no,9.43,5.89,67.5,3.24,45.45,0.15,0.18,0.59,5.3,6.55,0.74,3,0.44,1,0.15,0.88,0.0,0,0.0,0.03,0,0.0,3,0.44,0.0,0.0,0.0,0.59,75.0,0.0,0.0,0.59,75.0,0.0,0.44,100.0,2.5,88.24,0.29,0.59,0.15,28.28,0.44,1.91,43.01,91.1,18.12,85.37,3.39,100.0,16.35,95.5,38.3,92.69,4.12,78.57,19.15,35.73,0.0,0.0,0.0,0.0,0.15,0.0,0.0,5.01,82.35,0.59,75.0,0.44,33.33,0.15,0.44,8.54,79.31,0,,0,,0,0.0,0.0,0.0,,,2.65,,,0.0,0.0,0.0,0.0,0,0.0
P. Åslund,Djurgården,Västerås SK,"LWF, LWB, AMF",23,900000,2028-12-31,30,2307,4,7.22,4,3.8,22.08,49.29,Sweden,Sweden,right,183,75,no,8.78,8.82,63.27,1.13,17.24,0.0,0.0,0.12,3.2,4.11,1.48,2,0.08,0,0.0,3.71,0.16,4,0.16,0.28,3,0.12,49,1.91,42.86,8.163,0.16,1.56,35.0,1.29,33.33,0.27,42.86,0.0,4.14,55.66,9.56,40.41,3.71,2.03,0.94,20.48,1.6,1.91,28.52,77.98,6.63,62.35,7.69,91.88,9.36,80.0,24.5,82.96,2.46,55.56,16.96,24.58,0.15,1.09,0.08,0.04,0.2,20.0,0.39,1.79,65.22,1.29,42.42,0.16,0.0,0.78,0.51,4.17,57.94,0,,0,,0,0.0,0.0,0.0,,,0.43,,,0.04,0.04,0.0,0.0,0,0.0
J. Lindberg,Häcken,GAIS,"CF, LCMF, LWF",27,900000,2027-12-31,29,2481,11,14.4,6,5.68,27.42,44.84,Sweden,Sweden,right,182,71,no,5.62,6.53,55.56,2.0,23.64,0.33,0.41,0.04,1.67,2.11,1.6,4,0.15,0,0.0,5.3,0.4,8,0.29,0.52,0,0.0,94,3.41,39.36,11.702,0.22,1.45,40.0,0.94,50.0,0.4,27.27,0.18,5.44,57.33,15.71,45.96,4.28,2.43,1.05,17.19,1.05,3.01,24.85,82.48,4.82,72.18,6.89,91.58,6.89,83.68,23.07,85.38,0.36,70.0,14.76,11.68,0.21,1.41,0.04,0.07,0.44,58.33,0.62,2.0,63.64,2.36,67.69,0.36,60.0,1.56,0.58,2.47,75.0,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.76,0.11,0.0,1.67,3,100.0
S. Gefvert,Västerås SK,Västerås SK,"RWB, RB",29,700000,2026-12-31,30,2973,2,1.27,8,10.05,19.1,52.46,Sweden,Sweden,right,175,72,no,7.99,7.48,54.66,1.6,41.51,0.09,0.12,0.09,3.81,4.97,0.91,1,0.03,0,0.0,5.24,0.06,2,0.06,0.04,0,0.0,12,0.36,33.33,16.667,0.24,5.78,39.27,0.15,60.0,5.6,38.92,0.67,4.03,69.17,7.99,55.68,1.97,3.24,1.91,36.54,2.24,1.7,48.04,79.65,13.74,73.57,10.23,94.97,14.32,77.59,39.26,87.36,3.3,55.96,17.84,36.1,0.3,2.42,0.18,0.03,0.12,50.0,0.79,4.3,73.24,4.99,57.58,0.3,50.0,1.0,2.18,10.69,78.47,0,,0,,0,0.0,0.0,0.0,,,0.18,,,1.03,0.0,0.0,3.66,0,0.0
C. Widell,Excelsior,Helsingborg,RCB,23,700000,2027-06-30,12,1097,0,0.41,0,0.25,11.65,59.86,Sweden,Sweden,right,192,86,no,10.09,3.2,71.79,4.84,59.32,0.16,0.2,0.9,7.63,9.3,0.49,2,0.16,0,0.0,0.16,0.0,0,0.0,0.03,0,0.0,4,0.33,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,50.0,0.98,33.33,0.66,0.57,0.0,35.93,0.25,0.41,54.07,85.13,23.96,75.34,3.53,93.02,23.05,93.59,44.88,90.31,9.19,59.82,22.61,44.71,0.02,0.16,0.0,0.0,0.0,0.0,0.08,6.24,59.21,0.57,42.86,0.57,28.57,0.33,0.0,11.65,68.31,0,,0,,0,0.0,0.0,0.0,,,2.71,,,0.08,0.08,0.0,0.0,0,0.0
A. Wiberg,IFK Göteborg,Öster,"LAMF, LW, AMF",29,600000,2029-06-30,30,2789,14,11.26,4,3.73,16.36,42.41,Sweden,Sweden,right,182,73,no,4.52,4.26,54.55,2.87,43.82,0.0,0.0,0.13,2.19,3.21,1.0,3,0.1,0,0.0,3.03,0.45,12,0.39,0.36,2,0.06,103,3.32,40.78,13.592,0.13,1.81,26.79,1.29,32.5,0.52,12.5,0.35,2.29,47.89,6.42,36.18,3.26,1.71,0.68,23.49,2.32,1.0,32.21,76.65,7.81,59.5,8.04,90.36,11.58,79.11,27.33,82.05,3.16,56.12,19.28,34.77,0.12,0.97,0.03,0.0,0.42,23.08,0.48,3.39,56.19,3.1,41.67,0.61,15.79,1.13,0.58,4.61,66.43,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.39,0.23,85.71,0.48,3,66.667
F. Nsabiyumva,Västerås SK,Västerås SK,CB,31,500000,2026-12-31,30,2960,2,2.85,1,0.61,16.66,62.59,Burundi,Burundi,right,190,78,no,9.94,5.05,71.08,7.69,65.61,0.24,0.32,1.09,6.11,7.97,0.79,3,0.09,0,0.0,0.36,0.06,2,0.06,0.09,2,0.06,23,0.7,39.13,8.696,0.03,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.18,50.0,1.16,31.58,1.16,0.15,0.0,24.48,0.24,0.4,38.83,90.6,11.49,80.69,3.1,98.04,20.49,96.29,36.15,93.02,2.65,58.62,20.59,34.39,0.02,0.12,0.0,0.03,0.03,0.0,0.03,2.83,75.27,0.18,50.0,0.06,100.0,0.12,0.0,4.93,62.35,0,,0,,0,0.0,0.0,0.0,,,2.55,,,0.0,0.0,0.0,0.0,0,0.0
W. Milovanović,GAIS,Utsikten,"LCMF, RCMF, RW",24,500000,2027-12-31,11,988,3,0.88,0,1.05,23.59,49.42,Sweden,"Sweden, Serbia",right,181,75,no,8.74,8.56,59.57,3.83,47.62,0.55,0.81,0.27,3.1,4.59,1.91,5,0.46,0,0.0,2.91,0.27,3,0.27,0.08,0,0.0,15,1.37,40.0,20.0,0.0,1.18,53.85,0.18,50.0,0.91,50.0,0.27,2.64,65.52,8.47,41.94,2.0,1.91,0.55,21.32,0.73,1.55,35.34,78.61,11.57,63.78,8.38,92.39,8.84,79.38,31.43,82.32,2.73,46.67,15.46,26.97,0.1,1.09,0.0,0.0,0.27,0.0,0.64,4.28,68.09,2.19,41.67,0.91,20.0,1.18,0.64,6.1,64.18,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.09,0.0,0.0,0.09,0,0.0
R. Sigurgeirsson,Sønderjyske,Öster,LB,26,450000,2029-06-30,16,1442,1,1.26,4,4.5,17.85,55.24,Iceland,Iceland,left,186,86,no,9.61,6.87,59.09,2.25,77.78,0.19,0.27,0.12,5.37,7.84,0.81,4,0.25,0,0.0,5.49,0.06,1,0.06,0.08,1,0.06,22,1.37,27.27,4.545,0.25,6.68,35.51,6.37,35.29,0.31,40.0,0.94,4.31,59.42,6.8,51.38,1.62,3.37,0.69,29.83,2.62,0.56,43.38,67.77,15.42,54.66,5.62,95.56,17.16,72.0,30.96,79.84,6.18,42.42,22.85,42.17,0.28,2.18,0.0,0.12,0.31,60.0,0.56,6.43,48.54,6.68,39.25,0.94,6.67,0.69,2.06,9.99,75.0,0,,0,,0,0.0,0.0,0.0,,,0.44,,,0.94,0.19,0.0,2.0,0,0.0
