Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Alexander Aravena,Portland Timbers,Universidad Católica,"LW, CF, LCMF",23,5000000,2028-12-31,28,2792,13,7.91,5,3.23,18.12,39.68,Chile,Chile,right,175,70,yes,3.29,2.68,60.24,2.03,26.98,0.23,0.36,0.03,1.45,2.34,0.29,3,0.1,0,0.0,3.58,0.42,13,0.42,0.25,1,0.03,62,2.0,53.23,20.968,0.16,1.22,18.42,0.68,19.05,0.52,18.75,0.23,3.8,55.08,10.99,39.59,3.19,2.39,0.87,19.92,1.48,1.32,27.69,81.72,5.35,69.28,7.87,92.62,8.96,79.86,25.53,85.23,0.97,66.67,16.42,28.11,0.1,0.74,0.03,0.03,0.42,46.15,0.45,2.22,78.26,1.42,47.73,0.39,50.0,0.93,0.32,3.35,65.38,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.16,0.06,0.0,0.16,0,0.0
L. Passerini,Belgrano,Unión La Calera,CF,32,3200000,2028-12-31,14,1245,7,7.6,1,1.49,42.72,33.16,Argentina,"Argentina, Chile",right,189,88,no,3.54,2.96,56.1,7.81,44.44,0.22,0.3,0.22,1.66,2.28,1.45,3,0.22,0,0.0,4.05,0.51,6,0.43,0.55,1,0.07,45,3.25,53.33,15.556,0.07,0.58,37.5,0.07,100.0,0.51,28.57,0.07,5.28,39.73,22.92,25.55,6.07,1.95,0.36,13.23,3.69,2.17,20.31,64.77,4.92,57.35,3.9,70.37,5.35,60.81,18.43,65.88,1.37,63.16,14.15,28.37,0.11,1.16,0.07,0.0,0.72,0.0,0.51,1.95,59.26,1.73,54.17,0.72,10.0,1.66,0.22,1.81,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
R. Echeverría,León,Everton,"RCB, CB",31,3000000,2027-12-31,18,1860,3,4.47,1,1.09,22.69,58.21,Chile,Chile,right,180,77,no,11.56,8.23,69.41,5.81,51.67,0.29,0.4,0.63,5.56,7.67,0.73,1,0.05,0,0.0,1.98,0.15,0,0.0,0.22,0,0.0,17,0.82,47.06,17.647,0.05,1.26,61.54,0.0,0.0,1.26,61.54,0.0,1.31,59.26,4.21,48.28,1.31,1.06,0.24,24.1,0.97,1.02,41.37,81.99,19.16,73.74,3.19,92.42,12.24,91.3,32.61,87.24,7.5,62.58,19.98,35.93,0.05,0.58,0.1,0.15,0.15,33.33,0.34,5.66,65.81,2.08,65.12,0.58,33.33,0.82,0.77,9.39,75.77,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.05,0.0,0.0,0.0,5,60.0
B. Cortés,Argentinos Juniors,Colo Colo,GK,31,3000000,2027-12-31,21,2059,0,0.0,0,0.0,0.66,66.67,Chile,Chile,right,186,90,yes,2.19,0.04,0.0,0.44,90.0,0.0,0.0,0.0,2.19,3.6,0.04,0,0.0,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,33.33,0.0,0.0,0.0,13.64,0.13,0.13,23.52,90.89,9.7,80.18,0.0,0.0,13.2,98.68,17.57,99.5,5.86,66.42,31.09,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,38.46,0.17,0.0,0.22,0.0,0.0,0.0,3.8,79.31,20,0.87,67,2.93,11,70.15,21.65,0.95,1.65,0.072,0.0,1.36,0.44,,,,0.0,0,0.0
C. Palacios,Boca Juniors,Colo Colo,"AMF, LAMF",26,1800000,2029-12-31,23,1766,7,6.03,2,3.83,21.35,43.44,Chile,Chile,right,180,76,no,3.72,2.7,58.49,2.5,38.78,0.15,0.24,0.05,1.99,3.13,0.66,3,0.15,1,0.05,4.89,0.36,4,0.2,0.31,0,0.0,57,2.9,31.58,12.281,0.1,1.68,24.24,0.87,23.53,0.82,25.0,0.2,6.47,48.82,13.45,43.94,2.5,3.92,1.33,26.09,2.29,1.38,36.18,76.48,13.45,68.18,5.15,90.1,10.65,81.82,31.75,82.34,2.8,40.0,17.91,29.29,0.2,1.78,0.05,0.05,1.22,33.33,0.51,6.57,64.34,3.77,58.11,1.48,34.48,1.73,0.41,6.93,89.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.71,0.2,25.0,2.29,3,100.0
M. Marín,La Serena,O'Higgins,"LW, LAMF",26,1300000,2026-12-31,16,1514,6,2.42,2,5.22,16.64,41.79,Chile,Chile,left,170,65,yes,6.9,6.18,58.65,1.72,31.03,0.42,0.6,0.06,2.85,4.1,0.71,2,0.12,0,0.0,3.03,0.36,6,0.36,0.14,0,0.0,41,2.44,39.02,14.634,0.12,2.73,36.96,2.2,35.14,0.48,37.5,0.42,1.9,40.63,6.24,30.48,0.89,1.49,1.37,28.83,1.25,0.83,37.03,71.27,13.2,59.91,5.89,90.91,11.89,71.5,29.01,77.87,5.41,51.65,19.1,38.63,0.31,2.26,0.0,0.0,1.07,27.78,0.42,7.07,58.82,4.58,42.86,1.9,37.5,1.25,0.95,7.13,79.17,0,,0,,0,0.0,0.0,0.0,,,0.24,,,1.43,0.24,75.0,3.33,0,0.0
G. Tapia,São Paulo,Universidad Católica,"RW, CF",24,1300000,2029-12-31,25,1360,4,2.8,3,2.72,24.35,42.12,Chile,Chile,right,179,78,no,6.29,5.23,60.76,3.77,50.88,0.26,0.45,0.2,2.85,4.8,0.99,3,0.2,0,0.0,3.9,0.26,4,0.26,0.19,1,0.07,26,1.72,46.15,15.385,0.2,4.04,16.39,0.13,0.0,3.9,16.95,0.33,4.5,50.0,12.04,32.97,3.84,1.85,0.26,16.54,3.44,1.65,21.11,69.91,3.64,72.73,6.02,92.31,6.29,65.26,16.41,83.47,0.79,58.33,23.36,15.12,0.18,1.19,0.07,0.0,0.26,75.0,0.93,0.79,83.33,2.38,44.44,0.2,66.67,0.79,0.73,2.38,75.0,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.13,0.0,0.0,0.07,0,0.0
L. Cabral,Independiente,Coquimbo Unido,"AMF, CF, RW",31,1200000,2027-12-31,29,2349,5,6.88,4,3.56,28.16,35.92,Argentina,"Argentina, Chile",right,170,70,no,5.4,4.14,50.93,2.64,33.33,0.54,0.64,0.11,2.76,3.28,0.73,1,0.04,0,0.0,3.37,0.19,5,0.19,0.26,0,0.0,43,1.65,30.23,11.628,0.15,0.34,44.44,0.04,100.0,0.31,37.5,0.0,4.64,52.07,17.85,32.4,1.84,1.11,0.46,21.72,0.8,2.72,30.31,82.05,10.69,68.1,4.98,93.08,9.2,91.25,27.66,84.49,2.34,57.38,17.03,28.78,0.14,1.3,0.15,0.04,0.92,33.33,0.34,5.59,77.4,2.49,56.92,1.23,28.13,1.3,0.15,4.9,84.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.11,0.0,0.0,0.84,0,0.0
R. Piñeiro,América Mineiro,Unión Española,"RW, RAMF, LAMF",27,1200000,2026-12-31,21,1841,11,3.83,2,2.35,24.39,41.08,Uruguay,Uruguay,right,177,69,no,3.37,3.23,43.94,2.98,37.7,0.0,0.0,0.0,1.96,2.76,0.64,4,0.2,0,0.0,5.57,0.54,11,0.54,0.19,0,0.0,47,2.3,42.55,23.404,0.1,1.96,32.5,0.59,58.33,1.37,21.43,0.2,7.14,54.11,15.2,41.16,2.4,4.01,1.27,24.3,1.96,0.49,31.24,82.47,7.04,73.61,5.04,93.2,12.66,85.33,27.77,86.44,1.56,75.0,18.17,24.96,0.11,1.12,0.2,0.1,0.44,22.22,0.54,3.18,89.23,2.05,59.52,0.64,38.46,0.83,0.59,4.01,82.93,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.0,0.0,0.0,0.0,0,0.0
B. Barticciotto,Talleres Córdoba,Palestino,"CF, RWF, RW",25,1200000,2027-12-31,14,1088,3,2.6,1,1.07,28.87,35.82,Chile,"Chile, Argentina",right,177,72,no,4.8,4.47,62.96,4.47,33.33,0.08,0.12,0.08,1.9,2.65,0.91,3,0.25,1,0.08,4.38,0.25,3,0.25,0.22,0,0.0,27,2.23,37.04,11.111,0.08,1.74,9.52,0.33,0.0,1.32,12.5,0.41,5.87,49.3,14.39,33.33,3.56,1.65,0.91,16.63,2.23,1.08,24.57,71.38,6.45,62.82,4.63,92.86,7.86,71.58,20.85,76.19,2.07,72.0,17.04,30.9,0.09,0.99,0.08,0.08,0.91,54.55,0.33,1.9,65.22,2.56,48.39,0.99,58.33,1.24,0.17,2.73,72.73,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
