Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Cryzan,Shandong Taishan,Shandong Taishan,"CF, LAMF, LW",29,4500000,2027-12-31,22,1814,12,9.66,4,2.05,35.18,45.28,Brazil,Brazil,right,190,83,no,6.25,5.46,66.36,4.37,45.45,0.35,0.55,0.2,2.28,3.58,1.54,3,0.15,0,0.0,7.74,0.6,11,0.55,0.48,3,0.15,90,4.47,42.22,13.333,0.2,2.08,33.33,0.74,26.67,1.29,38.46,0.25,7.99,62.11,19.4,42.46,4.66,3.18,1.14,23.22,1.74,2.43,33.39,77.71,8.09,68.71,7.24,90.41,10.82,77.98,29.82,81.53,1.59,62.5,16.22,22.34,0.1,1.19,0.1,0.05,0.6,33.33,0.5,2.98,78.33,3.32,41.79,0.84,29.41,1.49,0.74,3.87,79.49,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.2,0.2,50.0,0.0,1,100.0
N. Stanciu,Dalian Young Boy,Wuhan Three Towns,"LCMF, RCMF, AMF",33,4500000,2027-06-30,24,2279,1,2.93,11,6.25,13.82,49.71,Romania,Romania,right,170,63,no,4.82,4.11,63.46,0.43,54.55,0.12,0.18,0.08,2.09,3.21,0.28,1,0.04,0,0.0,4.42,0.04,1,0.04,0.12,0,0.0,69,2.72,23.19,1.449,0.43,1.94,46.94,0.91,34.78,1.03,57.69,0.32,4.03,55.88,7.35,45.16,1.78,1.78,0.87,31.4,0.67,1.22,42.33,80.78,16.47,72.18,4.66,94.07,14.49,85.56,33.41,86.64,7.19,61.54,20.02,36.99,0.25,2.01,0.12,0.0,1.46,43.24,0.87,8.21,68.75,4.42,55.36,2.84,40.28,1.9,1.07,9.28,82.13,0,,0,,0,0.0,0.0,0.0,,,0.43,,,1.94,0.55,28.57,2.92,0,0.0
Oscar,São Paulo,Shanghai Port,"LCMF, AMF",34,4500000,2027-12-31,30,2990,8,9.35,13,12.21,16.65,52.8,Brazil,"Brazil, Italy",right,179,66,no,5.69,4.55,55.63,1.11,54.05,0.48,0.76,0.15,2.68,4.23,0.78,1,0.03,0,0.0,5.78,0.24,3,0.09,0.28,0,0.0,66,1.99,25.76,12.121,0.39,3.94,43.51,2.26,40.0,1.63,50.0,0.36,5.15,58.48,9.57,52.83,2.29,3.73,1.11,50.63,1.63,1.23,63.48,85.25,19.02,79.11,7.01,92.27,28.72,88.99,53.37,90.3,6.29,67.94,19.75,36.33,0.37,2.59,0.12,0.12,0.93,58.06,1.2,11.5,80.89,5.81,60.62,1.84,44.26,2.47,1.84,13.58,89.58,0,,0,,0,0.0,0.0,0.0,,,0.15,,,1.54,0.27,11.11,4.58,6,83.333
M. Vargas,Al Fateh,Shanghai Port,"RWF, RW, LAMF",29,4500000,2026-06-30,22,1281,1,2.32,3,4.36,26.56,44.44,Argentina,Argentina,right,168,66,no,5.13,5.9,51.19,1.26,38.89,0.14,0.23,0.07,1.97,3.18,1.19,1,0.07,0,0.0,6.32,0.07,1,0.07,0.16,0,0.0,37,2.6,27.03,2.703,0.21,5.9,30.95,1.62,30.43,4.29,31.15,0.56,6.53,49.46,14.75,42.86,4.71,3.93,2.04,31.12,2.6,1.97,43.63,73.27,14.12,64.18,6.18,95.45,14.05,70.5,33.23,83.93,4.99,50.7,19.53,37.46,0.31,1.41,0.35,0.14,1.12,50.0,1.05,6.18,64.77,7.38,48.57,2.81,37.5,2.88,1.69,8.01,83.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.07,0.0,0.0,0.56,0,0.0
Leo,Shanghai Port,Zhejiang Professional,CF,29,3500000,2027-12-31,28,2395,19,12.71,6,3.7,16.01,36.85,Brazil,Brazil,right,180,70,no,2.63,2.86,59.21,2.29,16.39,0.04,0.07,0.0,0.9,1.59,1.32,4,0.15,0,0.0,4.02,0.71,18,0.68,0.48,3,0.11,82,3.08,59.76,23.171,0.23,1.28,32.35,0.75,30.0,0.49,38.46,0.19,2.52,56.72,7.97,39.62,4.77,0.68,0.34,12.63,1.84,1.09,17.06,73.79,5.11,61.76,3.83,94.12,4.28,77.19,15.07,78.05,0.75,60.0,16.03,17.68,0.14,1.05,0.08,0.08,0.86,39.13,0.64,1.84,63.27,2.41,56.25,0.83,36.36,1.39,0.38,2.03,83.33,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.04,0.04,100.0,0.04,1,100.0
A. Yakubu,Qingdao West Coast,Wuhan Three Towns,CF,27,3000000,2027-12-31,23,1716,15,12.16,1,0.86,14.69,39.29,Ghana,Ghana,right,187,79,no,1.63,1.52,51.72,4.14,35.44,0.0,0.0,0.1,0.84,1.47,0.47,1,0.05,0,0.0,3.15,0.79,13,0.68,0.64,5,0.26,56,2.94,53.57,26.786,0.05,1.57,16.67,0.58,18.18,0.94,16.67,0.37,2.47,53.19,6.19,38.14,5.19,0.84,0.52,11.54,2.26,1.26,14.79,76.95,1.68,56.25,4.93,88.3,4.62,75.0,13.01,84.68,0.26,40.0,16.9,8.28,0.05,0.73,0.0,0.0,0.1,0.0,0.37,1.05,65.0,1.36,38.46,0.16,0.0,0.79,0.26,0.84,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0
Rômulo,Chengdu Rongcheng,Chengdu Rongcheng,"RWF, AMF",30,2500000,2027-01-31,11,947,3,1.64,6,4.04,19.39,48.53,Brazil,Brazil,left,172,74,no,4.75,5.04,62.26,1.62,11.76,0.0,0.0,0.1,1.62,2.66,0.86,1,0.1,0,0.0,3.99,0.29,3,0.29,0.16,0,0.0,22,2.09,36.36,13.636,0.57,2.66,39.29,1.62,17.65,1.05,72.73,0.29,2.38,60.0,9.22,48.45,1.81,1.14,0.67,25.28,1.05,2.47,36.68,73.58,12.26,68.22,6.27,87.88,11.78,72.58,29.75,78.27,4.37,60.87,17.39,29.9,0.38,3.14,0.1,0.0,1.9,40.0,0.76,6.18,69.23,4.66,61.22,2.19,43.48,2.38,1.05,7.6,77.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,3.14,0.48,20.0,5.13,0,0.0
Serginho,Beijing Guoan,Changchun Yatai,"CF, RW, RCMF",31,2000000,2028-12-31,17,1329,4,3.07,1,2.13,18.22,56.13,Brazil,Brazil,left,180,82,no,5.89,4.74,67.14,3.72,63.64,0.07,0.11,0.2,2.64,4.15,0.88,0,0.0,0,0.0,3.05,0.27,4,0.27,0.21,2,0.14,21,1.42,47.62,19.048,0.07,2.17,37.5,1.22,44.44,0.95,28.57,0.47,2.3,55.88,7.25,47.66,3.52,1.29,0.54,25.4,1.96,1.42,35.82,78.45,11.51,68.82,6.03,94.38,9.48,79.29,30.74,84.14,2.98,47.73,15.73,28.4,0.14,1.56,0.07,0.0,0.88,30.77,0.68,4.88,68.06,3.25,52.08,1.56,21.74,1.56,0.74,5.76,76.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.2,0,0.0
Paulinho,Al Orooba,Shanghai Port,"CF, AMF",32,2000000,2027-06-30,13,752,3,2.22,1,1.83,21.18,42.94,Brazil,Brazil,left,166,62,no,5.03,4.91,58.54,1.68,28.57,0.36,0.57,0.0,1.8,2.87,0.36,1,0.12,0,0.0,3.23,0.36,3,0.36,0.27,0,0.0,15,1.8,40.0,20.0,0.12,1.08,44.44,0.72,50.0,0.36,33.33,0.36,3.71,45.16,11.61,37.11,2.99,1.8,0.84,37.94,1.08,1.32,52.42,88.13,13.05,77.06,11.85,94.95,16.88,93.62,48.23,90.32,3.11,69.23,16.83,35.45,0.22,1.2,0.12,0.0,0.6,60.0,0.6,6.46,77.78,2.99,60.0,1.32,45.45,2.15,0.6,8.38,85.71,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.12,0.0,0.0,0.24,0,0.0
C. Bassogog,Al Akhdoud,Shanghai Shenhua,"RW, RWF, RAMF",30,1500000,2026-06-30,18,1007,2,2.98,0,2.05,18.86,44.55,Cameroon,Cameroon,left,173,72,no,2.77,3.49,61.54,2.41,25.93,0.0,0.0,0.0,0.63,0.82,1.07,0,0.0,0,0.0,4.74,0.18,1,0.09,0.27,0,0.0,19,1.7,42.11,10.526,0.0,1.97,59.09,0.0,0.0,1.97,59.09,0.36,4.29,64.58,9.83,47.27,3.04,3.13,0.98,14.75,2.86,1.79,20.02,75.45,4.47,52.0,4.02,95.56,7.24,72.84,16.8,79.79,1.25,42.86,16.86,20.25,0.18,1.25,0.18,0.09,0.27,33.33,0.8,1.79,55.0,2.59,58.62,0.54,33.33,1.61,1.07,3.4,76.32,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.63,0.18,50.0,1.34,1,100.0
