Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Strelec,Middlesbrough,Slovan Bratislava,CF,25,2800000,2030-06-30,26,1702,10,8.95,7,4.17,19.67,41.4,Slovakia,Slovakia,left,185,73,no,3.6,3.01,66.67,3.49,40.91,0.11,0.15,0.11,1.48,2.05,1.22,1,0.05,0,0.0,3.23,0.53,9,0.48,0.47,1,0.05,38,2.01,47.37,26.316,0.37,1.22,30.43,0.9,29.41,0.16,33.33,0.16,3.44,49.23,9.2,34.48,4.28,2.22,0.79,16.55,1.37,1.32,23.69,77.46,5.98,66.37,5.45,92.23,7.24,78.1,21.79,81.07,0.79,40.0,15.71,19.35,0.22,1.22,0.05,0.0,0.63,33.33,0.79,3.28,64.52,1.9,58.33,0.58,45.45,1.43,0.37,2.91,89.09,0,,0,,0,0.0,0.0,0.0,,,0.11,,,0.0,0.0,0.0,0.0,1,100.0
A. Zeljković,Viktoria Plzeň,Spartak Trnava,"DMF, RCMF, LCMF",23,2000000,2029-06-30,27,2484,4,2.53,0,0.33,20.51,51.59,Slovenia,Slovenia,right,192,75,no,9.64,8.88,64.08,2.93,44.44,0.22,0.27,0.11,3.73,4.59,2.14,7,0.25,1,0.04,1.16,0.14,4,0.14,0.09,2,0.07,28,1.01,35.71,14.286,0.0,0.36,40.0,0.18,40.0,0.14,25.0,0.07,1.09,56.67,3.91,38.89,1.09,0.36,0.04,26.63,0.07,0.69,42.03,87.41,14.42,76.38,6.09,97.62,14.78,92.65,38.01,90.28,3.66,62.38,16.86,29.23,0.01,0.25,0.0,0.0,0.07,50.0,0.07,5.94,76.22,0.8,40.91,0.29,25.0,0.25,0.11,5.62,77.42,0,,0,,0,0.0,0.0,0.0,,,0.54,,,0.0,0.0,0.0,0.0,0,0.0
Z. Kalmár,Gyirmót,DAC,"LCMF, AMF",31,1500000,,2,39,0,0.1,0,0.39,,,Hungary,Hungary,right,185,81,no,,,,,,,0.0,,,5.0,,0,,0,,,,0,,,0,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.81,23.22,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
A. Kaprálik,Holstein Kiel,Žilina,RWF,24,1500000,2029-06-30,3,186,1,0.94,0,0.02,16.45,44.12,Slovakia,Slovakia,right,175,63,no,3.39,2.9,66.67,1.94,25.0,0.48,0.55,0.0,0.97,1.09,0.48,1,0.48,0,0.0,5.32,0.48,1,0.48,0.46,0,0.0,6,2.9,66.67,16.667,0.0,2.42,20.0,0.48,0.0,1.94,25.0,1.45,3.87,75.0,8.23,52.94,4.84,2.42,0.97,12.1,2.42,0.97,15.48,62.5,3.39,42.86,3.39,71.43,4.84,50.0,13.06,70.37,0.0,0.0,14.94,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.97,50.0,1.45,33.33,0.0,0.0,0.97,0.48,1.94,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.48,0.0,0.0,0.48,0,0.0
M. Sauer,Toulouse,Žilina,LCMF,22,1300000,2028-06-30,28,2226,6,4.44,4,3.51,13.67,50.59,Slovakia,Slovakia,right,180,60,no,6.23,4.49,64.86,1.09,37.04,0.12,0.18,0.08,3.19,4.63,0.85,1,0.04,0,0.0,3.11,0.24,6,0.24,0.18,0,0.0,46,1.86,28.26,13.043,0.16,1.13,53.57,0.81,55.0,0.24,33.33,0.12,2.91,59.72,5.98,45.95,2.67,1.78,0.49,33.96,0.57,1.33,45.28,84.82,13.1,72.84,7.64,93.65,17.71,90.41,41.68,88.17,2.51,41.94,18.31,31.57,0.14,1.78,0.12,0.08,0.49,50.0,0.44,6.27,76.77,2.75,66.18,0.77,36.84,1.58,0.61,7.2,79.78,0,,0,,0,0.0,0.0,0.0,,,0.24,,,0.4,0.0,0.0,1.25,0,0.0
L. Belko,Viking,Žilina,GK,24,1300000,2029-12-31,30,2916,0,0.0,2,0.76,0.62,90.0,Slovakia,Slovakia,right,189,80,no,1.7,0.03,100.0,0.34,90.91,0.0,0.0,0.0,1.67,2.31,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.19,100.0,0.0,0.0,0.03,17.56,0.28,0.19,26.79,83.18,17.41,75.18,0.03,0.0,8.12,98.86,17.53,97.71,9.23,55.85,30.68,46.9,0.02,0.06,0.0,0.0,0.0,0.0,0.06,2.87,45.16,0.28,11.11,0.22,0.0,0.03,0.0,6.57,74.65,41,1.27,149,4.6,8,72.48,43.31,1.34,2.31,0.071,0.0,1.14,0.34,,,,0.0,0,0.0
K. Bajrič,Slovan Bratislava,Slovan Bratislava,"RCB, LCB",31,1200000,2028-06-30,25,2268,0,0.3,0,0.39,13.06,64.44,Slovenia,Slovenia,right,190,80,no,9.25,6.27,76.58,3.17,62.5,0.04,0.05,0.36,4.4,6.0,0.87,4,0.16,0,0.0,0.32,0.0,0,0.0,0.01,0,0.0,3,0.12,33.33,0.0,0.0,0.2,60.0,0.04,0.0,0.16,75.0,0.04,0.4,40.0,1.31,36.36,0.44,0.56,0.12,36.03,0.87,0.24,51.63,91.93,21.03,85.66,3.81,94.79,21.98,98.19,48.57,93.79,2.86,62.5,19.15,31.49,0.02,0.12,0.04,0.0,0.04,0.0,0.0,4.05,77.45,0.48,66.67,0.44,36.36,0.36,0.12,7.42,72.73,0,,0,,0,0.0,0.0,0.0,,,1.75,,,0.0,0.0,0.0,0.0,0,0.0
C. Blackman,Slovan Bratislava,Slovan Bratislava,"RB, RWB",28,1200000,2028-06-30,24,1706,2,1.64,0,1.28,15.98,51.82,Panama,Panama,right,174,70,no,7.17,5.17,67.35,1.74,39.39,0.21,0.3,0.21,3.48,4.97,1.0,2,0.11,0,0.0,2.53,0.11,2,0.11,0.09,0,0.0,12,0.63,41.67,16.667,0.0,2.43,28.26,0.0,0.0,2.43,28.26,0.21,3.01,52.63,6.86,46.92,2.11,2.32,0.9,31.44,2.32,1.42,42.1,84.84,11.29,74.3,11.18,96.23,11.24,86.38,37.4,90.55,2.37,48.89,17.43,28.53,0.07,0.63,0.16,0.05,0.05,0.0,0.26,3.27,69.35,1.95,48.65,0.26,0.0,0.58,0.69,5.75,72.48,0,,0,,0,0.0,0.0,0.0,,,1.16,,,0.0,0.0,0.0,0.0,0,0.0
M. Tolić,Zhejiang Professional,Slovan Bratislava,"AMF, RCMF",30,1200000,,22,1239,8,6.08,0,1.32,21.5,40.88,Croatia,Croatia,right,189,80,no,6.61,5.59,61.04,1.82,28.0,0.73,1.11,0.0,2.47,3.76,1.53,6,0.44,1,0.07,3.92,0.58,7,0.51,0.44,1,0.07,33,2.4,39.39,24.242,0.0,1.67,30.43,0.73,50.0,0.87,16.67,0.36,5.23,33.33,11.62,33.13,3.34,1.53,0.29,37.05,2.03,1.6,47.58,80.92,15.33,69.67,8.5,94.87,15.4,85.85,41.77,85.04,4.14,59.65,17.39,28.35,0.1,1.23,0.07,0.15,1.23,58.82,0.36,7.19,71.72,3.41,44.68,1.82,52.0,1.74,0.58,6.76,90.32,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.73,0.07,0.0,2.32,1,100.0
K. Savvidis,Wisła Płock,Slovan Bratislava,"RCMF, DMF, RDMF",31,1000000,2027-05-31,24,1762,0,1.33,0,0.67,15.53,62.83,Greece,Greece,right,181,73,no,9.04,7.76,67.11,2.35,65.22,0.15,0.2,0.1,3.68,4.83,1.74,1,0.05,1,0.05,0.56,0.0,0,0.0,0.07,0,0.0,6,0.31,16.67,0.0,0.0,0.46,33.33,0.2,50.0,0.26,20.0,0.05,0.61,58.33,3.32,60.0,0.87,0.36,0.0,36.01,0.36,1.28,51.08,88.9,15.07,79.32,7.56,97.3,19.77,93.02,47.71,91.76,2.91,50.88,16.07,22.91,0.03,0.51,0.05,0.05,0.05,0.0,0.26,5.87,80.0,0.72,28.57,0.26,20.0,0.36,0.15,5.93,75.0,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.0,0.0,0.0,0.26,0,0.0
