Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Jabá,,São Bernardo FC,"LWF, AMF",27,2000000,,5,433,2,1.47,1,1.56,26.81,41.09,Brazil,Brazil,right,178,72,no,2.29,3.53,29.41,3.12,46.67,0.0,0.0,0.0,1.25,1.75,2.29,2,0.42,1,0.21,5.4,0.42,2,0.42,0.31,0,0.0,12,2.49,41.67,16.667,0.21,2.7,30.77,2.08,30.0,0.62,33.33,0.62,6.44,51.61,15.38,36.49,5.2,3.12,1.04,17.04,2.49,1.45,19.75,72.63,4.99,70.83,2.7,92.31,8.52,73.17,16.21,83.33,1.04,0.0,18.23,39.43,0.32,2.29,0.42,0.0,0.42,50.0,1.25,1.87,44.44,2.08,50.0,0.83,25.0,1.45,0.62,3.12,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.21,0.21,0.0,0.0,0,0.0
Erick Farias,Ulsan Hyundai,Ypiranga Erechim,CF,29,1300000,2027-12-31,14,1340,9,5.92,5,2.06,19.75,33.67,Brazil,Brazil,right,174,79,no,3.16,2.55,65.79,4.57,16.18,0.07,0.11,0.13,1.41,2.21,0.94,1,0.07,0,0.0,2.82,0.6,6,0.4,0.4,1,0.07,26,1.75,53.85,34.615,0.34,1.41,38.1,0.47,28.57,0.94,42.86,0.13,2.69,40.0,9.74,30.34,3.22,1.41,0.67,14.84,1.81,1.34,21.43,81.19,4.16,70.97,7.32,92.66,6.04,77.78,19.14,84.56,0.94,78.57,15.79,23.85,0.14,0.74,0.07,0.0,0.4,66.67,0.47,2.55,81.58,1.28,47.37,0.34,80.0,0.74,0.47,2.82,85.71,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.0,0.0,0.0,0.13,3,100.0
Pablo Roberto,Juventude,Remo,"AMF, LCMF, LDMF",26,1000000,2028-12-31,12,799,0,0.46,1,1.17,22.3,45.45,Brazil,Brazil,right,183,79,yes,5.74,6.65,50.85,1.8,43.75,0.0,0.0,0.0,2.37,3.73,2.59,4,0.45,0,0.0,3.27,0.0,0,0.0,0.05,0,0.0,14,1.58,35.71,0.0,0.11,2.03,38.89,1.01,33.33,1.01,44.44,0.34,3.38,43.33,11.04,43.88,0.68,2.82,1.13,36.38,1.58,2.93,50.8,81.82,19.37,73.84,6.42,89.47,19.37,88.95,43.14,86.42,5.63,62.0,19.49,36.5,0.13,1.91,0.0,0.0,1.24,36.36,0.45,12.39,81.82,4.84,44.19,1.91,17.65,1.24,0.79,10.25,86.81,0,,0,,0,0.0,0.0,0.0,,,0.11,,,0.68,0.11,100.0,2.14,0,0.0
Thiaguinho,CRB,CSA,"RW, RAMF",25,700000,2027-12-31,9,298,0,0.85,0,0.13,25.67,43.53,Brazil,Brazil,left,170,64,no,5.74,7.85,53.85,1.51,0.0,0.3,0.48,0.0,1.21,1.94,1.81,0,0.0,0,0.0,3.32,0.0,0,0.0,0.26,0,0.0,10,3.02,40.0,0.0,0.0,2.72,11.11,0.3,0.0,2.42,12.5,0.3,5.13,35.29,14.5,43.75,3.02,3.62,1.81,22.35,2.42,3.93,30.2,75.0,6.04,60.0,9.36,100.0,9.66,71.88,26.58,81.82,1.21,50.0,16.1,18.24,0.04,0.91,0.0,0.0,0.3,0.0,0.0,1.21,75.0,3.02,20.0,0.3,0.0,0.3,0.3,3.62,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Gabriel Taliari,Remo,CSA,"CF, AMF",29,600000,2028-12-31,14,1303,5,3.39,1,1.59,22.1,36.25,Brazil,Brazil,right,177,66,no,3.25,3.38,55.1,4.9,21.13,0.07,0.1,0.0,1.31,1.96,1.04,2,0.14,0,0.0,2.83,0.35,5,0.35,0.23,0,0.0,34,2.35,35.29,14.706,0.07,0.76,18.18,0.21,66.67,0.55,0.0,0.0,3.25,51.06,10.57,41.83,3.04,1.24,0.41,12.09,1.45,2.83,15.68,76.65,4.14,51.67,4.77,98.55,3.45,82.0,13.75,82.91,1.17,41.18,15.32,19.64,0.11,1.38,0.0,0.0,0.62,33.33,0.62,2.21,65.63,1.24,38.89,0.9,23.08,0.62,0.14,2.14,77.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.07,0.07,0.0,0.07,0,0.0
Elias,Vila Nova,Figueirense,RB,26,550000,2026-12-31,17,1665,1,0.79,0,1.29,19.03,57.06,Brazil,Brazil,right,181,70,no,11.43,7.77,66.91,3.66,57.81,0.4,0.54,0.51,5.83,7.87,1.37,6,0.32,1,0.05,2.63,0.05,1,0.06,0.05,1,0.06,13,0.74,30.77,7.692,0.0,3.14,38.18,0.0,0.0,3.14,38.18,0.34,1.89,63.64,5.03,50.0,0.74,1.37,0.34,17.31,1.43,1.26,28.74,71.17,13.89,65.02,2.69,95.74,8.46,75.68,21.26,79.57,4.74,56.63,21.07,35.92,0.07,0.4,0.0,0.0,0.11,0.0,0.17,4.69,67.07,2.86,44.0,0.51,22.22,0.46,0.97,8.69,67.76,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.0,0.0,0.0,0.0,0,0.0
Guilherme Biteco,,EC São José,"LWB, LB",32,500000,,2,23,0,0.0,0,0.0,,,Brazil,Brazil,left,176,76,no,,,,,,,0.0,,,20.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
Sassá,Confiança,Amazonas,CF,32,500000,,23,2273,18,11.9,0,0.37,17.82,29.78,Brazil,Brazil,right,174,73,no,1.35,2.34,33.9,2.73,17.39,0.2,0.31,0.08,0.36,0.56,1.54,8,0.32,0,0.0,2.49,0.71,14,0.55,0.47,3,0.12,65,2.57,46.15,27.692,0.0,0.24,0.0,0.16,0.0,0.08,0.0,0.04,2.42,54.1,9.27,32.91,2.73,0.59,0.12,5.94,1.19,1.66,8.95,83.19,1.31,72.73,2.73,95.65,2.53,82.81,8.63,85.32,0.08,100.0,14.12,1.8,0.01,0.51,0.04,0.0,0.12,0.0,0.12,0.44,63.64,0.28,85.71,0.08,0.0,0.36,0.04,0.55,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,4,100.0
Gustavo Bochecha,Inter de Limeira,Remo,"LDMF, RCMF, RDMF",30,500000,,6,281,1,0.26,1,0.38,14.73,58.7,Brazil,Brazil,left,173,73,no,8.65,7.69,79.17,2.24,14.29,0.32,0.5,0.32,2.24,3.5,0.96,1,0.32,0,0.0,2.56,0.32,1,0.32,0.08,0,0.0,5,1.6,40.0,20.0,0.32,0.96,0.0,0.96,0.0,0.0,0.0,0.32,2.24,57.14,3.2,40.0,0.96,0.96,0.0,39.4,0.64,0.96,45.8,87.41,16.33,82.35,3.52,90.91,21.46,94.03,42.6,90.23,2.24,71.43,19.64,15.89,0.12,0.96,0.0,0.0,0.96,66.67,0.32,9.29,86.21,2.88,44.44,0.96,66.67,0.96,0.0,8.65,96.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Luis Phelipe,Sheriff,Paysandu,"LW, LCMF, LWF",25,500000,2027-12-31,5,101,0,0.19,0,0.0,33.86,55.26,Brazil,Brazil,right,178,76,no,9.8,6.24,71.43,1.78,50.0,1.78,2.4,0.0,3.56,4.8,1.78,1,0.89,0,0.0,8.02,0.0,0,0.0,0.17,0,0.0,2,1.78,50.0,0.0,0.0,0.89,100.0,0.89,100.0,0.0,0.0,0.0,11.58,53.85,23.17,53.85,0.89,4.46,1.78,14.26,1.78,5.35,19.6,86.36,2.67,33.33,6.24,85.71,6.24,100.0,18.71,85.71,0.0,0.0,13.07,0.0,0.0,0.89,0.0,0.0,0.89,0.0,0.89,1.78,50.0,0.89,100.0,0.89,0.0,0.0,0.89,2.67,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
