Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Rodríguez, NEOM,Liverpool,"RWF, CF, RW",22,8000000,2030-06-30,31,2460,9,7.11,4,2.38,27.59,37.93,Uruguay,Uruguay,right,179,76,no,4.68,4.35,63.87,2.74,33.33,0.07,0.11,0.04,1.83,2.84,1.02,2,0.07,1,0.04,4.94,0.33,9,0.33,0.26,0,0.0,94,3.44,34.04,9.574,0.15,1.54,30.95,0.04,0.0,1.46,32.5,0.11,7.72,40.76,16.98,32.76,3.55,3.11,1.17,16.5,3.48,2.34,21.84,75.38,5.12,62.14,5.16,91.49,6.84,75.4,19.32,80.3,1.13,45.16,17.0,21.02,0.09,1.17,0.04,0.04,0.26,57.14,0.51,2.34,70.31,1.72,48.94,0.37,40.0,1.06,0.37,3.07,77.38,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.62,0.59,31.25,0.0,0,0.0
Matías Arezo,Peñarol,Peñarol,CF,23,7000000,2029-12-31,33,2962,17,18.54,3,2.8,21.33,35.47,Uruguay,Uruguay,right,180,70,no,3.71,3.07,57.43,5.77,37.89,0.33,0.55,0.03,1.61,2.64,1.67,11,0.33,0,0.0,3.22,0.52,15,0.46,0.56,4,0.12,142,4.31,38.73,11.972,0.09,1.46,25.0,0.46,26.67,0.97,21.88,0.27,3.01,37.37,8.05,29.81,4.77,1.0,0.33,12.85,2.43,0.55,17.74,67.47,4.62,58.55,3.19,88.57,5.65,63.98,14.74,73.61,1.64,48.15,16.39,29.72,0.09,0.55,0.03,0.06,0.12,50.0,0.24,2.46,59.26,1.73,45.61,0.24,37.5,1.0,0.36,1.94,76.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.33,0.3,10.0,0.15,5,40.0
S. Rodríguez,Botafogo,Torque,AMF,25,4500000,2028-12-31,1,82,1,0.79,0,0.02,26.34,37.5,Uruguay,Uruguay,right,175,63,no,4.39,5.49,20.0,0.0,0.0,0.0,0.0,0.0,3.29,4.5,2.2,0,0.0,1,1.1,9.88,1.1,0,0.0,0.87,0,0.0,2,2.2,100.0,50.0,0.0,3.29,66.67,1.1,100.0,2.2,50.0,0.0,9.88,55.56,15.37,42.86,1.1,2.2,0.0,27.44,0.0,2.2,32.93,80.0,9.88,55.56,8.78,100.0,10.98,80.0,26.34,87.5,4.39,50.0,20.76,43.15,0.02,1.1,0.0,0.0,2.2,0.0,1.1,4.39,50.0,5.49,40.0,3.29,0.0,0.0,1.1,5.49,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
C. Olivera,Bahia,Boston River,"RW, RAMF, CF",23,4000000,2027-12-31,21,2001,6,5.83,3,3.71,29.01,41.24,Uruguay,Uruguay,right,172,66,yes,3.91,3.87,61.63,1.21,37.04,0.0,0.0,0.04,1.53,2.15,0.54,4,0.18,0,0.0,8.73,0.27,6,0.27,0.26,0,0.0,61,2.74,49.18,9.836,0.13,3.46,28.57,1.44,34.38,2.02,24.44,0.36,14.26,44.48,20.78,38.53,4.45,5.62,3.1,13.72,2.7,1.8,18.13,67.49,4.23,69.15,3.73,84.34,5.17,62.61,14.17,77.14,0.76,52.94,16.99,26.93,0.17,0.72,0.04,0.0,0.18,25.0,0.67,1.17,76.92,2.43,48.15,0.13,66.67,0.85,0.81,2.83,87.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.27,0,0.0
Sergio Rochet,Internacional,Nacional,GK,33,3500000,2026-12-31,17,1664,0,0.0,0,0.0,0.97,88.89,Uruguay,"Uruguay, Italy",right,190,82,no,2.16,0.11,50.0,0.65,100.0,0.0,0.0,0.0,2.11,2.99,0.0,3,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,9.09,0.27,0.22,16.66,85.71,10.06,77.42,0.0,0.0,6.49,99.17,9.3,98.26,7.36,69.85,37.34,52.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,66.67,0.16,33.33,0.05,100.0,0.05,0.0,5.73,84.91,16,0.87,58,3.14,7,72.41,15.44,0.84,-0.56,-0.03,0.0,1.73,0.65,,,,0.0,0,0.0
I. Ramírez,Newell's Old Boys,Nacional,CF,29,3500000,2027-12-31,34,2314,19,16.14,1,1.99,19.52,33.86,Uruguay,"Uruguay, Italy",right,180,78,no,2.8,2.88,52.7,4.67,35.83,0.19,0.31,0.12,1.09,1.72,1.56,5,0.19,0,0.0,2.41,0.74,14,0.54,0.63,3,0.12,69,2.68,50.72,27.536,0.04,0.39,40.0,0.16,50.0,0.23,33.33,0.0,1.98,43.14,6.53,30.36,4.01,0.43,0.12,7.43,1.79,1.17,10.58,72.06,1.67,65.12,2.26,84.48,3.77,72.16,9.84,74.31,0.35,44.44,14.24,7.4,0.08,0.47,0.04,0.0,0.04,100.0,0.27,0.74,52.63,0.78,65.0,0.12,33.33,0.78,0.16,0.54,64.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,5,100.0
N. Fonseca,Real Oviedo,Wanderers,"RDMF, DMF, LDMF",27,3000000,2028-12-31,33,3021,0,0.43,2,2.16,17.87,56.0,Italy,"Italy, Uruguay",right,181,74,yes,11.95,8.61,64.01,2.44,54.88,0.8,1.21,0.45,5.63,8.44,1.31,15,0.45,0,0.0,1.13,0.0,0,0.0,0.01,0,0.0,26,0.77,3.85,0.0,0.06,0.63,57.14,0.24,62.5,0.3,50.0,0.06,0.8,66.67,4.23,47.18,0.21,0.45,0.09,36.61,0.12,1.19,53.03,85.9,19.72,74.62,6.52,96.8,19.87,93.1,46.92,89.27,5.51,60.0,19.2,37.71,0.06,1.01,0.03,0.0,0.51,41.18,0.21,10.16,73.31,1.91,56.25,0.83,39.29,0.71,0.42,9.74,79.51,0,,0,,0,0.0,0.0,0.0,,,0.86,,,1.07,0.03,0.0,1.13,0,0.0
L. Lozano,Boca Juniors,Nacional,"RB, LB",27,2000000,2030-12-31,30,2556,1,0.68,4,2.29,16.06,56.8,Uruguay,Uruguay,right,170,60,no,11.06,7.54,64.95,2.57,61.64,0.35,0.56,0.28,5.81,9.24,1.02,9,0.32,2,0.07,2.68,0.04,1,0.04,0.02,0,0.0,9,0.32,11.11,11.111,0.14,3.52,48.0,0.11,33.33,3.42,48.45,0.32,1.23,71.43,3.42,47.42,0.92,0.92,0.21,25.6,2.99,1.02,37.68,80.19,11.76,70.96,5.99,95.29,14.68,82.01,30.46,86.59,3.87,56.36,20.06,33.6,0.08,1.06,0.07,0.0,0.11,66.67,0.53,4.05,70.43,3.42,56.7,0.39,45.45,0.63,1.69,8.8,74.0,0,,0,,0,0.0,0.0,0.0,,,0.67,,,0.04,0.0,0.0,0.0,0,0.0
A. Medina,Everton,Liverpool,"LWF, LW, RW",28,2000000,2028-12-31,38,3110,7,7.34,2,3.57,21.21,44.2,Uruguay,Uruguay,right,170,71,no,6.77,5.9,58.33,2.23,32.47,0.61,0.94,0.06,2.72,4.21,1.45,7,0.2,0,0.0,4.25,0.2,4,0.12,0.21,0,0.0,65,1.88,32.31,10.769,0.06,2.86,32.32,1.22,33.33,1.65,31.58,0.35,4.72,53.37,10.65,41.3,2.11,1.56,0.75,20.17,2.26,1.3,28.33,76.0,7.09,65.31,4.46,89.61,12.18,76.72,22.17,83.16,3.44,65.55,19.9,34.47,0.1,1.1,0.12,0.03,0.49,41.18,0.49,4.31,71.81,3.44,51.26,0.9,38.71,1.07,1.07,5.18,81.01,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.67,0.12,25.0,1.16,4,75.0
T. Verón Lupi,Nacional,Racing,"RW, RCMF, RAMF",25,1800000,2028-06-30,37,2427,7,3.77,3,7.07,20.17,44.3,Argentina,"Argentina, Italy",right,173,66,yes,5.75,6.01,48.77,1.89,41.18,0.19,0.27,0.11,2.63,3.76,0.93,3,0.11,0,0.0,4.86,0.26,7,0.26,0.14,1,0.04,41,1.52,34.15,17.073,0.11,5.71,24.68,0.44,25.0,5.27,24.65,0.82,5.34,53.47,9.94,41.79,1.59,2.41,1.33,19.88,1.74,0.96,29.67,69.63,7.31,69.04,4.75,89.84,10.94,60.34,22.55,81.58,1.67,55.56,18.72,18.53,0.26,1.89,0.07,0.0,0.41,18.18,0.56,3.34,71.11,4.6,33.87,0.44,8.33,0.37,1.45,4.75,78.13,0,,0,,0,0.0,0.0,0.0,,,0.11,,,1.59,0.04,0.0,3.37,0,0.0
E. Gómez,Puebla,Boston River,"CF, AMF, LW",24,1600000,2028-12-31,26,1902,8,7.55,2,2.65,23.33,31.64,Uruguay,Uruguay,right,176,70,no,3.17,2.7,52.63,3.69,28.21,0.0,0.0,0.0,1.75,2.49,0.62,4,0.19,0,0.0,3.93,0.38,7,0.33,0.36,1,0.05,53,2.51,39.62,15.094,0.09,1.32,14.29,0.71,20.0,0.62,7.69,0.38,5.82,45.53,13.77,30.93,3.41,2.22,0.8,15.0,2.08,1.09,22.33,73.52,5.96,62.7,5.21,84.55,5.3,74.11,20.25,78.27,0.76,50.0,14.31,17.46,0.13,1.14,0.0,0.0,0.52,18.18,0.57,2.51,69.81,1.75,27.03,0.52,18.18,0.9,0.24,2.84,60.0,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.24,0.05,0.0,0.62,1,100.0
Guzmán Rodríguez,Red Bull Bragantino,Boston River,LCB,26,1500000,2029-12-31,34,3261,1,2.09,1,0.0,16.12,55.14,Uruguay,"Uruguay, Italy",right,185,80,no,10.96,6.29,66.23,4.44,57.76,0.08,0.12,0.83,6.71,9.38,1.1,14,0.39,0,0.0,0.47,0.03,1,0.03,0.06,1,0.03,8,0.22,50.0,12.5,0.03,0.11,75.0,0.03,100.0,0.08,66.67,0.03,0.55,50.0,2.35,32.94,0.61,0.61,0.11,20.81,0.3,0.55,34.83,83.6,17.03,74.72,1.82,92.42,13.05,94.08,28.87,89.01,5.85,57.08,22.06,42.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.47,66.67,0.19,42.86,0.19,85.71,0.08,0.08,8.22,65.77,0,,0,,0,0.0,0.0,0.0,,,1.24,,,0.06,0.0,0.0,0.0,1,0.0
J. Lavega,Coritiba,River Plate,"LAMF, LW, CF",21,1500000,2029-12-31,29,1659,1,2.03,4,2.13,17.31,40.13,Uruguay,Uruguay,left,174,68,yes,4.67,4.45,60.98,2.28,28.57,0.11,0.16,0.0,1.84,2.64,0.71,2,0.11,0,0.0,3.85,0.05,1,0.05,0.11,0,0.0,25,1.36,32.0,4.0,0.22,4.5,33.73,3.74,33.33,0.76,35.71,0.43,3.85,49.3,8.03,35.14,2.33,2.06,1.08,14.7,2.33,1.03,20.99,60.47,5.1,42.55,4.34,85.0,6.78,65.6,14.38,70.94,2.39,45.45,21.34,28.69,0.12,0.6,0.05,0.05,0.16,0.0,0.27,2.17,42.5,3.09,40.35,0.27,20.0,0.27,1.57,3.8,74.29,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.0,0.0,0.0,0.11,0,0.0
