Country codes used in the league folder names.
Format:  CODE: English (Portuguese as in the PDF)

GER: Germany (Alemanha)
ARG: Argentina (Argentina)
BRA: Brazil (Brasil)
COL: Colombia (Colômbia)
DEN: Denmark (Dinamarca)
ESP: Spain (Espanha)
FRA: France (França)
GRE: Greece (Grécia)
NED: Netherlands (Holanda)
NOR: Norway (Noruega)
POR: Portugal (Portugal)
SWE: Sweden (Suécia)
AUT: Austria (Áustria)
BEL: Belgium (Bélgica)
BUL: Bulgaria (Bulgária)
CZE: Czechia (Chéquia)
CHI: Chile (Chile)
CHN: China (China)
CYP: Cyprus (Chipre)
KOR: South Korea (Coreia do Sul)
CRO: Croatia (Croácia)
SCO: Scotland (Escócia)
SVK: Slovakia (Eslováquia)
SVN: Slovenia (Eslovénia)
USA: USA (EUA)
HUN: Hungary (Hungria)
ISR: Israel (Israel)
ITA: Italy (Itália)
JPN: Japan (Japão)
MEX: Mexico (México)
POL: Poland (Polónia)
ROU: Romania (Roménia)
SRB: Serbia (Sérvia)
SUI: Switzerland (Suíça)
TUR: Turkey (Turquia)
UKR: Ukraine (Ucrânia)
URU: Uruguay (Uruguai)
RSA: South Africa (África do Sul)
ALB: Albania (Albânia)
AND: Andorra (Andorra)
ALG: Algeria (Argélia)
ARM: Armenia (Arménia)
AZE: Azerbaijan (Azerbaijão)
BOL: Bolivia (Bolívia)
BIH: Bosnia and Herzegovina (Bósnia)
CRC: Costa Rica (Costa Rica)
ECU: Ecuador (Equador)
EST: Estonia (Estónia)
FIN: Finland (Finlândia)
GEO: Georgia (Geórgia)
LVA: Latvia (Letónia)
LTU: Lithuania (Lituânia)
MAR: Morocco (Marrocos)
MNE: Montenegro (Montenegro)
PAR: Paraguay (Paraguai)
PER: Peru (Peru)
QAT: Qatar (Qatar)
TUN: Tunisia (Tunísia)
UZB: Uzbekistan (Uzbequistão)
VEN: Venezuela (Venezuela)
