Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Álvaro Aceves,Real Valladolid,Real Valladolid Promesas,GK,22,600000,2028-06-30,14,1371,0,0.11,0,0.0,0.79,91.67,Spain,Spain,right,190,81,no,2.04,0.0,0.0,0.59,100.0,0.0,0.0,0.0,2.04,2.83,0.0,1,0.07,0,0.0,0.07,0.0,0,0.0,0.01,0,0.0,1,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,24.49,0.33,0.13,38.99,86.36,18.18,71.84,0.0,0.0,19.63,99.33,26.19,98.25,12.74,62.37,31.73,53.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,45.59,0.33,0.0,0.13,0.0,0.0,0.0,9.12,71.94,13,0.85,61,4.0,6,78.69,18.13,1.19,5.13,0.337,0.0,1.58,0.59,,,,0.0,0,0.0
F. Andone,Atlético Baleares,Atlético Baleares,CF,33,600000,2027-06-30,18,1367,11,7.5,2,1.01,29.36,30.49,Romania,"Romania, Spain",right,181,78,no,2.3,3.42,44.23,6.39,32.99,0.0,0.0,0.07,0.79,1.13,2.57,2,0.13,0,0.0,2.44,0.72,9,0.59,0.49,4,0.26,35,2.3,51.43,31.429,0.13,0.66,20.0,0.2,33.33,0.46,14.29,0.07,2.37,47.22,13.23,25.37,3.69,1.05,0.26,8.49,1.78,1.91,12.71,75.65,1.78,70.37,4.41,86.57,3.49,71.7,11.78,78.77,0.33,60.0,15.04,9.32,0.07,0.33,0.0,0.0,0.0,0.0,0.26,1.19,72.22,0.59,77.78,0.0,0.0,0.46,0.2,0.86,76.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0
Rubén Bover,Atlético Baleares,Atlético Baleares,"RCMF, RDMF",34,600000,2027-06-30,31,2871,2,2.86,5,7.06,16.05,52.15,Spain,Spain,left,178,71,no,5.36,4.89,58.33,1.29,68.29,0.34,0.49,0.06,2.16,3.06,0.63,6,0.19,0,0.0,2.45,0.06,1,0.03,0.09,0,0.0,35,1.1,28.57,5.714,0.16,1.1,42.86,0.56,55.56,0.47,33.33,0.25,2.29,63.01,8.28,49.62,0.53,1.85,0.31,29.56,0.47,1.69,44.14,83.1,15.92,71.26,5.61,93.3,16.49,89.73,36.24,88.06,6.83,62.84,20.83,39.27,0.22,1.72,0.09,0.09,0.47,46.67,0.5,8.21,70.61,2.35,52.0,1.03,39.39,0.88,0.56,8.84,74.11,0,,0,,0,0.0,0.0,0.0,,,0.13,,,2.79,0.28,11.11,3.61,2,50.0
David Carmona,Ulytau,San Fernando,"RB, LB",29,450000,2026-12-31,16,1393,0,0.17,2,1.12,15.18,61.7,Spain,Spain,right,175,72,no,10.01,7.62,71.19,2.13,57.58,0.32,0.49,0.19,4.26,6.49,0.84,4,0.26,0,0.0,2.52,0.0,0,0.0,0.01,0,0.0,4,0.26,50.0,0.0,0.13,3.04,38.3,0.0,0.0,3.04,38.3,0.32,1.68,65.38,4.01,48.39,0.65,1.36,0.58,20.16,1.62,1.03,33.08,71.68,11.89,64.67,6.2,91.67,9.63,67.11,23.71,82.56,6.46,46.0,21.0,33.72,0.07,0.84,0.0,0.0,0.19,66.67,0.45,3.49,51.85,3.04,38.3,0.19,33.33,0.32,1.1,7.37,67.54,0,,0,,0,0.0,0.0,0.0,,,0.32,,,0.0,0.0,0.0,0.0,0,0.0
E. Isnaldo,Andratx,Orihuela,"CF, AMF, RW",32,350000,2027-06-30,18,1026,4,3.4,0,1.23,30.88,32.95,Argentina,"Argentina, Italy",left,180,72,no,7.46,5.44,59.68,7.02,30.0,0.44,0.65,0.09,3.77,5.61,1.14,2,0.18,0,0.0,2.63,0.35,2,0.18,0.3,0,0.0,23,2.02,34.78,17.391,0.0,1.49,47.06,0.53,33.33,0.88,60.0,0.26,3.77,30.23,14.04,26.25,2.02,1.75,0.26,16.93,1.49,0.96,28.95,73.33,7.98,53.85,6.67,84.21,8.07,79.35,26.14,77.18,1.32,26.67,17.91,15.8,0.11,1.14,0.09,0.0,0.53,16.67,0.09,3.42,69.23,2.37,48.15,0.44,40.0,0.61,0.79,3.86,54.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.4,0.18,0.0,2.19,2,100.0
Miguel Guerrero,,Langreo,"CF, AMF, RW",35,350000,,9,695,5,4.08,0,0.49,17.48,28.15,Spain,Spain,right,180,77,no,3.24,3.88,23.33,4.66,41.67,0.26,0.3,0.13,2.07,2.44,2.46,1,0.13,0,0.0,1.81,0.65,1,0.13,0.53,0,0.0,20,2.59,50.0,25.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.65,60.0,6.86,24.53,1.29,0.78,0.26,19.29,2.59,0.78,27.06,80.86,6.47,62.0,7.9,95.08,6.99,85.19,25.77,81.41,1.17,77.78,15.2,24.36,0.06,0.65,0.0,0.0,0.26,50.0,0.0,3.24,64.0,1.42,54.55,0.26,50.0,0.26,0.0,2.72,80.95,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.65,0.26,0.0,2.2,4,100.0
T. Boere,,Terrassa,CF,33,325000,,14,884,3,1.81,1,1.04,18.73,32.07,Netherlands,Netherlands,right,183,78,no,1.53,1.73,52.94,6.31,32.26,0.1,0.15,0.0,0.51,0.75,1.22,1,0.1,0,0.0,1.02,0.31,3,0.31,0.18,0,0.0,7,0.71,71.43,42.857,0.1,0.31,33.33,0.0,0.0,0.31,33.33,0.0,0.71,57.14,6.92,36.76,2.34,0.1,0.0,9.37,2.24,1.53,16.6,73.62,2.85,57.14,4.07,90.0,4.48,75.0,15.88,75.64,0.41,25.0,14.36,9.38,0.11,0.81,0.0,0.0,0.0,0.0,0.51,1.12,54.55,0.51,100.0,0.1,0.0,0.71,0.1,1.22,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
G. Siereveld,HSV Hoek,Terrassa,RCB,24,300000,2027-06-30,28,2617,0,1.03,0,0.53,12.28,70.31,Netherlands,"Netherlands, Suriname",right,191,76,no,7.88,6.02,83.43,2.65,59.74,0.07,0.09,0.31,2.79,3.79,0.69,4,0.14,0,0.0,0.17,0.0,0,0.0,0.04,0,0.0,8,0.28,25.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.1,100.0,1.41,58.54,0.24,1.41,0.07,34.56,0.86,0.79,47.22,86.6,20.63,78.0,3.23,98.94,20.05,94.34,39.55,93.65,7.67,50.22,24.05,41.86,0.02,0.1,0.0,0.03,0.0,0.0,0.03,9.32,67.53,0.65,15.79,0.83,29.17,0.24,0.0,10.56,80.78,0,,0,,0,0.0,0.0,0.0,,,2.48,,,0.03,0.03,0.0,0.0,0,0.0
Álvaro Bastida,UD Ourense,Cádiz B,"CF, LCMF, AMF",22,300000,2027-06-30,30,2596,3,4.12,2,3.78,14.7,45.05,Spain,Spain,right,170,60,no,5.89,4.75,66.42,3.36,29.9,0.07,0.1,0.17,2.67,3.7,1.14,7,0.24,0,0.0,1.73,0.1,2,0.07,0.14,0,0.0,39,1.35,43.59,7.692,0.07,1.18,41.18,0.83,33.33,0.35,60.0,0.17,0.8,56.52,3.92,39.82,1.11,0.87,0.14,22.57,1.32,1.14,34.25,81.98,9.67,71.33,7.45,92.56,12.34,83.15,29.75,86.71,3.36,54.64,18.48,33.68,0.13,1.63,0.07,0.03,0.31,66.67,0.49,5.34,72.08,2.01,53.45,0.42,58.33,0.87,0.35,4.47,75.19,0,,0,,0,0.0,0.0,0.0,,,0.28,,,1.21,0.03,0.0,2.25,1,100.0
Rubén Iranzo,Valencia Mestalla,Valencia Mestalla,"RB, RCB",23,300000,2027-06-30,21,1908,0,0.82,0,0.43,15.66,57.23,Spain,Spain,right,182,76,no,10.14,7.17,69.08,3.82,58.02,0.28,0.42,0.14,4.91,7.27,1.51,8,0.38,1,0.05,0.75,0.0,0,0.0,0.04,0,0.0,11,0.52,27.27,0.0,0.0,1.32,25.0,0.0,0.0,1.27,25.93,0.19,0.66,35.71,2.41,35.29,0.71,0.94,0.09,29.58,0.99,0.66,43.02,81.03,19.01,73.2,4.86,93.2,12.5,88.3,37.45,87.41,4.34,41.3,19.4,37.84,0.02,0.28,0.09,0.0,0.09,50.0,0.05,6.18,66.41,1.89,35.0,0.52,27.27,0.38,0.38,8.44,65.36,0,,0,,0,0.0,0.0,0.0,,,1.13,,,0.0,0.0,0.0,0.0,0,0.0
