Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Galanopoulos,Aris,AEK Athens B,"LCMF, LW",28,1200000,2027-06-30,1,80,0,0.0,0,0.0,19.13,58.82,Greece,Greece,right,172,72,no,15.75,9.0,75.0,3.38,33.33,0.0,0.0,0.0,9.0,12.63,1.13,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,60.0,1.13,0.0,0.0,19.13,0.0,3.38,33.75,93.33,3.38,33.33,3.38,100.0,16.88,100.0,32.63,93.1,1.13,100.0,16.07,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.13,0.0,0.0,1.13,0,0.0
Ed Carlos,Botafogo PB,Niki Volos,"RDMF, LCMF, RCMF",25,800000,,18,1074,0,0.49,2,1.3,16.76,50.5,Brazil,Brazil,left,187,80,no,6.7,5.87,65.71,2.68,50.0,0.17,0.24,0.08,2.68,3.87,1.34,5,0.42,0,0.0,1.84,0.0,0,0.0,0.04,0,0.0,15,1.26,26.67,0.0,0.17,1.17,50.0,0.75,44.44,0.42,60.0,0.08,1.26,66.67,5.45,36.92,0.67,0.67,0.0,33.1,1.09,0.5,52.71,82.99,18.02,71.63,8.38,94.0,16.51,88.83,45.0,87.34,6.62,58.23,18.52,34.97,0.11,1.26,0.0,0.0,0.17,50.0,0.25,11.48,71.53,2.77,54.55,1.42,29.41,0.84,0.67,9.39,84.82,0,,0,,0,0.0,0.0,0.0,,,0.34,,,0.59,0.08,0.0,1.76,0,0.0
C. Algarañaz,Kalamata,Kalamata,"CF, AMF",30,750000,2027-06-30,11,369,0,1.15,1,0.08,20.98,23.26,Bolivia,Bolivia,left,178,80,no,2.2,2.68,36.36,4.39,22.22,0.49,0.86,0.24,0.73,1.29,0.98,1,0.24,0,0.0,1.22,0.0,0,0.0,0.28,0,0.0,5,1.22,20.0,0.0,0.24,0.73,33.33,0.73,33.33,0.0,0.0,0.0,1.71,42.86,11.22,23.91,2.93,0.49,0.0,9.51,0.73,1.46,15.61,78.13,3.17,38.46,3.17,100.0,4.63,89.47,13.9,82.46,0.98,50.0,23.26,11.0,0.02,0.73,0.0,0.0,0.0,0.0,0.49,1.71,71.43,0.73,0.0,0.0,0.0,0.24,0.24,1.22,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
J. Cabezas,Watford,PAOK B,CF,22,700000,2029-06-30,20,1692,11,8.86,0,1.02,26.86,33.27,Colombia,Colombia,left,185,77,no,4.31,3.88,46.58,5.05,32.63,0.05,0.08,0.11,2.45,3.77,1.97,7,0.37,1,0.05,3.19,0.59,9,0.48,0.47,0,0.0,42,2.23,52.38,26.19,0.0,0.32,66.67,0.32,66.67,0.0,0.0,0.11,3.78,46.48,12.66,28.57,2.77,1.28,0.21,8.62,1.91,1.7,14.84,72.04,3.83,56.94,4.26,87.5,3.72,71.43,13.88,72.8,0.64,58.33,14.03,17.33,0.05,0.69,0.05,0.0,0.05,100.0,0.32,1.6,73.33,1.06,55.0,0.11,50.0,0.64,0.21,1.76,87.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.05,0.05,100.0,0.0,3,66.667
Álvaro Jiménez,Tarazona,Iraklis 1908,"LAMF, LW, RAMF",31,600000,2026-06-30,6,259,0,0.28,0,0.24,22.93,62.12,Spain,Spain,right,175,72,no,6.25,5.21,66.67,0.69,50.0,0.35,0.6,0.0,2.43,4.2,1.04,2,0.69,0,0.0,6.25,0.0,0,0.0,0.1,0,0.0,8,2.78,0.0,0.0,0.0,3.82,9.09,2.08,16.67,1.39,0.0,0.35,8.34,70.83,15.29,63.64,3.13,2.78,0.0,18.76,3.13,3.13,25.71,68.92,3.47,30.0,6.95,95.0,10.42,70.0,21.2,81.97,1.04,0.0,17.37,15.42,0.08,0.69,0.0,0.0,0.35,0.0,0.0,0.69,0.0,2.08,16.67,0.0,0.0,0.0,0.69,1.74,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.69,0.69,0.0,1.39,0,0.0
Carles Soria,Iraklis 1908,PAS Giannina,"RB, RCMF",29,600000,2027-06-30,14,1364,0,0.89,4,3.28,15.9,51.87,Spain,Spain,right,170,65,no,7.98,5.94,66.67,1.78,29.63,0.26,0.44,0.26,3.76,6.29,1.12,2,0.13,0,0.0,3.7,0.0,0,0.0,0.06,0,0.0,11,0.73,45.45,0.0,0.26,4.49,36.76,0.13,50.0,4.35,36.36,0.4,2.31,74.29,6.33,51.04,1.39,1.91,0.26,37.21,3.1,0.99,50.08,80.9,16.89,76.95,8.45,97.66,17.82,77.04,41.04,88.91,4.95,53.33,21.09,37.85,0.22,1.78,0.0,0.07,0.07,0.0,0.26,6.8,77.67,4.95,48.0,0.33,40.0,0.92,1.39,11.94,85.64,0,,0,,0,0.0,0.0,0.0,,,1.19,,,1.52,0.0,0.0,3.3,0,0.0
D. Cheryshev,Ypsonas,Panionios,"LAMF, RAMF, RW",35,500000,,21,1144,2,3.27,3,4.46,14.08,51.96,Russia,"Russia, Spain",left,179,74,no,5.9,5.19,59.09,0.71,55.56,0.24,0.39,0.08,2.6,4.29,1.57,4,0.31,0,0.0,2.75,0.16,0,0.0,0.26,0,0.0,25,1.97,44.0,8.0,0.24,2.36,26.67,1.57,20.0,0.71,33.33,0.47,2.36,40.0,7.16,43.96,2.52,1.42,0.08,25.41,1.02,1.34,32.96,71.6,11.72,67.79,5.51,84.29,9.99,68.5,26.98,79.3,3.93,42.0,18.74,32.88,0.35,2.67,0.08,0.08,0.55,57.14,0.94,4.96,66.67,5.51,52.86,1.49,57.89,2.6,0.79,6.77,77.91,0,,0,,0,0.0,0.0,0.0,,,0.16,,,2.91,0.47,16.67,3.46,2,100.0
Klaus,Operário PR,Iraklis 1908,RCB,32,500000,2027-11-30,6,310,0,0.32,0,0.0,12.19,69.05,Brazil,Brazil,right,187,79,no,9.0,6.1,76.19,4.94,64.71,0.29,0.38,1.16,4.06,5.32,0.87,0,0.0,0,0.0,0.29,0.0,0,0.0,0.09,0,0.0,3,0.87,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,1.16,0.0,0.0,19.45,0.29,0.29,31.06,80.37,13.35,71.74,1.16,100.0,14.81,90.2,25.84,88.76,5.23,38.89,17.27,27.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,40.0,0.58,0.0,0.29,0.0,0.58,0.0,6.1,57.14,0,,0,,0,0.0,0.0,0.0,,,1.16,,,0.0,0.0,0.0,0.0,0,0.0
M. Tsaousis,Panserraikos,PAOK B,"LB, LW, LAMF",26,500000,2028-06-30,22,1492,0,0.89,2,2.78,19.12,48.9,Greece,Greece,left,175,72,no,7.48,6.33,61.9,3.44,47.37,0.06,0.09,0.12,3.5,5.3,1.27,3,0.18,0,0.0,2.29,0.0,0,0.0,0.05,0,0.0,30,1.81,36.67,0.0,0.12,1.39,21.74,1.33,22.73,0.0,0.0,0.12,2.35,53.85,6.94,40.0,1.03,1.21,0.06,22.5,1.09,0.84,34.2,76.72,15.38,66.27,5.13,95.29,8.51,85.11,27.81,85.47,5.01,43.37,20.27,30.01,0.17,1.57,0.0,0.0,0.06,100.0,0.18,6.76,61.61,1.87,29.03,0.36,16.67,0.42,0.3,7.06,76.92,0,,0,,0,0.0,0.0,0.0,,,0.66,,,2.17,0.24,25.0,1.93,0,0.0
S. Tsiloulis,Atromitos,AEK Athens B,"LAMF, RAMF, CF",31,450000,2027-06-30,2,199,1,0.94,0,0.05,22.16,46.94,Greece,Greece,right,185,75,no,4.97,3.17,71.43,2.71,50.0,0.45,1.2,0.0,2.26,6.0,1.81,0,0.0,0,0.0,3.62,0.45,0,0.0,0.42,0,0.0,2,0.9,50.0,50.0,0.0,1.81,25.0,0.9,0.0,0.9,50.0,0.45,5.88,46.15,12.21,40.74,1.81,3.17,0.9,18.99,1.36,2.71,23.52,84.62,6.33,85.71,4.97,90.91,7.24,87.5,20.8,89.13,0.9,100.0,16.71,33.43,0.02,0.45,0.0,0.0,0.0,0.0,0.45,3.17,85.71,0.9,100.0,0.0,0.0,0.45,0.45,4.07,88.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
