Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Sarkaria,Austria Wien,Sturm Graz II,AMF,29,2500000,2028-06-30,7,546,4,0.6,1,1.5,19.29,48.72,Austria,Austria,left,180,74,no,5.93,5.6,61.76,3.13,42.11,0.16,0.23,0.0,2.31,3.21,1.48,2,0.33,0,0.0,4.12,0.66,4,0.66,0.1,1,0.16,11,1.81,63.64,36.364,0.16,1.65,40.0,1.15,28.57,0.49,66.67,0.33,2.64,75.0,8.9,48.15,1.32,1.48,0.0,22.09,1.65,1.15,32.47,75.13,8.57,71.15,6.92,90.48,8.08,63.27,29.01,77.84,1.81,63.64,16.4,25.14,0.25,2.31,0.0,0.0,0.33,100.0,0.49,4.29,73.08,3.46,42.86,0.66,75.0,0.99,0.82,7.42,71.11,0,,0,,0,0.0,0.0,0.0,,,0.33,,,4.12,0.49,66.67,3.63,0,0
B. Okoh,Auxerre,Liefering,"LCB, RCB",23,800000,2029-06-30,14,1001,1,0.97,0,0.11,20.41,65.2,United States,"United States, Switzerland",left,188,91,no,11.87,5.84,73.85,7.64,63.53,1.08,1.64,0.81,6.47,9.82,1.26,3,0.27,0,0.0,1.44,0.09,1,0.09,0.09,0,0.0,7,0.63,42.86,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,92.31,4.32,60.42,0.72,1.71,0.18,25.98,0.18,0.72,46.3,80.0,25.08,70.61,2.88,87.5,14.12,94.27,39.65,86.17,6.65,43.24,19.5,31.76,0.01,0.09,0.0,0.09,0.18,50.0,0.09,9.35,63.46,1.35,20.0,1.08,16.67,0.27,0.0,11.33,73.81,0,,0,,0,0.0,0.0,0.0,,,1.98,,,0.0,0.0,0.0,0.0,0,0
T. Gale,Bolton Wanderers,Rapid Wien II,"LAMF, LWF",24,700000,2029-06-30,3,199,1,1.2,0,0.32,21.26,51.06,Barbados,Barbados,right,168,65,no,2.26,3.17,57.14,0.9,100.0,0.0,0.0,0.45,0.45,0.63,1.36,0,0.0,0,0.0,8.14,0.45,1,0.45,0.54,0,0.0,10,4.52,50.0,10.0,0.0,2.26,40.0,1.36,0.0,0.45,100.0,0.45,9.5,52.38,15.38,50.0,3.62,2.26,0.45,20.35,1.81,0.9,26.23,72.41,5.88,46.15,7.24,93.75,8.14,77.78,21.71,75.0,2.26,80.0,16.36,18.91,0.15,1.36,0.0,0.0,0.45,0.0,0.45,2.71,50.0,1.81,50.0,0.9,0.0,0.0,0.9,3.17,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.9,0.45,0.0,1.36,0,0
E. Fernandes-Neto,Hradec Králové,Liefering,"LCMF, LWF",20,700000,,2,26,0,0.0,0,0.0,,,Germany,"Germany, Angola",right,184,78,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.74,47.88,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0
N. Bischof,Dordrecht,Rapid Wien II,"CF, RWF, RW",23,600000,2027-06-30,5,375,2,0.77,1,0.73,16.32,39.71,Austria,Austria,left,188,79,no,3.84,3.36,71.43,3.12,46.15,0.0,0.0,0.24,1.44,1.91,0.96,1,0.24,0,0.0,3.6,0.48,2,0.48,0.18,0,0.0,6,1.44,66.67,33.333,0.24,2.16,44.44,0.96,25.0,1.2,60.0,0.72,2.88,50.0,7.44,29.03,3.6,0.96,0.24,14.64,1.92,0.48,20.4,78.82,4.32,61.11,4.8,95.0,6.0,72.0,17.28,86.11,1.2,40.0,17.85,32.73,0.18,1.68,0.0,0.24,0.24,100.0,0.72,2.88,83.33,2.88,58.33,0.24,100.0,2.16,0.96,3.12,69.23,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.24,0,0
M. Wels,Austria Wien,Stripfing,"RCMF, CF, LCMF",21,500000,2027-06-30,11,928,4,2.22,2,1.44,22.69,42.31,Austria,Austria,left,186,71,no,5.63,5.53,73.68,3.88,35.0,0.0,0.0,0.1,1.55,2.03,0.87,2,0.19,0,0.0,2.42,0.39,4,0.39,0.22,1,0.1,18,1.75,44.44,22.222,0.19,0.97,20.0,0.48,20.0,0.48,20.0,0.1,3.1,46.88,10.18,33.33,2.42,1.07,0.0,10.57,1.75,1.36,18.62,70.83,5.43,57.14,5.24,81.48,2.91,66.67,17.07,76.14,0.58,0.0,13.65,17.02,0.14,1.36,0.1,0.1,0.0,0.0,0.29,2.23,43.48,0.68,28.57,0.19,0.0,0.97,0.1,1.84,52.63,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.68,0.1,0.0,2.23,0,0
M. Meisl,Admira,Stripfing,"LCB, LB",25,500000,,14,1327,1,0.5,1,0.71,14.65,59.26,Austria,Austria,left,188,80,no,9.77,6.85,71.29,5.49,49.38,0.2,0.28,0.54,4.68,6.35,0.88,0,0.0,0,0.0,0.14,0.07,1,0.07,0.03,1,0.07,3,0.2,33.33,33.333,0.07,0.14,50.0,0.14,50.0,0.0,0.0,0.0,0.14,0.0,0.81,25.0,0.68,0.34,0.0,27.74,0.2,0.14,42.66,81.24,22.11,70.86,3.87,94.74,14.11,93.75,34.32,89.53,8.21,47.11,22.19,38.18,0.05,0.2,0.0,0.0,0.0,0.0,0.07,7.39,67.89,0.47,14.29,0.2,33.33,0.34,0.07,10.92,67.7,0,,0,,0,0.0,0.0,0.0,,,1.7,,,0.14,0.0,0.0,0.0,0,0
B. Zimmermann,First Vienna,First Vienna,CF,24,500000,2027-06-30,14,735,1,1.27,0,0.44,17.63,31.25,Austria,Austria,right,179,77,no,2.45,2.57,33.33,2.94,25.0,0.49,0.68,0.0,1.1,1.53,0.98,0,0.0,0,0.0,0.73,0.12,1,0.12,0.16,0,0.0,9,1.1,33.33,11.111,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,1.22,30.0,9.55,35.9,2.2,1.22,0.0,11.51,2.2,2.57,16.65,83.82,2.2,61.11,5.63,91.3,4.53,81.08,15.31,84.0,1.22,90.0,15.41,18.79,0.05,0.49,0.0,0.12,0.0,0.0,0.12,1.35,72.73,0.73,66.67,0.0,0.0,0.61,0.0,1.1,55.56,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.0,0.0,0.0,0.0,0,0
D. Schierl,Austria Lustenau,Austria Lustenau,GK,31,400000,2027-06-30,30,2902,0,0.0,0,0.0,0.78,72.0,Austria,Austria,right,185,82,no,1.46,0.09,66.67,0.4,69.23,0.03,0.04,0.0,1.36,1.85,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,75.0,0.0,0.0,0.0,17.43,0.37,0.22,25.62,85.35,14.92,76.51,0.0,0.0,10.23,98.18,14.24,98.26,11.35,69.4,36.74,49.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,64.6,0.16,20.0,0.22,42.86,0.06,0.0,9.12,80.27,26,0.81,105,3.26,12,75.24,33.85,1.05,7.85,0.243,0.0,1.46,0.4,,,,0.0,0,0
A. Bajić,Ried,Ried,"CF, RWF",30,400000,2030-06-30,26,1962,9,7.7,9,4.91,24.08,36.19,Austria,Austria,right,183,70,no,4.59,4.68,54.9,5.23,30.7,0.14,0.23,0.0,1.88,3.19,1.79,5,0.23,0,0.0,3.81,0.41,9,0.41,0.35,1,0.05,48,2.2,33.33,18.75,0.41,2.84,37.1,0.28,66.67,2.52,34.55,0.41,3.76,51.22,10.78,34.47,4.82,1.51,0.46,17.66,2.89,1.47,25.05,68.32,7.16,58.97,4.59,93.0,7.25,66.46,20.92,73.68,1.28,50.0,17.17,20.28,0.23,1.06,0.09,0.0,0.41,22.22,0.69,1.93,57.14,3.26,45.07,0.32,28.57,1.51,1.06,3.62,73.42,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.0,0.0,0.0,0.0,0,0
