Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Piotrowski,Udinese,Ludogorets,"LCMF, LDMF",28,5000000,2029-06-30,25,1868,6,4.24,4,1.33,16.43,47.8,Poland,Poland,right,188,79,no,6.41,5.16,64.49,1.83,57.89,0.1,0.16,0.14,2.99,4.81,1.59,3,0.14,1,0.05,2.51,0.29,5,0.24,0.2,3,0.14,38,1.83,42.11,15.789,0.19,1.35,39.29,0.77,37.5,0.53,45.45,0.24,1.64,50.0,7.08,35.37,2.17,1.45,0.29,40.95,0.82,1.3,51.7,86.67,13.54,76.16,10.41,93.06,20.38,91.25,46.35,89.92,4.0,65.06,18.71,34.61,0.06,1.06,0.0,0.05,0.43,88.89,0.58,8.05,77.84,2.12,45.45,0.72,40.0,0.92,0.53,7.52,82.69,0,,0,,0,0.0,0.0,0.0,,,1.25,,,0.14,0.1,0.0,0.05,1,100.0
Rick,Talleres Córdoba,Ludogorets,"LW, LAMF",26,2500000,2028-12-31,18,1370,4,2.3,3,3.22,27.13,47.46,Brazil,Brazil,right,170,70,no,5.06,4.27,67.69,1.58,16.67,0.0,0.0,0.13,2.17,3.12,0.59,0,0.0,0,0.0,7.42,0.26,4,0.26,0.15,0,0.0,36,2.36,30.56,11.111,0.2,4.73,41.67,4.2,39.06,0.53,62.5,0.53,7.75,58.47,19.38,45.76,2.82,5.12,1.25,24.83,2.04,2.1,35.54,74.68,8.21,64.0,7.49,92.11,12.28,68.45,28.38,82.18,2.63,50.0,17.47,33.09,0.21,1.84,0.26,0.0,0.53,37.5,0.59,4.4,62.69,4.8,45.21,0.53,25.0,1.05,1.91,5.39,89.02,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.59,0.07,0.0,2.82,0,0.0
I. Pittas,CSKA Sofia,CSKA Sofia,CF,30,2500000,2028-06-30,18,1524,7,10.55,1,1.53,17.24,31.51,Cyprus,Cyprus,right,180,72,no,3.01,3.13,58.49,2.89,10.2,0.3,0.57,0.06,0.89,1.7,0.59,2,0.12,0,0.0,2.24,0.41,6,0.35,0.62,0,0.0,60,3.54,28.33,11.667,0.06,0.41,42.86,0.12,0.0,0.3,60.0,0.12,2.36,45.0,8.5,28.47,4.84,0.83,0.18,16.59,2.07,0.89,19.96,83.14,2.07,77.14,6.73,87.72,6.32,78.5,18.66,84.81,0.94,68.75,15.35,21.17,0.09,1.0,0.12,0.0,0.0,0.0,0.24,1.59,81.48,1.18,70.0,0.0,0.0,1.0,0.06,1.12,63.16,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.0,0.0,0.0,0.0,1,100.0
A. Nedyalkov,Ludogorets,Ludogorets,"LB, RCB",33,2500000,2027-06-30,10,674,0,0.27,0,0.51,9.75,53.42,Bulgaria,Bulgaria,both,181,70,no,6.81,4.54,61.76,0.93,57.14,0.13,0.21,0.4,3.87,6.17,0.53,2,0.27,0,0.0,1.47,0.0,0,0.0,0.04,0,0.0,5,0.67,20.0,0.0,0.0,1.34,50.0,1.2,44.44,0.13,100.0,0.27,0.67,100.0,2.27,47.06,0.53,0.8,0.0,36.59,1.2,0.13,49.41,90.54,20.3,84.21,6.14,97.83,18.69,94.29,43.26,93.83,4.81,72.22,20.26,33.84,0.07,0.53,0.0,0.0,0.0,0.0,0.13,8.28,83.87,1.47,54.55,0.53,50.0,0.4,0.67,8.68,87.69,0,,0,,0,0.0,0.0,0.0,,,1.6,,,0.0,0.0,0.0,0.0,0,0.0
O. Verdon,Ludogorets,Ludogorets,"RCB, LCB",30,2500000,2027-06-30,27,2301,3,2.7,0,0.22,7.24,63.78,France,"France, Benin",right,190,85,no,5.59,4.07,76.92,1.1,46.43,0.0,0.0,0.47,2.46,3.76,0.51,6,0.23,0,0.0,0.35,0.12,2,0.08,0.11,1,0.04,9,0.35,55.56,33.333,0.0,0.35,33.33,0.08,50.0,0.23,33.33,0.12,0.0,0.0,0.94,33.33,0.51,0.78,0.12,62.93,0.63,0.12,78.74,94.59,27.07,89.88,4.85,99.19,39.0,97.89,74.16,96.73,4.22,62.04,20.02,35.8,0.01,0.08,0.0,0.04,0.04,100.0,0.04,7.12,82.42,0.51,30.77,0.23,33.33,0.16,0.12,10.64,83.46,0,,0,,0,0.0,0.0,0.0,,,3.6,,,0.0,0.0,0.0,0.0,2,50.0
P. Andreev,Lech Poznań,Levski Sofia,GK,21,2000000,2029-06-30,5,480,0,0.0,0,0.0,0.38,100.0,Bulgaria,Bulgaria,right,192,81,yes,1.5,0.0,0.0,0.19,100.0,0.0,0.0,0.0,1.5,2.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,11.25,0.19,0.0,17.44,84.95,10.88,75.86,0.0,0.0,5.06,100.0,10.88,100.0,6.56,60.0,34.86,55.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,53.33,0.0,0.0,0.19,0.0,0.0,0.0,3.75,90.0,1,0.19,10,1.88,4,90.0,1.37,0.26,0.37,0.069,0.0,1.5,0.19,,,,0.0,0,0.0
T. Heintz,IFK Göteborg,CSKA Sofia,"LW, LCMF, AMF",27,2000000,2027-12-31,13,702,0,2.6,0,0.46,18.72,39.04,Norway,Norway,right,173,63,no,6.54,6.79,58.49,1.28,40.0,0.51,0.85,0.0,2.05,3.38,1.41,1,0.13,0,0.0,2.95,0.0,0,0.0,0.33,0,0.0,20,2.56,45.0,0.0,0.0,2.18,17.65,1.79,21.43,0.38,0.0,0.26,3.08,37.5,8.33,27.69,3.21,2.05,0.13,25.0,2.18,1.15,31.15,76.54,8.21,64.06,7.56,94.92,8.85,72.46,27.18,83.96,1.92,33.33,17.26,24.29,0.06,0.9,0.13,0.0,0.26,100.0,0.26,4.1,59.38,2.82,36.36,0.26,50.0,0.77,0.26,3.33,80.77,0,,0,,0,0.0,0.0,0.0,,,0.26,,,0.77,0.13,100.0,2.05,1,0.0
M. Tissera,Instituto,Ludogorets,CF,29,1700000,2026-12-31,5,116,0,0.95,0,0.0,14.74,26.32,Argentina,Argentina,right,173,70,no,1.55,3.1,25.0,3.1,25.0,0.0,0.0,0.0,0.78,1.0,0.78,0,0.0,0,0.0,1.55,0.0,0,0.0,0.74,0,0.0,2,1.55,50.0,0.0,0.0,0.78,0.0,0.0,0.0,0.78,0.0,0.0,0.78,100.0,8.53,27.27,2.33,0.0,0.0,10.09,3.1,0.78,12.41,81.25,3.88,40.0,3.88,100.0,1.55,100.0,11.64,86.67,0.0,0.0,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,100.0,1.55,100.0,0.0,0.0,0.78,0.0,1.55,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
V. Popov,Arda,Cherno More,RB,26,1500000,2029-06-30,32,3103,1,0.23,3,2.39,18.39,55.52,Bulgaria,Bulgaria,right,179,77,no,13.43,10.21,62.5,2.26,47.44,0.61,0.87,0.26,6.44,9.16,1.13,7,0.2,0,0.0,2.38,0.03,1,0.03,0.01,0,0.0,7,0.2,28.57,14.286,0.09,2.67,43.48,0.26,22.22,2.38,45.12,0.29,1.86,59.38,4.0,50.0,0.46,1.77,0.23,31.76,1.16,0.7,48.18,74.71,27.26,71.38,4.99,92.44,10.64,80.65,39.5,80.47,6.09,50.48,20.38,36.27,0.07,0.84,0.06,0.0,0.12,50.0,0.44,11.57,69.92,3.57,51.22,0.64,36.36,0.9,1.25,15.72,76.2,0,,0,,0,0.0,0.0,0.0,,,0.7,,,0.03,0.0,0.0,0.0,0,0.0
M. Carreazo,Kalamata,CSKA Sofia,"DMF, LCMF, LDMF",26,1500000,2028-06-30,29,2524,4,1.77,2,2.07,13.59,53.54,Colombia,"Colombia, Venezuela",right,179,62,no,7.84,6.35,59.55,1.39,53.85,0.18,0.32,0.11,3.89,6.87,1.78,6,0.21,0,0.0,0.75,0.14,4,0.14,0.06,1,0.04,15,0.53,46.67,26.667,0.07,0.32,44.44,0.25,57.14,0.07,0.0,0.0,0.43,75.0,3.78,48.11,1.35,0.61,0.0,36.87,0.68,1.18,49.03,89.31,13.3,78.02,7.92,95.05,16.65,93.58,47.39,91.12,1.35,36.84,15.24,21.11,0.07,0.46,0.04,0.0,0.07,50.0,0.21,6.6,81.62,0.78,59.09,0.11,33.33,0.82,0.07,4.46,80.8,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.0,0.0,0.0,0.04,0,0.0
Tsunami,Maccabi Haifa,Levski Sofia,"LCB, DMF",30,1500000,2028-06-30,30,2765,0,1.74,2,2.29,14.48,62.25,Brazil,Brazil,left,189,78,no,9.54,6.15,71.43,3.81,64.1,0.1,0.16,0.52,5.05,8.38,1.04,3,0.1,0,0.0,0.91,0.0,0,0.0,0.06,0,0.0,20,0.65,15.0,0.0,0.07,0.94,44.83,0.78,45.83,0.13,50.0,0.03,0.52,68.75,2.7,44.58,0.78,0.59,0.0,33.46,0.52,0.78,48.43,84.48,22.13,77.06,4.43,96.32,17.77,91.03,38.7,90.41,8.85,62.13,22.1,35.22,0.07,0.75,0.03,0.13,0.1,33.33,0.26,10.77,71.3,2.12,53.85,0.75,52.17,0.91,0.46,12.66,83.03,0,,0,,0,0.0,0.0,0.0,,,1.4,,,0.0,0.0,0.0,0.03,0,0.0
Son,Ludogorets,Ludogorets,"LB, RB",32,1500000,2027-06-30,29,2435,5,1.5,8,4.1,10.16,56.36,Spain,Spain,right,178,72,no,6.25,4.29,66.38,1.26,70.59,0.04,0.06,0.15,3.36,5.02,0.33,1,0.04,0,0.0,1.7,0.18,5,0.18,0.06,1,0.04,23,0.85,34.78,21.739,0.3,1.89,33.33,0.89,41.67,1.0,25.93,0.26,1.18,59.38,3.29,42.7,1.29,1.81,0.18,38.74,2.37,0.74,49.05,83.87,18.3,74.14,8.02,97.7,16.15,88.79,41.4,90.71,5.84,51.27,20.31,36.8,0.15,1.4,0.11,0.0,0.07,100.0,0.52,7.69,69.71,2.77,48.0,0.55,46.67,1.03,0.63,9.91,77.61,0,,0,,0,0.0,0.0,0.0,,,1.22,,,1.07,0.11,0.0,1.44,0,0.0
I. Turitsov,Dinamo Batumi,CSKA Sofia,RB,27,1200000,2029-12-31,26,1423,0,0.24,1,0.78,16.06,63.78,Bulgaria,Bulgaria,right,170,67,no,11.13,7.59,70.0,3.54,58.93,0.7,1.25,0.32,5.12,9.2,0.63,4,0.25,0,0.0,1.39,0.0,0,0.0,0.02,0,0.0,6,0.38,0.0,0.0,0.06,2.91,28.26,0.0,0.0,2.78,29.55,0.0,0.82,69.23,3.42,66.67,1.64,1.45,0.13,28.9,1.45,1.45,41.05,79.51,16.13,74.12,5.69,92.22,12.21,83.42,34.47,87.71,3.73,42.37,17.11,19.54,0.05,0.89,0.06,0.13,0.0,0.0,0.25,5.63,69.66,2.72,37.21,0.06,0.0,0.44,0.82,7.91,76.0,0,,0,,0,0.0,0.0,0.0,,,0.63,,,0.0,0.0,0.0,0.0,0,0.0
M. Jean Phaëton,Lion City Sailors FC,CSKA Sofia,"LW, LAMF",26,1200000,2027-06-30,25,1588,4,4.14,3,3.59,25.45,43.21,France,"France, Guadeloupe",right,183,78,no,4.82,5.55,61.22,0.62,27.27,0.06,0.11,0.06,1.36,2.56,0.91,6,0.34,0,0.0,5.89,0.23,4,0.23,0.23,0,0.0,41,2.32,41.46,9.756,0.17,2.72,29.17,2.15,31.58,0.51,11.11,0.4,8.1,51.05,17.85,39.68,5.5,4.76,0.23,22.9,2.1,1.25,31.74,81.07,5.89,70.19,8.95,96.2,9.63,80.59,28.28,87.17,0.96,41.18,16.57,20.71,0.2,1.93,0.06,0.0,0.06,0.0,0.79,2.72,70.83,2.72,66.67,0.11,0.0,2.15,0.68,4.02,87.32,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.11,0.06,100.0,1.08,0,0.0
K. van der Kaap,Al Sailiya,Levski Sofia,"RCB, LCB",27,1200000,2028-06-30,29,2649,1,2.52,0,0.2,13.39,62.18,Netherlands,"Netherlands, Cameroon",right,190,83,no,7.2,5.3,69.87,3.87,61.4,0.1,0.17,0.34,3.4,5.63,1.19,5,0.17,0,0.0,0.31,0.03,1,0.03,0.09,1,0.03,18,0.61,27.78,5.556,0.0,0.2,16.67,0.0,0.0,0.2,16.67,0.0,0.24,42.86,2.17,59.38,0.71,1.43,0.03,33.87,0.51,0.75,48.28,89.8,18.21,81.9,3.53,98.08,21.27,95.05,44.44,93.04,3.64,54.21,20.23,35.9,0.01,0.27,0.03,0.03,0.03,0.0,0.03,6.05,75.28,0.61,44.44,0.14,50.0,0.2,0.03,7.61,77.23,0,,0,,0,0.0,0.0,0.0,,,1.8,,,0.0,0.0,0.0,0.0,0,0.0
I. Dyulgerov,Sheriff,CSKA Sofia,GK,27,1200000,2027-06-30,17,1670,0,0.0,0,0.0,0.7,76.92,Bulgaria,Bulgaria,right,191,91,no,0.81,0.05,0.0,0.49,77.78,0.0,0.0,0.0,0.81,1.37,0.0,3,0.16,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.11,100.0,0.0,0.0,0.0,13.96,0.27,0.11,20.48,87.11,10.99,78.43,0.05,100.0,8.68,96.89,13.9,97.29,6.57,65.57,29.75,45.71,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.35,32.0,0.05,0.0,0.0,0.0,0.0,0.0,3.93,71.23,16,0.86,50,2.69,7,68.0,11.01,0.59,-4.99,-0.269,0.05,1.19,0.49,,,,0.0,0,0.0
H. Petrov,Heerenveen,CSKA Sofia,"LCB, LB",23,1000000,2029-06-30,10,854,0,0.53,0,0.02,13.28,64.29,Bulgaria,Bulgaria,left,184,77,no,8.54,7.17,67.65,4.11,66.67,0.11,0.16,0.32,3.58,5.51,0.53,0,0.0,0,0.0,0.63,0.0,0,0.0,0.06,0,0.0,7,0.74,42.86,0.0,0.0,0.95,11.11,0.84,12.5,0.11,0.0,0.11,0.21,100.0,0.63,33.33,0.63,2.74,0.32,43.74,1.79,0.11,58.28,87.88,28.77,82.78,3.48,93.94,19.6,94.09,51.32,93.84,6.11,48.28,19.8,38.74,0.0,0.11,0.0,0.0,0.0,0.0,0.0,10.96,74.04,1.37,23.08,1.05,20.0,0.21,0.11,11.49,83.49,0,,0,,0,0.0,0.0,0.0,,,1.37,,,0.0,0.0,0.0,0.0,0,0.0
G. Koyalipou,Angers SCO,CSKA Sofia,CF,26,1000000,2028-06-30,16,1355,14,13.17,0,0.53,19.26,38.28,Central African Republic,"Central African Republic, France",right,184,76,yes,2.06,1.86,75.0,5.11,35.06,0.0,0.0,0.13,0.66,1.11,0.46,0,0.0,0,0.0,4.12,0.93,13,0.86,0.87,5,0.33,73,4.85,45.21,19.178,0.0,0.73,18.18,0.4,16.67,0.27,0.0,0.13,2.72,65.85,10.03,33.11,6.97,1.53,0.13,16.27,2.19,1.0,20.13,73.27,3.25,65.31,6.64,84.0,5.65,77.65,18.66,75.09,0.73,81.82,16.02,13.63,0.04,0.27,0.0,0.07,0.0,0.0,0.33,1.53,65.22,1.2,61.11,0.07,0.0,1.13,0.13,1.2,88.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
