Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Livaja,Hajduk Split,Hajduk Split,CF,32,5000000,2027-06-30,35,3403,19,16.99,9,4.72,20.89,35.44,Croatia,Croatia,right,182,80,no,2.7,1.96,60.81,3.83,37.93,0.16,0.23,0.19,1.35,1.98,0.9,5,0.13,1,0.03,2.96,0.5,13,0.34,0.45,6,0.16,88,2.33,47.73,21.591,0.24,1.61,32.79,0.66,32.0,0.93,31.43,0.29,2.67,44.55,11.24,29.18,4.34,0.9,0.05,13.44,2.8,1.45,19.57,69.59,4.92,57.53,4.39,89.16,6.14,71.55,16.13,75.41,1.9,50.0,18.58,34.78,0.12,0.98,0.05,0.05,0.37,35.71,0.63,2.94,59.46,2.46,46.24,0.87,36.36,1.32,0.5,3.17,79.17,0,,0,,0,0.0,0.0,0.0,,,0.45,,,0.03,0.03,0.0,0.0,7,85.714
B. Petković,Kocaelispor,Dinamo Zagreb,CF,31,5000000,2027-06-30,20,993,4,3.89,1,1.84,27.82,43.97,Croatia,Croatia,right,193,88,no,4.44,3.26,55.56,6.89,51.32,0.0,0.0,0.09,2.63,4.44,1.0,1,0.09,0,0.0,2.18,0.36,3,0.27,0.35,0,0.0,23,2.08,30.43,17.391,0.09,1.18,23.08,0.27,33.33,0.91,20.0,0.0,1.99,54.55,13.14,37.93,3.53,0.73,0.0,17.22,0.91,2.63,27.1,72.58,6.34,61.43,5.98,84.85,8.97,77.78,24.11,74.81,1.9,71.43,14.95,20.8,0.17,1.54,0.09,0.0,0.63,28.57,0.63,3.72,68.29,2.54,46.43,0.73,37.5,1.54,0.27,2.9,68.75,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.63,0.36,25.0,0.0,2,50.0
M. Perković,Cracovia Kraków,Dinamo Zagreb,LB,23,5000000,2029-06-30,1,13,0,0.0,0,0.0,,,Croatia,Croatia,left,185,77,no,,,,,,,7.5,,,7.5,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.69,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
N. Janković,Slovan Bratislava,Rijeka,"AMF, LAMF, LCMF",24,5000000,2029-01-15,34,3205,8,7.55,3,4.08,18.87,45.24,Croatia,Croatia,right,188,78,yes,6.49,5.78,58.74,3.29,33.33,0.37,0.48,0.03,2.72,3.57,1.29,6,0.17,0,0.0,2.86,0.22,7,0.2,0.21,1,0.03,74,2.08,31.08,10.811,0.08,1.6,43.86,1.12,47.5,0.48,35.29,0.17,2.67,53.68,7.24,46.12,1.85,1.85,0.17,14.21,1.4,1.68,22.27,74.15,7.19,60.55,5.31,91.01,6.23,78.38,18.95,78.96,1.8,48.44,18.03,32.34,0.11,0.9,0.03,0.0,0.17,50.0,0.34,3.2,65.79,1.57,51.79,0.31,36.36,0.37,0.62,3.93,69.29,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.51,0.11,25.0,1.04,2,50.0
T. Fruk,Rijeka,Rijeka,"CF, AMF, LCMF",25,5000000,2027-06-15,33,2798,10,9.96,7,3.35,23.96,37.85,Croatia,Croatia,left,177,74,no,3.86,3.73,58.62,3.96,21.14,0.29,0.39,0.16,1.38,1.87,0.87,5,0.16,1,0.03,2.93,0.32,10,0.32,0.32,2,0.06,71,2.28,38.03,14.085,0.23,1.29,22.5,0.48,6.67,0.77,33.33,0.16,3.02,56.38,13.12,37.25,2.51,1.29,0.03,14.99,1.29,2.61,23.71,73.0,8.46,60.08,4.63,93.75,6.75,76.19,19.88,78.32,2.61,56.79,18.5,33.75,0.11,1.19,0.06,0.0,0.29,22.22,0.45,4.18,68.46,2.12,45.45,0.51,37.5,0.87,0.35,4.15,73.64,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.51,0.32,20.0,1.06,0,0.0
W. Kanga,Gent,Dinamo Zagreb,CF,28,4000000,2028-06-30,15,879,3,4.91,0,0.49,18.33,29.61,France,"France, Côte d'Ivoire",right,189,90,no,1.43,1.33,30.77,3.17,51.61,0.0,0.0,0.31,1.02,1.83,1.33,1,0.1,1,0.1,1.64,0.31,3,0.31,0.5,1,0.1,25,2.56,36.0,12.0,0.0,0.31,33.33,0.0,0.0,0.31,33.33,0.0,1.23,50.0,8.81,27.91,5.02,0.61,0.0,6.76,0.92,1.02,10.55,76.7,1.23,75.0,3.99,89.74,2.35,73.91,10.24,78.0,0.0,0.0,12.02,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.1,0.2,100.0,0.61,66.67,0.0,0.0,0.92,0.0,0.41,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0
S. Biuk,Real Valladolid,Hajduk Split,"LAMF, LW",23,4000000,2029-06-30,17,976,2,2.33,0,1.31,21.76,44.49,Croatia,Croatia,right,184,76,no,5.26,4.89,49.06,2.49,44.44,0.18,0.26,0.09,2.67,3.83,1.11,3,0.28,0,0.0,4.98,0.18,2,0.18,0.21,0,0.0,20,1.84,15.0,10.0,0.0,3.41,16.22,3.23,17.14,0.18,0.0,0.28,7.65,53.01,12.91,46.43,4.61,4.52,0.28,17.7,1.75,1.29,26.65,69.2,7.01,63.16,6.09,90.91,5.9,56.25,22.22,78.01,1.11,50.0,17.16,19.94,0.12,1.01,0.09,0.0,0.28,33.33,0.37,1.75,63.16,3.69,42.5,0.46,20.0,1.75,0.46,3.69,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
I. Rakitić,,Hajduk Split,"LDMF, LCMF",38,3500000,,35,3377,2,1.99,4,6.45,13.83,52.41,Switzerland,"Switzerland, Croatia",right,184,78,no,7.78,5.12,63.54,1.76,40.91,0.61,0.89,0.13,3.92,5.7,1.04,4,0.11,0,0.0,1.36,0.05,2,0.05,0.05,0,0.0,44,1.17,15.91,4.545,0.11,1.41,39.62,0.77,41.38,0.61,39.13,0.21,0.96,61.11,4.45,48.5,0.53,1.57,0.11,36.01,0.61,1.28,53.33,81.61,20.68,70.49,7.52,93.97,17.43,88.23,44.83,87.57,7.09,52.26,19.06,36.26,0.17,1.63,0.03,0.03,0.13,20.0,0.32,11.11,64.75,3.41,51.56,1.09,36.59,1.41,0.56,10.53,80.51,0,,0,,0,0.0,0.0,0.0,,,1.09,,,2.21,0.35,7.69,4.37,0,0.0
R. Pierre-Gabriel,Dinamo Zagreb,Dinamo Zagreb,"LB, RB",28,3500000,,28,2485,3,1.5,1,2.85,14.31,53.42,France,"France, Martinique",right,177,80,no,7.21,5.65,69.23,1.88,44.23,0.33,0.52,0.0,2.97,4.76,0.91,9,0.33,0,0.0,2.68,0.11,3,0.11,0.05,0,0.0,23,0.83,30.43,13.043,0.04,2.46,44.12,0.83,47.83,1.59,43.18,0.33,1.67,73.91,5.18,46.85,1.74,1.99,0.22,32.12,1.59,0.62,42.81,84.94,17.02,77.87,6.7,97.3,11.37,90.76,37.99,90.18,2.39,42.42,17.29,27.2,0.1,0.72,0.07,0.0,0.11,100.0,0.33,6.16,79.41,2.03,60.71,0.33,44.44,0.54,1.01,8.37,78.79,0,,0,,0,0.0,0.0,0.0,,,0.91,,,0.0,0.0,0.0,0.0,0,0.0
V. Hodža,Rubin Kazan',Rijeka,"RDMF, RCMF",23,3500000,2028-06-30,5,317,2,0.47,0,0.13,16.18,42.11,Croatia,Croatia,right,183,74,no,5.39,5.68,40.0,2.84,60.0,0.0,0.0,0.0,3.12,3.98,2.84,0,0.0,0,0.0,1.7,0.57,2,0.57,0.13,0,0.0,6,1.7,33.33,33.333,0.0,1.42,60.0,0.28,0.0,0.85,66.67,0.0,1.42,20.0,4.54,37.5,1.42,0.28,0.0,15.33,0.57,1.7,22.71,87.5,6.25,81.82,3.12,100.0,9.09,90.63,19.02,89.55,2.27,87.5,18.32,24.68,0.04,0.57,0.0,0.0,0.0,0.0,0.28,2.27,87.5,1.14,75.0,0.0,0.0,0.85,0.57,3.41,75.0,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.0,0.0,0.0,0.0,0,0.0
