Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. O'Riley,Brighton,Celtic,RCMF,25,20000000,2029-06-30,2,194,0,0.47,1,0.4,12.06,53.85,England,"England, Denmark",left,189,77,no,4.18,1.39,66.67,0.93,0.0,0.0,0.0,0.0,3.25,7.0,1.86,0,0.0,0,0.0,5.1,0.0,0,0.0,0.22,0,0.0,8,3.71,37.5,0.0,0.46,3.71,12.5,1.86,25.0,1.86,0.0,1.39,2.78,100.0,4.64,80.0,6.49,0.93,0.0,45.0,1.39,0.46,58.92,80.31,12.06,65.38,15.77,100.0,22.27,77.08,51.03,86.36,4.64,60.0,20.36,44.31,0.19,2.78,0.0,0.0,0.93,50.0,0.93,4.18,66.67,6.03,46.15,1.86,50.0,3.25,0.93,7.89,82.35,0,,0,,0,0.0,0.0,0.0,,,0.93,,,0.46,0.46,0.0,5.1,0,0.0
C. Carter-Vickers,Celtic,Celtic,RCB,28,14000000,2029-05-31,30,2849,1,0.93,0,0.0,14.15,64.96,England,"England, United States",right,183,92,no,6.35,4.01,73.23,6.03,64.92,0.13,0.27,0.41,3.29,7.03,0.73,0,0.0,0,0.0,0.19,0.03,1,0.03,0.03,0,0.0,6,0.19,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,1.39,45.45,0.38,2.02,0.0,77.93,0.63,0.44,97.74,95.54,35.76,90.72,3.89,99.19,49.44,98.59,95.47,96.76,2.27,44.44,19.59,26.56,0.0,0.0,0.06,0.13,0.03,100.0,0.0,11.12,89.49,0.38,25.0,0.25,37.5,0.13,0.0,12.19,84.46,0,,0,,0,0.0,0.0,0.0,,,3.16,,,0.0,0.0,0.0,0.0,0,0.0
K. Furuhashi,Los Angeles Galaxy,Celtic,"CF, RW",31,14000000,2028-06-30,22,1434,10,12.28,2,1.35,7.22,36.52,Japan,Japan,right,170,63,no,1.88,1.26,55.0,1.13,22.22,0.06,0.14,0.06,1.13,2.49,0.31,0,0.0,0,0.0,3.14,0.63,10,0.63,0.77,3,0.19,60,3.77,53.33,16.667,0.13,0.44,57.14,0.06,0.0,0.31,60.0,0.0,1.88,43.33,3.58,33.33,5.4,0.69,0.06,12.05,1.32,0.5,10.86,68.79,2.95,53.19,1.69,92.59,3.58,70.18,9.98,70.44,0.5,50.0,15.4,8.81,0.09,0.63,0.13,0.0,0.06,100.0,0.25,1.0,43.75,0.94,53.33,0.06,100.0,0.82,0.25,1.19,84.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
R. Hatate,Celtic,Celtic,LCMF,28,10000000,2028-05-31,37,2557,10,5.76,5,4.91,15.31,42.3,Japan,Japan,right,172,70,no,4.29,4.22,57.5,1.8,29.41,0.46,0.99,0.04,1.41,3.05,1.23,2,0.07,0,0.0,2.96,0.35,10,0.35,0.2,0,0.0,70,2.46,30.0,14.286,0.18,2.04,37.93,0.99,57.14,1.02,20.69,0.46,1.72,65.31,7.11,38.12,3.41,1.02,0.14,49.38,0.46,0.84,61.42,82.35,15.24,64.9,15.49,94.09,20.66,85.86,54.45,87.14,5.14,47.95,17.57,32.36,0.17,1.3,0.18,0.07,0.6,52.94,0.77,7.46,64.62,5.31,54.97,1.58,46.67,2.75,0.7,8.83,73.71,0,,0,,0,0.0,0.0,0.0,,,0.81,,,0.04,0.04,0.0,0.07,0,0.0
Jota,Celtic,Celtic,LWF,27,9000000,2030-06-30,11,601,4,2.89,2,2.12,24.41,47.24,Portugal,Portugal,right,175,67,no,4.34,4.34,58.62,1.95,38.46,0.3,0.72,0.0,1.5,3.61,1.05,0,0.0,0,0.0,9.43,0.6,4,0.6,0.43,0,0.0,15,2.25,53.33,26.667,0.3,6.14,36.59,5.24,40.0,0.9,16.67,1.95,11.23,53.33,15.72,48.57,4.19,3.59,0.75,34.14,1.35,1.5,41.93,77.14,7.19,60.42,12.88,96.51,15.42,71.84,33.69,87.56,2.25,33.33,17.89,28.84,0.32,1.5,0.15,0.0,0.0,0.0,1.05,1.5,30.0,7.19,60.42,0.6,25.0,2.85,1.95,7.19,85.42,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.15,0.15,0.0,0.75,0,0.0
A. Engels,West Ham United,Celtic,"RCMF, LCMF",22,9000000,2028-06-30,34,2299,9,10.9,6,5.08,13.7,49.14,Belgium,Belgium,right,185,78,no,4.78,4.46,59.65,1.84,40.43,0.31,0.71,0.08,1.8,4.08,1.25,2,0.08,0,0.0,2.35,0.35,2,0.08,0.43,0,0.0,59,2.31,33.9,15.254,0.23,3.05,20.51,1.02,19.23,2.04,21.15,0.43,1.68,53.49,5.13,43.51,3.05,1.57,0.2,41.89,0.82,1.17,51.75,82.53,12.17,68.17,14.37,95.37,16.36,83.73,45.72,88.44,3.25,51.81,16.85,35.95,0.2,1.68,0.04,0.08,0.35,11.11,0.35,5.83,66.44,4.7,38.33,0.94,25.0,1.64,0.55,5.87,78.67,0,,0,,0,0.0,0.0,0.0,,,0.51,,,0.51,0.16,25.0,6.66,8,87.5
C. McGregor,Celtic,Celtic,DMF,33,8500000,2028-05-31,35,3182,8,1.84,2,2.74,9.62,54.71,Scotland,Scotland,left,178,74,no,5.88,3.51,71.77,0.99,42.86,0.08,0.18,0.2,3.28,7.02,0.4,3,0.08,0,0.0,1.1,0.23,8,0.23,0.05,0,0.0,37,1.05,27.03,21.622,0.06,0.4,35.71,0.2,42.86,0.2,28.57,0.06,0.88,67.74,3.65,41.86,0.59,1.13,0.17,61.74,0.11,0.59,75.32,94.14,16.89,84.25,10.75,96.32,36.43,98.21,73.31,95.56,1.61,43.86,16.94,24.18,0.08,0.74,0.11,0.03,0.17,50.0,0.25,11.37,90.05,1.92,61.76,0.68,45.83,1.41,0.14,7.66,87.08,0,,0,,0,0.0,0.0,0.0,,,0.88,,,0.0,0.0,0.0,0.06,0,0.0
G. Taylor,PAOK,Celtic,LB,28,7500000,2028-06-30,28,2193,0,0.79,7,2.71,15.35,51.87,Scotland,Scotland,left,173,68,no,6.61,4.88,73.11,5.17,42.86,0.16,0.35,0.12,2.87,6.16,0.66,5,0.21,0,0.0,1.56,0.0,0,0.0,0.03,0,0.0,11,0.45,18.18,0.0,0.29,2.95,26.39,2.71,27.27,0.04,0.0,0.33,0.82,55.0,3.16,38.96,2.18,1.27,0.08,70.83,1.48,0.86,83.8,87.46,26.18,76.96,16.87,96.59,28.32,91.59,74.73,92.75,6.16,52.0,18.79,34.94,0.11,1.15,0.04,0.12,0.45,54.55,0.49,13.01,78.23,5.17,49.21,1.72,38.1,2.01,0.74,14.61,81.46,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.29,0,0.0
J. Schlupp,,Celtic,LB,33,7000000,,13,762,1,0.75,1,1.32,16.77,45.07,Germany,"Germany, Ghana",left,178,72,no,7.68,4.72,57.5,5.2,45.45,0.35,0.78,0.0,4.61,10.09,0.47,0,0.0,0,0.0,2.24,0.12,1,0.12,0.09,0,0.0,11,1.3,36.36,9.091,0.12,1.77,40.0,1.77,40.0,0.0,0.0,0.71,1.89,56.25,5.31,33.33,1.54,1.18,0.12,62.24,0.94,0.83,74.17,87.58,26.57,78.67,16.18,94.89,21.97,94.09,66.61,93.09,5.79,38.78,18.15,27.84,0.16,0.71,0.0,0.0,0.0,0.0,0.47,10.04,70.59,2.24,68.42,0.47,25.0,0.94,0.71,12.52,80.19,0,,0,,0,0.0,0.0,0.0,,,2.36,,,0.0,0.0,0.0,0.0,0,0.0
V. Černý,Beşiktaş,Rangers,"RAMF, RW",28,7000000,2028-06-30,33,2669,12,10.2,3,10.42,13.69,46.06,Czech Republic,Czech Republic,left,182,68,no,3.74,3.03,60.0,0.61,5.56,0.0,0.0,0.0,1.92,3.25,0.3,3,0.1,0,0.0,6.31,0.4,12,0.4,0.34,0,0.0,93,3.14,40.86,12.903,0.1,3.27,42.27,0.37,63.64,2.87,38.82,0.47,6.54,54.64,8.94,46.79,4.32,4.15,0.51,32.41,2.5,0.2,38.61,77.9,9.68,68.64,7.55,89.73,12.41,79.89,33.21,82.94,2.12,53.97,16.45,26.78,0.35,2.63,0.1,0.03,0.17,40.0,0.84,3.71,64.55,5.33,60.76,0.61,44.44,3.03,1.48,7.18,86.38,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.51,0.03,0.0,2.9,0,0.0
