Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Abu Fani,Crvena Zvezda,Ferencváros,"LDMF, LCMF",28,6000000,2029-06-30,26,1568,2,2.13,5,6.77,20.49,53.22,Israel,Israel,right,164,62,no,5.74,5.68,66.67,1.49,46.15,0.23,0.41,0.06,1.72,3.1,0.8,4,0.23,1,0.06,4.02,0.11,2,0.11,0.12,1,0.06,34,1.95,14.71,5.882,0.29,3.56,41.94,2.18,50.0,1.26,31.82,0.4,3.16,63.64,11.02,46.88,2.01,1.72,0.06,44.08,0.46,3.04,59.41,84.54,20.2,76.14,6.95,95.04,22.33,89.2,48.56,90.43,7.29,66.14,19.76,33.06,0.39,2.53,0.17,0.06,0.4,57.14,0.8,10.73,78.61,6.43,56.25,1.55,33.33,2.76,1.43,11.42,89.45,0,,0,,0,0.0,0.0,0.0,,,0.34,,,2.01,0.11,50.0,4.02,0,0.0
K. Zachariassen,Ferencváros,Ferencváros,"AMF, RAMF",32,4500000,2027-06-30,26,1247,0,2.58,1,1.42,15.81,42.92,Norway,Norway,right,180,74,no,4.47,4.26,61.02,3.97,29.09,0.07,0.12,0.07,1.8,3.1,1.15,1,0.07,0,0.0,1.59,0.0,0,0.0,0.19,0,0.0,15,1.08,26.67,0.0,0.07,1.88,26.92,0.58,25.0,1.3,27.78,0.07,1.52,52.38,5.2,41.67,3.18,1.15,0.14,18.98,2.09,1.3,25.84,72.35,5.63,58.97,7.79,92.59,5.77,78.75,22.88,77.6,1.15,43.75,15.21,15.75,0.1,0.79,0.07,0.0,0.0,0.0,0.29,2.74,60.53,1.23,47.06,0.07,100.0,0.43,0.43,2.67,62.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.22,0,0.0
A. Traore,Gençlerbirliği,Ferencváros,"RAMF, LAMF, RW",31,4000000,2027-06-30,26,1614,3,4.54,1,3.54,17.68,47.32,Mali,Mali,left,178,74,no,3.96,2.84,68.63,2.34,45.24,0.0,0.0,0.11,2.01,3.48,0.5,2,0.11,0,0.0,5.3,0.17,3,0.17,0.25,1,0.06,38,2.12,39.47,7.895,0.06,3.96,26.76,2.29,24.39,1.67,30.0,0.22,5.91,55.66,10.82,46.91,4.96,3.07,0.22,24.81,2.51,0.95,33.4,77.46,6.86,68.29,9.87,93.22,9.26,72.29,28.66,85.41,0.95,41.18,17.65,14.57,0.2,1.73,0.17,0.0,0.17,66.67,0.84,1.95,57.14,3.79,48.53,0.33,50.0,2.34,1.0,4.68,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.06,0.06,0.0,0.0,0,0.0
C. Ramírez,Lokomotiv Moskva,Ferencváros,"LB, LWB",31,3500000,2027-06-30,21,1327,0,0.16,1,1.03,13.09,57.51,Ecuador,"Ecuador, Russia",left,172,76,no,7.12,4.88,66.67,2.71,50.0,0.14,0.22,0.27,3.73,6.18,0.81,1,0.07,0,0.0,2.92,0.0,0,0.0,0.01,0,0.0,10,0.68,30.0,0.0,0.07,3.93,36.21,3.8,37.5,0.14,0.0,0.27,1.9,64.29,4.61,60.29,0.61,2.37,0.2,49.71,2.03,1.29,63.14,85.18,23.81,78.06,8.75,96.9,20.96,87.38,51.95,92.04,7.32,62.04,19.13,30.42,0.07,0.95,0.07,0.0,0.2,33.33,0.27,10.65,70.06,4.27,42.86,0.68,50.0,0.68,1.36,13.02,82.29,0,,0,,0,0.0,0.0,0.0,,,1.02,,,0.0,0.0,0.0,0.07,0,0.0
P. Rommens,Ferencváros,Ferencváros,"RDMF, LDMF, RCMF",28,3500000,2028-06-30,16,1147,1,0.62,0,0.76,10.2,46.15,Belgium,Belgium,right,175,69,no,5.02,4.79,55.74,1.8,43.48,0.08,0.15,0.0,2.28,4.44,1.1,0,0.0,0,0.0,0.94,0.08,1,0.08,0.05,0,0.0,10,0.78,30.0,10.0,0.0,0.78,40.0,0.24,0.0,0.55,57.14,0.0,0.39,40.0,1.73,40.91,0.71,0.78,0.0,43.08,0.24,0.31,57.67,89.93,15.22,78.87,8.95,96.49,25.27,93.79,53.04,92.9,3.84,59.18,18.11,31.06,0.06,0.86,0.0,0.08,0.39,60.0,0.0,9.97,85.04,1.26,43.75,0.55,42.86,0.63,0.31,8.0,87.25,0,,0,,0,0.0,0.0,0.0,,,0.71,,,1.57,0.16,0.0,1.88,0,0.0
A. Ćirković,Ferencváros,Ferencváros,"LW, LWB",24,2700000,2027-12-31,5,197,0,0.17,0,0.61,18.27,40.0,Serbia,Serbia,right,180,75,no,1.83,1.83,50.0,1.37,33.33,0.0,0.0,0.46,0.91,1.62,0.0,1,0.46,0,0.0,6.4,0.0,0,0.0,0.08,0,0.0,3,1.37,66.67,0.0,0.0,5.48,33.33,5.03,27.27,0.46,100.0,0.91,8.22,44.44,13.25,41.38,5.03,3.2,0.0,24.67,2.28,1.83,36.09,77.22,7.77,70.59,9.59,95.24,9.59,61.9,28.78,85.71,2.28,80.0,15.5,12.51,0.28,2.74,0.0,0.0,0.0,0.0,1.37,1.83,100.0,6.4,28.57,0.91,50.0,2.28,1.37,5.03,81.82,0,,0,,0,0.0,0.0,0.0,,,0.91,,,0.0,0.0,0.0,0.0,0,0.0
D. Dibusz,Ferencváros,Ferencváros,GK,35,2500000,2027-06-30,27,2630,0,0.0,0,0.0,0.27,100.0,Hungary,Hungary,right,188,81,no,1.3,0.0,0.0,0.27,100.0,0.0,0.0,0.0,1.3,2.14,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.07,0.03,21.7,91.01,11.43,85.03,0.0,0.0,9.79,97.9,15.09,97.51,6.57,76.56,29.6,42.88,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.03,76.67,0.1,33.33,0.0,0.0,0.03,0.0,6.26,78.69,23,0.79,87,2.98,15,73.56,23.01,0.79,0.01,0.0,0.0,1.03,0.27,,,,0.0,0,0.0
H. Maïga,Ferencváros,Ferencváros,"RDMF, RCMF, DMF",30,2500000,,26,1765,2,0.69,1,0.22,17.18,53.41,Côte d'Ivoire,Côte d'Ivoire,right,181,80,no,9.64,5.97,63.25,4.74,46.24,0.46,0.74,0.56,5.41,8.66,1.68,3,0.15,0,0.0,0.76,0.1,2,0.1,0.04,0,0.0,14,0.71,28.57,14.286,0.05,0.61,0.0,0.05,0.0,0.56,0.0,0.15,0.71,71.43,3.72,52.05,0.66,0.61,0.0,32.43,0.25,1.02,46.5,87.39,11.01,74.07,9.43,96.76,19.38,90.79,42.68,91.16,3.21,53.97,18.88,35.24,0.01,0.2,0.0,0.05,0.05,100.0,0.1,5.3,69.23,1.02,15.0,0.2,25.0,0.2,0.1,5.76,63.72,0,,0,,0,0.0,0.0,0.0,,,0.87,,,0.0,0.0,0.0,0.0,0,0.0
I. Cissé,,Ferencváros,"RCB, CB, LCB",30,2500000,,31,2874,1,2.51,3,0.73,13.28,59.91,France,"France, Senegal",right,185,70,no,7.36,5.23,75.45,2.91,45.16,0.0,0.0,0.25,3.41,5.6,0.88,1,0.03,0,0.0,0.38,0.03,1,0.03,0.08,0,0.0,11,0.34,9.09,9.091,0.09,0.19,16.67,0.03,0.0,0.16,20.0,0.03,0.47,60.0,2.57,48.78,0.75,0.66,0.03,43.0,0.63,0.78,56.99,92.47,17.54,83.57,3.26,96.15,31.19,97.39,53.67,94.69,3.13,59.0,19.79,34.4,0.02,0.13,0.03,0.0,0.19,16.67,0.13,5.82,75.81,0.47,26.67,0.25,25.0,0.22,0.06,7.33,78.21,0,,0,,0,0.0,0.0,0.0,,,1.85,,,0.0,0.0,0.0,0.0,0,0.0
Raul Gustavo,New York City,Ferencváros,LCB,27,2500000,2027-12-31,12,1042,2,2.24,0,0.13,16.07,63.98,Brazil,Brazil,left,189,87,no,9.33,6.65,77.92,5.27,60.66,0.17,0.29,0.17,3.97,6.63,0.43,0,0.0,0,0.0,0.78,0.17,2,0.17,0.19,0,0.0,9,0.78,44.44,22.222,0.0,0.35,75.0,0.35,75.0,0.0,0.0,0.09,0.35,50.0,1.47,41.18,0.78,0.78,0.0,44.05,0.6,0.78,60.89,86.52,24.44,73.85,4.58,92.45,26.95,95.83,51.22,93.09,9.41,51.38,23.67,40.11,0.01,0.17,0.0,0.0,0.0,0.0,0.17,8.98,63.46,0.86,30.0,0.6,14.29,0.17,0.17,10.8,68.8,0,,0,,0,0.0,0.0,0.0,,,2.68,,,0.0,0.0,0.0,0.0,0,0.0
