Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Kovačević,Norwich City,Legia Warszawa,GK,28,6000000,2029-06-30,6,602,0,0.0,0,0.0,1.5,80.0,Bosnia and Herzegovina,"Bosnia and Herzegovina, Serbia",right,192,86,no,1.5,0.0,0.0,1.05,85.71,0.0,0.0,0.0,1.5,2.46,0.15,1,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,66.67,0.0,0.0,0.0,14.8,0.15,0.3,21.38,81.82,11.06,66.22,0.0,0.0,9.72,98.46,14.05,98.94,7.33,48.98,30.03,44.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,35.71,0.45,33.33,0.45,33.33,0.15,0.0,4.63,61.29,9,1.35,19,2.84,1,52.63,9.02,1.35,0.02,0.003,0.0,1.94,1.05,,,,0.0,0,0.0
M. Perković,Cracovia Kraków,Cracovia Kraków,LCB,23,5000000,2029-06-30,8,625,2,1.31,0,0.04,13.1,61.54,Croatia,Croatia,left,185,77,no,10.22,5.76,77.5,4.75,63.64,1.01,1.29,0.29,4.75,6.07,0.58,3,0.43,0,0.0,0.72,0.29,2,0.29,0.19,1,0.14,6,0.86,66.67,33.333,0.0,0.58,25.0,0.58,25.0,0.0,0.0,0.0,0.14,0.0,1.44,10.0,1.44,2.59,0.43,29.23,0.72,0.29,44.5,83.17,18.0,73.6,3.89,88.89,15.98,89.19,37.73,90.08,6.19,46.51,16.64,33.24,0.01,0.14,0.14,0.0,0.0,0.0,0.14,6.05,64.29,1.01,28.57,0.29,0.0,0.14,0.14,7.2,66.0,0,,0,,0,0.0,0.0,0.0,,,0.86,,,0.0,0.0,0.0,0.0,0,0.0
D. Marczuk,Real Salt Lake,Jagiellonia Białystok,RW,22,3500000,2027-12-31,3,195,0,0.44,0,1.28,17.08,59.46,Poland,Poland,both,177,74,no,4.62,5.54,66.67,0.46,100.0,0.0,0.0,0.0,0.92,1.46,1.38,1,0.46,0,0.0,6.92,0.0,0,0.0,0.2,0,0.0,5,2.31,40.0,0.0,0.0,5.54,33.33,0.0,0.0,5.54,33.33,0.0,8.31,50.0,9.69,52.38,4.62,2.31,0.46,16.15,4.62,0.46,21.69,57.45,2.31,40.0,3.23,71.43,9.23,70.0,14.77,68.75,1.85,25.0,22.48,30.75,0.59,2.77,0.0,0.0,0.0,0.0,1.85,0.46,0.0,4.62,40.0,0.0,0.0,1.38,1.85,3.23,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
J. Nsamé,Pogoń Szczecin,Legia Warszawa,CF,33,2800000,2027-06-30,6,339,1,0.71,0,0.0,11.15,33.33,Cameroon,"Cameroon, France",right,188,88,no,2.92,0.8,100.0,3.98,33.33,0.27,0.38,0.0,1.86,2.63,0.0,0,0.0,0,0.0,0.27,0.27,1,0.27,0.19,0,0.0,4,1.06,25.0,25.0,0.0,0.27,0.0,0.0,0.0,0.27,0.0,0.0,0.27,0.0,3.45,23.08,2.92,0.27,0.0,5.58,1.33,0.8,7.7,72.41,0.8,33.33,3.19,91.67,2.12,75.0,7.17,77.78,0.27,0.0,12.22,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
F. Tudor,Raków Częstochowa,Raków Częstochowa,"RCB, RWB",30,2500000,2027-06-30,30,2803,0,0.69,3,3.12,12.75,50.63,Croatia,Croatia,right,173,68,no,6.81,5.23,50.92,2.57,55.0,0.32,0.48,0.26,3.82,5.68,0.87,7,0.22,2,0.06,1.7,0.0,0,0.0,0.02,0,0.0,14,0.45,0.0,0.0,0.1,2.34,42.47,0.1,100.0,2.18,39.71,0.51,0.96,70.0,3.05,51.58,0.93,1.64,0.51,34.39,1.57,1.09,47.87,82.23,17.76,71.25,6.36,95.96,18.66,87.26,40.46,88.49,5.2,50.62,20.6,37.44,0.1,0.67,0.03,0.03,0.19,16.67,0.19,7.26,68.58,3.18,43.43,0.64,25.0,0.61,0.9,9.02,77.58,0,,0,,0,0.0,0.0,0.0,,,1.35,,,0.42,0.03,0.0,0.22,0,0.0
E. Ebosse,Udinese,Jagiellonia Białystok,LCB,27,2500000,2027-06-30,11,1001,0,0.46,0,0.0,9.89,60.91,France,"France, Cameroon",left,185,74,no,6.65,4.41,69.39,2.52,57.14,0.09,0.13,0.9,3.51,5.2,0.99,3,0.27,0,0.0,0.18,0.0,0,0.0,0.04,0,0.0,2,0.18,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.18,100.0,1.26,50.0,0.27,1.26,0.09,38.12,0.09,0.63,53.32,90.05,18.52,79.13,2.97,100.0,26.52,96.61,47.38,94.69,5.84,53.85,20.91,41.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,79.27,0.63,14.29,0.36,25.0,0.18,0.0,8.54,68.42,0,,0,,0,0.0,0.0,0.0,,,1.98,,,0.0,0.0,0.0,0.0,0,0.0
I. Shkurin,Katowice,Legia Warszawa,CF,26,2500000,2028-06-30,33,2449,7,12.73,4,2.28,18.15,34.41,Belarus,Belarus,right,188,80,no,3.67,2.35,57.81,4.56,34.68,0.33,0.43,0.26,1.98,2.58,0.81,1,0.04,0,0.0,1.8,0.26,7,0.26,0.47,1,0.04,56,2.06,41.07,12.5,0.15,0.48,30.77,0.22,33.33,0.18,20.0,0.11,1.84,42.0,7.9,27.44,4.12,0.81,0.11,10.73,1.95,1.07,15.43,74.29,3.12,56.47,3.86,89.52,4.74,79.84,13.89,77.51,1.07,51.72,15.76,15.92,0.08,0.66,0.04,0.0,0.11,33.33,0.22,1.29,62.86,0.62,64.71,0.11,33.33,0.81,0.15,1.32,63.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0
P. Wålemark,Lech Poznań,Lech Poznań,"LW, RAMF, LAMF",24,2500000,2029-06-30,22,1365,8,4.92,3,2.83,20.7,50.32,Sweden,Sweden,left,184,75,no,5.93,6.07,59.78,1.45,50.0,0.0,0.0,0.2,2.31,3.63,1.58,4,0.26,0,0.0,5.6,0.53,8,0.53,0.32,1,0.07,52,3.43,40.38,15.385,0.2,3.82,20.69,2.51,18.42,1.12,23.53,0.4,6.0,54.95,11.21,48.24,4.68,2.44,0.46,18.26,2.24,2.18,20.97,63.21,4.62,55.71,4.02,88.52,7.45,59.29,15.76,75.31,1.52,43.48,17.84,19.09,0.19,1.19,0.0,0.0,0.2,66.67,0.53,1.05,56.25,3.43,42.31,0.26,75.0,1.65,0.59,3.49,60.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.4,0.13,50.0,1.19,0,0.0
Mario González,Noah,Lech Poznań,"CF, AMF",30,2500000,,6,118,1,0.21,0,0.0,12.97,23.53,Spain,Spain,right,183,77,no,3.81,3.05,50.0,3.05,25.0,0.0,0.0,0.0,2.29,3.75,0.0,0,0.0,0,0.0,0.76,0.76,1,0.76,0.16,1,0.76,2,1.53,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,5.34,0.0,1.53,0.0,0.0,16.02,1.53,0.0,21.36,71.43,3.81,40.0,6.1,75.0,5.34,85.71,20.59,74.07,0.76,0.0,14.44,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,33.33,1.53,50.0,0.0,0.0,0.76,0.0,1.53,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
F. Szymczak,Zagłębie Lubin,Katowice,CF,24,2000000,2029-06-30,30,1140,5,5.3,0,1.17,23.61,30.77,Poland,Poland,both,187,84,no,4.11,3.87,53.06,3.08,35.9,0.24,0.37,0.16,1.82,2.8,1.82,1,0.08,0,0.0,2.53,0.39,4,0.32,0.42,0,0.0,39,3.08,28.21,12.821,0.0,0.79,20.0,0.32,25.0,0.39,20.0,0.16,3.24,46.34,12.39,26.11,4.11,1.18,0.24,10.26,1.58,0.55,15.79,84.0,2.84,77.78,4.66,98.31,4.11,78.85,14.68,88.17,0.47,50.0,15.19,8.26,0.09,0.95,0.08,0.0,0.08,0.0,0.24,0.87,90.91,0.79,40.0,0.08,0.0,0.79,0.0,1.18,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
