Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Kevin,Fulham,Shakhtar Donetsk,"LW, LWF",23,12000000,2030-06-30,24,1835,6,6.94,4,3.76,22.61,45.77,Brazil,Brazil,right,176,69,no,5.15,3.48,78.87,0.98,30.0,0.34,0.55,0.0,2.06,3.32,0.44,5,0.25,0,0.0,7.16,0.29,4,0.2,0.34,0,0.0,57,2.8,36.84,10.526,0.2,3.68,40.0,3.24,40.91,0.29,33.33,0.49,8.63,52.27,16.19,40.3,4.51,5.54,0.88,23.64,2.45,1.13,31.0,78.8,4.76,68.04,9.32,92.63,11.53,78.3,26.04,84.56,1.32,74.07,17.71,22.04,0.18,0.88,0.05,0.05,0.15,100.0,0.88,1.96,70.0,3.09,50.79,0.25,100.0,1.28,1.23,4.37,78.65,0,,0,,0,0.0,0.0,0.0,,,0.39,,,0.2,0.1,50.0,0.29,2,100.0
O. Zubkov,AEK Athens,Shakhtar Donetsk,"RW, RWF",29,7000000,2030-06-30,12,792,5,2.37,2,2.01,19.55,48.26,Ukraine,Ukraine,left,182,71,no,6.02,5.45,72.92,0.57,20.0,0.11,0.18,0.0,1.93,3.09,0.57,1,0.11,0,0.0,6.14,0.57,5,0.57,0.27,1,0.11,32,3.64,37.5,15.625,0.23,3.18,39.29,0.34,66.67,2.84,36.0,0.57,7.05,48.39,11.14,40.82,4.09,3.75,0.23,32.16,2.95,0.57,40.11,79.32,7.84,73.91,8.64,94.74,16.36,78.47,33.86,84.56,3.3,62.07,18.3,40.77,0.23,2.16,0.11,0.0,0.34,33.33,0.8,3.07,62.96,5.23,67.39,0.34,33.33,3.07,1.02,6.48,91.23,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.68,0.23,0.0,2.84,0,0.0
D. Sikan,Anderlecht,Shakhtar Donetsk,CF,25,7000000,2030-06-30,13,794,3,4.31,1,0.35,19.61,36.42,Ukraine,Ukraine,right,187,74,no,4.08,3.4,60.0,4.19,45.95,0.57,0.96,0.0,1.47,2.48,1.47,2,0.23,0,0.0,1.02,0.34,3,0.34,0.49,1,0.11,21,2.38,28.57,14.286,0.11,0.23,0.0,0.0,0.0,0.11,0.0,0.0,1.13,30.0,8.27,28.77,4.42,0.45,0.11,10.99,1.59,1.47,15.3,80.0,1.7,73.33,5.78,80.39,4.31,81.58,14.74,82.31,0.34,33.33,14.62,7.04,0.04,0.57,0.11,0.0,0.0,0.0,0.34,1.25,72.73,0.79,14.29,0.0,0.0,0.79,0.11,1.13,50.0,0,,0,,0,0.0,0.0,0.0,,,0.11,,,0.0,0.0,0.0,0.0,0,0.0
D. Riznyk,Shakhtar Donetsk,Shakhtar Donetsk,GK,27,7000000,2031-07-31,24,2274,0,0.0,0,0.0,0.59,53.33,Ukraine,Ukraine,right,191,85,no,1.15,0.04,0.0,0.12,100.0,0.0,0.0,0.0,1.15,1.77,0.0,0,0.0,0,0.0,0.12,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,50.0,0.44,45.45,0.0,0.0,0.0,18.96,0.4,0.08,25.92,90.53,12.7,82.55,0.04,100.0,11.72,97.97,19.16,97.93,6.77,69.59,27.17,43.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,52.17,0.16,25.0,0.04,0.0,0.04,0.0,4.79,80.17,18,0.71,65,2.57,10,72.31,17.77,0.7,-0.23,-0.009,0.0,0.99,0.12,,,,0.0,0,0.0
V. Brazhko,Dynamo Kyiv U21,Dynamo Kyiv,"RDMF, DMF, RCMF",24,5000000,2029-06-30,22,1536,3,1.97,1,1.06,12.36,49.29,Ukraine,Ukraine,right,184,77,no,8.26,4.28,63.01,2.11,41.67,0.18,0.26,0.53,5.39,8.0,0.82,4,0.23,0,0.0,2.05,0.18,3,0.18,0.12,0,0.0,44,2.58,25.0,6.818,0.06,0.94,50.0,0.35,50.0,0.59,50.0,0.0,1.17,70.0,4.04,37.68,1.0,0.7,0.06,42.95,0.18,0.59,55.78,88.03,15.35,78.63,7.73,94.7,26.6,92.73,49.1,91.29,5.74,66.33,19.84,31.76,0.06,0.64,0.06,0.12,0.12,100.0,0.35,9.02,78.57,1.88,56.25,0.59,40.0,0.7,0.35,8.2,77.14,0,,0,,0,0.0,0.0,0.0,,,1.58,,,0.23,0.23,25.0,0.0,0,0.0
O. Pikhalyonok,Dynamo Kyiv,Dynamo Kyiv,"RCMF, LCMF, AMF",29,5000000,2029-06-30,19,810,3,1.32,0,1.51,12.56,42.48,Ukraine,Ukraine,left,179,72,no,4.89,3.0,66.67,1.33,33.33,0.44,0.67,0.33,2.44,3.71,0.56,2,0.22,0,0.0,2.44,0.33,3,0.33,0.15,0,0.0,21,2.33,42.86,14.286,0.0,1.22,63.64,1.22,63.64,0.0,0.0,0.11,1.11,40.0,6.22,32.14,2.44,1.44,0.11,35.22,0.78,0.78,46.44,89.71,12.56,82.3,10.33,98.92,16.89,90.79,41.44,92.49,3.78,67.65,18.18,24.04,0.17,1.56,0.11,0.0,0.22,100.0,0.33,6.22,82.14,3.11,71.43,0.33,33.33,1.67,0.67,7.22,84.62,0,,0,,0,0.0,0.0,0.0,,,0.78,,,0.44,0.0,0.0,2.67,0,0.0
O. Tymchyk,Dynamo Kyiv,Dynamo Kyiv,RB,29,4000000,2028-06-30,20,1866,0,0.82,0,1.77,13.99,53.1,Ukraine,Ukraine,right,180,67,no,8.01,5.31,67.27,2.12,54.55,0.05,0.07,0.39,4.39,6.22,0.72,0,0.0,0,0.0,1.83,0.0,0,0.0,0.04,0,0.0,17,0.82,23.53,0.0,0.0,3.76,25.64,0.0,0.0,3.71,25.97,0.29,1.25,53.85,3.86,37.5,1.64,2.8,0.68,36.37,1.98,0.92,48.81,80.43,16.11,73.95,10.61,97.27,13.75,81.05,42.15,87.64,2.99,46.77,18.69,34.09,0.09,0.77,0.1,0.05,0.1,0.0,0.29,5.69,76.27,3.42,46.48,0.24,20.0,0.82,0.92,8.39,67.82,0,,0,,0,0.0,0.0,0.0,,,1.3,,,0.0,0.0,0.0,0.0,0,0.0
B. Mykhailichenko,Polissya,Polissya,"RB, LB",29,2500000,2028-06-30,26,2261,1,0.66,1,1.74,16.28,56.97,Ukraine,Ukraine,left,178,73,no,9.31,6.81,68.42,2.55,48.44,0.6,0.86,0.24,4.06,5.84,0.84,4,0.16,1,0.04,2.91,0.04,1,0.04,0.03,0,0.0,13,0.52,23.08,7.692,0.04,3.18,38.75,1.71,41.86,1.47,35.14,0.32,2.23,69.64,4.86,53.28,0.76,2.07,0.32,30.85,2.67,0.96,44.06,78.86,15.17,68.77,7.72,94.33,15.48,82.26,36.46,85.59,4.78,53.33,19.95,34.65,0.07,0.76,0.04,0.04,0.08,0.0,0.32,6.17,67.74,3.34,44.05,0.24,16.67,0.64,0.96,9.23,75.0,0,,0,,0,0.0,0.0,0.0,,,0.52,,,0.12,0.0,0.0,0.36,0,0.0
O. Gutsulyak,,Polissya,"RW, RAMF, RWF",28,2500000,,29,2583,11,9.64,5,3.01,24.39,41.14,Ukraine,Ukraine,left,188,81,no,4.91,3.69,66.04,4.04,51.72,0.03,0.05,0.03,2.44,3.45,1.08,3,0.1,0,0.0,3.62,0.38,10,0.35,0.34,1,0.03,51,1.78,50.98,21.569,0.17,1.6,39.13,0.14,0.0,1.46,42.86,0.31,4.15,50.42,13.0,33.51,3.73,2.23,0.31,18.05,2.16,1.64,27.8,79.95,5.68,68.71,8.29,93.28,8.26,78.9,24.46,83.33,1.78,70.59,16.95,32.32,0.1,1.01,0.14,0.1,0.03,0.0,0.42,2.4,71.01,2.09,66.67,0.21,50.0,1.18,0.59,3.62,79.81,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.03,0.03,100.0,0.03,1,100.0
V. Dubinchak,Dynamo Kyiv U21,Dynamo Kyiv,LB,28,2500000,2028-06-30,21,1538,0,0.18,4,2.91,15.62,55.43,Ukraine,Ukraine,left,173,62,no,8.25,6.44,67.27,2.05,60.0,0.41,0.62,0.18,3.51,5.34,1.52,4,0.23,0,0.0,2.93,0.0,0,0.0,0.01,0,0.0,9,0.53,0.0,0.0,0.23,3.86,42.42,3.75,42.19,0.12,50.0,0.59,2.17,59.46,5.27,45.56,1.05,2.63,0.7,43.77,2.05,0.94,57.11,86.07,21.24,83.75,10.77,96.74,15.86,81.55,49.86,91.78,3.69,50.79,17.69,34.32,0.17,1.17,0.06,0.18,0.06,0.0,0.76,8.13,77.7,4.74,51.85,0.23,25.0,0.99,1.46,11.41,78.97,0,,0,,0,0.0,0.0,0.0,,,0.41,,,0.06,0.0,0.0,0.06,0,0.0
