Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Z. Vanheusden,,Marbella,"RCB, CB, LCB",26,5000000,,7,627,0,0.29,0,0.03,13.21,69.57,Belgium,Belgium,right,187,80,no,10.77,4.45,87.1,4.02,53.57,0.43,0.66,0.86,6.46,9.93,0.43,2,0.29,0,0.0,0.72,0.0,0,0.0,0.04,0,0.0,3,0.43,33.33,0.0,0.0,0.43,33.33,0.14,0.0,0.29,50.0,0.14,0.72,60.0,2.58,61.11,0.72,1.15,0.0,27.42,0.29,1.58,42.49,82.43,19.67,67.88,2.44,100.0,15.93,96.4,33.73,90.64,8.33,51.72,21.34,42.6,0.0,0.14,0.0,0.0,0.0,0.0,0.0,7.61,56.6,1.0,42.86,0.72,20.0,0.57,0.14,10.19,63.38,0,,0,,0,0.0,0.0,0.0,,,1.44,,,0.0,0.0,0.0,0.0,0,0.0
Fede San Emeterio,Ponferradina,Ponferradina,"RCMF, DMF, LCMF",29,1500000,2027-06-30,23,1503,0,0.21,1,0.47,16.95,52.3,Spain,Spain,right,176,68,no,9.28,8.26,60.14,3.71,48.39,0.3,0.43,0.48,4.01,5.78,2.46,9,0.54,0,0.0,0.42,0.0,0,0.0,0.01,0,0.0,4,0.24,0.0,0.0,0.06,0.72,41.67,0.24,25.0,0.48,50.0,0.12,0.12,50.0,2.1,45.71,0.36,0.3,0.0,17.66,0.18,0.9,30.42,80.91,11.44,67.54,4.85,93.83,10.06,86.9,25.93,85.91,3.77,53.97,19.0,33.67,0.03,0.36,0.0,0.12,0.06,100.0,0.12,4.97,67.47,1.38,56.52,0.72,58.33,0.66,0.3,5.45,73.63,0,,0,,0,0.0,0.0,0.0,,,1.14,,,0.0,0.0,0.0,0.0,0,0.0
Iván Chapela,Tenerife,Tenerife,"RW, CF, LW",27,1200000,2028-06-30,9,477,1,0.83,0,0.96,18.49,53.06,Spain,Spain,right,181,76,no,5.47,6.42,58.82,2.08,36.36,0.19,0.34,0.19,1.51,2.76,1.7,1,0.19,0,0.0,3.21,0.19,1,0.19,0.16,0,0.0,4,0.75,50.0,25.0,0.0,1.89,50.0,0.38,50.0,1.51,50.0,0.38,3.21,52.94,7.55,50.0,2.26,1.7,0.0,25.28,1.32,1.89,32.08,80.59,8.3,63.64,7.74,92.68,10.75,87.72,27.36,83.45,2.83,73.33,16.24,29.52,0.18,1.7,0.0,0.0,0.19,100.0,0.75,4.34,69.57,3.02,68.75,1.13,66.67,1.7,0.94,6.04,71.88,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.57,0.0,0.0,0.75,0,0.0
Luis Muñoz,Marbella,Marbella,"LW, RCMF, RDMF",29,1200000,,15,548,0,1.07,0,0.12,17.08,42.31,Spain,Spain,right,180,72,no,3.61,3.28,60.0,1.48,22.22,0.0,0.0,0.16,1.64,2.75,1.64,3,0.49,0,0.0,3.45,0.0,0,0.0,0.18,0,0.0,12,1.97,33.33,0.0,0.0,1.31,50.0,0.66,25.0,0.66,75.0,0.33,3.28,60.0,9.36,40.35,2.14,1.31,0.16,21.68,1.15,1.97,29.07,80.79,7.88,62.5,6.73,95.12,10.02,83.61,25.46,85.16,2.63,50.0,17.86,14.85,0.02,0.66,0.0,0.0,0.16,100.0,0.16,3.94,70.83,2.46,46.67,0.49,33.33,0.66,0.49,3.61,68.18,0,,0,,0,0.0,0.0,0.0,,,0.66,,,0.16,0.0,0.0,0.0,0,0.0
Borja Sánchez,Lugo,Lugo,"LW, LCMF, RCMF",30,1000000,2026-06-30,10,317,0,0.34,0,0.31,15.62,52.73,Spain,Spain,right,186,82,no,7.67,6.81,58.33,1.14,25.0,0.57,0.88,0.0,3.12,4.85,1.42,0,0.0,0,0.0,2.56,0.0,0,0.0,0.1,0,0.0,4,1.14,75.0,0.0,0.0,1.7,16.67,1.42,20.0,0.28,0.0,0.57,2.27,50.0,5.68,50.0,2.27,3.69,0.57,31.23,0.57,1.99,44.01,83.23,17.03,83.33,6.53,100.0,15.05,77.36,36.34,88.28,5.96,71.43,21.17,39.7,0.09,1.14,0.0,0.0,0.85,33.33,0.28,7.67,62.96,3.69,46.15,1.42,20.0,1.7,0.28,9.65,82.35,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.57,0.0,0.0,2.27,0,0.0
Y. Koré,Paris,Betis Deportivo,"RCB, RB",21,1000000,2027-06-30,11,779,1,0.8,0,0.17,12.02,62.5,France,"France, Côte d'Ivoire",right,187,75,no,7.05,4.39,76.32,3.47,53.33,0.46,0.96,0.23,3.23,6.72,0.81,1,0.12,2,0.23,0.69,0.12,1,0.12,0.09,0,0.0,4,0.46,50.0,25.0,0.0,0.92,25.0,0.12,0.0,0.81,28.57,0.0,0.35,66.67,1.73,66.67,1.16,0.58,0.0,32.12,1.04,0.92,43.32,85.33,13.75,70.59,4.27,91.89,21.37,91.89,37.66,90.49,4.74,56.1,20.45,38.48,0.02,0.23,0.0,0.0,0.0,0.0,0.12,3.81,57.58,1.16,20.0,0.23,0.0,0.23,0.23,6.93,55.0,0,,0,,0,0.0,0.0,0.0,,,1.73,,,0.0,0.0,0.0,0.0,0,0.0
Fran Sol,Hércules,Hércules,CF,34,900000,2027-06-30,34,2536,10,8.9,2,1.23,19.48,34.43,Spain,Spain,right,182,79,no,2.73,2.02,45.61,7.31,46.6,0.11,0.17,0.28,1.7,2.65,1.28,8,0.28,0,0.0,0.75,0.35,5,0.18,0.32,3,0.11,42,1.49,38.1,23.81,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.04,0.39,45.45,6.21,18.29,2.16,0.21,0.04,7.95,1.6,0.99,13.13,79.73,1.77,62.0,4.26,90.0,3.9,74.55,12.49,81.82,0.57,43.75,15.06,12.02,0.04,0.5,0.0,0.04,0.0,0.0,0.35,1.31,56.76,0.35,60.0,0.07,0.0,0.5,0.0,0.96,62.96,0,,0,,0,0.0,0.0,0.0,,,0.11,,,0.0,0.0,0.0,0.0,5,100.0
D. Martín,Tenerife,Tenerife,GK,27,800000,2028-06-30,34,3379,0,0.0,1,0.0,0.61,91.3,Spain,Spain,right,187,78,no,1.36,0.05,50.0,0.37,92.86,0.0,0.0,0.0,1.33,2.18,0.0,4,0.11,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.13,100.0,0.0,0.0,0.0,14.22,0.37,0.21,20.4,84.2,11.45,73.49,0.0,0.0,8.42,98.1,11.93,98.66,8.44,64.04,33.94,48.77,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.8,45.71,0.21,12.5,0.21,25.0,0.03,0.0,5.73,77.21,20,0.53,110,2.93,18,81.82,28.71,0.76,8.71,0.232,0.0,1.33,0.37,,,,0.0,0,0.0
José Amo,Gimnàstic Tarragona,Lugo,"RCB, LCB",28,800000,2028-06-30,32,3132,1,0.96,1,0.32,10.23,61.52,Spain,Spain,right,182,75,no,6.67,4.66,67.9,2.93,55.88,0.06,0.1,0.43,3.45,5.78,1.12,11,0.32,0,0.0,0.23,0.03,1,0.03,0.03,0,0.0,7,0.2,42.86,14.286,0.03,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.09,66.67,0.6,71.43,0.23,1.15,0.09,38.16,0.29,0.43,51.95,85.73,22.1,75.29,1.98,86.96,24.34,95.4,44.43,92.17,7.44,47.1,23.48,42.63,0.01,0.2,0.0,0.03,0.03,0.0,0.09,7.47,60.38,0.55,26.32,0.4,21.43,0.11,0.09,9.6,69.46,0,,0,,0,0.0,0.0,0.0,,,1.18,,,0.11,0.06,0.0,0.0,0,0.0
T. Valls,Ibiza,Ibiza,"RCMF, RDMF, LCMF",30,800000,2027-06-30,19,1758,1,1.78,2,1.38,11.57,51.33,France,France,left,178,75,no,5.58,3.89,65.79,2.56,46.0,0.26,0.37,0.2,2.76,4.04,0.72,4,0.2,0,0.0,1.95,0.05,1,0.05,0.09,0,0.0,22,1.13,54.55,4.545,0.1,1.38,48.15,0.41,75.0,0.97,36.84,0.15,0.97,63.16,3.63,39.44,1.18,0.92,0.05,31.43,0.36,0.87,43.72,85.95,15.41,76.74,7.32,97.2,14.95,90.75,38.4,90.4,3.99,55.13,17.93,37.83,0.07,0.67,0.05,0.0,0.1,50.0,0.15,6.81,76.69,2.15,61.9,0.61,50.0,0.61,0.72,7.32,81.82,0,,0,,0,0.0,0.0,0.0,,,0.51,,,0.46,0.05,100.0,1.38,0,0.0
