Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Veerman,PSV,PSV,"LCMF, LDMF, DMF",27,40000000,2028-06-30,30,2531,8,2.38,10,7.4,11.27,56.78,Netherlands,Netherlands,right,185,75,no,8.25,5.26,67.57,1.46,58.54,0.32,0.48,0.36,4.37,6.62,0.6,4,0.14,0,0.0,1.92,0.28,8,0.28,0.08,0,0.0,33,1.17,42.42,24.242,0.36,1.35,34.21,0.85,37.5,0.5,28.57,0.43,0.82,73.91,3.2,44.44,1.0,1.17,0.07,54.44,0.25,0.5,68.24,85.36,25.35,74.61,9.28,95.4,24.39,92.13,60.45,89.94,6.44,53.04,19.42,37.47,0.26,2.24,0.21,0.14,0.64,55.56,0.64,14.37,77.23,4.34,59.84,1.71,31.25,2.2,0.5,12.91,84.3,0,,0,,0,0.0,0.0,0.0,,,1.49,,,1.28,0.11,33.33,5.16,0,0
R. Sterling,Feyenoord,Feyenoord,"LWF, LAMF",31,35000000,,8,441,0,0.91,1,0.41,25.51,39.2,Jamaica,"Jamaica, England",right,172,69,no,3.67,5.31,46.15,0.61,33.33,0.2,0.26,0.0,1.02,1.3,1.63,1,0.2,0,0.0,2.65,0.0,0,0.0,0.19,0,0.0,8,1.63,37.5,0.0,0.2,2.24,27.27,2.24,27.27,0.0,0.0,0.2,3.88,36.84,15.92,35.9,3.27,3.67,0.41,22.65,1.02,3.06,26.12,81.25,6.73,63.64,9.18,91.11,4.49,81.82,23.67,87.07,0.2,0.0,16.33,3.26,0.08,1.02,0.2,0.0,0.0,0.0,0.2,2.04,70.0,2.04,50.0,0.0,0.0,1.02,0.61,2.86,85.71,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.0,0.0,0.0,0.0,0,0
J. Schouten,PSV,PSV,"RCB, DMF, RCMF",29,28000000,2030-06-30,28,2538,1,1.41,2,1.13,13.69,52.59,Netherlands,Netherlands,right,185,74,no,9.08,5.39,67.76,2.41,47.06,0.39,0.61,0.25,5.04,7.92,1.03,3,0.11,1,0.04,0.64,0.04,1,0.04,0.05,0,0.0,19,0.67,31.58,5.263,0.07,0.14,75.0,0.0,0.0,0.14,75.0,0.0,0.39,72.73,3.26,33.7,0.67,1.21,0.0,50.96,0.39,0.53,69.04,92.19,24.86,85.16,6.91,96.92,28.19,97.61,67.2,92.93,1.7,64.58,17.71,27.17,0.04,0.46,0.0,0.14,0.04,100.0,0.32,9.93,90.36,1.1,77.42,0.11,100.0,0.85,0.11,11.06,82.37,0,,0,,0,0.0,0.0,0.0,,,2.09,,,0.0,0.0,0.0,0.0,0,0
Q. Timber,Olympique Marseille,Feyenoord,"LDMF, LCMF, AMF",25,28000000,2030-06-30,17,1454,2,1.98,4,2.32,16.53,47.57,Netherlands,"Netherlands, Curaçao",right,179,71,no,6.75,4.7,64.47,1.11,27.78,0.68,0.95,0.25,3.03,4.22,0.87,1,0.06,0,0.0,1.86,0.12,1,0.06,0.12,0,0.0,21,1.3,33.33,9.524,0.25,0.43,28.57,0.12,0.0,0.25,50.0,0.06,2.29,54.05,7.74,46.4,2.6,1.92,0.25,24.39,0.25,0.93,34.42,84.35,11.64,72.34,5.57,96.67,10.34,91.02,32.87,85.88,1.11,61.11,15.78,18.76,0.14,1.3,0.06,0.19,0.12,50.0,0.5,5.01,88.89,2.29,72.97,0.19,66.67,2.29,0.19,4.64,77.33,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.25,0.25,25.0,0.0,1,100
S. Dest,PSV,PSV,"RB, LB",25,22000000,2028-06-30,27,2362,1,0.79,4,2.72,19.09,51.3,Netherlands,"Netherlands, United States",right,173,62,no,6.55,6.33,67.47,1.75,41.3,0.15,0.23,0.19,2.13,3.19,0.65,4,0.15,0,0.0,2.97,0.04,1,0.04,0.03,0,0.0,15,0.57,33.33,6.667,0.15,2.74,27.78,0.61,31.25,2.06,25.93,0.5,3.39,58.43,9.07,45.38,2.17,3.16,0.57,42.22,1.45,1.3,52.62,88.2,18.14,85.5,9.79,96.11,13.49,87.01,49.34,92.05,0.72,36.84,15.14,24.78,0.1,0.8,0.15,0.11,0.08,50.0,0.5,5.87,88.31,3.01,49.37,0.11,33.33,1.03,0.69,7.66,86.57,0,,0,,0,0.0,0.0,0.0,,,1.68,,,0.0,0.0,0.0,0.0,0,0
K. Taylor,Lazio,Ajax,"LDMF, LCMF, RDMF",24,15000000,2030-06-30,15,1391,2,3.29,4,1.76,11.13,49.42,Netherlands,Netherlands,left,182,72,no,4.4,3.49,57.41,1.68,46.15,0.52,0.72,0.19,1.88,2.6,1.42,3,0.19,0,0.0,1.81,0.13,1,0.06,0.21,0,0.0,24,1.55,41.67,8.333,0.26,1.29,30.0,1.04,31.25,0.13,50.0,0.19,1.23,63.16,4.53,48.57,3.04,1.42,0.26,30.09,0.58,1.1,39.02,86.07,10.68,80.61,9.51,95.92,10.42,84.47,35.91,89.37,1.88,58.62,16.09,28.49,0.11,1.04,0.06,0.06,0.0,0.0,0.65,4.79,77.03,2.52,66.67,0.19,66.67,1.55,0.39,5.18,77.5,0,,0,,0,0.0,0.0,0.0,,,1.04,,,0.39,0.06,0.0,0.78,1,100
K. Sildillia,PSV,PSV,"RB, RCB",24,15000000,2030-06-30,21,1372,2,2.07,3,1.16,16.47,50.6,France,"France, Guadeloupe",right,186,84,no,9.12,7.81,57.14,4.46,50.0,0.2,0.31,0.39,4.46,6.92,1.51,2,0.13,0,0.0,1.31,0.13,2,0.13,0.14,1,0.07,12,0.79,41.67,16.667,0.2,2.43,29.73,0.07,100.0,2.3,28.57,0.26,0.79,25.0,2.43,21.62,1.71,1.71,0.07,37.46,0.92,0.26,50.51,83.12,20.14,78.18,8.53,94.62,13.97,83.57,45.66,87.64,2.62,50.0,17.12,30.53,0.08,0.72,0.13,0.07,0.2,33.33,0.46,8.27,79.37,2.89,54.55,0.39,33.33,1.05,0.66,8.92,75.0,0,,0,,0,0.0,0.0,0.0,,,1.44,,,0.0,0.0,0.0,0.0,0,0
G. Til,PSV,PSV,"CF, AMF",28,12000000,2028-06-30,29,2383,14,11.03,3,3.24,14.43,35.34,Zambia,"Zambia, Netherlands",right,186,78,no,3.4,2.79,60.81,2.83,41.33,0.15,0.22,0.11,1.55,2.3,1.02,2,0.08,0,0.0,1.81,0.53,14,0.53,0.42,2,0.08,54,2.04,51.85,25.926,0.11,1.44,21.05,0.19,0.0,1.13,26.67,0.26,0.91,41.67,5.89,25.0,4.38,1.36,0.3,21.23,0.91,0.76,24.81,82.95,5.21,77.54,6.91,93.99,7.33,80.93,23.26,87.01,0.15,50.0,15.23,5.48,0.12,1.02,0.08,0.15,0.11,66.67,0.6,2.23,89.83,1.96,55.77,0.11,66.67,1.44,0.3,2.72,77.78,0,,0,,0,0.0,0.0,0.0,,,0.42,,,0.0,0.0,0.0,0.0,0,0
K. Itakura,Ajax,Ajax,"RCB, LCB, DMF",29,12000000,2029-06-30,19,1501,1,0.73,0,0.18,9.83,58.54,Japan,Japan,right,188,80,no,7.73,3.54,62.71,3.12,67.31,0.48,0.61,0.72,5.04,6.45,0.78,2,0.12,0,0.0,0.48,0.06,1,0.06,0.04,0,0.0,6,0.36,50.0,16.667,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.06,0.42,71.43,1.8,36.67,0.42,1.14,0.12,40.83,0.12,0.54,55.04,91.61,16.85,81.49,5.34,98.88,24.46,95.59,51.15,94.72,3.78,52.38,17.3,33.19,0.01,0.12,0.06,0.06,0.0,0.0,0.06,4.56,80.26,0.48,37.5,0.06,0.0,0.24,0.0,5.94,66.67,0,,0,,0,0.0,0.0,0.0,,,3.12,,,0.0,0.0,0.0,0.0,0,0
A. Kaplan,Ajax,NEC,"CB, LCB",23,10000000,2027-06-30,25,2242,1,2.26,0,1.17,18.99,59.41,Türkiye,Türkiye,left,190,85,no,9.19,6.7,64.67,6.22,59.35,0.32,0.49,0.44,4.54,6.92,1.45,9,0.36,0,0.0,0.68,0.04,1,0.04,0.09,0,0.0,18,0.72,38.89,5.556,0.0,0.6,26.67,0.6,26.67,0.0,0.0,0.12,0.32,75.0,3.13,50.0,0.92,1.53,0.12,25.89,0.16,1.61,43.72,86.23,16.7,76.92,5.98,99.33,15.5,92.23,40.5,89.79,2.61,44.62,18.81,32.09,0.05,0.24,0.04,0.0,0.0,0.0,0.0,5.06,71.43,1.04,57.69,0.24,16.67,0.44,0.2,6.7,73.65,0,,0,,0,0.0,0.0,0.0,,,3.77,,,0.0,0.0,0.0,0.0,0,0
