Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Kaplan,Ajax,Ajax II,LCB,23,10000000,2027-06-30,3,299,1,0.35,0,0.0,10.54,62.86,Türkiye,Türkiye,left,190,85,no,8.13,2.11,100.0,3.61,50.0,0.3,0.35,0.3,5.72,6.71,0.0,0,0.0,0,0.0,0.9,0.3,1,0.3,0.11,1,0.3,1,0.3,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,100.0,2.71,55.56,0.3,0.6,0.0,33.41,0.0,0.3,48.46,88.82,18.96,77.78,4.52,100.0,20.47,95.59,45.45,92.05,3.01,40.0,19.88,45.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,70.0,0.3,0.0,0.0,0.0,0.0,0.0,9.33,77.42,0,,0,,0,0.0,0.0,0.0,,,3.91,,,0.0,0.0,0.0,0.0,0,0.0
I. Babadi,PSV,PSV II,CF,21,6000000,2028-06-30,1,73,0,0.0,0,0.0,11.1,22.22,Netherlands,"Netherlands, Sierra Leone",right,179,65,no,4.93,1.23,100.0,0.0,0.0,0.0,0.0,0.0,3.7,5.0,0.0,1,1.23,0,0.0,1.23,0.0,0,0.0,0.0,0,0.0,1,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,33.33,8.63,14.29,0.0,1.23,0.0,25.89,0.0,0.0,39.45,84.38,14.79,83.33,8.63,85.71,8.63,100.0,35.75,82.76,3.7,100.0,16.87,40.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,60.0,0,,0,,0,0.0,0.0,0.0,,,2.47,,,0.0,0.0,0.0,2.47,0,0.0
N. Olij,PSV,PSV II,GK,30,4000000,2029-06-30,2,193,0,0.0,0,0.0,0.47,0.0,Netherlands,Netherlands,right,185,74,no,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,2.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.47,0.0,24.25,0.0,0.0,34.51,81.08,19.59,69.05,0.0,0.0,13.99,96.67,22.38,97.92,12.12,50.0,31.47,52.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,38.46,0.47,0.0,1.4,66.67,0.0,0.0,7.46,81.25,4,1.87,12,5.6,0,66.67,3.69,1.72,-0.31,-0.145,0.0,0.0,0.0,,,,0.0,0,0.0
Y. Regeer,Ajax,Ajax II,RDMF,22,3500000,2029-06-30,1,76,0,0.0,0,0.0,8.29,71.43,Netherlands,Netherlands,right,177,68,no,3.55,2.37,100.0,3.55,66.67,0.0,0.0,0.0,1.18,1.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,2.37,50.0,0.0,0.0,0.0,20.13,0.0,1.18,30.79,92.31,7.11,83.33,8.29,100.0,7.11,83.33,30.79,92.31,0.0,0.0,15.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,33.33,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
N. Ohio,Utrecht,Utrecht II,CF,23,2000000,2027-06-30,8,602,9,5.29,0,0.0,14.5,39.18,Netherlands,"Netherlands, England",left,185,76,no,2.09,1.05,57.14,1.79,33.33,0.15,0.16,0.0,1.35,1.4,0.6,1,0.15,0,0.0,4.19,1.35,8,1.2,0.79,0,0.0,27,4.04,59.26,33.333,0.0,0.3,50.0,0.3,50.0,0.0,0.0,0.0,1.79,91.67,9.12,40.98,4.04,0.6,0.0,8.52,1.79,1.2,11.06,90.54,1.94,69.23,3.29,95.45,2.69,100.0,10.76,91.67,0.0,0.0,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.05,85.71,0.15,0.0,0.0,0.0,0.3,0.0,1.05,85.71,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.15,0.15,0.0,0.0,1,100.0
J. Rijkhoff,FC Andorra,Almere City,"AMF, CF",21,1500000,2028-06-30,37,2842,16,13.24,2,2.79,12.29,33.25,Netherlands,Netherlands,right,183,77,no,3.1,2.98,46.81,1.58,30.0,0.06,0.07,0.13,1.65,1.84,0.86,2,0.06,0,0.0,1.81,0.51,16,0.51,0.42,0,0.0,70,2.22,52.86,22.857,0.06,0.48,26.67,0.19,33.33,0.29,22.22,0.06,1.49,29.79,5.42,24.56,3.74,1.17,0.38,14.38,1.33,0.76,19.89,74.68,5.26,53.01,5.73,90.61,4.62,79.45,18.53,76.92,0.95,50.0,16.25,21.06,0.09,0.57,0.06,0.03,0.22,28.57,0.35,2.0,42.86,1.52,43.75,0.32,30.0,1.27,0.13,2.19,60.87,0,,0,,0,0.0,0.0,0.0,,,0.54,,,0.06,0.0,0.0,0.03,0,0.0
R. Meerveld,Heerenveen,Willem II,"LAMF, LW",23,1300000,2029-06-30,1,93,1,0.24,0,0.0,9.68,60.0,Netherlands,Netherlands,right,177,68,no,4.84,2.9,66.67,0.0,0.0,0.0,0.0,0.97,2.9,3.0,0.0,0,0.0,0,0.0,2.9,0.97,1,0.97,0.23,0,0.0,2,1.94,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,100.0,6.77,57.14,2.9,3.87,0.0,7.74,0.0,0.97,10.65,81.82,1.94,0.0,1.94,100.0,3.87,100.0,9.68,80.0,0.97,100.0,16.51,42.51,0.0,0.0,0.0,0.0,0.97,0.0,0.0,2.9,33.33,0.97,0.0,0.97,0.0,0.0,0.0,1.94,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
F. Druijf,Almere City,Almere City,CF,28,1000000,2027-06-30,30,2218,13,12.16,3,1.33,23.53,41.38,Netherlands,Netherlands,right,190,89,no,3.17,2.31,50.88,7.67,53.97,0.08,0.09,0.32,1.91,2.18,0.85,3,0.12,0,0.0,2.43,0.53,11,0.45,0.49,2,0.08,67,2.72,61.19,19.403,0.12,0.45,36.36,0.37,33.33,0.08,50.0,0.08,0.89,63.64,8.28,29.9,3.73,0.77,0.16,14.04,3.08,1.54,21.42,67.8,6.33,53.85,4.54,79.46,5.56,79.56,19.76,69.2,1.26,54.84,16.98,24.06,0.05,0.37,0.12,0.04,0.08,50.0,0.08,3.53,65.52,1.34,57.58,0.24,33.33,0.97,0.24,2.88,69.01,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.04,0.04,100.0,0.0,3,66.667
S. Doucouré,TOP Oss,TOP Oss,CF,24,1000000,2027-06-30,26,1009,2,4.05,2,1.02,40.32,41.81,France,"France, Mali",right,193,75,no,4.91,4.82,55.56,14.9,52.69,0.0,0.0,0.18,2.23,2.7,2.32,5,0.45,0,0.0,3.03,0.18,1,0.09,0.36,1,0.09,26,2.32,26.92,7.692,0.18,0.89,10.0,0.27,33.33,0.62,0.0,0.09,3.84,60.47,15.7,29.55,3.48,1.43,0.0,8.38,2.41,1.69,15.34,71.51,4.55,72.55,2.85,93.75,3.39,71.05,13.74,77.27,0.71,37.5,17.14,7.59,0.09,0.36,0.0,0.09,0.0,0.0,0.27,2.5,71.43,1.16,53.85,0.09,0.0,1.07,0.18,2.41,77.78,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.0,0.0,0.0,0.0,1,100.0
Zidane Iqbal,Utrecht,Utrecht II,"DMF, RCMF, RDMF",23,1000000,2027-06-30,11,538,0,0.19,1,0.47,17.57,59.05,England,"England, Iraq",right,181,74,no,9.54,7.86,70.21,1.67,40.0,0.33,0.41,0.17,3.68,4.46,1.34,3,0.5,0,0.0,1.84,0.0,0,0.0,0.03,0,0.0,4,0.67,50.0,0.0,0.17,0.67,75.0,0.33,50.0,0.33,100.0,0.17,1.51,55.56,6.69,55.0,0.17,2.51,0.0,34.13,0.17,1.51,53.36,89.03,16.73,76.0,7.53,100.0,23.42,95.0,46.0,94.55,6.69,52.5,21.95,34.81,0.08,0.84,0.33,0.0,0.33,50.0,0.33,10.71,76.56,3.18,78.95,0.84,0.0,2.17,0.5,9.03,88.89,0,,0,,0,0.0,0.0,0.0,,,1.17,,,0.0,0.0,0.0,0.0,0,0.0
