Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Berg,Bodø / Glimt,Bodø / Glimt,"DMF, RCMF",28,4500000,2028-07-31,28,2500,5,4.11,10,8.08,10.84,57.48,Norway,Norway,right,177,76,no,8.24,6.62,66.85,0.47,46.15,0.04,0.06,0.25,3.78,5.78,0.86,2,0.07,0,0.0,1.98,0.18,5,0.18,0.15,0,0.0,64,2.3,23.44,7.813,0.36,2.52,38.57,0.83,43.48,1.62,35.56,0.29,0.79,45.45,2.23,35.48,2.48,1.22,0.22,44.39,0.11,0.36,57.78,85.42,16.85,74.79,8.46,96.6,22.86,88.98,50.29,90.62,5.08,55.32,17.95,35.91,0.29,2.23,0.18,0.0,0.22,50.0,0.43,7.78,79.63,4.32,58.33,0.58,37.5,2.2,0.94,7.81,78.8,0,,0,,0,0.0,0.0,0.0,,,0.94,,,1.62,0.47,30.77,5.83,0,0.0
E. Breivik,Molde,Molde,"RCMF, LCMF, AMF",26,3500000,2029-12-31,28,2730,4,3.66,4,2.44,16.38,51.11,Norway,Norway,right,180,82,no,8.8,7.29,64.25,1.55,44.68,0.26,0.35,0.3,3.86,5.15,1.05,8,0.26,0,0.0,1.88,0.13,4,0.13,0.12,0,0.0,43,1.42,27.91,9.302,0.13,1.58,35.42,0.43,46.15,1.15,31.43,0.26,1.45,56.82,5.47,40.96,2.57,1.75,0.26,32.57,0.53,0.96,44.87,80.82,14.8,72.16,7.22,94.52,13.15,83.46,40.02,84.6,3.33,56.44,16.5,35.11,0.08,1.05,0.03,0.07,0.23,42.86,0.36,5.64,77.19,2.9,52.27,0.53,25.0,1.38,0.46,6.89,70.81,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.46,0.07,50.0,1.38,0,0.0
O. Brynhildsen,Bodø / Glimt,Bodø / Glimt,CF,27,3000000,2030-06-30,1,62,0,0.0,2,0.22,20.32,42.86,Norway,Norway,right,175,70,no,7.26,4.35,100.0,2.9,50.0,1.45,2.0,0.0,1.45,2.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,7.26,0.0,2.9,1.45,1.45,10.16,2.9,1.45,13.06,77.78,5.81,75.0,1.45,100.0,2.9,50.0,13.06,77.78,0.0,0.0,12.29,0.0,0.32,1.45,0.0,0.0,0.0,0.0,4.35,1.45,100.0,1.45,100.0,0.0,0.0,2.9,0.0,0.0,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
J. Hauge,Bodø / Glimt,Bodø / Glimt,"LWF, LW, CF",26,2500000,2028-12-31,28,2376,8,7.8,3,5.61,17.5,49.35,Norway,Norway,right,184,75,no,3.6,3.79,70.0,0.42,72.73,0.0,0.0,0.08,0.95,1.46,0.42,3,0.11,0,0.0,4.81,0.3,8,0.3,0.3,0,0.0,53,2.01,24.53,15.094,0.11,3.18,33.33,2.88,32.89,0.27,42.86,0.38,6.4,47.93,12.27,41.98,6.48,4.36,0.3,53.37,3.6,1.02,62.31,82.8,13.6,74.37,14.58,94.55,21.02,82.88,57.05,86.65,2.08,52.73,16.47,30.31,0.21,1.89,0.11,0.08,0.3,62.5,0.8,4.55,79.17,8.03,66.98,0.42,27.27,5.34,1.1,9.7,90.63,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.11,0.04,0.0,0.83,1,0.0
F. Bjørkan,Bodø / Glimt,Bodø / Glimt,LB,27,2300000,2029-07-31,29,2661,3,3.01,2,3.96,17.76,56.57,Norway,Norway,left,180,73,no,7.0,5.28,74.36,1.22,22.22,0.0,0.0,0.27,3.08,4.77,0.61,1,0.03,0,0.0,4.77,0.1,3,0.1,0.1,1,0.03,19,0.64,68.42,15.789,0.07,2.91,40.7,2.84,39.29,0.0,0.0,0.71,4.97,63.27,9.67,52.8,3.18,5.92,0.95,58.41,1.66,1.72,69.94,89.31,20.7,80.56,12.99,98.7,22.69,91.51,62.98,94.25,4.19,46.77,16.88,33.34,0.13,0.95,0.0,0.03,0.0,0.0,0.57,7.61,88.89,3.04,70.0,0.17,60.0,1.52,1.08,8.79,73.08,0,,0,,0,0.0,0.0,0.0,,,0.95,,,0.03,0.0,0.0,0.27,0,0.0
F. Myhre,Brann,Brann,LCMF,27,2300000,2027-12-31,24,2297,4,4.17,2,3.38,15.99,45.83,Norway,Norway,right,180,75,no,5.56,4.11,61.9,1.65,54.76,0.27,0.46,0.24,2.74,4.56,0.94,4,0.16,0,0.0,2.63,0.16,4,0.16,0.16,1,0.04,30,1.18,33.33,13.333,0.08,1.21,48.39,0.9,52.17,0.27,28.57,0.2,3.02,49.35,7.56,38.34,4.23,1.8,0.24,30.64,0.47,1.06,40.94,85.17,11.95,74.1,9.33,96.22,10.81,89.86,38.05,87.33,1.76,60.0,15.41,28.4,0.13,1.21,0.08,0.08,0.2,80.0,0.59,3.13,76.25,3.33,68.24,0.24,33.33,2.78,0.59,3.8,83.51,0,,0,,0,0.0,0.0,0.0,,,0.82,,,0.0,0.0,0.0,0.04,0,0.0
E. Ceide,Rosenborg,Rosenborg,"LWF, CF, LW",24,2000000,2029-12-31,28,2480,5,4.19,8,7.95,23.77,47.18,Norway,Norway,right,175,71,no,3.27,3.52,64.95,1.49,17.07,0.04,0.05,0.11,0.94,1.23,0.54,4,0.15,0,0.0,8.17,0.18,5,0.18,0.15,0,0.0,50,1.81,44.0,10.0,0.29,4.94,34.56,4.61,32.28,0.25,71.43,0.98,8.49,64.96,17.24,48.21,6.24,4.9,0.47,22.28,1.42,1.23,31.83,74.0,5.77,62.26,8.09,94.17,10.78,69.7,25.73,82.23,1.34,54.05,17.41,25.41,0.29,1.85,0.15,0.04,0.33,44.44,1.02,1.85,62.75,6.1,56.55,0.54,33.33,2.87,1.74,4.97,86.86,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.04,0.04,0.0,0.29,0,0.0
H. Evjen,Bodø / Glimt,Bodø / Glimt,"RCMF, RW",26,2000000,2028-12-31,29,2347,4,3.71,3,4.71,14.99,45.78,Norway,Norway,left,178,68,no,6.37,5.22,69.85,1.0,19.23,0.19,0.3,0.12,2.53,3.9,0.23,3,0.12,0,0.0,1.69,0.15,4,0.15,0.14,0,0.0,31,1.19,25.81,12.903,0.12,1.15,40.0,0.42,54.55,0.69,33.33,0.19,1.84,45.83,7.17,29.95,5.52,1.46,0.46,24.35,0.84,0.81,34.36,82.25,7.25,68.25,9.51,89.92,10.28,83.21,31.71,84.89,1.53,57.5,16.16,32.33,0.18,1.3,0.15,0.0,0.15,50.0,0.81,2.72,78.87,2.49,61.54,0.23,16.67,2.65,0.5,4.14,59.26,0,,0,,0,0.0,0.0,0.0,,,0.42,,,0.15,0.04,0.0,0.54,0,0.0
J. Sery Larsen,Philadelphia Union,Brann,LCB,26,2000000,2029-06-30,20,1587,1,0.62,0,0.09,11.68,62.14,Denmark,"Denmark, Côte d'Ivoire",right,185,78,no,6.64,4.37,67.53,3.35,54.24,0.0,0.0,0.51,3.69,5.96,1.19,3,0.17,1,0.06,0.45,0.06,1,0.06,0.04,1,0.06,9,0.51,33.33,11.111,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.34,66.67,1.59,60.71,0.96,3.23,0.06,43.38,0.28,0.74,55.41,91.71,18.71,80.91,2.1,97.3,27.84,97.76,52.23,95.33,3.12,32.73,19.07,34.35,0.01,0.11,0.0,0.06,0.11,50.0,0.06,8.96,82.28,0.57,30.0,0.34,50.0,0.34,0.0,7.71,80.88,0,,0,,0,0.0,0.0,0.0,,,1.19,,,0.0,0.0,0.0,0.0,0,0.0
R. Norheim,Nordsjælland,Tromsø,"LB, LWB",21,2000000,2030-06-30,19,1412,2,2.09,3,3.05,16.64,49.43,Norway,Norway,right,184,71,no,5.86,4.78,57.33,2.36,40.54,0.0,0.0,0.06,3.12,3.65,0.96,0,0.0,0,0.0,4.72,0.13,2,0.13,0.13,0,0.0,23,1.47,34.78,8.696,0.19,3.25,37.25,3.25,37.25,0.0,0.0,0.45,5.16,58.02,7.97,47.2,3.44,2.93,0.32,27.47,3.89,0.32,37.54,80.31,7.46,59.83,10.33,98.15,12.81,82.09,31.42,86.82,3.0,59.57,18.0,34.9,0.19,1.21,0.0,0.06,0.13,0.0,0.83,2.49,64.1,4.4,55.07,0.64,50.0,2.1,1.27,7.01,74.55,0,,0,,0,0.0,0.0,0.0,,,0.38,,,0.19,0.0,0.0,0.76,0,0.0
