Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Al Dakhil,Stuttgart,Stuttgart II,RB,24,12000000,2028-06-30,1,45,0,0.0,0,0.0,8.0,75.0,Iraq,"Iraq, Belgium",right,187,70,no,6.0,2.0,100.0,4.0,50.0,0.0,0.0,0.0,4.0,5.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,74.0,86.49,20.0,70.0,10.0,100.0,34.0,88.24,60.0,93.33,14.0,57.14,20.34,36.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,50.0,0,,0,,0,0.0,0.0,0.0,,,4.0,,,0.0,0.0,0.0,0.0,0,0.0
A. Hložek,Hoffenheim,Hoffenheim II,AMF,23,12000000,2029-06-30,1,30,0,0.28,0,0.01,,,Czech Republic,Czech Republic,right,188,84,no,,,,,,,0.0,,,3.33,,0,,0,,,,0,,,0,,2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
D. Zagadou,Stuttgart,Stuttgart II,LCB,27,10000000,2027-06-30,3,172,1,0.11,0,0.0,16.22,77.42,France,"France, Côte d'Ivoire",left,196,90,no,12.56,8.37,93.75,3.66,71.43,0.0,0.0,0.52,4.71,5.09,0.52,0,0.0,0,0.0,0.52,0.52,1,0.52,0.06,1,0.52,2,1.05,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,33.33,0.52,1.05,0.0,38.2,1.57,0.52,49.19,92.55,20.41,87.18,4.19,100.0,16.74,100.0,46.05,96.59,3.14,33.33,18.48,42.94,0.0,0.0,0.0,0.0,0.0,0.0,0.52,4.71,66.67,1.05,50.0,1.05,50.0,0.52,0.0,6.8,84.62,0,,0,,0,0.0,0.0,0.0,,,1.57,,,0.0,0.0,0.0,0.0,0,0.0
V. Gendrey,Hoffenheim,Hoffenheim II,LB,26,7000000,2028-06-30,1,47,0,0.05,0,0.47,21.06,54.55,France,"France, Guadeloupe",right,179,75,no,7.66,5.74,100.0,1.91,0.0,0.0,0.0,0.0,1.91,3.33,0.0,0,0.0,0,0.0,5.74,0.0,0,0.0,0.1,0,0.0,1,1.91,100.0,0.0,0.0,1.91,100.0,1.91,100.0,0.0,0.0,0.0,3.83,50.0,11.49,50.0,0.0,3.83,0.0,30.64,7.66,1.91,30.64,75.0,9.57,80.0,7.66,100.0,7.66,75.0,26.81,78.57,1.91,0.0,17.48,30.85,0.89,3.83,0.0,0.0,0.0,0.0,1.91,0.0,0.0,5.74,66.67,0.0,0.0,1.91,1.91,5.74,100.0,0,,0,,0,0.0,0.0,0.0,,,1.91,,,0.0,0.0,0.0,0.0,0,0.0
L. Stergiou,Stuttgart,Stuttgart II,"RB, LB",24,5000000,2028-06-30,4,297,0,0.22,0,0.0,11.82,48.72,Switzerland,"Switzerland, Greece",right,181,75,no,8.18,6.97,65.22,1.21,25.0,0.3,0.43,0.3,3.33,4.71,0.0,1,0.3,0,0.0,0.61,0.0,0,0.0,0.07,0,0.0,2,0.61,100.0,0.0,0.0,0.91,0.0,0.0,0.0,0.91,0.0,0.0,0.3,0.0,2.73,11.11,0.61,2.12,0.91,28.48,0.61,0.3,41.52,88.32,19.7,86.15,4.85,100.0,10.3,85.29,38.48,92.91,2.42,37.5,17.27,33.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,80.0,0.61,50.0,0.0,0.0,0.3,0.0,6.97,82.61,0,,0,,0,0.0,0.0,0.0,,,2.12,,,0.0,0.0,0.0,0.0,0,0.0
Y. Keitel,Stuttgart,Stuttgart II,"RCB, LDMF",26,5000000,2028-06-30,2,178,0,0.23,0,0.0,10.62,33.33,Germany,Germany,right,186,85,no,4.04,3.54,42.86,4.04,37.5,0.0,0.0,0.0,2.53,4.69,2.53,1,0.51,0,0.0,0.51,0.0,0,0.0,0.12,0,0.0,3,1.52,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,1.01,50.0,1.01,0.0,0.0,34.89,0.0,0.51,46.52,84.78,19.72,76.92,3.03,100.0,22.25,88.64,39.44,88.46,7.08,64.29,20.58,38.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,80.0,1.01,50.0,0.0,0.0,0.51,0.0,12.13,70.83,0,,0,,0,0.0,0.0,0.0,,,1.52,,,0.51,0.51,100.0,0.0,0,0.0
K. Volland,1860 München,1860 München,"AMF, CF, RW",33,4000000,2027-06-30,32,2681,4,4.97,6,7.71,18.43,44.81,Germany,Germany,left,179,85,no,4.97,4.6,61.31,2.82,39.29,0.34,0.44,0.13,1.81,2.36,1.41,11,0.37,2,0.07,2.45,0.13,4,0.13,0.17,0,0.0,49,1.64,36.73,8.163,0.2,2.25,28.36,0.81,16.67,1.38,34.15,0.34,1.85,54.55,7.79,39.66,1.91,0.7,0.03,18.4,1.71,1.68,28.23,66.11,10.57,54.6,5.4,88.2,7.08,68.72,22.56,73.66,3.59,40.19,18.48,31.31,0.26,1.34,0.07,0.03,0.34,60.0,0.7,4.77,51.41,3.32,42.42,0.87,38.46,1.11,0.64,5.77,72.67,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.97,0.17,20.0,1.48,0,0.0
N. Darvich,Elversberg,Stuttgart II,"RAMF, RW",19,2500000,2029-06-30,29,2437,10,8.7,4,4.43,18.61,48.81,Germany,Germany,left,184,75,yes,4.28,3.88,59.05,0.81,50.0,0.07,0.11,0.04,1.92,2.93,0.66,1,0.04,0,0.0,5.76,0.37,9,0.33,0.32,0,0.0,71,2.62,38.03,14.085,0.15,2.81,32.89,0.22,66.67,2.44,31.82,0.63,8.01,47.47,12.85,45.69,3.91,3.95,0.11,21.6,1.26,1.33,27.62,74.33,8.27,60.71,5.28,95.1,8.6,76.82,22.42,81.55,2.4,55.38,17.98,29.14,0.16,1.14,0.07,0.0,0.18,20.0,0.85,2.84,61.04,3.21,44.83,0.44,41.67,1.07,1.03,5.24,76.06,0,,0,,0,0.0,0.0,0.0,,,0.55,,,0.37,0.07,0.0,0.55,2,50.0
J. Diehl,Stuttgart,Stuttgart II,"LAMF, CF, RAMF",21,2500000,2029-06-30,21,1200,3,3.91,3,2.03,12.9,41.86,Germany,"Germany, Ghana",right,174,67,no,2.55,2.1,67.86,0.83,9.09,0.0,0.0,0.08,1.13,1.58,0.68,0,0.0,0,0.0,4.28,0.23,3,0.23,0.29,0,0.0,36,2.7,41.67,8.333,0.23,1.43,26.32,1.05,21.43,0.23,33.33,0.3,5.78,46.75,8.63,37.39,3.45,3.6,0.3,26.18,1.43,0.9,29.78,74.06,7.58,57.43,6.9,89.13,9.23,72.36,26.55,78.81,1.8,41.67,16.47,24.21,0.15,1.13,0.0,0.0,0.3,25.0,0.38,3.53,65.96,2.78,40.54,0.3,25.0,1.28,0.53,5.63,64.0,0,,0,,0,0.0,0.0,0.0,,,0.3,,,0.9,0.23,0.0,2.25,0,0.0
A. Kamara,Saarbrücken,Saarbrücken,"LCMF, RCMF, AMF",21,1500000,2027-06-30,12,789,1,0.48,0,0.38,16.2,42.96,Guinea,"Guinea, France",right,185,77,no,5.93,5.25,65.22,2.51,45.45,0.0,0.0,0.11,2.51,3.24,1.48,3,0.34,1,0.11,1.25,0.11,1,0.11,0.05,0,0.0,4,0.46,50.0,25.0,0.0,0.91,37.5,0.34,66.67,0.57,20.0,0.11,1.25,45.45,5.59,22.45,0.8,0.8,0.11,22.93,0.46,0.46,34.68,89.14,8.67,80.26,6.73,94.92,15.17,93.23,32.85,90.97,1.03,77.78,18.45,25.55,0.04,0.46,0.11,0.0,0.11,100.0,0.23,3.31,82.76,0.91,37.5,0.11,100.0,0.34,0.23,3.76,69.7,0,,0,,0,0.0,0.0,0.0,,,1.37,,,0.0,0.0,0.0,0.0,0,0.0
