Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rodrigo Conceição,Tondela,Fátima,"RW, RCMF",26,1200000,2027-06-30,2,128,1,1.45,1,0.66,18.98,66.67,Portugal,Portugal,right,175,67,no,4.92,4.92,85.71,0.0,0.0,0.7,0.94,0.0,0.0,0.0,0.0,0,0.0,0,0.0,8.44,0.7,1,0.7,1.02,0,0.0,9,6.33,33.33,11.111,0.7,3.52,60.0,0.0,0.0,3.52,60.0,0.0,5.63,62.5,13.36,57.89,5.63,5.63,0.0,28.13,0.7,1.41,38.67,83.64,12.66,83.33,3.52,100.0,15.47,81.82,30.23,88.37,4.92,71.43,19.63,40.36,0.47,4.22,0.0,0.0,0.7,100.0,1.41,8.44,91.67,3.52,80.0,0.7,100.0,2.81,2.11,8.44,83.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,3.52,1,0.0
Ricardo Fernandes,Oliveira Hospital,Oliveira Hospital,LB,23,300000,,10,318,0,0.0,0,0.15,18.4,66.15,Portugal,"Portugal, São Tomé e Príncipe",left,173,63,no,10.19,8.49,73.33,1.7,66.67,0.85,1.32,0.0,3.11,4.85,1.13,1,0.28,0,0.0,3.96,0.0,0,0.0,0.0,0,0.0,1,0.28,0.0,0.0,0.0,3.4,50.0,3.4,50.0,0.0,0.0,0.0,3.11,72.73,7.08,56.0,1.13,2.26,0.28,26.89,2.26,1.7,35.94,85.04,11.89,78.57,8.49,100.0,9.62,76.47,30.28,90.65,2.26,62.5,14.32,19.46,0.04,1.13,0.28,0.0,0.0,0.0,0.57,3.4,83.33,2.55,55.56,0.0,0.0,0.57,1.7,7.08,72.0,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.0,0.0,0.0,0.0,0,0.0
Fábio Nunes,Portimonense,Portimonense II,"CF, RW, RAMF",33,300000,,10,948,2,1.03,2,2.2,19.08,41.79,Portugal,Portugal,left,180,78,no,3.99,3.8,57.5,1.71,33.33,0.0,0.0,0.09,1.8,2.69,1.52,4,0.38,0,0.0,3.32,0.19,2,0.19,0.1,0,0.0,10,0.95,50.0,20.0,0.19,3.7,30.77,1.33,28.57,2.28,29.17,0.76,3.23,50.0,10.82,41.23,1.52,0.85,0.0,16.9,1.33,2.37,27.72,63.7,9.59,47.52,5.89,91.94,8.35,59.09,21.74,71.18,2.56,44.44,19.56,33.01,0.21,1.14,0.0,0.0,0.09,100.0,0.57,3.7,43.59,4.56,45.83,0.19,50.0,1.23,1.23,3.8,77.5,0,,0,,0,0.0,0.0,0.0,,,0.09,,,1.14,0.19,100.0,1.99,0,0.0
Manu Ribeiro,Benfica Castelo Branco,Benfica Castelo Branco,"RCB, LCB",26,250000,2027-06-30,25,2455,0,0.67,1,1.16,10.81,58.64,Portugal,Portugal,right,184,76,no,7.63,5.06,64.49,2.93,58.75,0.26,0.34,0.33,4.11,5.41,0.99,6,0.22,0,0.0,0.48,0.0,0,0.0,0.02,0,0.0,10,0.37,20.0,0.0,0.04,0.4,18.18,0.0,0.0,0.4,18.18,0.07,0.51,64.29,1.36,48.65,0.66,0.22,0.0,19.65,0.48,0.55,31.64,81.69,13.67,66.22,2.79,96.05,12.43,94.69,24.82,89.96,6.42,53.71,22.63,38.06,0.04,0.15,0.0,0.0,0.0,0.0,0.18,4.0,57.8,0.66,22.22,0.26,28.57,0.37,0.07,6.64,64.64,0,,0,,0,0.0,0.0,0.0,,,1.69,,,0.04,0.04,100.0,0.0,0,0.0
E. Sarpong,Aparecida,Aparecida,"LCB, RCB, CB",29,200000,2026-06-30,24,2058,3,2.35,0,0.17,15.0,60.35,Ghana,Ghana,left,178,68,no,10.06,6.17,75.89,6.03,52.9,0.13,0.18,0.39,5.25,7.27,1.05,3,0.13,1,0.04,0.26,0.13,3,0.13,0.1,0,0.0,12,0.52,41.67,25.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.04,100.0,0.74,35.29,0.66,0.13,0.04,8.62,0.0,0.31,24.62,68.74,13.82,54.43,1.18,100.0,7.87,88.89,18.24,77.94,6.34,42.76,24.75,40.21,0.01,0.13,0.0,0.04,0.0,0.0,0.0,4.07,39.78,0.52,8.33,0.48,27.27,0.17,0.0,6.56,50.67,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.09,0.04,0.0,0.0,0,0.0
Miguelito,Vila Real,Vila Real,"AMF, RDMF, LDMF",36,200000,2026-06-30,19,982,0,1.19,0,0.39,8.8,47.92,Portugal,Portugal,right,184,65,no,4.95,3.39,59.46,3.21,45.71,0.09,0.15,0.0,2.84,4.54,0.92,2,0.18,0,0.0,0.46,0.0,0,0.0,0.11,0,0.0,8,0.73,0.0,0.0,0.0,1.01,27.27,0.46,20.0,0.46,40.0,0.18,0.18,50.0,1.19,30.77,1.1,0.37,0.09,15.86,0.82,0.18,27.4,66.89,12.83,57.86,2.57,85.71,8.8,81.25,19.89,74.19,6.51,50.7,23.16,32.08,0.04,0.27,0.0,0.0,0.09,100.0,0.09,6.6,66.67,1.47,31.25,0.73,37.5,0.27,0.27,7.33,61.25,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.09,0.0,0.0,0.55,0,0.0
Tavinho,Moncarapachense,Moncarapachense,CF,32,200000,,9,879,3,2.99,1,0.63,37.58,33.51,Portugal,Portugal,right,181,72,no,3.99,4.81,46.81,13.0,39.37,0.0,0.0,0.31,1.74,2.88,3.38,2,0.2,0,0.0,1.54,0.31,2,0.2,0.31,0,0.0,12,1.23,33.33,25.0,0.1,0.82,12.5,0.2,0.0,0.61,16.67,0.1,2.56,40.0,13.92,22.79,2.87,1.33,0.2,10.75,3.48,2.35,14.74,67.36,4.91,50.0,2.76,85.19,3.69,66.67,13.11,72.66,0.82,37.5,15.8,27.6,0.06,0.82,0.0,0.0,0.0,0.0,0.41,1.95,47.37,1.74,47.06,0.2,0.0,1.13,0.1,1.95,73.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
Alex Soares,Samora Correira,Samora Correira,"DMF, LCMF, LDMF",35,200000,,11,805,1,1.58,0,0.35,18.56,53.01,Portugal,Portugal,right,179,73,no,9.28,6.26,66.07,1.68,46.67,1.23,1.81,0.22,3.91,5.77,1.23,4,0.45,0,0.0,2.35,0.11,1,0.11,0.18,0,0.0,7,0.78,42.86,14.286,0.0,0.34,100.0,0.11,100.0,0.22,100.0,0.0,2.35,71.43,8.16,45.21,0.78,0.56,0.0,14.98,0.67,1.9,30.86,70.29,13.3,57.14,3.91,82.86,9.28,84.34,24.71,77.38,5.81,38.46,19.85,32.44,0.04,0.22,0.0,0.0,0.11,0.0,0.11,6.82,55.74,1.57,35.71,0.45,0.0,0.22,0.34,6.71,60.0,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.89,0.11,0.0,0.22,1,0.0
André Paulo,Alverca,FC Alverca II,GK,29,175000,2027-06-30,16,1561,0,0.0,0,0.0,0.52,88.89,Portugal,Portugal,right,188,78,no,1.21,0.0,0.0,0.4,85.71,0.0,0.0,0.0,1.21,1.83,0.06,3,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,6.52,0.23,0.23,12.8,88.74,4.73,75.61,0.0,0.0,7.38,97.66,9.74,98.82,2.94,58.82,30.57,47.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,40.0,0.0,0.0,0.06,100.0,0.0,0.0,2.13,67.57,17,0.98,47,2.71,3,63.83,11.82,0.68,-5.18,-0.299,0.0,1.73,0.4,,,,0.0,0,0.0
Rui Encarnação,Machico,Machico,GK,28,150000,2027-06-30,18,1791,0,0.0,0,0.38,0.95,78.95,Portugal,Portugal,right,185,73,no,1.51,0.2,50.0,0.3,83.33,0.0,0.0,0.0,1.41,2.21,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,14.72,0.5,0.45,24.27,81.16,15.23,70.96,0.05,0.0,8.74,98.85,12.31,98.37,11.91,63.71,39.57,51.48,0.02,0.05,0.0,0.0,0.0,0.0,0.05,4.57,52.75,0.25,60.0,0.2,75.0,0.1,0.0,8.54,80.0,21,1.06,65,3.27,8,67.69,17.12,0.86,-3.88,-0.195,0.0,1.41,0.3,,,,0.0,0,0.0
