Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Dorley,Slavia Praha,Slavia Praha,"LCMF, RCMF, DMF",27,8500000,2027-06-30,22,1472,1,1.29,1,0.35,13.15,51.63,Liberia,Liberia,left,174,66,no,7.52,5.01,68.29,2.69,45.45,0.43,0.81,0.24,3.67,6.92,0.98,3,0.18,1,0.06,0.98,0.06,1,0.06,0.08,0,0.0,11,0.67,36.36,9.091,0.06,0.86,42.86,0.86,42.86,0.0,0.0,0.06,0.92,40.0,3.67,43.33,0.61,0.86,0.12,17.79,0.37,1.16,32.16,82.51,13.45,73.64,4.1,95.52,10.33,84.62,26.6,88.51,4.71,55.84,18.66,27.33,0.02,0.43,0.12,0.06,0.0,0.0,0.12,6.05,74.75,1.65,59.26,0.37,66.67,0.79,0.31,5.69,80.65,0,,0,,0,0.0,0.0,0.0,,,1.16,,,0.0,0.0,0.0,0.0,0,0.0
M. Sadílek,Slavia Praha,Slavia Praha,"LCMF, RCMF",27,8000000,2028-06-30,29,2309,1,2.51,4,6.0,12.08,50.32,Czech Republic,Czech Republic,left,169,61,no,6.55,4.99,62.5,2.65,35.29,0.66,1.21,0.19,2.77,5.05,1.25,6,0.23,0,0.0,0.86,0.04,1,0.04,0.1,0,0.0,32,1.25,18.75,3.125,0.16,1.52,28.21,0.86,27.27,0.62,25.0,0.23,0.43,45.45,1.79,41.3,1.91,0.51,0.12,22.26,0.55,1.05,35.24,82.19,11.26,72.32,6.35,96.93,11.65,86.96,29.82,87.97,3.9,59.0,18.14,31.6,0.23,1.91,0.12,0.04,0.08,0.0,0.35,5.18,71.43,1.56,45.0,0.16,0.0,0.62,0.35,5.65,75.17,0,,0,,0,0.0,0.0,0.0,,,1.44,,,1.09,0.12,66.67,4.91,0,0.0
D. Jurásek,Slavia Praha,Slavia Praha,LWB,25,8000000,2029-06-30,16,1465,1,0.71,6,5.18,8.29,54.07,Czech Republic,Czech Republic,left,183,76,no,5.65,3.32,66.67,1.11,38.89,0.0,0.0,0.31,3.44,6.0,0.61,0,0.0,0,0.0,3.5,0.06,1,0.06,0.04,0,0.0,14,0.86,35.71,7.143,0.37,4.61,44.0,4.55,43.24,0.0,0.0,0.68,1.29,85.71,2.76,46.67,1.9,1.6,0.31,25.0,1.41,0.55,34.28,70.25,11.98,59.49,6.39,95.19,10.57,70.93,23.9,82.01,5.9,42.71,21.56,36.02,0.32,1.78,0.12,0.0,0.06,100.0,0.92,4.73,53.25,4.24,52.17,0.31,40.0,0.55,1.78,9.28,72.19,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.43,0.12,50.0,0.74,0,0.0
C. Zafeiris,PAOK,Slavia Praha,"LCMF, RCMF, AMF",23,7000000,2029-12-31,17,1230,3,1.7,1,1.12,16.9,44.59,Greece,"Greece, Norway",right,173,75,no,4.39,4.39,61.67,3.07,50.0,0.22,0.44,0.22,1.46,2.94,1.61,2,0.15,0,0.0,1.76,0.22,3,0.22,0.12,0,0.0,16,1.17,43.75,18.75,0.07,1.68,34.78,0.88,33.33,0.8,36.36,0.51,1.83,36.0,5.49,41.33,1.83,1.61,0.15,19.1,1.02,1.1,31.46,79.53,11.12,70.39,4.9,95.52,9.22,80.16,25.24,86.09,4.76,61.54,17.72,33.79,0.08,0.95,0.0,0.22,0.15,0.0,0.44,5.71,66.67,3.07,59.52,0.73,30.0,1.68,0.51,6.37,80.46,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.37,0.0,0.0,0.29,0,0.0
S. Mannsverk,Sparta Praha,Sparta Praha,"LCMF, RCMF",24,6000000,2028-06-30,19,1102,0,1.02,0,0.1,12.25,45.33,Norway,Norway,right,185,77,no,7.43,4.9,53.33,1.63,60.0,0.57,1.14,0.41,4.25,8.48,1.88,7,0.57,0,0.0,1.23,0.0,0,0.0,0.08,0,0.0,11,0.9,27.27,0.0,0.0,0.9,36.36,0.33,25.0,0.57,42.86,0.08,1.06,53.85,3.76,34.78,1.31,1.55,0.16,32.91,0.25,0.74,43.86,87.34,11.52,73.76,7.92,93.81,15.84,93.81,40.75,90.78,2.21,44.44,16.94,26.79,0.01,0.16,0.0,0.0,0.16,50.0,0.08,4.66,70.18,1.55,47.37,0.16,0.0,0.41,0.33,3.59,79.55,0,,0,,0,0.0,0.0,0.0,,,0.74,,,0.0,0.0,0.0,0.0,0,0.0
M. Cham,Crvena Zvezda,Slavia Praha,"AMF, RCMF, RW",25,6000000,2028-06-30,16,626,0,0.5,2,1.11,12.94,54.44,Austria,Austria,left,180,67,no,5.18,3.59,60.0,1.44,70.0,0.0,0.0,0.0,3.02,6.12,1.44,0,0.0,0,0.0,1.73,0.0,0,0.0,0.07,0,0.0,12,1.73,0.0,0.0,0.29,1.58,18.18,0.43,0.0,1.01,14.29,0.0,2.16,53.33,6.76,51.06,2.88,1.87,0.14,35.08,0.29,1.73,43.56,81.52,11.93,72.29,10.5,91.78,11.5,78.75,39.11,85.66,3.02,57.14,16.8,27.43,0.16,1.58,0.0,0.0,0.86,33.33,1.01,5.75,67.5,3.16,63.64,1.15,50.0,2.01,0.29,6.18,81.4,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.72,0.14,0.0,3.16,0,0.0
P. Šulc,Olympique Lyonnais,Viktoria Plzeň,"LW, AMF, RW",25,6000000,2029-06-30,2,170,1,0.7,2,0.83,14.82,35.71,Czech Republic,Czech Republic,right,175,67,no,2.12,2.12,50.0,2.65,60.0,0.0,0.0,0.0,1.06,1.58,0.0,0,0.0,0,0.0,2.12,0.53,1,0.53,0.37,0,0.0,6,3.18,16.67,16.667,1.06,2.12,25.0,1.06,50.0,1.06,0.0,0.0,3.71,28.57,7.94,26.67,5.29,3.71,1.06,23.82,1.59,0.0,28.59,75.93,6.88,69.23,5.29,100.0,10.06,63.16,23.82,86.67,2.65,20.0,16.02,31.12,0.44,1.59,0.0,0.0,0.53,0.0,1.06,3.18,50.0,4.24,50.0,0.53,0.0,4.24,0.0,3.18,66.67,0,,0,,0,0.0,0.0,0.0,,,0.53,,,0.0,0.0,0.0,1.59,0,0.0
J. Kuchta,Sparta Praha,Sparta Praha,CF,29,5000000,2028-06-30,30,1846,12,9.85,6,1.6,12.77,31.68,Czech Republic,Czech Republic,right,185,81,no,2.1,1.76,50.0,3.46,36.62,0.0,0.0,0.15,1.22,2.38,0.83,6,0.29,0,0.0,1.46,0.59,12,0.59,0.48,5,0.24,56,2.73,39.29,21.429,0.29,0.44,22.22,0.24,20.0,0.15,0.0,0.05,0.78,37.5,4.44,29.67,4.58,0.54,0.1,12.63,1.41,1.37,14.72,79.14,2.73,60.71,4.19,91.86,4.68,80.21,13.8,82.33,0.54,36.36,16.62,12.87,0.08,0.73,0.0,0.0,0.05,0.0,0.54,1.22,72.0,1.22,64.0,0.1,0.0,0.93,0.1,1.37,75.0,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.0,0.0,0.0,0.0,0,0.0
P. Hrošovský,Viktoria Plzeň,Viktoria Plzeň,"RDMF, RCMF, DMF",34,3500000,2027-06-30,16,1533,0,1.65,4,3.18,11.98,50.0,Slovakia,Slovakia,right,173,70,no,5.64,4.05,63.77,1.41,29.17,0.12,0.19,0.23,2.94,4.75,0.47,0,0.0,0,0.0,2.35,0.0,0,0.0,0.1,0,0.0,24,1.41,33.33,0.0,0.23,1.88,40.63,0.88,40.0,0.94,43.75,0.47,1.82,58.06,5.23,46.07,0.88,1.29,0.23,29.94,0.41,0.94,42.92,86.87,15.5,74.24,5.93,98.02,15.56,93.21,36.69,93.12,4.46,53.95,18.84,39.18,0.19,1.23,0.0,0.06,0.06,100.0,0.29,7.81,76.69,2.94,58.0,0.82,35.71,0.94,0.76,7.34,83.2,0,,0,,0,0.0,0.0,0.0,,,0.88,,,0.82,0.12,0.0,2.76,0,0.0
T. Chorý,Slavia Praha,Slavia Praha,CF,31,3200000,2027-06-30,24,2063,17,16.49,4,3.08,23.86,40.77,Czech Republic,Czech Republic,right,199,101,no,3.14,2.09,52.08,7.2,50.91,0.13,0.23,0.13,1.92,3.41,1.92,3,0.13,2,0.09,2.01,0.74,11,0.48,0.72,5,0.22,79,3.45,40.51,21.519,0.17,0.79,33.33,0.17,25.0,0.61,35.71,0.04,0.74,47.06,8.25,29.1,5.24,0.83,0.22,11.08,2.49,1.7,16.8,70.39,4.28,59.18,4.19,82.29,4.19,72.92,15.36,74.15,0.65,26.67,13.71,18.79,0.13,0.96,0.13,0.13,0.0,0.0,0.57,1.88,58.14,1.05,58.33,0.04,0.0,1.05,0.26,1.83,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,6,100.0
