Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Sensi,CSKA Sofia,Anorthosis,LCMF,30,3000000,2028-06-30,24,2276,9,7.74,5,3.69,18.66,54.87,Italy,Italy,right,168,62,no,9.81,7.95,62.69,0.91,34.78,0.43,0.61,0.32,4.39,6.18,1.54,6,0.24,0,0.0,1.86,0.36,3,0.12,0.31,2,0.08,42,1.66,30.95,21.429,0.2,0.87,22.73,0.43,18.18,0.36,33.33,0.08,2.02,50.98,7.55,52.36,1.19,1.74,0.24,36.58,0.67,2.37,51.49,84.87,18.03,73.68,6.6,95.21,19.85,92.03,44.25,89.37,6.41,61.73,20.39,38.77,0.15,1.5,0.08,0.0,0.28,42.86,0.24,9.57,71.07,2.49,47.62,1.11,17.86,0.87,0.24,9.06,81.22,0,,0,,0,0.0,0.0,0.0,,,0.75,,,2.02,0.12,33.33,2.61,7,85.714
M. Oršić,Dinamo Zagreb,Pafos,"LAMF, LW, RAMF",33,2500000,,31,2269,1,2.57,10,7.44,9.6,47.11,Croatia,Croatia,right,179,69,no,3.73,3.73,60.64,0.52,23.08,0.0,0.0,0.0,1.47,2.33,0.4,1,0.04,0,0.0,2.78,0.04,1,0.04,0.1,0,0.0,37,1.47,27.03,2.703,0.4,3.41,36.05,2.22,44.64,1.15,17.24,0.59,2.06,50.0,4.32,43.12,1.67,2.26,0.36,31.14,1.9,0.36,37.72,78.65,10.55,67.67,7.93,94.5,12.42,75.72,30.7,86.56,3.65,52.17,17.76,28.1,0.3,2.14,0.04,0.04,0.16,75.0,0.75,5.28,64.66,4.8,45.45,0.87,40.91,1.19,1.31,6.78,77.78,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.95,0.24,16.67,3.37,0,0.0
N. Tošić,Anorthosis,Anorthosis,LCB,29,2500000,2027-05-31,16,1613,0,1.82,0,0.01,8.82,60.13,Serbia,Serbia,left,189,84,no,8.31,4.35,65.38,2.57,50.0,1.06,1.57,0.39,4.41,6.53,0.84,3,0.17,0,0.0,0.28,0.0,0,0.0,0.1,0,0.0,12,0.67,8.33,0.0,0.0,0.17,66.67,0.17,66.67,0.0,0.0,0.0,0.17,66.67,0.56,60.0,0.73,0.73,0.0,28.79,0.11,0.33,40.12,85.54,18.3,77.44,3.74,95.52,12.55,92.89,35.04,90.92,4.91,47.73,18.96,37.59,0.0,0.06,0.06,0.0,0.0,0.0,0.06,4.52,71.6,0.67,33.33,0.39,14.29,0.06,0.11,7.31,70.23,0,,0,,0,0.0,0.0,0.0,,,1.34,,,0.0,0.0,0.0,0.0,0,0.0
Pêpê Rodrigues,Pafos,Pafos,"LDMF, LCMF",29,2400000,2028-05-31,34,3090,2,3.15,2,4.14,8.27,50.7,Portugal,Portugal,right,183,66,no,4.49,3.44,57.63,0.64,54.55,0.09,0.15,0.26,2.42,4.04,0.84,6,0.17,0,0.0,1.28,0.06,1,0.03,0.09,0,0.0,26,0.76,46.15,7.692,0.06,1.37,34.04,0.64,27.27,0.7,37.5,0.29,0.7,54.17,2.85,42.86,0.55,1.22,0.2,44.56,0.5,0.67,58.19,87.94,19.14,80.06,8.53,93.86,22.6,92.01,51.12,92.19,5.83,62.5,19.57,37.03,0.12,0.99,0.06,0.12,0.15,60.0,0.44,9.32,78.75,2.68,41.3,0.82,39.29,0.93,0.47,9.82,82.49,0,,0,,0,0.0,0.0,0.0,,,0.55,,,0.67,0.0,0.0,1.75,3,33.333
C. Eiting,Omonia Nicosia,Omonia Nicosia,"LCMF, RDMF, LDMF",28,2300000,2027-05-31,25,1655,1,2.07,3,2.63,8.65,52.2,Netherlands,Netherlands,left,178,72,no,6.85,5.06,60.22,0.92,23.53,0.6,0.83,0.22,3.21,4.45,0.71,1,0.05,0,0.0,1.14,0.05,1,0.05,0.11,0,0.0,19,1.03,36.84,5.263,0.16,0.98,44.44,0.76,50.0,0.22,25.0,0.16,0.44,75.0,1.58,55.17,0.87,0.65,0.05,27.84,0.11,0.27,37.74,83.72,13.38,70.33,5.76,97.17,11.75,87.96,32.19,89.36,4.57,52.38,17.35,29.7,0.14,0.87,0.16,0.05,0.0,0.0,0.76,6.69,70.73,2.45,48.89,1.25,47.83,0.87,0.49,5.93,78.9,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.27,0.0,0.0,0.6,0,0.0
D. Ivanović,AEK Larnaca ,AEK Larnaca ,"LAMF, LW, RAMF",30,2000000,2027-05-31,33,2433,8,7.89,2,3.91,21.12,40.11,Croatia,"Croatia, Serbia",right,179,75,no,4.48,3.77,55.88,2.22,36.67,0.07,0.12,0.07,2.29,3.61,0.96,3,0.11,1,0.04,4.96,0.3,8,0.3,0.29,1,0.04,62,2.29,38.71,12.903,0.07,3.59,34.02,2.89,32.05,0.67,44.44,0.78,5.73,49.03,13.13,36.34,4.62,3.22,0.18,21.27,2.66,0.85,29.67,76.06,5.66,62.75,10.17,94.55,8.29,70.54,24.49,83.53,1.63,56.82,16.42,17.7,0.14,0.89,0.0,0.0,0.15,25.0,0.55,1.48,75.0,3.33,47.78,0.26,57.14,1.0,1.26,4.4,68.91,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.0,0.0,0.0,0.04,0,0.0
Dani Silva,Midtjylland,Pafos,"AMF, LCMF, RCMF",26,2000000,2029-06-30,15,732,0,0.18,0,0.22,12.17,55.56,Portugal,Portugal,right,180,73,no,6.15,5.66,60.87,1.23,60.0,0.0,0.0,0.0,2.7,4.15,1.72,2,0.25,0,0.0,0.98,0.0,0,0.0,0.02,0,0.0,5,0.61,20.0,0.0,0.0,0.61,0.0,0.0,0.0,0.61,0.0,0.12,1.23,70.0,3.57,55.17,0.98,1.35,0.61,24.71,0.86,0.86,35.29,89.9,10.2,85.54,7.13,93.1,10.2,93.98,34.06,92.06,0.61,60.0,15.37,11.44,0.03,0.61,0.0,0.0,0.12,0.0,0.25,3.69,93.33,0.86,42.86,0.0,0.0,0.74,0.0,3.07,84.0,0,,0,,0,0.0,0.0,0.0,,,0.37,,,0.0,0.0,0.0,0.61,0,0.0
Brandon Thomas,Apollon,Apollon,"LAMF, CF, LW",31,1800000,2027-05-31,33,2689,9,9.28,2,4.03,21.29,41.98,Spain,"Spain, England",right,173,68,no,6.23,5.72,57.31,2.81,27.38,0.44,0.68,0.17,2.51,3.92,1.17,9,0.3,0,0.0,2.88,0.3,7,0.23,0.31,0,0.0,67,2.24,28.36,13.433,0.07,1.47,38.64,1.1,45.45,0.3,11.11,0.07,2.64,59.49,9.14,39.19,3.61,2.04,0.47,21.42,1.67,2.08,27.88,81.51,6.56,68.37,7.63,92.11,7.06,83.89,25.3,84.92,1.17,60.0,16.24,23.53,0.13,1.2,0.07,0.0,0.27,37.5,0.64,2.54,63.16,2.34,62.86,0.33,40.0,1.47,0.64,3.92,79.49,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.0,0.0,0.0,0.0,2,100.0
T. Chatzigiovanis,Omonia Nicosia,Omonia Nicosia,"LW, LAMF, RAMF",29,1800000,2027-05-31,27,1393,5,3.39,4,3.92,17.7,49.27,Greece,Greece,right,177,62,no,4.07,3.75,51.72,1.87,31.03,0.0,0.0,0.06,2.13,2.98,0.97,4,0.26,0,0.0,5.3,0.32,5,0.32,0.22,0,0.0,27,1.74,62.96,18.519,0.26,3.42,37.74,1.55,29.17,1.87,44.83,0.39,4.13,68.75,10.73,51.81,2.97,3.04,0.65,21.06,2.52,2.13,26.94,79.38,4.97,74.03,7.62,90.68,8.33,76.74,21.19,88.11,2.71,64.29,18.35,24.63,0.25,1.55,0.13,0.13,0.13,50.0,0.78,1.68,57.69,2.52,48.72,0.32,40.0,0.84,1.1,3.94,70.49,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.58,0.19,66.67,1.23,0,0.0
K. Sema,Pafos,Pafos,"LB, LWB, LAMF",32,1800000,2027-05-31,23,1199,0,0.54,1,1.79,17.41,45.69,Sweden,"Sweden, Congo DR",left,180,69,no,6.68,6.23,57.83,1.95,53.85,0.23,0.39,0.15,2.85,4.98,1.65,5,0.38,0,0.0,3.38,0.0,0,0.0,0.04,0,0.0,8,0.6,12.5,0.0,0.08,3.15,47.62,2.85,50.0,0.3,25.0,0.15,3.45,52.17,7.43,37.37,1.58,1.35,0.15,22.74,1.2,0.6,30.33,82.18,7.51,75.0,7.81,95.19,8.93,81.51,25.6,88.27,1.65,50.0,16.52,20.4,0.13,0.9,0.08,0.15,0.0,0.0,0.6,2.63,82.86,2.85,57.89,0.08,0.0,0.53,1.5,5.18,73.91,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.0,0.0,0.0,1.28,0,0.0
