Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Sešlar,Celje,Celje,"AMF, CF, RWB",24,2500000,2030-06-30,15,1335,9,7.43,5,3.16,14.02,48.56,Slovenia,Slovenia,left,186,76,no,5.19,4.58,57.35,1.48,40.91,0.27,0.43,0.13,2.29,3.66,1.08,2,0.13,0,0.0,3.3,0.61,5,0.34,0.5,0,0.0,24,1.62,66.67,37.5,0.34,3.03,44.44,0.47,42.86,2.49,45.95,0.47,1.48,50.0,6.74,45.0,2.83,1.21,0.34,41.26,1.28,2.02,51.03,80.05,16.72,64.92,11.66,95.38,12.61,83.42,43.35,85.07,4.99,56.76,17.14,38.98,0.21,1.21,0.27,0.13,0.27,50.0,0.74,8.36,65.32,4.18,50.0,0.54,25.0,1.69,1.35,9.03,85.07,0,,0,,0,0.0,0.0,0.0,,,0.2,,,1.28,0.2,33.33,3.1,5,80.0
M. Žaper,Hajduk Split,Radomlje,"LDMF, LCB",28,2500000,2028-05-31,14,1240,1,0.95,1,0.59,7.11,59.18,Croatia,Croatia,right,188,75,no,6.24,2.98,63.41,1.89,65.38,0.07,0.09,0.73,4.28,5.48,0.51,3,0.22,0,0.0,0.29,0.07,0,0.0,0.07,0,0.0,4,0.29,25.0,25.0,0.07,0.44,33.33,0.29,50.0,0.15,0.0,0.07,0.22,33.33,1.45,50.0,0.36,0.15,0.0,26.2,0.36,0.94,40.14,90.24,11.98,79.39,7.33,97.03,15.53,94.39,36.65,93.86,3.05,54.76,17.92,36.31,0.04,0.36,0.07,0.0,0.0,0.0,0.22,3.05,61.9,1.09,46.67,0.07,0.0,0.44,0.22,4.5,67.74,0,,0,,0,0.0,0.0,0.0,,,1.6,,,0.07,0.07,0.0,0.07,1,100.0
R. Murić,Floriana,Mura,"RAMF, RW",30,1800000,2027-06-30,14,829,0,1.09,1,1.47,13.03,50.0,Croatia,Croatia,left,180,72,no,4.13,3.58,60.61,1.52,42.86,0.0,0.0,0.0,1.95,2.56,0.43,0,0.0,0,0.0,2.82,0.0,0,0.0,0.12,0,0.0,14,1.52,7.14,0.0,0.11,4.67,23.26,0.43,0.0,4.13,26.32,0.87,3.37,48.39,6.95,46.88,2.28,0.98,0.0,20.41,2.5,1.09,27.25,65.34,7.27,64.18,4.02,89.19,12.48,59.13,17.37,80.63,5.43,52.0,24.76,43.18,0.16,1.52,0.11,0.0,0.11,0.0,0.76,5.86,64.81,5.75,33.96,1.19,45.45,1.19,1.09,6.3,82.76,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.98,0.22,0.0,2.5,0,0.0
Ž. Karničnik,Maribor,Celje,"LB, RB, LCMF",31,1500000,,25,2148,0,0.31,4,2.46,15.13,54.29,Slovenia,Slovenia,right,184,77,no,8.34,7.25,63.58,1.34,34.38,0.21,0.35,0.21,3.52,5.96,0.92,6,0.25,0,0.0,1.38,0.0,0,0.0,0.01,0,0.0,11,0.46,9.09,0.0,0.17,0.84,55.0,0.17,25.0,0.63,60.0,0.08,1.51,50.0,5.36,48.44,0.75,2.6,0.21,52.88,1.17,1.3,66.66,87.93,19.27,76.3,12.11,94.12,22.58,94.25,62.68,90.04,3.18,55.26,16.36,33.57,0.1,1.22,0.13,0.13,0.34,37.5,0.59,8.04,78.65,2.14,60.78,0.63,13.33,0.84,0.38,8.72,74.04,0,,0,,0,0.0,0.0,0.0,,,0.84,,,0.0,0.0,0.0,0.04,0,0.0
Ł. Bejger,Celje,Celje,"RCB, CB",24,1500000,2027-06-30,25,1959,0,0.48,0,0.73,8.27,56.67,Poland,Poland,right,190,76,no,5.28,3.77,64.63,1.01,59.09,0.14,0.24,0.32,2.71,4.75,0.92,3,0.14,0,0.0,0.6,0.0,0,0.0,0.02,0,0.0,5,0.23,20.0,0.0,0.0,0.32,42.86,0.05,0.0,0.23,60.0,0.14,0.41,88.89,1.75,47.37,0.6,1.84,0.14,51.59,0.96,0.51,65.56,94.11,22.1,89.19,4.04,98.86,32.11,97.42,62.71,95.53,2.62,66.67,19.0,27.91,0.03,0.14,0.09,0.05,0.05,100.0,0.05,3.95,88.37,0.46,50.0,0.05,100.0,0.23,0.09,7.86,75.44,0,,0,,0,0.0,0.0,0.0,,,1.47,,,0.0,0.0,0.0,0.0,0,0.0
N. Jojić,,Radomlje,"RAMF, RW, LAMF",22,1200000,,31,1800,8,5.35,2,3.14,16.15,49.54,Serbia,Serbia,left,183,73,no,5.65,4.95,56.57,1.7,32.35,0.2,0.27,0.05,2.65,3.64,0.7,2,0.1,0,0.0,2.6,0.4,8,0.4,0.27,1,0.05,40,2.0,37.5,20.0,0.1,1.8,30.56,1.0,30.0,0.75,33.33,0.2,1.9,63.16,8.35,48.5,3.15,1.15,0.1,20.6,1.6,2.35,28.25,74.34,7.75,63.23,7.5,95.33,7.85,67.52,23.3,80.9,3.2,51.56,18.97,31.14,0.16,0.9,0.1,0.0,0.15,66.67,0.7,3.8,60.53,2.8,44.64,0.7,50.0,1.25,0.5,5.0,73.0,0,,0,,0,0.0,0.0,0.0,,,0.5,,,0.55,0.15,66.67,1.05,0,0.0
V. Lisakovich,,Celje,"CF, AMF, RCMF",28,1000000,,9,435,0,0.81,2,0.36,15.52,30.67,Belarus,Belarus,right,179,77,no,2.48,3.52,35.29,1.03,60.0,0.0,0.0,0.0,1.24,2.34,2.69,3,0.62,0,0.0,2.07,0.0,0,0.0,0.17,0,0.0,7,1.45,28.57,0.0,0.41,0.62,0.0,0.41,0.0,0.21,0.0,0.21,2.69,30.77,9.52,28.26,2.48,2.07,0.21,17.38,0.83,1.24,21.93,82.08,6.62,84.38,3.52,100.0,7.24,82.86,19.24,84.95,2.07,80.0,15.76,19.5,0.07,0.83,0.0,0.41,0.83,100.0,0.62,2.28,90.91,3.31,75.0,0.83,100.0,2.48,0.0,4.14,95.0,0,,0,,0,0.0,0.0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,0,0.0
J. Seri,Maribor,Maribor,"DMF, RDMF",35,1000000,2027-05-31,14,799,0,0.14,1,0.52,14.31,46.46,Côte d'Ivoire,Côte d'Ivoire,right,168,69,no,7.88,6.53,58.62,1.91,41.18,0.79,1.39,0.34,3.27,5.76,1.8,3,0.34,0,0.0,0.45,0.0,0,0.0,0.02,0,0.0,4,0.45,25.0,0.0,0.11,0.34,33.33,0.0,0.0,0.34,33.33,0.0,0.45,50.0,3.72,33.33,0.23,0.23,0.0,31.65,0.11,1.01,45.96,89.95,11.94,82.08,7.21,96.88,20.61,93.44,41.0,91.76,4.62,78.05,18.86,21.24,0.06,0.56,0.0,0.11,0.11,0.0,0.45,7.66,83.82,1.01,55.56,0.34,33.33,0.56,0.11,6.76,80.0,0,,0,,0,0.0,0.0,0.0,,,2.03,,,0.0,0.0,0.0,0.11,0,0.0
B. Tetteh,Maribor,Maribor,CF,29,1000000,2027-05-31,28,1849,12,11.9,5,2.79,19.62,41.94,Ghana,Ghana,right,193,90,no,2.48,2.09,51.16,5.69,51.28,0.0,0.0,0.24,1.41,2.27,2.09,5,0.24,0,0.0,2.63,0.58,11,0.54,0.58,1,0.05,59,2.87,47.46,20.339,0.24,1.17,45.83,0.54,27.27,0.58,58.33,0.24,1.41,48.28,9.35,35.94,6.18,0.78,0.05,12.95,2.58,2.48,18.45,76.25,3.12,65.63,4.77,84.69,5.26,70.37,15.92,79.82,1.46,63.33,15.35,26.04,0.14,0.68,0.0,0.0,0.15,33.33,0.49,1.56,68.75,1.51,58.06,0.05,0.0,1.31,0.44,1.9,74.36,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.24,0.24,0.0,0.0,2,50.0
P. Sirvys,Celje,Maribor,RB,28,800000,,22,1608,1,1.48,0,1.09,14.66,55.34,Lithuania,Lithuania,right,183,77,no,8.56,6.44,54.78,2.24,67.5,0.45,0.68,0.34,4.59,6.99,1.51,12,0.67,0,0.0,1.62,0.06,1,0.06,0.08,1,0.06,10,0.56,30.0,10.0,0.0,2.35,38.1,0.06,0.0,2.29,39.02,0.39,0.9,62.5,4.37,52.56,1.29,1.62,0.22,31.23,1.9,2.07,42.48,83.79,14.89,74.06,7.39,100.0,14.22,84.25,35.99,90.36,4.25,53.95,19.73,36.19,0.06,0.56,0.06,0.06,0.0,0.0,0.34,6.83,69.67,3.13,48.21,0.17,33.33,0.78,0.84,7.89,82.98,0,,0,,0,0.0,0.0,0.0,,,1.01,,,0.0,0.0,0.0,0.0,0,0.0
