Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Radulović,Rapid Wien,Hapoel Haifa,"RAMF, RW, CF",24,2500000,2029-06-30,4,324,0,0.78,0,0.28,14.44,48.08,Montenegro,"Montenegro, Serbia",left,175,68,no,5.56,4.44,62.5,1.11,25.0,0.28,0.31,0.0,2.5,2.76,0.83,0,0.0,0,0.0,1.39,0.0,0,0.0,0.22,0,0.0,9,2.5,22.22,0.0,0.0,1.11,0.0,0.28,0.0,0.83,0.0,0.28,1.94,42.86,7.22,42.31,2.5,1.39,0.56,13.89,1.67,1.67,19.17,79.71,5.83,76.19,3.89,92.86,6.11,77.27,16.39,84.75,1.67,83.33,15.38,16.5,0.08,0.83,0.0,0.0,0.0,0.0,0.28,2.5,77.78,1.11,25.0,0.28,100.0,0.28,0.0,3.61,76.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.39,0.28,0.0,1.94,0,0.0
E. Sahiti,Hamburger SV,Maccabi Tel Aviv,"RW, RAMF",27,2300000,2027-06-30,14,985,2,1.46,4,1.53,15.53,45.88,Kosovo,"Kosovo, Albania",right,174,65,no,5.66,5.57,54.1,0.55,0.0,0.0,0.0,0.0,2.65,4.26,0.73,3,0.27,0,0.0,3.84,0.18,2,0.18,0.13,0,0.0,17,1.55,35.29,11.765,0.37,2.38,30.77,0.09,100.0,2.28,28.0,0.55,3.75,65.85,8.13,47.19,2.19,2.28,0.0,18.82,3.29,1.19,27.41,74.0,8.5,60.22,6.3,91.3,8.31,78.02,23.76,79.23,1.37,60.0,18.19,23.09,0.14,1.19,0.0,0.0,0.09,100.0,0.82,2.74,63.33,4.2,52.17,0.27,66.67,1.83,0.73,6.85,78.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.18,0,0.0
O. Atzili,Beitar Jerusalem,Beitar Jerusalem,"RWF, RAMF",33,2000000,2027-06-30,32,2705,15,14.67,5,6.68,14.27,41.96,Israel,"Israel, Romania",left,177,68,no,4.49,4.76,51.75,1.13,17.65,0.07,0.12,0.03,1.96,3.5,1.46,7,0.23,0,0.0,3.76,0.5,10,0.33,0.49,1,0.03,104,3.46,46.15,14.423,0.17,1.83,29.09,0.23,28.57,1.56,29.79,0.23,3.13,50.0,6.85,41.26,3.39,1.9,0.13,23.89,2.23,1.4,26.85,73.61,6.92,59.13,5.92,90.45,7.65,75.22,22.46,77.78,2.63,68.35,16.89,29.54,0.22,1.56,0.13,0.0,0.33,20.0,0.5,2.7,59.26,3.56,51.4,0.7,33.33,1.83,0.47,4.56,83.21,0,,0,,0,0.0,0.0,0.0,,,0.03,,,1.43,0.2,33.33,2.86,8,62.5
D. Peretz,Maccabi Tel Aviv,Maccabi Tel Aviv,"AMF, CF, RCMF",31,1500000,2029-06-30,31,2915,18,12.19,2,1.59,10.87,44.03,Israel,"Israel, Portugal",right,185,83,no,2.72,2.5,53.09,2.81,47.25,0.03,0.05,0.25,1.36,2.38,0.9,7,0.22,0,0.0,1.57,0.56,16,0.49,0.38,3,0.09,76,2.35,51.32,23.684,0.06,0.34,27.27,0.03,0.0,0.31,30.0,0.03,0.65,42.86,3.77,40.16,3.06,0.83,0.19,15.25,0.93,1.3,17.69,80.45,5.34,72.25,3.37,89.91,4.82,86.54,16.7,82.62,0.68,50.0,15.81,21.06,0.05,0.4,0.03,0.0,0.03,0.0,0.25,2.62,71.76,0.65,52.38,0.09,0.0,0.59,0.09,2.44,70.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0
Y. Shua,Beitar Jerusalem,Beitar Jerusalem,CF,27,1500000,2028-06-30,33,2658,15,11.46,8,9.14,13.41,39.65,Israel,Israel,both,185,0,no,2.2,2.03,60.0,1.46,37.21,0.0,0.0,0.07,0.98,1.84,0.47,3,0.1,1,0.03,3.12,0.51,11,0.37,0.39,0,0.0,65,2.2,43.08,23.077,0.27,2.37,31.43,1.25,32.43,1.12,30.3,0.44,2.34,49.28,8.23,34.98,3.66,2.1,0.3,21.91,1.83,1.22,28.27,67.9,10.73,56.78,4.6,91.91,7.99,69.92,23.4,74.38,2.64,42.31,18.75,36.41,0.31,2.37,0.03,0.1,0.68,40.0,1.25,4.94,56.16,5.52,50.31,1.35,40.0,2.57,0.81,5.15,87.5,0,,0,,0,0.0,0.0,0.0,,,0.14,,,2.17,0.2,16.67,3.45,4,100.0
A. Kraev,,Hapoel Tel Aviv,"LDMF, LCMF, RDMF",27,1500000,,28,2420,2,2.51,1,1.28,19.08,51.46,Bulgaria,Bulgaria,right,194,79,no,8.07,7.03,58.73,5.06,51.47,0.26,0.37,0.26,3.68,5.28,2.05,9,0.33,1,0.04,1.19,0.07,2,0.07,0.09,1,0.04,34,1.26,20.59,5.882,0.04,0.56,33.33,0.26,57.14,0.3,12.5,0.07,1.04,71.43,5.02,46.67,1.23,0.67,0.04,25.81,0.33,1.26,38.23,83.46,11.57,70.1,5.62,98.01,14.39,88.89,33.88,85.95,3.83,68.93,18.4,38.33,0.05,0.37,0.07,0.04,0.0,0.0,0.07,5.58,68.0,1.08,37.93,0.19,0.0,0.33,0.15,5.91,69.81,0,,0,,0,0.0,0.0,0.0,,,0.82,,,0.0,0.0,0.0,0.04,0,0.0
M. Coco,,Hapoel Tel Aviv,"RB, LB",30,1500000,,12,1160,0,0.08,0,0.31,17.46,56.44,Guadeloupe,"Guadeloupe, France",right,184,78,no,9.85,9.47,59.02,2.56,51.52,0.39,0.56,0.16,3.88,5.56,1.55,5,0.39,0,0.0,0.93,0.0,0,0.0,0.01,0,0.0,2,0.16,0.0,0.0,0.0,1.63,19.05,0.39,0.0,1.24,25.0,0.23,0.93,66.67,3.72,54.17,0.16,1.16,0.31,24.36,1.09,1.47,37.47,80.95,19.86,76.56,3.88,98.0,8.69,83.93,32.04,87.65,3.88,50.0,18.38,33.42,0.02,0.23,0.16,0.0,0.0,0.0,0.16,7.29,71.28,1.94,28.0,0.0,0.0,0.16,0.39,7.84,68.32,0,,0,,0,0.0,0.0,0.0,,,0.78,,,0.0,0.0,0.0,0.0,0,0.0
K. Andrade,Maccabi Tel Aviv,Maccabi Tel Aviv,"LAMF, AMF, LW",21,1500000,2029-06-30,26,1133,3,2.37,0,1.22,20.73,42.53,Venezuela,Venezuela,right,163,62,no,5.96,6.67,57.14,1.11,35.71,0.48,0.97,0.0,1.67,3.41,1.91,2,0.16,0,0.0,3.34,0.24,3,0.24,0.19,0,0.0,36,2.86,22.22,8.333,0.0,1.99,28.0,1.43,22.22,0.56,42.86,0.32,4.05,52.94,10.56,38.35,3.5,1.59,0.24,21.53,1.67,1.03,28.2,80.56,7.23,65.93,4.29,96.3,10.8,82.35,23.35,88.1,2.86,55.56,19.45,21.78,0.1,0.79,0.24,0.0,0.0,0.0,0.48,3.57,71.11,3.02,47.37,0.48,16.67,1.59,0.56,2.94,81.08,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.48,0.24,0.0,1.43,0,0.0
D. Jovanović,Basel,Maccabi Haifa,CF,27,1500000,2027-06-30,12,400,3,2.54,1,0.57,11.25,32.0,Serbia,Serbia,right,187,76,no,4.05,2.7,58.33,2.7,33.33,0.45,0.87,0.23,2.03,3.91,0.9,1,0.23,0,0.0,1.58,0.68,1,0.23,0.57,1,0.23,10,2.25,50.0,30.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,50.0,3.83,11.76,2.7,0.23,0.0,11.03,1.35,0.68,15.52,76.81,2.25,50.0,4.95,90.91,5.85,80.77,15.08,76.12,0.45,100.0,15.14,5.45,0.13,0.68,0.0,0.0,0.0,0.0,0.45,1.13,100.0,1.58,28.57,0.0,0.0,0.68,0.0,1.58,85.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0
W. Cyprien,Maccabi Netanya,Maccabi Netanya,"RCMF, LCMF, DMF",31,1500000,2027-06-30,8,370,0,0.7,1,0.87,10.7,43.18,Guadeloupe,"Guadeloupe, France",right,180,78,no,3.65,2.92,41.67,1.46,16.67,0.0,0.0,0.0,2.43,3.23,0.73,0,0.0,0,0.0,1.95,0.0,0,0.0,0.17,0,0.0,7,1.7,42.86,0.0,0.24,1.22,60.0,0.49,100.0,0.49,50.0,0.0,0.97,50.0,4.38,38.89,1.7,0.0,0.0,36.97,0.0,1.46,46.46,87.43,13.86,71.93,10.22,92.86,14.11,93.1,42.81,92.05,2.43,20.0,17.09,26.94,0.21,1.22,0.0,0.0,0.0,0.0,0.49,4.62,57.89,1.22,40.0,0.24,0.0,0.97,0.49,5.84,70.83,0,,0,,0,0.0,0.0,0.0,,,1.22,,,0.49,0.24,100.0,0.73,0,0.0
