Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Colpani,Monza,Monza,"AMF, RW",27,18000000,2028-06-30,27,1499,2,3.84,0,4.76,17.71,46.44,Italy,Italy,left,184,77,no,4.68,3.78,68.25,1.5,36.0,0.42,0.57,0.12,1.68,2.29,0.6,0,0.0,0,0.0,4.8,0.12,2,0.12,0.23,0,0.0,52,3.12,26.92,3.846,0.0,2.58,41.86,0.36,50.0,2.22,40.54,0.3,5.88,47.96,11.17,42.47,3.0,3.42,0.54,29.3,0.9,1.38,34.88,82.62,8.89,74.32,9.31,97.42,10.33,84.88,29.3,86.68,3.24,75.93,17.45,32.45,0.29,2.04,0.12,0.06,0.18,33.33,0.06,3.0,68.0,3.84,64.06,0.6,70.0,1.92,0.96,4.92,90.24,0,,0,,0,0.0,0.0,0.0,,,0.12,,,1.26,0.42,14.29,4.98,0,0.0
M. Pessina,Monza,Monza,"LCMF, RCMF",29,15000000,2027-06-30,37,3523,5,5.08,1,0.97,11.73,55.34,Italy,Italy,left,187,77,no,7.15,4.06,62.89,2.43,57.89,0.1,0.14,0.43,4.5,6.0,0.77,4,0.1,0,0.0,1.07,0.13,2,0.05,0.13,0,0.0,35,0.89,37.14,14.286,0.03,0.64,40.0,0.49,36.84,0.13,60.0,0.05,0.74,65.52,3.5,48.91,1.05,1.81,0.23,35.64,0.49,1.18,49.59,86.14,17.17,73.81,7.43,95.53,17.27,92.6,44.66,89.99,4.29,52.98,17.88,30.16,0.02,0.66,0.05,0.0,0.05,0.0,0.08,7.89,76.38,1.74,57.35,0.43,23.53,0.66,0.28,7.15,70.0,0,,0,,0,0.0,0.0,0.0,,,1.43,,,0.0,0.0,0.0,0.0,3,100.0
G. Castrovilli,,Cesena,"AMF, LCMF, RCMF",29,7000000,,24,1384,1,1.04,0,2.37,23.54,46.13,Italy,Italy,right,187,71,no,5.4,5.14,58.23,1.43,31.82,0.07,0.09,0.26,2.34,3.3,1.69,4,0.26,0,0.0,3.38,0.07,1,0.07,0.07,0,0.0,16,1.04,18.75,6.25,0.0,2.67,26.83,1.11,29.41,1.5,21.74,0.39,4.16,57.81,14.63,44.44,2.21,3.25,0.46,23.87,0.72,2.41,33.42,77.43,11.32,71.84,5.98,91.3,8.45,75.38,28.55,84.97,2.34,41.67,16.58,26.92,0.15,1.24,0.07,0.0,0.26,25.0,0.39,4.55,74.29,3.51,46.3,0.85,15.38,1.17,0.85,5.4,69.88,0,,0,,0,0.0,0.0,0.0,,,0.26,,,0.52,0.07,0.0,1.63,0,0.0
G. Busio,Venezia,Venezia,"DMF, LCMF",24,6500000,2028-06-30,37,3466,7,7.5,3,6.77,13.76,51.51,United States,"United States, Italy",right,172,65,no,6.93,5.04,58.76,2.0,55.84,0.23,0.46,0.1,3.74,7.44,1.56,9,0.23,0,0.0,1.97,0.18,6,0.16,0.19,0,0.0,78,2.03,29.49,8.974,0.08,1.09,33.33,0.68,30.77,0.31,33.33,0.13,1.56,61.67,4.99,44.27,1.35,2.41,0.49,44.74,0.55,1.06,57.28,89.66,12.67,76.23,11.63,97.32,23.06,92.79,52.84,92.83,3.43,57.58,17.72,33.04,0.18,1.43,0.08,0.03,0.1,50.0,0.34,7.4,82.46,2.67,54.37,0.6,52.17,1.38,0.34,6.18,78.57,0,,0,,0,0.0,0.0,0.0,,,2.78,,,0.99,0.42,31.25,1.74,1,100.0
J. Pohjanpalo,Palermo,Palermo,CF,31,5500000,2029-06-30,40,3737,25,19.93,7,3.49,11.75,35.04,Finland,Finland,right,186,83,no,1.97,1.13,48.94,5.27,39.73,0.1,0.14,0.34,1.32,1.91,0.96,0,0.0,0,0.0,1.18,0.6,19,0.46,0.48,6,0.14,87,2.1,42.53,28.736,0.17,0.17,0.0,0.02,0.0,0.12,0.0,0.1,0.6,44.0,2.75,26.32,3.35,0.19,0.05,9.08,1.42,0.34,13.8,68.24,3.95,49.39,3.81,83.54,3.32,72.46,12.5,70.52,1.13,53.19,15.17,18.52,0.08,0.67,0.02,0.02,0.07,33.33,0.31,1.78,51.35,1.28,49.06,0.22,22.22,1.04,0.02,1.61,58.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.02,0.0,0.0,0.0,6,100.0
J. Le Douaron,Palermo,Palermo,"AMF, CF",28,5000000,2029-06-30,39,2314,5,6.04,5,1.95,24.08,33.76,France,France,left,189,78,no,2.99,2.41,48.39,9.26,34.03,0.16,0.23,0.08,1.67,2.45,1.24,3,0.12,0,0.0,2.22,0.19,5,0.19,0.23,1,0.04,40,1.56,32.5,12.5,0.19,1.52,20.51,1.05,25.93,0.47,8.33,0.16,2.76,49.3,8.83,32.16,3.5,1.09,0.43,10.62,2.22,1.36,13.77,64.12,2.96,55.26,3.46,79.78,3.34,61.63,12.02,69.9,0.27,57.14,16.06,8.18,0.08,0.54,0.08,0.0,0.08,50.0,0.31,1.24,62.5,1.24,31.25,0.12,33.33,0.39,0.35,1.28,51.52,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.0,0.0,0.0,0.0,0,0.0
Dany Mota,Monza,Monza,"CF, AMF",28,5000000,2027-06-30,34,2008,5,5.36,2,1.36,21.02,36.67,Luxembourg,"Luxembourg, Portugal",right,180,74,no,3.09,2.29,47.06,7.26,36.42,0.13,0.18,0.27,1.88,2.55,1.43,1,0.04,0,0.0,1.84,0.22,5,0.22,0.24,1,0.04,33,1.48,30.3,15.152,0.09,0.81,33.33,0.45,50.0,0.36,12.5,0.04,2.06,54.35,8.83,38.07,3.14,1.52,0.18,16.99,2.02,2.33,22.14,81.98,3.09,57.97,8.02,93.3,5.96,83.46,20.35,84.36,1.03,69.57,15.93,15.69,0.06,0.63,0.0,0.09,0.13,0.0,0.4,1.52,64.71,1.3,65.52,0.22,20.0,0.85,0.18,1.25,78.57,0,,0,,0,0.0,0.0,0.0,,,0.85,,,0.0,0.0,0.0,0.0,0,0.0
M. Viti,Nice,Sampdoria,LCB,24,5000000,2030-06-30,16,1465,0,0.8,1,0.15,16.46,57.46,Italy,Italy,left,190,83,no,9.28,7.06,66.09,4.18,55.88,0.55,0.75,0.43,4.05,5.52,0.61,1,0.06,0,0.0,0.49,0.0,0,0.0,0.05,0,0.0,3,0.18,66.67,0.0,0.06,0.12,50.0,0.06,100.0,0.06,0.0,0.06,0.43,71.43,2.46,37.5,0.61,0.55,0.06,25.56,0.37,0.86,37.11,87.58,15.36,74.4,2.58,97.62,14.19,98.7,31.88,94.03,5.1,48.19,19.24,37.44,0.01,0.12,0.0,0.0,0.0,0.0,0.12,3.99,73.85,0.12,0.0,0.06,0.0,0.12,0.06,7.13,62.93,0,,0,,0,0.0,0.0,0.0,,,1.41,,,0.0,0.0,0.0,0.0,0,0.0
P. Cutrone,Monza,Monza,"CF, AMF",28,5000000,2029-06-30,20,1416,6,5.42,3,2.16,17.35,34.07,Italy,Italy,right,183,79,no,2.35,2.86,35.56,2.61,19.51,0.06,0.08,0.13,1.27,1.62,1.14,2,0.13,1,0.06,3.62,0.38,6,0.38,0.34,1,0.06,44,2.8,47.73,13.636,0.19,2.16,29.41,1.08,29.41,1.08,29.41,0.38,3.05,52.08,9.41,39.86,4.39,1.27,0.38,17.61,2.35,1.08,21.42,78.64,3.94,59.68,5.53,97.7,6.93,78.9,18.69,85.03,0.7,54.55,15.75,12.82,0.14,0.83,0.0,0.06,0.06,100.0,0.64,2.16,67.65,1.78,42.86,0.06,100.0,0.95,0.64,2.1,78.79,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.0,0.0,0.0,0.0,0,0.0
A. Barák,Fiorentina,Sampdoria,"LCMF, AMF, RCMF",31,4500000,2027-06-30,28,1199,1,2.18,1,0.94,19.74,43.35,Czech Republic,Czech Republic,left,190,86,no,4.88,4.13,58.18,6.38,45.88,0.08,0.11,0.0,2.4,3.48,1.28,2,0.15,0,0.0,1.65,0.08,1,0.08,0.16,0,0.0,15,1.13,33.33,6.667,0.08,1.05,14.29,0.83,18.18,0.23,0.0,0.23,1.43,78.95,6.91,30.43,2.78,2.48,0.15,23.19,0.83,0.23,34.68,86.8,6.83,70.33,10.36,94.2,11.71,88.46,32.35,90.02,1.28,64.71,15.21,15.66,0.07,0.98,0.0,0.0,0.0,0.0,0.38,3.08,78.05,1.35,38.89,0.0,0.0,0.98,0.15,3.53,70.21,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.0,0.0,0.0,0.0,1,0.0
