Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Bakker,Atalanta,Atalanta U23,LWB,26,6500000,2027-06-30,1,90,0,0.0,0,0.0,9.0,44.44,Netherlands,Netherlands,left,185,87,no,4.0,3.0,33.33,2.0,50.0,0.0,0.0,0.0,3.0,3.6,2.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,100.0,1.0,1.0,0.0,18.0,0.0,1.0,28.0,89.29,9.0,77.78,3.0,100.0,7.0,85.71,27.0,92.59,1.0,0.0,17.19,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Łęgowski,Motor Lublin,Salernitana,RCMF,23,3000000,2028-06-30,1,53,0,0.0,0,0.0,8.49,20.0,Poland,Poland,right,181,81,no,5.09,1.7,100.0,1.7,0.0,0.0,0.0,3.4,3.4,5.45,1.7,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,6.79,0.0,0.0,11.89,71.43,3.4,50.0,3.4,100.0,0.0,0.0,10.19,83.33,1.7,0.0,16.07,34.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
M. Antonucci,,Salernitana,"RW, LCMF, CF",27,1400000,,5,125,0,0.01,0,0.17,10.08,57.14,Italy,Italy,right,178,72,no,3.6,2.16,66.67,0.72,0.0,0.0,0.0,0.0,2.16,4.09,0.0,0,0.0,0,0.0,4.32,0.0,0,0.0,0.0,0,0.0,2,1.44,0.0,0.0,0.0,5.04,0.0,1.44,0.0,3.6,0.0,0.0,5.04,71.43,7.2,60.0,2.16,1.44,0.0,28.08,0.0,0.72,34.56,62.5,8.64,50.0,6.48,88.89,10.8,66.67,28.8,75.0,1.44,0.0,27.7,18.35,0.12,1.44,0.0,0.0,0.72,100.0,0.0,2.88,50.0,4.32,16.67,0.72,100.0,0.72,0.0,2.88,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.72,0.72,0.0,2.16,0,0.0
M. Aramu,,Ternana,"CF, AMF, RWF",31,1300000,,10,412,1,0.42,0,0.79,15.51,32.39,Italy,Italy,left,180,67,no,1.75,1.97,11.11,1.31,33.33,0.22,0.43,0.0,1.31,2.57,1.53,1,0.22,0,0.0,1.53,0.22,1,0.22,0.09,0,0.0,13,2.84,23.08,7.692,0.0,1.97,22.22,0.66,0.0,1.31,33.33,0.66,1.31,33.33,9.83,35.56,1.31,0.44,0.0,36.7,0.87,3.5,44.13,84.65,9.83,66.67,10.92,100.0,16.82,85.71,38.23,90.86,3.93,55.56,18.19,18.41,0.17,1.31,0.44,0.0,0.44,0.0,0.0,5.02,73.91,4.15,21.05,1.31,0.0,0.66,0.44,4.15,94.74,0,,0,,0,0.0,0.0,0.0,,,0.44,,,3.93,0.87,0.0,4.37,0,0.0
L. Garritano,,Cosenza,"LW, DMF, RCMF",32,1200000,,33,2328,4,6.49,6,4.22,11.21,49.31,Italy,Italy,right,172,67,no,5.95,4.52,62.39,1.12,24.14,0.12,0.17,0.27,3.02,4.33,0.89,2,0.08,1,0.04,2.28,0.15,2,0.08,0.25,0,0.0,41,1.59,41.46,9.756,0.23,2.01,51.92,0.93,50.0,1.04,55.56,0.23,1.04,51.85,4.14,48.6,1.08,1.01,0.15,26.6,1.04,1.28,38.2,79.55,13.26,66.76,5.14,92.48,15.08,86.92,30.54,85.44,5.8,57.33,19.64,31.77,0.16,1.78,0.12,0.0,0.12,33.33,0.35,7.27,69.68,4.14,57.01,0.7,27.78,1.31,1.01,8.66,78.57,0,,0,,0,0.0,0.0,0.0,,,0.39,,,1.47,0.19,40.0,2.32,4,50.0
V. Verre,Perugia,Perugia,AMF,32,1200000,,13,731,0,2.03,1,0.63,20.68,39.29,Italy,Italy,both,181,70,no,5.29,4.92,45.0,1.97,12.5,0.74,1.02,0.12,2.34,3.22,1.72,3,0.37,0,0.0,3.2,0.0,0,0.0,0.25,0,0.0,28,3.45,25.0,0.0,0.12,1.6,46.15,0.74,83.33,0.86,14.29,0.12,2.71,59.09,8.62,45.71,3.2,1.23,0.74,30.66,1.6,1.6,42.6,76.01,16.25,60.61,9.11,97.3,11.45,83.87,35.46,81.6,5.54,48.89,18.4,25.59,0.08,0.86,0.0,0.0,0.25,0.0,0.25,9.11,63.51,4.43,41.67,1.6,30.77,1.72,0.74,7.39,81.67,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.49,0.25,0.0,1.35,0,0.0
A. Florenzi,Spezia,Cosenza,"CF, LWF, LW",24,1000000,2029-06-30,35,2827,5,6.28,2,3.12,12.89,44.94,Italy,Italy,right,168,75,no,4.78,3.57,60.71,1.56,16.33,0.32,0.45,0.06,2.29,3.24,1.02,7,0.22,0,0.0,2.87,0.16,5,0.16,0.2,0,0.0,61,1.94,42.62,8.197,0.06,1.62,41.18,0.89,46.43,0.67,33.33,0.29,2.67,50.0,6.08,43.98,2.45,2.52,0.41,20.95,2.29,1.5,27.32,77.27,7.13,62.95,7.58,92.44,7.35,76.62,23.72,82.68,1.97,41.94,16.7,28.29,0.1,0.99,0.03,0.06,0.13,25.0,0.29,2.52,64.56,2.71,56.47,0.45,35.71,1.11,0.64,4.27,70.15,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.32,0.0,0.0,0.73,0,0.0
Y. Kallon,Casertana,Casertana,"CF, RWF, RW",25,1000000,,36,2050,3,2.91,8,2.25,18.44,39.05,Sierra Leone,Sierra Leone,left,175,70,no,3.78,4.0,51.65,1.8,31.71,0.53,0.81,0.04,1.19,1.82,1.45,5,0.22,1,0.04,3.12,0.13,3,0.13,0.13,0,0.0,29,1.27,34.48,10.345,0.35,2.2,38.0,0.18,25.0,1.98,37.78,0.44,3.6,50.0,10.19,36.64,2.02,2.28,0.48,14.58,1.62,1.54,19.84,74.34,4.92,65.18,5.0,86.84,6.19,72.34,16.81,80.68,0.88,40.0,17.44,16.11,0.1,0.97,0.13,0.0,0.09,50.0,0.57,1.49,55.88,2.24,52.94,0.22,60.0,0.79,0.79,2.41,72.73,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.0,0.0,0.0,0.22,0,0.0
José Machin,Vis Pesaro,Vis Pesaro,"AMF, LCMF, CF",29,1000000,2027-06-30,22,1563,3,0.96,1,1.81,16.58,45.49,Spain,"Spain, Equatorial Guinea",right,184,74,no,6.05,5.41,63.83,2.36,34.15,0.17,0.26,0.29,2.42,3.67,0.69,2,0.12,0,0.0,1.38,0.17,3,0.17,0.06,2,0.12,17,0.98,47.06,17.647,0.06,0.75,30.77,0.29,60.0,0.46,12.5,0.12,1.44,48.0,6.22,36.11,1.04,1.61,0.12,25.91,0.75,1.04,36.68,80.69,12.32,69.63,5.47,92.63,11.69,85.22,32.25,84.11,3.74,60.0,18.58,29.2,0.1,1.09,0.23,0.0,0.35,0.0,0.29,6.05,70.48,2.76,37.5,0.98,29.41,0.81,0.23,6.62,80.0,0,,0,,0,0.0,0.0,0.0,,,0.58,,,0.29,0.0,0.0,0.0,0,0.0
T. Milanese,Cremonese,Ascoli,"RDMF, LDMF, AMF",23,900000,2029-06-30,42,2445,11,4.05,0,1.09,10.93,49.49,Italy,Italy,right,173,61,no,5.37,3.83,73.08,0.92,20.0,0.04,0.08,0.11,2.54,5.21,0.26,4,0.15,0,0.0,1.8,0.4,11,0.4,0.15,1,0.04,38,1.4,52.63,28.947,0.0,0.66,22.22,0.04,0.0,0.63,23.53,0.15,1.47,60.0,5.15,41.43,2.13,1.55,0.33,31.18,0.37,0.99,39.02,86.79,9.39,76.47,9.5,95.35,12.07,89.02,36.52,90.12,1.88,45.1,16.19,17.66,0.04,0.33,0.07,0.0,0.04,100.0,0.11,4.23,75.65,0.85,69.57,0.07,50.0,0.63,0.11,4.16,67.26,0,,0,,0,0.0,0.0,0.0,,,1.14,,,0.15,0.04,0.0,0.33,0,0.0
