Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Olivas,Atlante,Atlante,LCB,26,1500000,,5,455,0,0.32,0,0.15,16.02,56.79,Mexico,Mexico,left,184,83,no,10.09,7.32,81.08,5.34,40.74,0.2,0.4,0.0,3.96,8.0,0.99,1,0.2,1,0.2,0.2,0.0,0,0.0,0.06,0,0.0,5,0.99,0.0,0.0,0.0,0.2,100.0,0.2,100.0,0.0,0.0,0.0,0.2,0.0,1.78,22.22,0.79,2.97,0.0,49.45,0.79,0.59,66.66,91.69,24.13,84.43,4.55,100.0,27.89,94.33,61.71,95.83,4.75,37.5,19.49,39.4,0.03,0.99,0.0,0.2,0.0,0.0,0.2,8.9,73.33,0.99,40.0,0.59,0.0,0.2,0.2,8.7,81.82,0,,0,,0,0.0,0.0,0.0,,,2.18,,,0.0,0.0,0.0,0.0,0,0.0
E. García,Guadalajara,Tapatío,GK,23,1000000,,9,934,0,0.0,0,0.0,0.58,100.0,Mexico,Mexico,right,178,75,no,0.77,0.1,100.0,0.19,100.0,0.0,0.0,0.0,0.67,0.91,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.48,0.1,19.66,86.76,11.27,77.78,0.0,0.0,7.23,98.67,13.68,96.48,5.97,64.52,26.3,39.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,30.0,0.19,0.0,0.0,0.0,0.0,0.0,4.43,71.74,14,1.35,40,3.85,1,65.0,11.65,1.12,-2.35,-0.226,0.0,0.58,0.19,,,,0.0,0,0.0
R. Prieto,Correcaminos UAT,Correcaminos UAT,"LWF, RCMF, LCMF",29,800000,,7,440,0,0.1,0,0.31,14.11,52.17,Mexico,Mexico,left,170,63,no,5.93,5.32,42.31,2.45,41.67,1.23,1.29,0.2,2.45,2.57,1.02,3,0.61,0,0.0,1.64,0.0,0,0.0,0.02,0,0.0,3,0.61,0.0,0.0,0.0,0.61,66.67,0.41,100.0,0.2,0.0,0.0,1.43,85.71,5.73,64.29,0.61,0.61,0.2,16.36,1.43,2.25,25.36,80.65,9.0,61.36,5.52,96.3,7.16,91.43,22.3,86.24,2.45,33.33,15.59,24.71,0.06,0.61,0.2,0.0,0.0,0.0,0.41,3.27,43.75,0.82,75.0,0.41,0.0,0.41,0.41,4.91,54.17,0,,0,,0,0.0,0.0,0.0,,,0.2,,,1.02,0.2,0.0,0.0,0,0.0
P. González,Tlaxcala,Tlaxcala,"RCMF, LCMF, DMF",33,800000,,27,2502,1,1.21,2,2.23,11.33,47.94,Mexico,Mexico,right,174,70,no,6.44,5.54,61.04,1.04,41.38,0.47,0.59,0.18,2.59,3.27,1.37,6,0.22,0,0.0,1.04,0.04,1,0.04,0.04,0,0.0,37,1.33,24.32,2.703,0.07,0.61,58.82,0.22,66.67,0.4,54.55,0.04,0.76,47.62,3.78,35.24,0.32,1.51,0.29,28.81,0.76,0.32,41.8,86.92,13.31,77.84,4.64,96.12,18.24,93.49,35.04,90.45,6.19,69.77,21.15,40.24,0.08,0.94,0.0,0.07,0.0,0.0,0.36,8.6,82.43,1.62,55.56,0.32,55.56,0.4,0.32,8.45,81.28,0,,0,,0,0.0,0.0,0.0,,,0.5,,,0.97,0.22,33.33,1.29,0,0.0
J. Rodríguez,Cancún,Cancún,CF,30,800000,,30,2383,16,11.22,0,1.29,16.01,34.43,Colombia,Colombia,right,165,74,no,2.72,2.19,65.52,2.38,22.22,0.04,0.04,0.08,1.25,1.46,0.72,3,0.11,0,0.0,2.98,0.6,15,0.57,0.42,1,0.04,53,2.0,62.26,30.189,0.0,0.94,20.0,0.6,31.25,0.34,0.0,0.08,2.61,57.97,9.18,35.39,2.98,1.47,0.34,12.35,1.89,1.25,16.88,80.98,2.72,63.89,4.87,90.7,4.95,79.39,15.48,85.85,0.57,40.0,15.45,14.2,0.05,0.64,0.04,0.0,0.04,100.0,0.15,1.25,75.76,1.28,35.29,0.08,100.0,0.68,0.19,1.4,70.27,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.0,0.0,0.0,0.0,2,50.0
D. Álvarez,CA La Paz,CA La Paz,"LW, LAMF",31,800000,,24,1728,5,3.63,4,2.77,15.57,48.49,Mexico,Mexico,right,177,80,no,3.39,2.71,57.69,1.35,46.15,0.16,0.23,0.0,1.67,2.42,0.73,2,0.1,0,0.0,4.48,0.26,4,0.21,0.19,0,0.0,36,1.88,38.89,13.889,0.21,3.39,26.15,1.98,18.42,1.41,37.04,0.42,4.69,58.89,10.0,47.92,2.24,3.13,0.26,24.9,2.24,1.09,30.99,70.08,8.65,59.04,6.04,85.34,9.48,68.68,25.63,78.66,2.29,31.82,18.28,29.19,0.14,1.41,0.0,0.0,0.21,50.0,0.57,3.85,66.22,4.53,43.68,0.63,33.33,1.77,0.78,5.68,83.49,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.63,0.26,40.0,0.47,1,100.0
G. Alcalá,CA La Paz,CA La Paz,GK,33,800000,,22,2203,0,0.0,0,0.0,0.98,79.17,Mexico,Mexico,right,176,76,no,1.43,0.16,25.0,0.57,92.86,0.08,0.12,0.0,1.31,1.88,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.2,80.0,0.0,0.0,0.0,14.58,0.33,0.2,23.94,87.71,12.66,80.0,0.0,0.0,10.3,97.22,16.5,98.02,7.35,65.56,30.67,46.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,55.88,0.08,50.0,0.12,33.33,0.04,0.0,6.21,68.42,30,1.23,135,5.52,7,77.78,29.99,1.23,-0.01,0.0,0.0,1.27,0.57,,,,0.0,0,0.0
B. Galindo,Atlético de San Luis,Cancún,"RCB, CB",27,800000,,15,1536,1,0.54,0,0.25,9.55,53.99,Mexico,Mexico,right,185,90,no,8.38,4.16,66.2,3.46,47.46,0.59,0.68,0.94,5.04,5.89,1.0,6,0.35,0,0.0,0.06,0.06,1,0.06,0.03,1,0.06,7,0.41,14.29,14.286,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.18,0.0,0.47,50.0,0.53,0.23,0.0,19.16,0.47,0.12,29.82,87.03,13.77,80.0,1.29,90.91,11.84,93.07,25.96,91.87,3.81,55.38,19.82,36.49,0.01,0.12,0.0,0.0,0.0,0.0,0.0,3.69,68.25,0.47,25.0,0.53,22.22,0.12,0.0,5.8,73.74,0,,0,,0,0.0,0.0,0.0,,,0.76,,,0.06,0.06,0.0,0.0,0,0.0
S. Ramírez,Venados,Venados,GK,29,800000,,7,663,0,0.0,0,0.0,1.09,87.5,Mexico,Mexico,right,180,79,no,3.12,0.27,50.0,0.41,100.0,0.14,0.18,0.0,2.85,3.75,0.0,0,0.0,1,0.14,0.14,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.27,100.0,0.0,0.14,0.14,15.07,0.41,0.14,30.0,88.69,20.77,84.31,0.14,100.0,8.28,98.36,21.72,96.25,8.28,68.85,28.91,46.27,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.04,66.67,0.27,50.0,0.27,50.0,0.14,0.0,6.11,75.56,13,1.76,33,4.48,1,60.61,9.62,1.31,-3.38,-0.459,0.0,1.09,0.41,,,,0.0,0,0.0
I. Hernández,Atlante,Atlante,CF,26,800000,,6,191,0,1.53,1,0.08,23.09,18.37,Mexico,Mexico,right,175,70,no,1.88,2.36,40.0,9.9,19.05,0.0,0.0,0.47,0.94,2.4,1.41,1,0.47,0,0.0,0.0,0.0,0,0.0,0.72,0,0.0,7,3.3,0.0,0.0,0.47,0.47,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.0,8.48,0.0,7.07,0.0,0.0,10.37,2.83,0.47,14.14,76.67,0.47,100.0,4.71,80.0,5.65,75.0,13.66,79.31,0.0,0.0,13.3,0.0,0.04,1.41,0.0,0.0,0.0,0.0,0.94,1.41,100.0,0.94,100.0,0.0,0.0,0.94,0.0,1.41,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
