Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Niezgoda,Pogoń Siedlce,Pogoń Siedlce,CF,31,1700000,,12,336,0,0.79,2,1.04,12.05,37.78,Poland,Poland,right,185,75,no,4.02,2.14,50.0,4.82,33.33,0.0,0.0,0.27,2.95,4.18,0.8,0,0.0,0,0.0,0.54,0.0,0,0.0,0.21,0,0.0,6,1.61,16.67,0.0,0.54,0.54,0.0,0.0,0.0,0.27,0.0,0.0,1.07,25.0,3.75,28.57,4.29,0.27,0.0,10.18,2.14,0.0,18.21,67.65,3.21,75.0,5.63,90.48,4.29,43.75,17.68,69.7,0.0,0.0,16.76,0.0,0.28,1.88,0.0,0.0,0.0,0.0,0.8,0.54,100.0,1.88,71.43,0.0,0.0,2.14,0.0,2.95,54.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
I. Lučić,Miedź Legnica,Miedź Legnica,GK,31,1500000,2028-06-30,14,1372,0,0.0,0,0.0,0.72,100.0,Austria,"Austria, Croatia",right,194,92,no,1.25,0.07,100.0,0.52,100.0,0.0,0.0,0.0,1.18,1.9,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.07,17.25,0.26,0.2,25.58,85.64,13.38,74.02,0.0,0.0,10.82,98.18,16.6,98.42,8.99,62.04,31.45,48.97,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.74,52.63,0.39,16.67,0.46,28.57,0.07,0.0,6.56,78.0,17,1.12,59,3.87,2,71.19,18.39,1.21,1.39,0.091,0.0,1.9,0.52,,,,0.0,0,0.0
J. Löffelsend,Fortuna Köln,Łódzki KS,"RWB, RB",28,1500000,2027-06-30,33,2632,5,3.59,5,4.3,15.08,48.3,Germany,Germany,right,180,66,no,8.62,6.63,59.79,2.8,29.27,0.27,0.4,0.14,4.38,6.37,1.33,6,0.21,0,0.0,1.85,0.17,5,0.17,0.12,1,0.03,35,1.2,31.43,14.286,0.17,3.18,33.33,0.21,16.67,2.97,34.48,0.31,0.89,46.15,3.45,41.58,1.4,1.06,0.38,27.77,1.44,1.3,38.54,73.56,14.12,62.71,7.73,92.48,10.53,74.35,30.81,81.35,4.86,48.59,19.25,35.6,0.15,1.27,0.07,0.0,0.07,0.0,0.75,5.37,62.42,3.59,45.71,0.65,21.05,0.96,1.13,8.96,67.18,0,,0,,0,0.0,0.0,0.0,,,0.65,,,0.07,0.03,0.0,0.17,0,0.0
P. Pušić,Wieczysta Kraków,Wieczysta Kraków,"AMF, RCMF, RAMF",27,1300000,2027-06-30,19,971,1,2.88,3,2.69,12.42,39.55,Switzerland,"Switzerland, Croatia",left,171,62,no,3.8,3.43,51.35,1.95,23.81,0.19,0.27,0.0,1.85,2.7,1.02,2,0.19,0,0.0,2.41,0.09,1,0.09,0.27,0,0.0,20,1.85,30.0,5.0,0.28,1.85,30.0,0.74,12.5,0.93,50.0,0.19,2.32,56.0,5.65,39.34,3.24,2.41,0.74,36.98,0.65,0.56,48.2,85.77,14.27,73.38,9.27,97.0,14.46,91.03,43.1,89.68,3.24,65.71,15.05,20.0,0.25,1.95,0.0,0.0,0.0,0.0,0.74,4.73,82.35,3.34,69.44,0.19,50.0,2.22,0.65,6.95,74.67,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.56,0.0,0.0,1.85,0,0.0
L. Piazón,Wieczysta Kraków,Wieczysta Kraków,"LCMF, LDMF, DMF",32,1200000,2027-06-30,29,2616,2,2.45,4,4.81,12.35,54.32,Brazil,"Brazil, Italy",right,182,76,no,8.33,5.54,67.7,2.34,55.88,0.1,0.15,0.34,4.47,6.68,0.83,4,0.14,1,0.03,0.96,0.07,2,0.07,0.08,0,0.0,27,0.93,29.63,7.407,0.14,0.72,47.62,0.34,40.0,0.38,54.55,0.1,0.72,47.62,3.37,35.71,1.79,1.31,0.0,36.23,0.62,0.52,51.06,87.26,14.62,76.47,8.88,96.12,18.85,92.52,47.61,90.17,2.75,46.25,16.83,31.68,0.17,1.51,0.1,0.03,0.14,0.0,0.34,6.4,76.34,2.06,56.67,0.28,12.5,1.17,0.38,6.64,76.17,0,,0,,0,0.0,0.0,0.0,,,0.48,,,0.65,0.07,50.0,1.79,0,0.0
S. Skrabb,Polonia Warszawa,Polonia Warszawa,RCMF,31,1200000,2027-06-30,21,1281,4,3.53,1,3.53,15.67,44.84,Finland,Finland,left,174,75,no,6.46,5.62,51.25,1.97,25.0,0.63,0.97,0.07,2.95,4.52,2.18,4,0.28,0,0.0,1.97,0.28,4,0.28,0.25,0,0.0,27,1.9,25.93,14.815,0.07,1.76,36.0,0.49,28.57,1.19,41.18,0.49,0.91,76.92,6.11,44.83,2.32,0.77,0.14,24.38,0.35,0.56,34.99,78.11,12.15,65.32,7.31,97.12,10.61,80.79,29.3,83.45,4.0,57.89,18.22,31.21,0.25,2.11,0.0,0.07,0.28,50.0,0.42,5.06,66.67,3.44,48.98,0.56,25.0,1.48,0.56,6.67,74.74,0,,0,,0,0.0,0.0,0.0,,,0.07,,,1.26,0.21,0.0,4.29,0,0.0
A. Bobek,,Łódzki KS,GK,22,1000000,,25,2244,0,0.0,0,0.0,0.84,85.71,Poland,Poland,right,192,81,no,1.68,0.04,0.0,0.56,85.71,0.0,0.0,0.0,1.68,2.45,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,9.34,0.12,0.32,16.04,79.75,8.74,67.43,0.0,0.0,6.66,93.98,9.26,94.81,6.7,59.88,32.55,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,61.25,0.48,41.67,0.12,33.33,0.2,0.0,4.89,72.13,30,1.2,95,3.81,7,68.42,31.73,1.27,1.73,0.069,0.0,2.17,0.56,,,,0.0,0,0.0
B. Toma,,Łódzki KS,CF,27,1000000,,20,1362,1,3.21,2,1.58,10.64,40.37,Switzerland,Switzerland,right,174,67,no,3.11,2.84,55.81,1.06,12.5,0.07,0.1,0.07,1.45,2.1,0.79,0,0.0,0,0.0,2.18,0.07,1,0.07,0.21,0,0.0,26,1.72,26.92,3.846,0.13,1.06,12.5,0.4,16.67,0.59,11.11,0.46,2.44,54.05,5.48,40.96,3.44,1.45,0.07,25.04,0.99,0.59,32.58,80.93,11.17,71.01,7.6,96.52,7.27,80.91,29.6,84.82,1.98,56.67,15.16,23.26,0.1,1.06,0.0,0.07,0.4,66.67,0.26,4.82,72.6,2.58,61.54,0.4,66.67,2.11,0.26,4.56,79.71,0,,0,,0,0.0,0.0,0.0,,,0.53,,,0.07,0.0,0.0,0.2,0,0.0
P. Samiec-Talar,Śląsk Wrocław,Śląsk Wrocław,"RAMF, RCMF, AMF",24,1000000,2027-06-30,33,2868,11,13.25,7,6.7,16.91,43.04,Poland,Poland,left,185,78,no,4.46,4.68,57.72,1.66,28.3,0.0,0.0,0.13,1.76,2.59,0.88,3,0.09,0,0.0,3.61,0.35,10,0.31,0.42,0,0.0,84,2.64,50.0,13.095,0.22,1.98,38.1,0.41,30.77,1.41,35.56,0.6,2.7,53.49,8.97,38.11,3.61,1.69,0.31,25.73,0.97,1.07,33.08,77.51,11.64,70.35,4.46,86.62,10.61,81.07,28.68,82.28,2.45,53.85,17.06,31.55,0.21,1.82,0.06,0.06,0.25,37.5,0.75,4.74,70.2,3.92,60.0,0.63,15.0,2.17,0.85,6.97,81.53,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.94,0.25,50.0,2.67,1,100.0
G. Engvall,KuPS,Miedź Legnica,"CF, AMF, LW",30,900000,2026-12-31,8,260,0,0.5,0,0.09,11.77,55.88,Sweden,Sweden,right,185,85,no,2.42,3.12,66.67,1.73,20.0,0.0,0.0,0.0,0.35,0.53,1.04,2,0.69,0,0.0,0.69,0.0,0,0.0,0.17,0,0.0,5,1.73,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.0,1.04,66.67,5.19,66.67,2.77,0.0,0.0,10.73,1.04,1.38,15.23,68.18,6.58,73.68,3.46,80.0,2.08,50.0,14.54,71.43,0.35,0.0,15.94,6.53,0.03,0.35,0.0,0.0,0.0,0.0,0.35,1.38,50.0,1.73,40.0,0.0,0.0,0.69,0.0,2.08,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
