Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Olaru,Union Saint-Gilloise,FCS Bucureşti,"AMF, LAMF, LCMF",28,7000000,2030-06-30,36,2951,10,8.49,4,9.47,17.26,50.71,Romania,Romania,right,177,71,no,4.27,4.27,62.14,2.96,35.05,0.18,0.31,0.12,1.43,2.46,0.82,4,0.12,0,0.0,3.84,0.3,9,0.27,0.26,0,0.0,101,3.08,35.64,9.901,0.12,3.08,39.6,2.29,45.33,0.73,16.67,0.58,2.23,53.42,7.56,54.03,4.12,1.68,0.37,37.45,2.1,3.02,48.16,74.79,16.47,67.78,7.44,89.34,15.92,76.44,39.19,79.38,6.1,62.0,19.32,39.34,0.29,2.29,0.09,0.03,0.64,52.38,0.88,8.72,64.34,5.73,54.79,1.01,45.45,2.5,1.1,8.81,87.54,0,,0,,0,0.0,0.0,0.0,,,0.15,,,1.22,0.18,33.33,2.01,1,100.0
S. Târnovanu,FCS Bucureşti,FCS Bucureşti,GK,26,3000000,2028-06-30,26,2560,0,0.0,0,0.0,0.53,86.67,Romania,Romania,right,197,87,no,0.91,0.07,50.0,0.39,90.91,0.0,0.0,0.0,0.88,1.4,0.04,2,0.07,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,10.55,0.18,0.11,15.93,86.98,8.65,79.67,0.0,0.0,6.68,95.79,10.62,98.01,5.31,64.9,31.13,43.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,44.44,0.04,0.0,0.11,66.67,0.0,0.0,4.5,70.31,30,1.05,81,2.85,8,62.96,23.45,0.82,-6.55,-0.23,0.0,1.51,0.39,,,,0.0,0,0.0
F. Tănase,FCS Bucureşti,FCS Bucureşti,"AMF, RDMF, RCMF",31,3000000,2027-06-30,38,3526,16,18.3,7,8.21,16.85,47.88,Romania,Romania,right,185,71,no,6.51,4.93,60.1,1.81,40.85,0.38,0.64,0.1,3.17,5.31,1.4,4,0.1,0,0.0,2.58,0.41,4,0.1,0.47,1,0.03,65,1.66,47.69,24.615,0.18,1.02,50.0,0.59,43.48,0.38,60.0,0.05,2.02,53.16,7.73,40.92,3.11,3.22,0.61,33.08,1.35,1.58,46.43,81.31,17.25,73.82,6.64,89.23,14.47,87.13,41.48,83.88,3.96,62.58,16.43,33.1,0.21,1.81,0.13,0.0,0.33,61.54,0.54,7.33,73.87,3.65,65.03,0.77,53.33,2.25,0.43,8.6,84.27,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.51,0.15,33.33,1.66,14,85.714
O. Moruţan,Rapid Bucureşti,Rapid Bucureşti,"RCMF, AMF, RWF",27,3000000,2027-06-30,18,1252,1,2.31,3,1.19,24.08,42.09,Romania,Romania,left,172,71,no,5.54,5.18,68.06,1.15,31.25,0.22,0.27,0.0,1.8,2.21,1.01,2,0.14,0,0.0,3.88,0.07,1,0.07,0.17,0,0.0,23,1.65,17.39,4.348,0.22,3.38,42.55,0.86,25.0,2.52,48.57,0.43,4.67,46.15,14.88,36.71,1.8,2.44,0.07,27.68,1.22,1.08,37.6,80.11,9.78,71.32,6.61,96.74,14.74,76.1,30.05,87.8,4.46,51.61,19.56,33.46,0.09,1.29,0.07,0.0,0.14,0.0,0.72,6.04,72.62,4.74,45.45,0.79,27.27,1.08,1.58,5.97,78.31,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.65,0.0,0.0,2.08,0,0.0
A. Şut,Al Ain,FCS Bucureşti,"LDMF, RDMF",27,2700000,2028-06-30,15,1328,1,2.07,1,0.52,13.15,52.06,Romania,Romania,right,186,77,no,6.57,4.81,60.56,3.19,46.81,0.41,0.69,0.07,3.25,5.54,0.75,1,0.07,0,0.0,1.76,0.07,1,0.07,0.14,0,0.0,35,2.37,22.86,2.857,0.07,1.08,25.0,0.47,14.29,0.61,33.33,0.14,1.29,68.42,3.19,53.19,1.69,0.88,0.0,40.32,0.61,0.54,54.69,83.4,18.37,70.85,5.9,93.1,23.04,92.65,47.58,87.32,6.1,62.22,19.39,34.74,0.04,0.47,0.0,0.07,0.14,50.0,0.2,9.83,77.93,1.97,51.72,0.47,71.43,0.75,0.27,8.67,78.13,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.07,0.07,0.0,0.0,0,0.0
V. Screciu,Universitatea Craiova,Universitatea Craiova,"LCB, CB",26,2300000,2027-06-30,36,3073,1,1.52,0,0.07,12.45,60.0,Romania,Romania,right,180,70,no,7.35,4.13,78.01,3.08,50.48,0.29,0.46,0.29,3.84,6.08,0.47,2,0.06,0,0.0,0.47,0.03,1,0.03,0.04,0,0.0,17,0.5,35.29,5.882,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.5,52.94,2.55,41.38,0.59,1.26,0.21,43.99,0.7,0.62,61.59,91.44,22.2,83.91,4.28,93.84,28.26,98.03,55.47,93.98,6.09,68.27,19.93,34.54,0.0,0.09,0.0,0.09,0.03,0.0,0.0,5.97,73.53,0.29,40.0,0.38,15.38,0.03,0.03,8.82,73.75,0,,0,,0,0.0,0.0,0.0,,,1.64,,,0.03,0.03,0.0,0.0,0,0.0
O. Popescu,FCS Bucureşti,FCS Bucureşti,"LAMF, LW",23,2300000,,28,1181,2,2.83,2,3.29,18.14,44.54,Romania,Romania,right,180,66,no,5.03,5.26,60.87,0.99,15.38,0.08,0.14,0.0,1.75,3.14,0.99,3,0.23,0,0.0,4.27,0.15,2,0.15,0.22,0,0.0,38,2.9,39.47,5.263,0.15,1.75,43.48,1.68,40.91,0.08,100.0,0.15,4.34,54.39,10.06,40.91,3.2,3.58,0.08,34.29,2.13,1.52,41.84,81.79,11.81,68.39,9.68,94.49,10.14,87.97,37.95,85.14,2.13,53.57,15.89,19.72,0.25,1.75,0.15,0.0,0.23,0.0,0.91,4.34,70.18,3.73,59.18,0.38,0.0,2.29,0.76,6.71,80.68,0,,0,,0,0.0,0.0,0.0,,,0.23,,,1.07,0.3,50.0,3.51,0,0.0
C. Grameni,Rapid Bucureşti,Rapid Bucureşti,"LCMF, LDMF",23,2000000,2027-06-30,30,1980,4,1.53,2,1.94,15.36,53.25,Romania,Romania,left,179,72,no,9.77,8.05,60.45,1.91,47.62,0.77,1.04,0.18,4.14,5.57,1.59,4,0.18,0,0.0,1.05,0.18,4,0.18,0.07,0,0.0,25,1.14,32.0,16.0,0.09,1.27,35.71,0.95,33.33,0.18,50.0,0.23,0.23,80.0,2.68,49.15,1.36,0.59,0.05,31.91,0.55,1.27,47.77,80.4,16.5,68.04,7.86,94.8,14.68,86.07,40.5,85.3,6.09,56.72,18.01,34.23,0.09,1.0,0.0,0.05,0.05,100.0,0.27,8.27,68.13,2.64,36.21,0.86,31.58,0.77,0.45,7.68,66.86,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.59,0.0,0.0,1.05,0,0.0
B. Burmaz,Rapid Bucureşti,Rapid Bucureşti,CF,25,2000000,2027-06-30,3,96,0,0.0,0,0.06,16.88,27.78,Serbia,Serbia,left,185,73,no,3.75,5.63,66.67,4.69,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,0.0,0.94,0.0,0.0,13.13,1.88,0.0,15.94,76.47,2.81,66.67,2.81,100.0,2.81,33.33,15.0,81.25,0.94,0.0,22.57,11.54,0.06,0.94,0.0,0.0,0.0,0.0,0.0,1.88,50.0,1.88,0.0,0.0,0.0,0.0,0.0,0.94,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
K. Muhar,CFR Cluj,CFR Cluj,"RCMF, RDMF, LDMF",30,2000000,2027-06-30,24,2006,2,2.69,1,1.91,19.02,48.11,Croatia,Croatia,both,190,83,no,9.33,8.48,60.32,3.23,45.83,0.54,0.65,0.18,3.68,4.46,1.97,6,0.27,0,0.0,1.17,0.09,2,0.09,0.12,0,0.0,40,1.79,27.5,5.0,0.04,0.4,33.33,0.04,0.0,0.31,28.57,0.04,1.17,42.31,5.07,31.86,1.35,1.7,0.04,33.56,0.36,0.27,47.38,80.11,17.18,71.54,5.16,93.04,17.23,85.94,42.53,83.65,4.44,50.51,17.8,39.94,0.09,1.12,0.04,0.13,0.04,100.0,0.45,8.48,71.96,2.24,62.0,0.4,55.56,1.26,0.09,8.39,73.26,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.04,0.04,0.0,0.0,0,0.0
