Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Ugrinić,Valencia,Young Boys,RCMF,27,6000000,2029-06-30,2,61,0,0.02,0,0.56,13.28,44.44,Switzerland,"Switzerland, Serbia",right,184,88,no,4.43,2.95,100.0,1.48,0.0,0.0,0.0,0.0,1.48,3.75,0.0,1,1.48,0,0.0,1.48,0.0,0,0.0,0.03,0,0.0,2,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,33.33,8.85,33.33,2.95,0.0,0.0,42.79,1.48,1.48,54.59,86.49,19.18,69.23,10.33,100.0,14.75,100.0,53.11,86.11,1.48,100.0,15.87,29.12,0.83,1.48,0.0,0.0,0.0,0.0,0.0,5.9,75.0,1.48,100.0,1.48,100.0,1.48,0.0,8.85,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.48,0.0,0.0,2.95,0,0.0
F. Daniliuc,Basel,Basel,"LCB, RCB",25,6000000,2028-06-30,27,2529,2,2.16,0,0.26,12.6,61.3,Austria,"Austria, Romania",right,188,79,no,7.3,3.81,64.49,5.27,63.51,0.25,0.38,1.14,4.59,7.05,0.6,0,0.0,0,0.0,0.28,0.07,2,0.07,0.08,1,0.04,13,0.46,46.15,15.385,0.0,0.07,0.0,0.04,0.0,0.0,0.0,0.0,0.21,33.33,1.25,42.86,0.68,1.74,0.39,31.81,0.04,0.36,47.97,90.88,21.67,85.22,1.64,93.48,19.96,96.61,43.52,93.62,4.38,65.04,19.97,38.84,0.01,0.11,0.0,0.0,0.0,0.0,0.04,6.73,82.01,0.21,16.67,0.18,40.0,0.07,0.0,9.07,78.43,0,,0,,0,0.0,0.0,0.0,,,1.14,,,0.0,0.0,0.0,0.0,0,0.0
A. Miranchuk,Dinamo Moskva,Sion,CF,30,6000000,2027-06-30,1,65,0,0.08,0,0.0,11.08,50.0,Russia,Russia,right,184,79,no,6.92,5.54,75.0,0.0,0.0,1.38,1.5,0.0,1.38,1.5,1.38,0,0.0,0,0.0,1.38,0.0,0,0.0,0.11,0,0.0,1,1.38,0.0,0.0,0.0,1.38,100.0,1.38,100.0,0.0,0.0,0.0,1.38,0.0,2.77,50.0,1.38,1.38,1.38,16.62,0.0,1.38,20.77,93.33,5.54,75.0,2.77,100.0,9.69,100.0,19.38,92.86,0.0,0.0,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,100.0,2.77,100.0,0.0,0.0,1.38,1.38,1.38,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
H. Delcroix,Lugano,Lugano,LCB,27,4000000,2028-06-30,14,1251,1,1.43,0,0.22,14.24,57.58,Haiti,"Haiti, Belgium",left,183,75,no,8.27,5.25,64.38,3.67,54.9,0.22,0.32,0.36,4.68,6.96,0.72,1,0.07,0,0.0,0.94,0.07,1,0.07,0.1,0,0.0,11,0.79,72.73,9.091,0.0,0.29,25.0,0.22,33.33,0.07,0.0,0.0,0.65,44.44,3.02,42.86,1.15,0.36,0.22,30.36,0.58,0.36,44.03,88.73,19.06,82.26,5.68,94.94,13.45,94.65,39.42,92.34,4.32,60.0,17.95,32.13,0.02,0.14,0.0,0.0,0.0,0.0,0.14,4.39,75.41,0.43,33.33,0.22,33.33,0.22,0.0,6.62,63.04,0,,0,,0,0.0,0.0,0.0,,,3.02,,,0.0,0.0,0.0,0.0,0,0.0
G. Wüthrich,Young Boys,Young Boys,RCB,31,4000000,2028-06-30,25,2071,0,1.46,0,0.36,16.99,58.31,Switzerland,"Switzerland, Ghana",right,192,88,no,10.99,6.78,66.03,5.82,52.99,0.39,0.58,1.13,6.13,9.06,1.35,5,0.22,1,0.04,0.04,0.0,0,0.0,0.06,0,0.0,6,0.26,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.04,0.0,1.17,59.26,0.61,0.83,0.0,31.72,0.3,0.91,45.93,86.94,19.77,76.7,2.35,92.59,20.08,95.24,40.94,91.61,4.95,48.25,21.95,38.26,0.02,0.09,0.0,0.0,0.04,0.0,0.0,7.08,68.1,0.56,23.08,0.74,23.53,0.09,0.0,8.43,71.13,0,,0,,0,0.0,0.0,0.0,,,1.78,,,0.0,0.0,0.0,0.0,0,0.0
K. Imeri,Young Boys,Thun,"LW, RW, AMF",26,4000000,2027-06-30,30,1625,6,4.37,8,3.76,16.62,45.0,Switzerland,"Switzerland, Kosovo",right,181,79,no,5.82,5.48,50.51,2.27,43.9,0.06,0.08,0.22,2.99,4.06,1.55,4,0.22,0,0.0,2.99,0.33,6,0.33,0.24,0,0.0,48,2.66,35.42,12.5,0.44,2.27,36.59,1.16,33.33,1.11,40.0,0.55,2.16,48.72,6.59,39.5,2.55,0.78,0.06,18.72,1.11,1.55,26.42,69.18,10.19,58.7,4.87,86.36,6.81,72.36,20.55,75.2,3.66,54.55,19.28,30.82,0.21,1.44,0.11,0.0,0.17,100.0,0.55,4.43,61.25,3.66,51.52,0.55,70.0,1.22,0.94,6.48,69.23,0,,0,,0,0.0,0.0,0.0,,,0.11,,,2.1,0.44,37.5,3.43,0,0.0
B. Traoré,New York City,Basel,"LAMF, RW, RAMF",23,4000000,2030-06-30,30,2199,9,8.91,2,3.97,20.67,41.19,Côte d'Ivoire,Côte d'Ivoire,right,172,68,no,4.87,4.58,56.25,1.27,35.48,0.12,0.18,0.08,2.17,3.14,0.94,3,0.12,0,0.0,3.77,0.37,6,0.25,0.36,1,0.04,45,1.84,42.22,20.0,0.08,2.41,28.81,1.68,29.27,0.74,27.78,0.53,4.34,49.06,12.2,38.26,3.85,2.86,0.33,20.55,2.33,2.17,27.87,74.45,7.08,60.69,6.88,90.48,8.35,76.47,23.53,80.87,2.05,52.0,16.56,27.73,0.16,0.98,0.04,0.0,0.29,57.14,0.7,2.82,65.22,3.68,48.89,0.45,54.55,1.84,0.7,5.32,77.69,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.04,0.0,0.0,0.0,3,100.0
T. Cognat,Servette,Servette,"LCMF, RCMF, AMF",28,3500000,2029-06-30,31,2972,2,1.86,4,5.06,17.96,45.7,France,France,right,173,67,no,7.87,5.97,60.91,1.85,26.23,0.21,0.29,0.24,4.03,5.5,1.06,9,0.27,0,0.0,2.73,0.06,2,0.06,0.06,0,0.0,31,0.94,16.13,6.452,0.12,2.24,47.3,1.18,58.97,0.94,32.26,0.33,2.66,51.14,8.15,38.66,1.54,2.6,0.55,36.34,0.58,1.24,54.57,82.08,19.44,71.03,8.81,94.16,17.14,88.52,47.48,86.16,4.85,58.13,18.16,37.91,0.15,1.36,0.12,0.06,0.27,55.56,0.58,8.39,73.65,4.12,61.76,0.67,45.45,1.79,1.12,9.05,75.92,0,,0,,0,0.0,0.0,0.0,,,0.91,,,0.67,0.03,0.0,0.97,0,0.0
Metinho,Basel,Basel,"RCMF, RDMF, DMF",23,3500000,2030-06-30,29,2434,4,0.82,0,0.57,15.79,60.19,Congo DR,"Congo DR, Brazil",right,178,69,no,8.8,7.25,66.84,1.66,46.67,0.44,0.67,0.37,3.51,5.31,1.33,7,0.26,0,0.0,1.0,0.15,4,0.15,0.03,0,0.0,17,0.63,41.18,23.529,0.0,0.55,20.0,0.3,25.0,0.22,0.0,0.07,0.96,65.38,5.07,58.39,0.37,1.33,0.11,29.4,0.04,1.92,42.82,87.56,12.65,79.24,5.73,94.19,18.08,92.02,40.08,90.31,2.18,54.24,18.19,27.84,0.02,0.52,0.0,0.0,0.0,0.0,0.15,5.95,77.64,1.29,57.14,0.11,0.0,0.55,0.11,6.29,72.94,0,,0,,0,0.0,0.0,0.0,,,0.67,,,0.0,0.0,0.0,0.0,0,0.0
A. Virginius,Young Boys,Young Boys,"LAMF, LW, RAMF",23,3500000,2029-06-30,34,1705,6,4.86,8,4.57,16.47,46.47,France,France,right,180,65,no,4.06,3.75,60.56,1.79,20.59,0.0,0.0,0.0,1.79,2.66,0.37,0,0.0,0,0.0,5.81,0.32,6,0.32,0.26,0,0.0,42,2.22,52.38,14.286,0.42,2.64,32.0,1.43,33.33,1.16,31.82,0.53,5.7,66.67,9.66,48.63,4.96,3.38,0.32,20.43,1.48,1.43,23.75,77.11,5.23,63.64,6.39,94.21,7.34,76.26,20.16,84.55,0.95,44.44,18.27,13.64,0.24,1.06,0.0,0.05,0.16,0.0,0.95,1.37,53.85,2.38,51.11,0.21,0.0,1.32,0.95,3.33,68.25,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.11,0.05,100.0,0.37,0,0.0
E. Fernandes,Young Boys,Young Boys,"LDMF, LCMF, RCMF",30,3500000,2029-06-30,27,2247,3,1.01,6,4.88,10.57,51.89,Switzerland,"Switzerland, Portugal",right,186,77,no,6.25,4.17,59.62,1.44,58.33,0.08,0.12,0.12,3.68,5.58,0.8,6,0.24,1,0.04,1.48,0.12,3,0.12,0.04,0,0.0,32,1.28,34.38,9.375,0.24,1.04,42.31,0.44,45.45,0.56,42.86,0.08,0.96,62.5,3.85,40.63,0.48,1.44,0.12,32.84,0.24,0.88,45.38,86.58,13.38,73.05,6.57,95.12,19.51,93.02,39.41,90.85,4.93,61.79,20.55,42.39,0.2,1.44,0.0,0.0,0.04,0.0,0.48,8.69,75.58,2.16,46.3,0.92,43.48,0.6,0.44,7.41,79.46,0,,0,,0,0.0,0.0,0.0,,,0.76,,,1.04,0.12,0.0,2.36,0,0.0
S. Essende,Young Boys,Young Boys,CF,28,3500000,2029-06-30,13,899,4,8.25,1,1.57,24.13,35.68,France,"France, Congo DR",right,192,88,no,3.3,2.5,40.0,6.61,51.52,0.0,0.0,0.2,2.3,3.29,1.6,2,0.2,0,0.0,2.1,0.4,2,0.2,0.83,0,0.0,36,3.6,36.11,11.111,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,50.0,11.41,28.95,4.61,0.4,0.2,9.01,2.1,1.8,12.71,77.17,2.5,72.0,3.6,86.11,3.1,74.19,12.51,76.8,0.2,100.0,12.82,5.93,0.16,0.6,0.0,0.0,0.0,0.0,0.2,1.4,57.14,0.4,50.0,0.0,0.0,0.5,0.0,1.0,90.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0
K. Koindredi,Sporting CP,Basel,"RCMF, RDMF",24,3000000,2028-06-30,28,1328,2,2.1,1,1.5,15.11,59.64,Djibouti,"Djibouti, France",left,184,76,no,7.39,4.95,64.38,1.9,46.43,1.22,1.9,0.2,2.98,4.65,0.88,4,0.27,0,0.0,2.51,0.14,1,0.07,0.14,0,0.0,21,1.42,38.1,9.524,0.07,0.95,35.71,0.47,14.29,0.47,57.14,0.34,2.1,74.19,6.37,63.83,1.36,1.42,0.34,23.11,0.14,1.36,33.14,84.46,9.83,73.79,6.78,93.0,11.11,90.24,30.02,87.81,2.24,60.61,17.41,22.55,0.1,1.08,0.0,0.0,0.27,25.0,0.07,5.56,74.39,1.49,36.36,0.47,28.57,0.41,0.27,4.68,86.96,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.81,0.0,0.0,1.49,1,100.0
M. Broschinski,Karlsruher SC,Basel,CF,25,3000000,2029-06-30,19,624,1,3.01,0,0.63,22.21,29.22,Germany,Germany,right,190,77,yes,2.31,3.03,47.62,5.19,27.78,0.0,0.0,0.14,0.87,1.4,2.02,2,0.29,0,0.0,1.44,0.14,1,0.14,0.43,1,0.14,16,2.31,37.5,6.25,0.0,0.29,50.0,0.29,50.0,0.0,0.0,0.0,0.72,60.0,10.82,28.0,3.46,0.72,0.14,7.64,1.3,1.3,10.53,68.49,1.15,50.0,2.6,83.33,3.61,76.0,9.95,69.57,0.29,50.0,12.95,4.44,0.09,0.87,0.0,0.0,0.0,0.0,0.0,0.87,83.33,0.43,66.67,0.0,0.0,0.29,0.29,0.72,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0
L. Łakomy,OH Leuven,Young Boys,"LCMF, RCMF",25,3000000,2029-06-30,2,98,0,0.0,0,0.08,13.78,40.0,Poland,Poland,left,183,77,no,7.35,3.67,75.0,0.92,0.0,1.84,3.0,0.0,2.76,4.5,0.92,0,0.0,0,0.0,1.84,0.0,0,0.0,0.0,0,0.0,2,1.84,0.0,0.0,0.0,1.84,100.0,1.84,100.0,0.0,0.0,0.92,0.92,0.0,5.51,33.33,0.0,0.92,0.0,24.8,0.0,1.84,36.73,87.5,17.45,84.21,5.51,100.0,8.27,100.0,27.55,86.67,7.35,87.5,16.79,30.47,0.08,0.92,0.0,0.0,0.0,0.0,0.0,5.51,100.0,3.67,75.0,2.76,66.67,0.0,1.84,7.35,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.92,0.92,0.0,2.76,0,0.0
C. Kleine-Bekel,Bochum,St. Gallen,"RCB, CB, LCB",23,3000000,2029-06-30,14,982,1,1.02,0,0.13,18.88,59.71,Germany,Germany,right,192,85,no,11.18,8.89,69.07,6.23,52.94,0.27,0.38,0.27,4.77,6.53,1.19,4,0.37,0,0.0,0.46,0.09,1,0.09,0.09,0,0.0,5,0.46,20.0,20.0,0.0,0.55,50.0,0.18,50.0,0.37,50.0,0.09,0.09,100.0,0.73,25.0,0.82,0.46,0.0,17.14,0.18,0.09,32.9,76.88,16.5,67.78,2.66,86.21,11.09,87.6,24.84,83.76,7.52,56.1,20.73,29.45,0.01,0.18,0.0,0.09,0.0,0.0,0.09,6.87,64.0,1.47,56.25,0.82,66.67,0.64,0.27,9.16,67.0,0,,0,,0,0.0,0.0,0.0,,,1.56,,,0.0,0.0,0.0,0.0,0,0.0
D. Maleš,Young Boys,Young Boys,"RAMF, RW",25,3000000,2027-06-30,30,1257,7,3.45,2,2.95,12.67,45.76,Switzerland,"Switzerland, Serbia",left,187,76,no,4.15,4.51,46.03,0.64,33.33,0.07,0.12,0.29,2.0,3.27,0.93,1,0.07,0,0.0,3.72,0.5,7,0.5,0.25,0,0.0,33,2.36,48.48,21.212,0.14,2.29,31.25,0.07,0.0,2.22,32.26,0.29,3.29,54.35,6.3,51.14,4.73,2.0,0.14,22.7,1.36,1.43,25.42,79.44,5.94,62.65,6.3,95.45,9.02,83.33,21.12,86.1,2.22,58.06,18.85,22.15,0.21,1.36,0.14,0.0,0.07,100.0,0.79,2.51,62.86,2.51,57.14,0.21,66.67,1.79,0.72,4.51,80.95,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.21,0.07,100.0,0.79,0,0.0
