Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Murić,Floriana,Bylis Ballsh,"RW, RWF, RCMF",30,1800000,2027-06-30,4,105,1,0.85,1,0.34,8.57,30.0,Croatia,Croatia,left,180,72,no,2.57,2.57,33.33,0.0,0.0,0.0,0.0,0.0,1.71,2.73,0.86,0,0.0,0,0.0,4.29,0.86,0,0.0,0.73,0,0.0,2,1.71,100.0,50.0,0.86,0.86,100.0,0.0,0.0,0.86,100.0,0.0,1.71,100.0,5.14,33.33,0.86,0.86,0.0,23.14,0.0,0.0,27.43,78.13,12.0,71.43,3.43,100.0,9.43,81.82,22.29,84.62,4.29,40.0,22.38,46.35,0.29,2.57,0.0,0.0,0.86,0.0,0.0,7.71,66.67,3.43,75.0,1.71,0.0,0.86,0.86,8.57,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,3.43,0.0,0.0,1.71,1,100.0
A. Krešić,CFR Cluj,Tirana,"LCB, CB, RCB",30,1300000,,15,1107,1,0.68,0,0.0,7.97,55.1,Germany,"Germany, Croatia",right,198,83,no,4.96,3.5,60.47,3.17,48.72,0.0,0.0,0.49,2.85,3.82,0.57,0,0.0,0,0.0,0.24,0.08,1,0.08,0.06,1,0.08,4,0.33,25.0,25.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.16,100.0,0.73,55.56,0.41,0.0,0.0,19.35,0.33,0.49,28.05,87.83,7.89,67.01,1.71,95.24,16.02,98.98,25.37,92.31,2.6,46.88,23.21,32.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,50.0,0.08,0.0,0.08,100.0,0.0,0.0,3.58,43.18,0,,0,,0,0.0,0.0,0.0,,,1.3,,,0.0,0.0,0.0,0.0,0,0.0
Jacques Mbé,Flamurtari Vlorë,Flamurtari Vlorë,"DMF, LCMF, LDMF",27,1000000,,10,800,0,0.95,0,0.07,13.84,56.1,Cameroon,Cameroon,right,179,70,no,7.2,4.5,62.5,2.7,41.67,0.23,0.3,0.23,4.16,5.61,0.9,0,0.0,0,0.0,1.01,0.0,0,0.0,0.11,0,0.0,6,0.68,33.33,0.0,0.0,0.23,0.0,0.11,0.0,0.11,0.0,0.0,0.9,87.5,5.06,55.56,1.24,0.68,0.0,28.13,0.11,1.35,41.4,87.5,12.94,75.65,7.31,95.38,15.41,97.08,38.25,90.0,2.93,61.54,18.5,30.8,0.01,0.23,0.0,0.0,0.0,0.0,0.0,5.29,78.72,0.79,57.14,0.56,40.0,0.45,0.0,5.18,78.26,0,,0,,0,0.0,0.0,0.0,,,1.01,,,0.11,0.0,0.0,0.0,0,0.0
B. Berisha,Tirana,Dinamo City,"CF, LWF, LW",34,900000,2027-06-30,28,1402,0,2.37,2,1.07,21.12,46.5,Albania,"Albania, Kosovo",right,165,66,no,5.01,4.43,56.52,0.58,33.33,0.9,1.48,0.0,1.6,2.65,1.67,2,0.13,0,0.0,4.04,0.0,0,0.0,0.15,0,0.0,24,1.54,41.67,0.0,0.13,1.73,25.93,1.48,26.09,0.26,25.0,0.06,4.94,58.44,13.1,46.08,3.21,2.7,0.58,17.91,1.35,2.76,23.88,72.31,5.71,61.8,5.07,83.54,9.24,77.08,20.67,77.64,1.54,50.0,19.11,22.8,0.07,0.9,0.0,0.0,0.19,33.33,0.39,2.57,72.5,2.82,43.18,0.26,25.0,1.48,0.45,3.79,76.27,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.13,0.0,0.0,0.51,0,0.0
Higor Vidal,Shijiazhuang Gongfu,Teuta Durrës,"CF, RWF, AMF",29,650000,,10,618,0,0.15,0,1.57,16.31,48.21,Brazil,Brazil,both,175,70,no,5.97,4.08,78.57,2.18,13.33,0.58,0.94,0.29,2.18,3.54,0.58,1,0.15,1,0.15,1.6,0.0,0,0.0,0.02,0,0.0,7,1.02,0.0,0.0,0.0,2.04,28.57,1.75,25.0,0.29,50.0,0.0,1.75,50.0,8.45,48.28,1.89,0.58,0.0,30.73,1.02,2.48,41.07,81.91,11.07,77.63,10.92,89.33,8.59,84.75,36.55,86.06,2.48,64.71,16.33,16.08,0.23,2.18,0.0,0.0,0.58,25.0,0.15,5.68,71.79,2.91,55.0,0.87,33.33,1.17,0.58,5.39,83.78,0,,0,,0,0.0,0.0,0.0,,,0.44,,,2.77,0.0,0.0,4.08,0,0.0
R. Human,Partizani Tirana,Partizani Tirana,"AMF, RCMF",25,600000,2027-06-30,31,2591,3,4.33,1,3.52,14.66,45.02,South Africa,South Africa,right,171,0,no,4.59,4.97,60.84,2.29,24.24,0.03,0.05,0.03,1.53,2.13,1.08,7,0.24,0,0.0,2.08,0.1,3,0.1,0.15,0,0.0,49,1.7,28.57,6.122,0.03,0.66,31.58,0.17,40.0,0.49,28.57,0.07,2.08,61.67,5.8,40.72,1.7,2.08,0.49,20.63,1.22,0.69,29.53,80.0,10.11,66.67,6.11,91.48,8.82,86.22,27.58,82.12,1.32,57.89,17.72,26.75,0.12,1.11,0.03,0.0,0.59,17.65,0.38,4.86,62.14,2.08,53.33,0.73,23.81,1.04,0.24,4.79,79.71,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.69,0.1,0.0,1.56,0,0.0
W. Baeten,Drita,Flamurtari Vlorë,"RW, RWF, CF",29,550000,2028-06-30,10,396,0,0.52,0,0.4,16.14,46.48,Belgium,Belgium,left,181,77,no,3.86,4.32,36.84,2.5,18.18,0.0,0.0,0.23,2.27,3.57,1.59,2,0.45,0,0.0,0.91,0.0,0,0.0,0.12,0,0.0,3,0.68,33.33,0.0,0.0,1.36,16.67,0.0,0.0,1.36,16.67,0.0,0.91,50.0,7.05,58.06,2.27,0.91,0.0,13.41,1.14,2.5,18.41,67.9,3.86,41.18,4.77,95.24,5.68,56.0,16.14,74.65,1.14,20.0,13.36,20.99,0.09,0.68,0.0,0.0,0.0,0.0,0.0,2.5,63.64,1.14,40.0,0.0,0.0,0.68,0.23,2.05,55.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
D. Chantakias,Omonia 29th May,Flamurtari Vlorë,"CB, RCB",31,550000,,27,2350,1,1.77,0,0.8,13.71,62.29,Greece,Greece,right,184,74,no,6.78,4.33,57.52,5.94,67.1,0.19,0.28,0.77,4.1,5.92,1.15,5,0.19,0,0.0,0.27,0.04,1,0.04,0.07,1,0.04,13,0.5,15.38,7.692,0.0,0.27,28.57,0.08,0.0,0.19,40.0,0.04,0.08,100.0,1.26,60.61,0.65,0.27,0.0,21.14,0.54,1.38,33.43,86.37,12.03,73.57,2.03,96.23,16.93,95.7,27.88,93.54,5.29,51.45,22.89,35.13,0.03,0.11,0.0,0.0,0.04,100.0,0.04,3.33,56.32,0.38,50.0,0.34,22.22,0.19,0.08,5.59,70.55,0,,0,,0,0.0,0.0,0.0,,,1.69,,,0.0,0.0,0.0,0.0,0,0.0
José Rodríguez,,Flamurtari Vlorë,"LCMF, DMF",31,500000,,5,266,0,0.0,0,0.21,5.41,62.5,Spain,Spain,right,181,72,no,4.4,3.72,72.73,0.0,0.0,0.0,0.0,0.0,1.69,3.06,1.02,0,0.0,0,0.0,0.34,0.0,0,0.0,0.0,0,0.0,1,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,33.33,0.0,1.35,0.0,33.16,0.34,0.34,44.66,84.09,18.61,74.55,5.08,93.33,17.26,94.12,39.59,86.32,5.08,66.67,22.25,40.65,0.07,1.35,0.0,0.0,0.34,100.0,1.35,8.46,72.0,1.35,75.0,0.34,100.0,1.35,0.0,8.46,76.0,0,,0,,0,0.0,0.0,0.0,,,0.34,,,1.02,0.34,0.0,1.69,0,0.0
I. Gurău,Botoşani,Bylis Ballsh,GK,27,500000,2027-06-30,4,388,0,0.0,0,0.0,0.7,66.67,Romania,Romania,right,198,91,no,1.62,0.46,50.0,0.23,100.0,0.0,0.0,0.0,1.39,1.73,0.23,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,5.34,0.0,0.0,12.06,90.38,5.34,86.96,0.0,0.0,6.26,92.59,8.12,97.14,3.94,76.47,29.14,48.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,80.0,8,1.86,18,4.18,0,55.56,8.11,1.88,0.11,0.026,0.0,1.39,0.23,,,,0.0,0,0.0
J. Čeliković,Vllaznia Shkodër,Vllaznia Shkodër,RCB,27,500000,2027-06-30,18,1281,0,0.47,0,0.0,12.01,63.16,Bosnia and Herzegovina,Bosnia and Herzegovina,right,188,83,no,8.08,5.97,64.71,3.09,68.18,0.35,0.51,0.42,3.86,5.57,1.55,3,0.21,1,0.07,0.49,0.0,0,0.0,0.03,0,0.0,5,0.35,0.0,0.0,0.0,0.91,30.77,0.07,0.0,0.84,33.33,0.07,0.28,75.0,1.12,43.75,0.49,0.77,0.0,25.01,0.56,0.35,38.43,86.11,16.58,76.27,3.02,97.67,13.77,94.39,32.67,92.47,4.85,53.62,21.3,30.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,69.44,1.12,50.0,0.21,0.0,0.35,0.35,7.31,73.08,0,,0,,0,0.0,0.0,0.0,,,1.69,,,0.0,0.0,0.0,0.0,0,0.0
