Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Gudiño,Ranger's,Ranger's,GK,30,800000,,12,1163,0,0.0,0,0.0,0.85,90.91,Mexico,Mexico,right,197,86,no,0.7,0.08,0.0,0.46,100.0,0.0,0.0,0.0,0.7,1.14,0.08,2,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,9.91,0.23,0.31,19.81,85.55,10.37,75.37,0.08,100.0,8.74,97.35,12.85,99.4,6.96,60.0,32.79,51.52,0.0,0.0,0.0,0.08,0.0,0.0,0.0,2.17,50.0,0.08,100.0,0.15,50.0,0.08,0.0,5.03,70.77,14,1.08,45,3.48,3,68.89,11.85,0.92,-2.15,-0.166,0.08,1.08,0.46,,,,0.0,0,0.0
J. Padilla,Ranger's,Ranger's,"LCB, RCB, RB",32,750000,,16,1317,1,1.27,0,0.02,16.26,61.34,Mexico,Mexico,right,180,71,no,7.31,4.99,72.6,5.26,54.55,0.41,0.63,0.41,3.28,5.0,1.5,3,0.21,0,0.0,0.55,0.07,1,0.07,0.09,0,0.0,9,0.62,33.33,11.111,0.0,0.55,25.0,0.0,0.0,0.55,25.0,0.21,0.27,75.0,2.87,57.14,1.23,0.75,0.0,35.47,0.62,1.3,50.09,87.72,22.55,81.21,4.24,98.39,18.11,92.83,44.35,93.22,5.26,46.75,21.09,36.28,0.0,0.07,0.0,0.0,0.0,0.0,0.0,7.38,70.37,0.89,15.38,0.07,0.0,0.14,0.14,9.91,81.38,0,,0,,0,0.0,0.0,0.0,,,1.78,,,0.0,0.0,0.0,0.0,0,0.0
D. Guajardo,Dorados,Ranger's,"AMF, RCMF",24,700000,2026-06-30,11,866,2,1.13,1,0.69,19.02,45.9,Mexico,Mexico,left,166,64,no,6.65,8.42,56.79,1.66,25.0,0.21,0.32,0.1,1.66,2.54,2.08,5,0.52,0,0.0,1.66,0.21,2,0.21,0.12,1,0.1,12,1.25,66.67,16.667,0.1,0.83,50.0,0.1,100.0,0.73,42.86,0.0,0.83,50.0,5.61,35.19,1.45,1.66,0.73,22.86,1.56,1.87,30.97,85.57,8.52,80.49,7.48,95.83,9.98,85.42,26.92,91.51,3.22,45.16,16.9,26.45,0.07,0.42,0.0,0.1,0.1,0.0,0.21,5.2,84.0,1.25,41.67,0.73,42.86,0.31,0.31,3.01,79.31,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.0,0.0,0.0,0.0,0,0.0
D. Hernández,Penya Encarnada,Penya Encarnada,"CF, LW, LB",26,500000,,21,1333,1,1.34,0,1.22,18.23,43.33,Mexico,Mexico,left,174,80,no,4.93,5.27,65.38,1.42,52.38,0.07,0.09,0.0,1.42,1.96,1.49,5,0.34,0,0.0,2.09,0.07,1,0.07,0.09,0,0.0,14,0.95,42.86,7.143,0.0,1.62,33.33,1.42,33.33,0.2,33.33,0.2,2.09,51.61,9.99,34.46,1.15,1.89,0.47,22.15,1.42,1.35,31.19,83.33,8.37,74.19,8.78,93.08,7.83,81.9,28.29,88.54,1.35,30.0,16.04,22.64,0.08,0.74,0.0,0.0,0.07,100.0,0.27,2.9,65.12,1.76,42.31,0.2,33.33,0.61,0.47,3.31,65.31,0,,0,,0,0.0,0.0,0.0,,,0.34,,,0.74,0.14,0.0,0.74,1,0.0
S. Villarreal,Ranger's,Ranger's,RB,26,450000,,20,1703,0,0.07,0,0.69,13.0,59.35,Mexico,Mexico,right,178,74,no,9.41,6.61,65.6,3.38,50.0,0.85,1.33,0.26,4.23,6.63,1.11,6,0.32,1,0.05,1.37,0.0,0,0.0,0.0,0,0.0,3,0.16,33.33,0.0,0.0,2.22,47.62,0.05,100.0,2.11,45.0,0.21,0.21,100.0,1.16,54.55,0.63,0.63,0.0,27.27,0.95,0.9,38.37,74.66,16.96,67.29,4.17,91.14,13.42,78.74,29.01,83.61,7.19,46.32,22.77,35.0,0.04,0.48,0.0,0.0,0.05,100.0,0.32,7.5,59.86,2.33,36.36,0.42,12.5,0.05,1.0,9.41,70.79,0,,0,,0,0.0,0.0,0.0,,,0.69,,,0.0,0.0,0.0,0.0,0,0.0
C. Engelhart,Hume City,Ranger's,"RW, CF, RAMF",26,400000,,12,640,3,1.96,1,0.91,23.34,43.37,Mexico,"Mexico, Germany",right,180,70,no,5.63,7.03,46.0,3.66,46.15,0.28,0.4,0.0,2.11,3.02,2.53,2,0.28,0,0.0,3.52,0.42,3,0.42,0.28,1,0.14,13,1.83,30.77,23.077,0.14,2.11,40.0,0.14,100.0,1.97,35.71,0.28,3.66,57.69,10.27,38.36,2.53,1.69,0.14,14.77,2.39,1.83,24.05,74.27,7.03,66.0,4.78,91.18,6.47,73.91,20.81,79.05,1.27,44.44,15.76,20.44,0.13,0.84,0.14,0.0,0.0,0.0,0.56,2.53,77.78,3.09,45.45,0.0,0.0,0.7,0.98,4.08,68.97,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.0,0.0,0.0,0.14,0,0.0
J. Miranda,Ranger's,Ranger's,"RDMF, LCMF, LW",28,400000,,5,269,0,0.0,0,0.0,9.37,46.43,Mexico,Mexico,right,165,79,no,6.69,6.36,52.63,0.67,50.0,0.0,0.0,0.33,3.35,5.08,1.34,1,0.33,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,20.0,0.0,0.33,0.0,20.74,0.67,0.33,34.46,82.52,13.05,66.67,3.01,88.89,13.38,90.0,29.44,85.23,5.02,66.67,19.97,22.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,6.36,63.16,1.34,0.0,0.33,0.0,0.0,0.0,6.02,66.67,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.0,0.0,0.0,0.0,0,0.0
Domi Berlanga,Atlètic Club d'Escaldes,Atlètic Club d'Escaldes,"RW, RAMF, RWF",31,350000,2027-06-30,19,1387,8,3.66,0,1.29,29.33,40.04,Morocco,"Morocco, Spain",,180,0,no,6.49,7.14,60.91,2.6,30.0,0.0,0.0,0.06,2.14,3.34,1.56,4,0.26,0,0.0,4.54,0.52,8,0.52,0.24,1,0.06,36,2.34,44.44,22.222,0.0,0.78,33.33,0.06,0.0,0.71,36.36,0.13,7.79,41.67,16.16,32.53,2.79,3.5,0.32,16.74,1.75,1.04,22.39,81.74,4.28,63.64,6.1,92.55,7.46,82.61,20.96,84.21,0.65,60.0,15.92,11.6,0.08,1.23,0.13,0.0,0.13,0.0,0.32,1.3,65.0,1.62,44.0,0.13,0.0,0.78,0.26,2.4,75.68,0,,0,,0,0.0,0.0,0.0,,,0.26,,,0.58,0.32,20.0,0.65,0,0.0
F. Rabago,Ranger's,Ranger's,"LB, LCB",25,350000,,16,1376,2,1.62,1,0.37,12.75,50.77,Mexico,Mexico,left,176,70,no,6.93,4.19,59.38,3.92,58.33,0.07,0.1,0.2,4.38,6.7,1.37,4,0.26,0,0.0,1.57,0.13,2,0.13,0.11,1,0.07,14,0.92,50.0,14.286,0.07,1.31,40.0,1.31,40.0,0.0,0.0,0.07,0.98,60.0,3.27,38.0,1.11,0.85,0.0,31.92,1.77,0.59,45.78,83.86,20.21,77.02,6.15,95.74,14.0,86.45,38.2,90.41,6.34,53.61,20.71,34.45,0.02,0.26,0.0,0.0,0.0,0.0,0.2,6.8,57.69,1.83,32.14,0.26,25.0,0.13,0.52,9.94,76.32,0,,0,,0,0.0,0.0,0.0,,,1.11,,,0.07,0.0,0.0,0.0,0,0.0
G. Lopez,Santa Coloma,Santa Coloma,"CF, AMF",27,350000,,24,2210,16,15.02,1,1.34,11.89,40.75,France,France,right,172,74,no,2.65,1.83,62.22,2.4,38.98,0.08,0.15,0.04,1.43,2.64,0.86,3,0.12,0,0.0,3.3,0.65,15,0.61,0.61,3,0.12,99,4.03,42.42,16.162,0.04,1.75,34.88,0.41,40.0,1.3,34.38,0.16,1.87,50.0,5.86,36.81,4.44,0.69,0.08,15.43,2.73,1.1,16.57,70.27,4.07,53.0,4.4,94.44,5.25,62.02,13.24,76.92,1.71,50.0,18.12,33.53,0.05,0.73,0.08,0.0,0.12,33.33,0.33,2.08,56.86,1.87,47.83,0.41,40.0,0.77,0.65,2.08,80.39,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.12,0.12,0.0,0.0,2,50.0
