Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Fayulu,Sion,Noah,GK,27,800000,2027-06-30,4,412,0,0.0,0,0.0,0.44,50.0,Switzerland,"Switzerland, Congo DR",right,192,84,no,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1.48,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,50.0,0.0,0.0,0.0,12.67,0.22,0.0,20.53,89.36,11.36,82.69,0.0,0.0,8.52,97.44,14.64,95.52,5.9,74.07,31.35,43.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,66.67,0.0,0.0,0.0,0.0,0.0,0.0,5.68,69.23,6,1.31,19,4.15,1,68.42,6.75,1.47,0.75,0.164,0.0,0.22,0.0,,,,0.0,0,0.0
Y. Eteki,Noah,Noah,"DMF, RDMF, LDMF",28,800000,,12,970,0,0.07,0,0.45,15.03,55.56,Cameroon,"Cameroon, Spain",right,182,70,no,8.54,6.96,70.67,1.3,50.0,0.09,0.15,0.19,3.53,5.82,1.39,3,0.28,0,0.0,0.09,0.0,0,0.0,0.01,0,0.0,4,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,33.33,4.92,32.08,0.09,0.56,0.0,39.62,0.0,1.3,54.65,93.55,10.11,84.4,10.3,98.2,26.26,96.82,51.68,95.15,2.97,65.63,18.96,31.31,0.04,0.19,0.0,0.0,0.0,0.0,0.19,7.52,83.95,0.46,40.0,0.37,0.0,0.37,0.0,5.47,83.05,0,,0,,0,0.0,0.0,0.0,,,1.3,,,0.0,0.0,0.0,0.0,0,0.0
D. Kulikov,Pyunik,Pyunik,"LCMF, LDMF, AMF",28,700000,2027-06-30,24,1544,3,2.45,3,2.88,11.83,51.23,Russia,Russia,right,178,71,no,7.05,6.24,68.22,1.22,33.33,0.52,0.71,0.06,2.27,3.06,1.17,5,0.29,0,0.0,0.76,0.17,3,0.17,0.14,1,0.06,21,1.22,23.81,14.286,0.17,1.05,11.11,0.76,7.69,0.29,20.0,0.12,0.76,38.46,3.09,26.42,1.81,0.35,0.0,26.99,0.93,0.23,37.89,84.77,9.97,74.27,8.34,93.71,11.02,87.83,34.86,88.46,2.04,57.14,16.27,26.52,0.17,1.52,0.0,0.0,0.06,100.0,0.23,4.55,75.64,1.46,40.0,0.12,50.0,0.58,0.17,5.07,74.71,0,,0,,0,0.0,0.0,0.0,,,0.7,,,1.17,0.17,33.33,2.8,0,0.0
N. Zolotić,Farense,Noah,LCB,33,700000,2027-06-30,15,1294,2,0.9,0,0.0,9.67,60.43,Bosnia and Herzegovina,Bosnia and Herzegovina,left,188,77,no,6.4,4.1,66.1,3.48,52.0,0.0,0.0,0.56,3.69,5.82,0.28,3,0.21,0,0.0,0.28,0.14,2,0.14,0.06,1,0.07,7,0.49,42.86,28.571,0.0,0.14,50.0,0.14,50.0,0.0,0.0,0.0,0.0,0.0,0.97,64.29,0.7,1.88,0.0,53.76,0.35,0.56,69.76,92.52,27.13,86.15,3.2,95.65,34.36,98.38,63.78,95.64,5.84,59.52,22.91,41.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,77.33,0.83,50.0,0.56,50.0,0.28,0.07,12.03,83.82,0,,0,,0,0.0,0.0,0.0,,,1.95,,,0.0,0.0,0.0,0.0,0,0.0
M. Jakoliš,Noah,Noah,"LW, LAMF",29,700000,2027-06-30,22,1648,4,3.2,10,4.79,10.21,47.06,Croatia,"Croatia, Australia",right,182,70,no,4.21,2.68,57.14,0.55,60.0,0.11,0.18,0.11,2.57,4.21,0.82,1,0.05,1,0.05,4.31,0.22,4,0.22,0.17,0,0.0,22,1.2,50.0,18.182,0.55,4.42,45.68,3.71,47.06,0.6,45.45,0.76,3.33,50.82,5.73,41.9,3.55,2.62,0.16,25.12,2.18,0.82,32.55,73.66,7.15,70.23,7.1,92.31,11.91,70.64,26.43,79.96,1.86,47.06,18.43,26.34,0.26,2.46,0.05,0.22,0.16,0.0,1.04,2.62,64.58,5.08,58.06,0.27,0.0,2.35,1.86,7.04,80.62,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.22,0.0,0.0,1.42,0,0.0
J. Bopesu,Panevėžys,Pyunik,LB,31,650000,,2,122,0,0.21,1,0.54,17.7,54.17,Congo DR,"Congo DR, France",left,184,78,no,15.49,10.33,71.43,0.74,100.0,0.0,0.0,0.0,8.11,12.69,0.0,0,0.0,0,0.0,1.48,0.0,0,0.0,0.16,0,0.0,2,1.48,0.0,0.0,0.74,6.64,11.11,6.64,11.11,0.0,0.0,2.21,1.48,50.0,5.16,14.29,5.16,2.21,0.0,45.74,5.9,0.0,54.59,68.92,14.75,60.0,15.49,90.48,14.02,57.89,45.0,78.69,2.95,50.0,21.43,44.6,0.4,0.74,0.0,0.0,0.0,0.0,0.74,8.85,50.0,8.11,27.27,0.74,100.0,1.48,0.74,9.59,84.62,0,,0,,0,0.0,0.0,0.0,,,0.74,,,0.74,0.74,0.0,0.0,0,0.0
Hélder Ferreira,Noah,Noah,"RW, RAMF, RWF",29,650000,2028-06-30,21,1884,10,10.23,4,3.48,15.33,46.73,Portugal,Portugal,right,179,70,no,4.92,4.54,60.0,2.58,44.44,0.38,0.6,0.19,1.82,2.83,0.96,6,0.29,0,0.0,2.82,0.48,7,0.33,0.49,2,0.1,60,2.87,41.67,16.667,0.19,2.39,26.0,0.29,16.67,2.05,27.91,0.38,1.58,54.55,6.31,40.91,5.64,1.19,0.05,35.73,2.25,1.05,42.61,79.15,10.51,66.36,11.18,95.3,11.61,76.95,37.64,83.88,2.68,58.93,17.1,33.44,0.17,1.34,0.1,0.0,0.33,42.86,0.91,4.16,63.22,4.68,60.2,0.53,45.45,2.77,0.57,6.88,79.86,0,,0,,0,0.0,0.0,0.0,,,0.24,,,0.14,0.1,50.0,0.05,3,100.0
G. Sangaré,Noah,Noah,"AMF, RCMF, RW",29,600000,2027-06-30,19,1092,4,3.19,4,2.66,16.24,46.7,Burkina Faso,"Burkina Faso, France",right,180,66,no,5.27,5.77,55.71,0.99,50.0,0.08,0.13,0.0,1.98,3.16,1.65,4,0.33,0,0.0,2.39,0.33,4,0.33,0.26,0,0.0,25,2.06,32.0,16.0,0.33,1.81,31.82,1.32,25.0,0.49,50.0,0.16,2.06,48.0,7.58,43.48,2.47,2.97,0.66,33.46,1.07,1.4,39.15,84.0,8.74,69.81,8.41,96.08,15.16,85.87,35.11,88.5,2.39,51.72,18.47,31.29,0.22,1.32,0.0,0.08,0.16,100.0,0.91,5.11,62.9,2.64,50.0,0.58,42.86,1.32,0.66,5.27,81.25,0,,0,,0,0.0,0.0,0.0,,,0.66,,,0.0,0.0,0.0,0.0,0,0.0
I. Oulad Omar,Dinamo Batumi,Noah,"LCMF, AMF, CF",28,600000,2027-06-30,15,657,3,3.45,2,1.75,12.47,49.45,Netherlands,"Netherlands, Morocco",both,183,77,no,3.42,3.97,55.17,0.14,0.0,0.14,0.28,0.0,1.1,2.2,0.55,1,0.14,0,0.0,3.97,0.41,1,0.14,0.47,0,0.0,27,3.7,44.44,11.111,0.27,1.37,30.0,0.55,25.0,0.82,33.33,0.55,2.6,63.16,7.12,42.31,2.6,1.64,0.14,30.68,0.41,1.92,35.89,81.3,11.23,75.61,8.63,88.89,9.32,80.88,32.88,86.25,1.64,25.0,17.66,21.79,0.24,2.19,0.14,0.0,0.27,100.0,0.27,4.93,69.44,3.01,50.0,0.68,40.0,1.78,0.55,4.66,79.41,0,,0,,0,0.0,0.0,0.0,,,0.0,,,2.05,0.68,60.0,3.84,2,100.0
Filipe Almeida,Pyunik,Pyunik,"RCB, LCB",29,550000,2027-06-30,24,2047,1,0.69,0,0.22,8.71,60.1,Portugal,Portugal,right,184,77,no,7.43,4.22,66.67,2.37,61.11,0.35,0.46,0.44,4.26,5.63,0.57,6,0.26,0,0.0,0.35,0.04,1,0.04,0.03,1,0.04,8,0.35,50.0,12.5,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.22,80.0,1.19,40.74,0.53,1.06,0.09,34.38,0.66,0.31,48.1,89.4,19.83,80.27,3.61,96.34,21.63,97.15,41.72,93.26,6.29,65.03,22.01,37.1,0.01,0.18,0.0,0.0,0.0,0.0,0.04,6.46,81.63,0.35,25.0,0.13,33.33,0.09,0.0,9.5,77.31,0,,0,,0,0.0,0.0,0.0,,,2.77,,,0.0,0.0,0.0,0.0,0,0.0
