Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Zedadka,Sabah,Sabah,RB,31,2000000,2027-06-30,26,2336,1,0.68,1,2.49,14.22,58.81,France,"France, Algeria",right,173,72,no,7.86,6.16,65.63,1.16,56.67,0.08,0.13,0.15,3.74,6.19,0.62,4,0.15,0,0.0,2.47,0.04,1,0.04,0.03,0,0.0,14,0.54,21.43,7.143,0.04,2.27,50.85,0.04,100.0,2.23,50.0,0.27,1.85,62.5,5.51,51.05,0.89,2.62,0.92,32.71,2.08,1.43,45.62,85.14,14.91,74.68,6.2,94.41,16.26,89.34,41.49,88.95,1.89,42.86,18.06,28.79,0.1,0.65,0.04,0.04,0.04,100.0,0.42,5.55,71.53,2.5,50.77,0.08,0.0,0.42,1.04,8.32,78.24,0,,0,,0,0.0,0.0,0.0,,,0.96,,,0.04,0.0,0.0,0.0,0,0.0
I. Mathew,Neftchi,Neftchi,"DMF, LDMF, RCMF",29,1500000,,26,1911,3,1.64,0,1.28,13.33,50.53,Nigeria,Nigeria,right,175,75,no,7.16,6.26,52.63,2.59,47.27,0.14,0.22,0.05,3.72,5.74,1.65,2,0.09,1,0.05,0.52,0.14,3,0.14,0.08,1,0.05,16,0.75,37.5,18.75,0.0,0.14,33.33,0.0,0.0,0.14,33.33,0.09,0.24,60.0,2.78,50.85,0.61,0.33,0.0,34.85,0.14,1.13,50.68,88.1,15.4,77.06,7.06,97.33,21.43,92.53,44.98,91.83,5.56,59.32,19.93,37.04,0.06,0.75,0.09,0.0,0.05,100.0,0.05,8.67,76.09,1.41,50.0,0.66,50.0,0.71,0.09,8.15,81.5,0,,0,,0,0.0,0.0,0.0,,,1.46,,,0.0,0.0,0.0,0.0,0,0.0
Joni Montiel,Qarabag,Qarabag,"LDMF, AMF, LCMF",27,1200000,2027-06-30,18,1335,5,2.62,5,2.81,20.16,52.17,Spain,Spain,left,173,80,no,7.01,6.2,61.96,1.21,27.78,0.34,0.68,0.07,2.83,5.68,1.15,4,0.27,0,0.0,3.71,0.34,3,0.2,0.18,0,0.0,32,2.16,34.38,15.625,0.34,0.88,30.77,0.4,33.33,0.47,28.57,0.13,3.98,57.63,11.39,49.11,0.88,3.24,0.4,48.2,0.88,2.97,60.2,87.46,20.16,77.59,8.29,96.75,21.17,94.27,54.81,90.28,4.52,64.18,17.55,36.2,0.19,1.96,0.13,0.07,0.67,60.0,0.54,10.72,74.84,4.18,58.06,1.28,52.63,2.76,0.2,11.39,90.53,0,,0,,0,0.0,0.0,0.0,,,0.67,,,1.28,0.61,33.33,3.1,2,100.0
P. Šafranko,,Sabah,CF,31,1000000,,5,432,1,1.57,0,0.18,12.29,25.42,Slovakia,Slovakia,right,186,79,no,2.08,2.5,33.33,3.13,33.33,0.0,0.0,0.0,1.25,2.57,2.29,0,0.0,0,0.0,0.42,0.21,0,0.0,0.33,0,0.0,9,1.88,22.22,11.111,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.63,0.0,4.38,14.29,2.92,0.0,0.0,7.71,0.63,0.42,10.42,72.0,1.67,75.0,3.13,93.33,3.13,46.67,9.79,76.6,0.42,0.0,12.42,4.75,0.04,0.42,0.0,0.0,0.0,0.0,0.21,0.83,50.0,0.63,0.0,0.42,0.0,0.83,0.0,0.63,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0
Henrique,Turan-T,Turan-T,"LB, LWB",32,1000000,2027-06-30,24,1821,0,0.28,1,1.5,14.68,51.18,Brazil,Brazil,left,173,72,no,7.46,5.29,62.62,2.13,39.53,0.59,0.79,0.15,3.56,4.72,0.94,4,0.2,0,0.0,2.08,0.0,0,0.0,0.01,0,0.0,9,0.44,33.33,0.0,0.05,2.82,42.11,2.82,42.11,0.0,0.0,0.05,1.53,48.39,5.39,41.28,0.74,0.74,0.0,21.35,1.14,1.83,29.7,78.04,8.8,63.48,4.79,89.69,9.49,83.33,24.12,86.68,2.87,39.66,19.02,25.83,0.07,0.79,0.0,0.0,0.05,0.0,0.35,3.86,61.54,2.52,50.98,0.4,0.0,0.64,1.09,6.18,74.4,0,,0,,0,0.0,0.0,0.0,,,0.54,,,0.05,0.0,0.0,0.0,0,0.0
I. Wadji,Turan-T,Turan-T,CF,31,1000000,2027-06-30,25,1169,2,6.18,0,0.59,22.17,27.43,Senegal,Senegal,right,175,74,no,2.31,3.46,44.44,4.54,18.64,0.0,0.0,0.0,0.77,1.08,1.92,2,0.15,0,0.0,2.93,0.15,2,0.15,0.48,1,0.08,30,2.31,50.0,6.667,0.0,1.08,28.57,0.23,33.33,0.77,30.0,0.23,3.0,48.72,10.09,24.43,3.85,1.77,0.85,8.62,2.0,0.54,13.78,79.89,2.16,67.86,4.85,98.41,3.23,69.05,12.63,84.15,0.08,100.0,13.56,0.64,0.05,0.38,0.08,0.0,0.0,0.0,0.23,1.15,60.0,1.0,61.54,0.0,0.0,0.38,0.31,1.15,73.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
R. Sheydayev,,Qarabag,"LAMF, CF",30,1000000,,10,458,2,2.43,1,1.06,13.95,38.03,Russia,"Russia, Azerbaijan",right,187,81,no,3.34,3.54,61.11,1.57,37.5,0.0,0.0,0.0,1.18,1.91,0.98,1,0.2,0,0.0,2.16,0.39,2,0.39,0.48,0,0.0,13,2.55,30.77,15.385,0.2,1.18,16.67,1.18,16.67,0.0,0.0,0.2,2.95,40.0,7.47,34.21,3.93,2.16,0.2,19.06,1.18,0.39,25.55,83.08,5.31,77.78,8.84,91.11,7.07,72.22,23.78,87.6,0.79,25.0,14.4,14.63,0.21,0.79,0.0,0.0,0.0,0.0,0.59,1.77,66.67,1.18,50.0,0.2,0.0,0.39,0.2,1.77,88.89,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.0,0.0,0.0,0.0,0,0.0
V. Simić,Sabah,Sabah,"AMF, RAMF, LAMF",31,1000000,2028-06-30,28,2543,11,9.07,8,6.27,13.09,42.7,Serbia,Serbia,right,178,70,no,3.61,4.46,55.56,0.32,33.33,0.11,0.18,0.04,1.03,1.69,1.52,3,0.11,0,0.0,2.8,0.39,11,0.39,0.32,1,0.04,61,2.16,47.54,18.033,0.28,1.8,35.29,0.57,37.5,1.2,32.35,0.35,1.91,55.56,6.87,38.66,3.82,2.19,0.28,25.09,0.81,1.1,31.11,83.62,8.03,77.09,7.26,92.68,10.16,83.28,28.07,88.27,1.31,48.65,17.0,25.52,0.22,1.1,0.11,0.07,0.18,40.0,0.78,4.28,71.9,2.9,59.76,0.32,55.56,1.63,0.64,3.82,83.33,0,,0,,0,0.0,0.0,0.0,,,0.11,,,0.04,0.04,0.0,0.04,0,0.0
E. Mahmudov,Neftchi,Neftchi,"LCMF, RCMF, LDMF",34,900000,2027-06-30,32,2468,11,8.39,8,8.04,14.44,51.52,Azerbaijan,"Azerbaijan, Russia",right,176,72,no,6.86,6.27,60.47,1.39,50.0,0.4,0.6,0.0,2.66,4.01,0.88,1,0.04,0,0.0,1.97,0.4,6,0.22,0.31,2,0.07,41,1.5,51.22,26.829,0.29,2.08,35.09,0.84,30.43,1.13,38.71,0.33,0.66,61.11,4.7,46.51,2.12,1.31,0.22,39.75,1.82,1.35,52.77,83.62,16.52,73.07,8.97,92.68,18.74,87.35,45.11,88.68,5.58,60.78,17.84,33.56,0.29,2.15,0.15,0.04,0.22,33.33,0.84,7.4,74.88,3.94,58.33,1.13,41.94,2.04,0.8,9.01,79.35,0,,0,,0,0.0,0.0,0.0,,,0.07,,,1.68,0.26,85.71,3.65,5,100.0
S. Mahammadaliyev,Qarabag,Qarabag,GK,32,900000,,6,576,0,0.0,0,0.0,0.31,100.0,Russia,"Russia, Azerbaijan",right,185,80,no,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.28,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,10.47,0.31,0.31,16.09,86.41,9.06,75.86,0.0,0.0,6.25,100.0,12.5,97.5,3.59,47.83,25.44,45.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,54.55,1,0.16,15,2.34,5,93.33,3.89,0.61,2.89,0.452,0.0,0.78,0.0,,,,0.0,0,0.0
