Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Renato Gojkovic,Sarajevo,Sarajevo,"LCB, CB, RCB",30,1200000,2027-05-31,8,502,0,0.67,1,0.0,12.73,71.83,Bosnia and Herzegovina,Bosnia and Herzegovina,right,195,84,no,9.32,4.66,76.92,5.74,68.75,0.72,1.15,0.9,5.02,8.08,0.9,2,0.36,0,0.0,0.0,0.0,0,0.0,0.12,0,0.0,1,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,50.0,0.18,0.54,0.0,21.33,0.18,0.9,38.55,87.91,15.6,75.86,1.43,100.0,16.85,98.94,33.71,93.62,4.84,48.15,18.92,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,65.38,0.72,25.0,0.36,100.0,0.36,0.0,6.27,62.86,0,,0,,0,0.0,0.0,0.0,,,1.25,,,0.0,0.0,0.0,0.0,0,0.0
D. Dogan,Rijeka,Velež,CF,27,1200000,2027-06-30,9,386,1,2.37,0,0.21,18.19,28.21,Croatia,Croatia,,0,0,no,1.87,1.87,37.5,5.6,25.0,0.0,0.0,0.0,1.17,2.17,1.63,0,0.0,0,0.0,1.63,0.23,1,0.23,0.55,1,0.23,12,2.8,50.0,8.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,33.33,8.39,27.78,4.43,0.23,0.0,6.99,1.87,2.33,9.09,82.05,1.4,66.67,3.03,100.0,1.63,71.43,8.86,81.58,0.23,100.0,15.56,4.34,0.05,0.47,0.0,0.0,0.0,0.0,0.23,1.17,60.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0
Gojko Cimirot,Sarajevo,Sarajevo,"LCMF, LDMF",33,1200000,2027-06-30,26,1606,0,0.0,2,0.41,13.67,43.85,Bosnia and Herzegovina,Bosnia and Herzegovina,right,178,76,no,4.2,5.83,48.08,0.73,38.46,0.0,0.0,0.06,1.4,2.44,1.96,1,0.06,0,0.0,0.67,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.11,0.56,30.0,0.45,25.0,0.11,50.0,0.17,1.01,44.44,5.6,39.0,0.17,1.06,0.06,40.57,0.17,0.84,53.24,92.0,18.21,84.0,5.72,97.06,21.86,96.41,49.2,95.1,3.47,58.06,19.25,32.3,0.02,0.22,0.06,0.11,0.28,20.0,0.22,9.47,78.7,1.79,50.0,1.12,40.0,0.84,0.17,9.53,90.0,0,,0,,0,0.0,0.0,0.0,,,1.01,,,0.0,0.0,0.0,0.06,0,0.0
M. Šošić,Željezničar,Željezničar,"AMF, LAMF, CF",23,1000000,2027-05-31,11,801,1,1.63,2,0.48,19.55,36.21,Bosnia and Herzegovina,Bosnia and Herzegovina,right,172,67,no,4.72,4.61,53.66,2.7,41.67,0.56,0.86,0.0,1.69,2.57,2.13,2,0.22,0,0.0,2.25,0.11,1,0.11,0.18,1,0.11,15,1.69,26.67,6.667,0.22,2.58,34.78,1.8,43.75,0.79,14.29,0.45,2.25,35.0,8.99,28.75,2.81,1.69,0.22,22.81,1.35,1.24,30.9,73.09,10.67,63.16,6.85,91.8,7.75,68.12,26.97,78.33,1.57,42.86,15.69,15.42,0.05,0.67,0.0,0.11,0.22,50.0,0.56,4.61,58.54,2.7,33.33,0.56,40.0,0.79,0.79,4.72,76.19,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.45,0,0.0
A. Djordjević,,Sarajevo,"CF, AMF, RAMF",26,1000000,,13,584,0,0.5,0,0.25,10.33,47.76,Serbia,Serbia,right,184,74,no,4.62,2.93,47.37,1.85,58.33,0.62,1.15,0.15,2.62,4.9,0.62,2,0.31,0,0.0,1.7,0.0,0,0.0,0.08,0,0.0,13,2.0,30.77,0.0,0.0,1.23,25.0,0.46,33.33,0.77,20.0,0.31,1.08,71.43,4.32,39.29,0.77,1.39,0.0,31.9,0.77,1.23,43.0,88.53,10.79,75.71,9.71,95.24,17.41,92.04,37.91,93.09,3.85,64.0,20.55,31.97,0.04,0.77,0.0,0.0,0.0,0.0,0.0,8.48,78.18,1.7,9.09,0.31,0.0,0.0,0.62,6.78,81.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.92,0.0,0.0,1.23,0,0.0
P. Galchev,,Željezničar,RB,25,1000000,,12,1061,0,0.09,0,0.47,10.69,60.32,Bulgaria,Bulgaria,right,178,70,no,8.91,6.02,67.61,0.93,72.73,0.08,0.1,0.0,4.75,5.71,0.51,0,0.0,0,0.0,1.02,0.0,0,0.0,0.01,0,0.0,4,0.34,0.0,0.0,0.0,2.04,29.17,0.0,0.0,2.04,29.17,0.17,1.19,35.71,2.63,41.94,0.51,0.51,0.08,16.54,1.02,0.51,27.31,64.29,14.0,56.36,3.22,92.11,6.96,69.51,17.05,74.63,8.31,52.04,24.18,38.68,0.04,0.34,0.0,0.0,0.08,0.0,0.08,6.7,59.49,2.12,28.0,0.85,20.0,0.17,0.34,7.63,70.0,0,,0,,0,0.0,0.0,0.0,,,1.02,,,0.08,0.0,0.0,0.0,0,0.0
F. Jović,,Sarajevo,LCB,26,900000,,9,567,0,0.0,0,0.31,10.16,71.88,Serbia,Serbia,left,182,71,no,6.35,5.08,78.13,3.17,70.0,0.0,0.0,0.0,2.38,4.29,1.59,2,0.32,0,0.0,0.48,0.0,0,0.0,0.0,0,0.0,1,0.16,0.0,0.0,0.0,0.48,33.33,0.48,33.33,0.0,0.0,0.0,0.32,100.0,1.11,85.71,0.32,2.38,0.16,43.81,0.63,0.79,57.3,88.92,23.49,81.76,3.17,95.0,26.03,95.12,50.48,94.03,6.35,52.5,18.96,37.21,0.05,0.16,0.0,0.0,0.0,0.0,0.0,11.59,71.23,1.11,14.29,0.63,50.0,0.16,0.0,10.48,83.33,0,,0,,0,0.0,0.0,0.0,,,2.38,,,0.0,0.0,0.0,0.0,0,0.0
P. Gigić,Khujand,Rudar Prijedor,CF,29,850000,2026-12-31,9,520,0,0.49,0,0.13,17.65,36.27,Serbia,Serbia,right,186,78,no,3.29,2.42,42.86,7.44,30.23,0.17,0.25,0.35,2.08,3.0,1.38,2,0.35,0,0.0,0.52,0.0,0,0.0,0.09,0,0.0,1,0.17,100.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.69,50.0,5.19,40.0,1.38,0.52,0.0,8.48,2.08,1.9,12.81,75.68,2.08,33.33,5.02,100.0,3.46,80.0,11.6,80.6,1.04,33.33,12.27,11.7,0.02,0.52,0.0,0.0,0.0,0.0,0.17,1.04,50.0,0.52,33.33,0.0,0.0,0.69,0.0,1.04,33.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
N. Djurasek,Zrinjski,Zrinjski,"LDMF, RDMF, LCMF",27,800000,2027-06-30,26,1892,0,0.2,1,0.79,10.61,54.26,Croatia,Croatia,right,173,67,no,7.52,5.23,63.64,1.62,35.29,0.05,0.07,0.38,4.14,6.49,1.47,4,0.19,1,0.05,0.71,0.0,0,0.0,0.01,0,0.0,5,0.24,0.0,0.0,0.05,0.52,54.55,0.14,33.33,0.33,57.14,0.05,0.62,69.23,2.24,57.45,0.24,0.67,0.14,31.78,0.33,1.09,46.28,88.59,11.56,73.66,10.8,96.04,17.17,93.91,43.0,91.81,2.76,44.83,18.13,34.4,0.04,0.33,0.0,0.0,0.0,0.0,0.05,4.52,73.68,0.81,47.06,0.14,0.0,0.19,0.29,4.8,67.33,0,,0,,0,0.0,0.0,0.0,,,0.81,,,0.29,0.0,0.0,0.43,0,0.0
 Agon Elezi,Sarajevo,Sarajevo,"AMF, RCMF",25,800000,2028-06-30,26,2060,9,4.55,0,0.58,11.62,47.74,North Macedonia,"North Macedonia, Albania",right,181,69,no,4.5,3.32,57.89,2.14,44.9,0.26,0.46,0.31,2.32,4.06,1.14,3,0.13,0,0.0,1.57,0.39,9,0.39,0.2,2,0.09,35,1.53,65.71,25.714,0.0,0.44,40.0,0.09,0.0,0.35,50.0,0.04,0.96,40.91,4.28,40.82,1.83,0.7,0.0,21.19,0.83,1.7,28.44,82.95,8.96,71.22,4.72,95.37,9.96,86.84,25.38,86.57,2.62,55.0,16.71,28.72,0.03,0.57,0.13,0.04,0.04,0.0,0.13,5.64,73.64,1.18,51.85,0.44,40.0,0.61,0.13,4.46,79.41,0,,0,,0,0.0,0.0,0.0,,,0.09,,,0.09,0.0,0.0,0.22,0,0.0
