Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Randall Leal,Herediano,Herediano,"LW, RW, AMF",29,2500000,2027-12-31,15,755,2,1.56,1,0.66,18.36,47.4,Costa Rica,Costa Rica,right,170,65,no,6.91,5.96,66.0,1.55,23.08,0.12,0.21,0.0,2.86,5.0,0.72,2,0.24,0,0.0,3.34,0.24,2,0.24,0.19,0,0.0,19,2.26,26.32,10.526,0.12,3.7,35.48,1.31,27.27,2.15,38.89,0.36,1.91,68.75,9.3,44.87,3.22,2.03,0.48,30.04,2.5,1.43,40.53,79.12,11.56,73.2,8.58,87.5,11.21,77.66,35.05,84.35,2.03,64.71,16.09,20.1,0.08,1.07,0.12,0.12,0.24,50.0,0.36,5.01,73.81,3.46,58.62,0.36,66.67,1.55,0.95,5.96,74.0,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.6,0.36,0.0,0.83,0,0.0
D. de Buen,,Sporting FC,"RCMF, DMF, LCMF",35,1000000,,10,364,0,0.21,1,0.28,11.87,62.5,Mexico,Mexico,right,182,80,no,7.17,4.95,75.0,2.97,50.0,0.0,0.0,0.25,3.46,5.75,0.49,1,0.25,0,0.0,0.49,0.0,0,0.0,0.05,0,0.0,6,1.48,16.67,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,100.0,1.98,75.0,0.99,0.49,0.0,30.91,0.49,1.24,45.49,80.98,17.06,68.12,2.97,100.0,17.8,88.89,40.3,84.66,4.95,55.0,16.54,20.46,0.07,0.74,0.0,0.0,0.0,0.0,0.25,9.89,80.0,1.73,42.86,0.25,100.0,0.74,0.0,11.13,71.11,0,,0,,0,0.0,0.0,0.0,,,0.49,,,0.74,0.74,0.0,0.99,0,0.0
M. Loría,,Deportivo Saprissa,"RW, CF, LW",29,1000000,,23,929,2,0.92,1,1.39,21.02,37.79,Costa Rica,Costa Rica,left,175,69,no,5.23,4.84,56.0,2.42,36.0,0.29,0.5,0.19,2.23,3.81,2.13,6,0.58,0,0.0,1.84,0.19,2,0.19,0.09,0,0.0,14,1.36,28.57,14.286,0.1,0.68,14.29,0.58,16.67,0.0,0.0,0.0,2.52,50.0,8.82,35.16,1.94,1.36,0.1,14.63,0.97,1.45,22.86,80.93,5.43,69.64,4.65,91.67,7.36,85.53,20.64,85.92,1.65,41.18,16.26,18.97,0.13,1.16,0.0,0.0,0.29,33.33,0.48,2.81,79.31,2.42,64.0,0.39,25.0,1.45,0.1,3.88,65.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.39,0.1,0.0,0.68,0,0.0
Á. Zaldívar,Alajuelense,Alajuelense,"CF, AMF, RW",32,1000000,2027-06-30,16,885,4,3.58,2,0.33,20.44,38.81,Mexico,Mexico,left,178,72,no,6.41,6.31,67.74,3.97,25.64,0.31,0.47,0.2,1.83,2.8,1.32,1,0.1,0,0.0,1.32,0.41,4,0.41,0.36,0,0.0,30,3.05,33.33,13.333,0.2,0.41,0.0,0.31,0.0,0.1,0.0,0.0,1.42,21.43,6.41,22.22,2.54,0.92,0.1,15.46,1.63,0.61,21.56,75.94,8.34,69.51,3.05,90.0,5.19,76.47,19.12,79.79,2.03,55.0,14.67,26.38,0.03,0.41,0.0,0.0,0.1,0.0,0.2,4.17,60.98,0.92,44.44,0.31,33.33,0.81,0.0,3.36,81.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.2,0.1,100.0,0.1,0,0.0
B. Rubio,Mazatlán,Herediano,CF,29,800000,2027-06-30,14,768,2,2.76,1,1.79,25.66,46.12,Mexico,Mexico,right,186,82,no,5.04,4.92,64.29,7.03,43.33,0.0,0.0,0.23,1.88,3.12,1.41,4,0.47,0,0.0,1.99,0.23,2,0.23,0.32,0,0.0,19,2.23,26.32,10.526,0.12,0.35,66.67,0.0,0.0,0.35,66.67,0.12,1.88,62.5,9.38,42.5,4.69,0.7,0.12,14.88,2.11,2.34,22.38,71.73,5.39,54.35,6.56,78.57,4.69,75.0,21.09,73.89,0.94,25.0,13.28,12.1,0.21,0.7,0.12,0.0,0.0,0.0,0.47,1.88,43.75,1.41,50.0,0.0,0.0,0.82,0.23,1.76,60.0,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.0,0.0,0.0,0.12,0,0.0
D. López,Sporting FC,Sporting FC,CF,26,800000,,11,401,2,2.59,0,0.01,23.12,31.07,Mexico,Mexico,right,180,66,no,3.59,2.92,61.54,9.2,26.83,0.0,0.0,0.0,1.8,2.86,0.45,1,0.22,0,0.0,3.14,0.45,2,0.45,0.58,0,0.0,18,4.04,44.44,11.111,0.0,0.67,0.0,0.45,0.0,0.22,0.0,0.22,2.02,66.67,8.53,23.68,3.82,1.35,0.22,11.67,2.02,0.67,14.59,64.62,3.82,41.18,3.37,93.33,3.59,56.25,12.34,72.73,1.57,28.57,13.83,6.43,0.0,0.22,0.0,0.0,0.0,0.0,0.22,2.24,40.0,1.12,20.0,0.45,0.0,0.45,0.0,1.35,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.9,0.9,50.0,0.0,0,0.0
Kenneth Vargas,Kalamata,Alajuelense,"LW, RW, RAMF",24,800000,2029-06-30,18,1126,5,2.49,3,2.1,25.26,43.67,Costa Rica,Costa Rica,right,178,72,yes,5.04,5.99,61.33,1.44,33.33,0.32,0.5,0.0,1.04,1.63,2.0,5,0.4,0,0.0,5.28,0.4,4,0.32,0.2,0,0.0,28,2.24,25.0,14.286,0.24,3.04,42.11,1.36,35.29,1.68,47.62,0.32,6.47,53.09,14.79,39.46,4.24,2.4,0.32,13.59,2.0,2.32,17.42,67.89,3.52,45.45,4.16,86.54,5.6,72.86,13.19,77.58,1.76,31.82,18.29,29.43,0.17,1.04,0.08,0.0,0.0,0.0,0.72,1.68,52.38,1.6,35.0,0.32,0.0,0.8,0.88,2.24,67.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.08,0.0,0.0,0.16,0,0.0
R. Cisneros,Alajuelense,Alajuelense,CF,29,800000,2028-06-30,33,2623,16,12.81,4,1.33,11.8,34.59,Mexico,Mexico,right,180,79,no,2.88,1.82,62.26,3.02,21.59,0.27,0.41,0.07,1.48,2.22,0.51,3,0.1,0,0.0,1.92,0.55,13,0.45,0.44,2,0.07,62,2.13,41.94,25.806,0.14,0.65,26.32,0.1,0.0,0.55,31.25,0.0,1.72,50.0,4.91,34.97,3.36,0.65,0.21,8.96,1.75,0.58,12.32,76.88,2.81,65.85,3.4,88.89,3.47,73.27,11.29,80.85,0.41,41.67,15.36,10.9,0.05,0.51,0.03,0.0,0.0,0.0,0.34,0.96,57.14,0.45,53.85,0.03,100.0,0.45,0.14,0.89,73.08,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3,100.0
W. Ortega,Alajuelense,Alajuelense,GK,31,700000,2028-06-30,31,3137,0,0.25,0,0.41,0.43,86.67,Uruguay,Uruguay,left,187,78,no,0.83,0.0,0.0,0.2,85.71,0.0,0.0,0.0,0.83,1.23,0.0,4,0.11,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.03,0.0,0.0,6.63,0.09,0.26,13.57,85.84,7.83,77.66,0.0,0.0,4.93,98.26,9.3,98.15,4.25,59.46,32.4,53.68,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.72,51.67,0.06,0.0,0.09,33.33,0.0,0.0,3.13,77.98,27,0.77,124,3.56,12,78.23,28.12,0.81,1.12,0.032,0.0,1.43,0.2,,,,0.0,0,0.0
D. Campos,Bali United,Alajuelense,"AMF, CF, LCMF",30,650000,,13,538,3,2.29,0,1.14,12.21,49.32,Costa Rica,Costa Rica,right,178,75,no,4.18,2.84,82.35,2.01,8.33,0.17,0.25,0.0,1.67,2.48,0.33,0,0.0,0,0.0,1.84,0.5,2,0.33,0.38,0,0.0,9,1.51,66.67,33.333,0.0,1.17,28.57,0.33,0.0,0.84,40.0,0.0,0.67,75.0,4.85,44.83,1.67,0.5,0.17,20.58,0.67,1.67,26.43,81.65,5.86,68.57,5.19,93.55,9.54,87.72,23.09,84.78,2.17,76.92,17.18,17.33,0.19,1.17,0.0,0.0,0.0,0.0,0.0,3.51,66.67,1.17,57.14,0.0,0.0,0.5,0.33,2.84,70.59,0,,0,,0,0.0,0.0,0.0,,,0.17,,,1.17,0.33,50.0,3.85,1,100.0
