Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Lora,Venados,Atlético Huila,"CF, LAMF, AMF",30,650000,,16,602,4,1.75,1,0.85,13.6,46.15,Colombia,Colombia,right,188,76,no,4.63,3.59,58.33,3.74,52.0,0.0,0.0,0.15,2.54,4.15,1.5,2,0.3,0,0.0,2.54,0.6,4,0.6,0.26,1,0.15,18,2.69,38.89,22.222,0.15,0.9,33.33,0.3,50.0,0.6,25.0,0.15,1.5,80.0,4.78,37.5,3.29,1.94,0.3,18.84,1.5,0.9,22.87,82.35,5.53,67.57,4.63,96.77,8.07,85.19,19.88,86.47,2.09,64.29,17.77,13.01,0.13,1.5,0.0,0.15,0.15,0.0,0.6,3.59,62.5,1.05,42.86,0.9,50.0,0.9,0.15,2.69,88.89,0,,0,,0,0.0,0.0,0.0,,,0.45,,,0.0,0.0,0.0,0.15,0,0.0
F. Acosta,Carlos Mannucci,Real Cartagena,"RDMF, LCMF, RCMF",32,600000,,20,1345,2,1.85,1,0.67,14.32,58.88,Colombia,"Colombia, Spain",right,192,70,no,8.36,4.88,61.64,2.54,57.89,0.6,0.87,0.07,4.75,6.89,1.67,6,0.4,0,0.0,1.74,0.13,2,0.13,0.12,0,0.0,27,1.81,40.74,7.407,0.07,0.54,25.0,0.0,0.0,0.54,25.0,0.07,1.34,65.0,4.88,54.79,1.54,0.94,0.13,32.45,0.6,1.67,43.9,87.65,14.72,79.55,7.16,96.26,16.26,91.36,38.81,91.03,4.55,66.18,18.78,33.04,0.04,0.6,0.0,0.07,0.07,0.0,0.33,8.23,78.86,1.27,47.37,0.4,33.33,0.6,0.13,6.89,84.47,0,,0,,0,0.0,0.0,0.0,,,0.47,,,0.0,0.0,0.0,0.0,0,0.0
J. Ramírez,Avenida,Leones,"AMF, LWF, CF",28,600000,,4,337,1,0.37,0,0.25,13.35,54.0,Colombia,Colombia,left,180,80,no,3.74,3.47,69.23,0.27,0.0,0.27,0.33,0.0,1.07,1.33,0.27,0,0.0,0,0.0,1.87,0.27,1,0.27,0.1,0,0.0,3,0.8,66.67,33.333,0.0,0.53,0.0,0.53,0.0,0.0,0.0,0.0,2.14,50.0,8.55,46.88,0.8,0.53,0.0,37.66,0.53,2.14,44.07,86.06,11.48,79.07,9.08,94.12,14.15,84.91,41.13,88.96,2.4,55.56,17.08,27.12,0.07,0.8,0.0,0.0,0.27,100.0,0.0,8.28,80.65,1.34,80.0,0.8,66.67,1.07,0.27,7.74,89.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.53,0.0,0.0,2.14,0,0.0
M. Garavito,Deportivo Pasto,Patriotas Boyacá,"RB, LB",25,500000,2026-12-31,41,3372,5,3.94,3,1.98,13.0,54.62,Colombia,Colombia,left,176,64,no,6.62,5.23,65.82,0.88,42.42,0.29,0.46,0.24,2.88,4.5,1.17,11,0.29,0,0.0,1.9,0.13,0,0.0,0.11,0,0.0,13,0.35,46.15,38.462,0.08,2.4,36.67,0.16,50.0,2.19,35.37,0.32,1.41,58.49,5.39,49.01,0.67,1.07,0.19,27.92,1.39,1.36,38.49,83.08,14.84,78.24,5.31,90.45,10.84,84.73,32.4,89.37,3.84,56.94,18.39,34.33,0.05,0.64,0.0,0.0,0.16,16.67,0.4,4.91,73.37,2.67,46.0,0.48,27.78,0.67,0.91,8.09,80.53,0,,0,,0,0.0,0.0,0.0,,,0.69,,,0.08,0.0,0.0,0.03,5,100.0
D. Calcaterra,Cúcuta Deportivo,Cúcuta Deportivo,RCB,25,500000,2026-12-31,25,2054,0,1.18,0,0.3,11.0,62.55,Argentina,Argentina,right,189,80,yes,8.63,5.08,65.52,3.07,60.0,0.96,1.41,0.44,4.34,6.36,0.96,7,0.31,2,0.09,0.35,0.0,0,0.0,0.05,0,0.0,11,0.48,45.45,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.18,75.0,1.05,54.17,0.74,0.26,0.0,27.04,0.48,0.66,41.93,86.31,18.58,76.89,0.96,81.82,20.24,95.89,35.71,92.15,6.13,53.57,23.91,37.19,0.01,0.13,0.0,0.0,0.04,0.0,0.04,4.38,63.0,0.66,26.67,0.57,30.77,0.26,0.0,7.58,72.25,0,,0,,0,0.0,0.0,0.0,,,0.66,,,0.0,0.0,0.0,0.0,0,0.0
J. Vélez,Internacional Palmira,Barranquilla,"DMF, LDMF, RDMF",23,500000,2026-12-31,9,651,0,0.09,0,0.07,8.57,51.61,Colombia,Colombia,right,178,73,yes,6.08,2.21,68.75,2.49,44.44,0.41,0.66,0.14,4.15,6.62,0.41,1,0.14,0,0.0,0.55,0.0,0,0.0,0.01,0,0.0,6,0.83,16.67,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.55,50.0,3.04,45.45,0.0,0.28,0.0,45.35,0.28,1.11,57.24,86.96,17.83,79.84,6.08,90.91,26.27,90.53,50.32,90.11,6.77,65.31,20.3,33.32,0.01,0.28,0.0,0.0,0.28,50.0,0.0,9.82,76.06,0.97,28.57,0.41,33.33,0.41,0.0,10.78,78.21,0,,0,,0,0.0,0.0,0.0,,,0.69,,,0.0,0.0,0.0,0.0,0,0.0
L. Ríos,Cúcuta Deportivo,Cúcuta Deportivo,"CF, AMF, LCMF",28,450000,2027-06-30,17,1104,4,3.18,1,2.16,19.73,45.04,Argentina,Argentina,right,176,75,no,4.48,4.32,58.49,2.12,26.92,0.24,0.41,0.08,1.71,2.88,1.79,7,0.57,0,0.0,4.32,0.33,4,0.33,0.26,0,0.0,35,2.85,48.57,11.429,0.08,1.79,27.27,0.65,37.5,1.14,21.43,0.33,3.99,61.22,11.33,46.76,2.28,2.93,0.65,29.92,1.47,1.71,37.99,79.4,10.68,65.65,6.28,94.81,13.53,82.53,33.67,84.02,2.69,51.52,16.67,24.89,0.18,1.79,0.0,0.0,0.16,0.0,0.41,6.11,68.0,3.02,37.84,0.33,25.0,1.22,0.49,5.3,76.92,0,,0,,0,0.0,0.0,0.0,,,0.24,,,0.82,0.24,0.0,2.69,0,0.0
S. Támara,Cúcuta Deportivo,Cúcuta Deportivo,"RCMF, LCMF, DMF",30,450000,,19,800,0,1.22,1,1.34,11.36,54.46,Colombia,Colombia,right,173,69,no,5.51,4.05,63.89,1.69,53.33,0.34,0.59,0.11,2.59,4.51,1.01,1,0.11,0,0.0,2.36,0.0,0,0.0,0.14,0,0.0,11,1.24,27.27,0.0,0.11,2.7,54.17,0.45,75.0,2.14,52.63,0.11,1.01,55.56,3.71,39.39,1.8,0.68,0.0,38.59,1.35,0.45,49.39,83.83,12.26,68.81,10.13,98.89,19.35,87.21,40.16,89.64,6.64,61.02,18.38,25.72,0.15,1.58,0.11,0.0,0.11,0.0,0.79,6.64,71.19,4.28,42.11,0.9,12.5,1.13,1.24,7.43,80.3,0,,0,,0,0.0,0.0,0.0,,,0.34,,,0.11,0.0,0.0,2.36,0,0.0
C. Esparragoza,Alianza,Barranquilla,"DMF, RCMF",27,450000,,14,1241,0,0.51,0,0.92,13.85,53.4,Colombia,Colombia,right,179,71,no,7.18,5.87,59.26,1.45,55.0,0.07,0.1,0.0,3.63,5.23,1.16,3,0.22,2,0.15,1.23,0.0,0,0.0,0.04,0,0.0,17,1.23,11.76,0.0,0.0,0.65,33.33,0.29,25.0,0.36,40.0,0.0,1.23,64.71,4.79,46.97,0.51,0.73,0.07,50.55,0.94,0.94,65.12,86.19,25.67,75.99,6.31,93.1,21.54,93.6,55.7,91.8,8.92,55.28,18.56,41.61,0.07,0.94,0.07,0.15,0.22,33.33,0.22,14.29,75.13,2.25,35.48,1.74,41.67,1.09,0.0,12.18,82.74,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.87,0.36,20.0,0.29,0,0.0
L. Berdugo,Cúcuta Deportivo,Barranquilla,"AMF, RCMF",24,450000,2027-12-31,16,1461,2,1.36,2,2.7,15.59,49.01,Colombia,Colombia,left,176,69,no,3.33,2.77,53.33,1.72,21.43,0.37,0.55,0.12,1.48,2.19,0.68,3,0.18,0,0.0,2.71,0.12,2,0.12,0.08,0,0.0,32,1.97,43.75,6.25,0.12,0.8,46.15,0.49,37.5,0.25,75.0,0.06,2.53,53.66,9.98,54.94,1.29,1.97,0.12,42.14,1.42,3.33,51.01,86.84,14.23,72.73,8.32,94.07,20.51,93.69,43.61,90.11,6.71,70.64,19.94,40.79,0.17,1.85,0.0,0.06,0.37,33.33,0.25,10.66,78.03,3.45,50.0,1.23,35.0,1.79,0.25,8.75,88.73,0,,0,,0,0.0,0.0,0.0,,,0.12,,,1.97,0.62,20.0,1.91,0,0.0
