Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Andrić,Torpedo Kutaisi,Torpedo Kutaisi,"CF, AMF",31,1000000,,17,1461,7,4.81,4,1.72,21.44,43.39,Serbia,Serbia,right,189,84,yes,4.19,5.05,58.54,4.5,45.21,0.06,0.08,0.0,1.17,1.58,1.23,2,0.12,0,0.0,1.48,0.43,7,0.43,0.3,2,0.12,31,1.91,45.16,22.581,0.25,0.55,55.56,0.0,0.0,0.55,55.56,0.06,0.8,38.46,9.3,33.11,2.96,0.55,0.0,23.96,0.99,1.97,31.54,85.35,5.17,76.19,9.67,91.72,10.23,87.95,29.14,85.84,1.91,87.1,17.23,37.94,0.11,1.11,0.0,0.12,0.06,0.0,0.43,2.96,85.42,1.36,72.73,0.12,50.0,0.99,0.18,3.94,75.0,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.06,0.0,0.0,0.0,0,0.0
S. Altunashvili,Dinamo Batumi,Iberia 1999,"LDMF, RCMF, LCMF",29,800000,2027-06-30,12,1135,0,0.37,2,1.44,13.4,50.3,Georgia,Georgia,right,169,68,no,6.9,5.0,60.32,1.82,39.13,0.0,0.0,0.24,3.89,5.21,1.74,2,0.16,0,0.0,1.27,0.0,0,0.0,0.03,0,0.0,11,0.87,18.18,0.0,0.16,1.03,46.15,0.32,75.0,0.71,33.33,0.08,1.19,40.0,4.44,42.86,1.67,1.03,0.08,33.78,0.71,1.51,43.77,84.24,14.75,76.34,7.69,94.85,12.85,85.8,40.12,88.14,2.62,39.39,16.32,28.0,0.11,0.87,0.0,0.4,0.4,40.0,0.32,6.98,78.41,2.7,61.76,0.56,14.29,1.67,0.4,6.58,77.11,0,,0,,0,0.0,0.0,0.0,,,0.48,,,0.08,0.0,0.0,0.16,0,0.0
Warley,Torpedo Kutaisi,Torpedo Kutaisi,"RB, LB",26,800000,2027-06-30,22,1981,1,0.23,2,0.67,12.95,52.63,Brazil,Brazil,right,172,64,no,8.09,6.0,64.39,0.91,45.0,0.09,0.12,0.09,4.13,5.38,0.86,6,0.27,0,0.0,0.86,0.05,1,0.05,0.01,0,0.0,3,0.14,33.33,33.333,0.09,1.91,23.81,0.18,25.0,1.68,24.32,0.27,0.64,50.0,4.86,42.99,0.82,1.64,0.82,31.67,1.91,1.82,44.07,82.89,18.49,77.89,8.09,95.51,11.27,81.45,37.34,90.27,4.91,48.15,18.92,33.54,0.03,0.41,0.0,0.0,0.05,100.0,0.18,7.04,76.13,2.32,49.02,0.23,60.0,0.73,0.5,9.27,74.02,0,,0,,0,0.0,0.0,0.0,,,0.86,,,0.0,0.0,0.0,0.0,0,0.0
S. Kvirkvelia,Toktogul,Torpedo Kutaisi,"RCB, CB",34,700000,2027-12-31,25,2118,2,1.29,1,0.7,11.94,67.26,Georgia,Georgia,right,196,87,no,7.22,5.06,69.75,4.42,71.15,0.08,0.11,0.76,3.61,4.78,0.25,0,0.0,0,0.0,0.25,0.08,2,0.08,0.05,2,0.08,14,0.59,35.71,14.286,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,1.1,46.15,0.72,0.55,0.04,33.87,0.38,0.47,47.55,87.76,19.16,76.94,2.97,95.71,22.18,96.17,41.18,92.47,6.37,57.33,22.54,35.35,0.03,0.17,0.0,0.0,0.04,0.0,0.13,4.67,64.55,0.34,12.5,0.3,0.0,0.21,0.0,8.75,71.36,0,,0,,0,0.0,0.0,0.0,,,2.25,,,0.0,0.0,0.0,0.0,0,0.0
S. Khvadagiani,Maccabi Netanya,Dinamo Tbilisi,"RCB, LCB",23,700000,2027-12-31,14,1380,0,1.75,1,0.56,9.91,62.5,Georgia,Georgia,right,186,80,no,7.17,4.11,80.95,2.48,60.53,0.26,0.34,0.52,3.59,4.7,0.65,1,0.07,1,0.07,0.85,0.0,0,0.0,0.11,0,0.0,16,1.04,18.75,0.0,0.07,0.65,40.0,0.0,0.0,0.65,40.0,0.13,0.65,50.0,1.5,34.78,1.17,1.63,0.07,32.93,0.52,0.13,45.91,89.35,18.52,83.45,3.78,91.38,17.61,94.07,41.28,92.89,3.98,60.66,20.21,37.99,0.04,0.46,0.0,0.0,0.13,50.0,0.13,5.09,70.51,1.11,35.29,0.72,27.27,0.46,0.2,7.63,76.07,0,,0,,0,0.0,0.0,0.0,,,1.63,,,0.07,0.07,0.0,0.0,0,0.0
V. Mamuchashvili,Torpedo Kutaisi,Torpedo Kutaisi,"RDMF, LDMF, RCMF",28,600000,,17,1680,2,1.31,5,4.74,12.75,52.94,Georgia,Georgia,right,176,70,no,7.71,5.68,71.7,1.07,40.0,0.05,0.07,0.48,3.59,4.67,0.64,2,0.11,0,0.0,2.14,0.11,2,0.11,0.07,0,0.0,26,1.39,26.92,7.692,0.27,2.14,50.0,0.27,40.0,1.82,52.94,0.32,1.39,46.15,4.71,34.09,1.39,1.29,0.11,45.48,0.86,0.8,56.09,86.91,17.14,77.19,8.95,95.81,21.7,91.11,47.73,92.59,6.27,55.56,20.4,37.81,0.25,1.93,0.11,0.05,0.11,50.0,0.48,10.5,76.53,2.14,47.5,0.7,53.85,0.48,1.13,9.64,77.22,0,,0,,0,0.0,0.0,0.0,,,0.38,,,1.55,0.38,42.86,3.54,0,0.0
A. Zohouri,Iberia 1999,Iberia 1999,RB,25,550000,2029-06-30,16,1473,1,1.71,1,0.84,12.1,56.06,Côte d'Ivoire,Côte d'Ivoire,right,176,70,no,6.42,5.07,65.06,1.41,69.57,0.24,0.36,0.12,2.87,4.27,1.1,6,0.37,0,0.0,2.02,0.06,1,0.06,0.1,0,0.0,13,0.79,15.38,7.692,0.06,3.18,32.69,0.0,0.0,3.18,32.69,0.37,1.71,50.0,4.52,40.54,1.28,1.16,0.12,35.19,1.65,0.67,46.07,83.02,14.85,79.42,9.23,94.7,14.54,81.09,40.02,90.23,3.18,38.46,19.2,42.9,0.05,0.55,0.0,0.0,0.12,0.0,0.43,5.87,77.08,3.24,39.62,0.49,37.5,0.43,1.04,8.0,72.52,0,,0,,0,0.0,0.0,0.0,,,1.04,,,0.0,0.0,0.0,0.0,0,0.0
Christian Rivera,Real Avilés,Torpedo Kutaisi,"LDMF, RCMF, RDMF",29,500000,,4,133,0,0.0,0,0.23,7.44,27.27,Spain,Spain,right,191,88,no,7.44,2.71,25.0,2.03,33.33,0.68,1.03,0.0,6.09,9.31,1.35,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,3.38,0.0,35.86,0.0,0.0,46.02,88.24,10.83,75.0,8.8,100.0,20.98,90.32,41.95,91.94,4.06,50.0,18.93,32.07,0.15,1.35,0.0,0.0,0.0,0.0,0.68,10.83,68.75,0.68,100.0,0.68,100.0,0.68,0.0,4.74,85.71,0,,0,,0,0.0,0.0,0.0,,,1.35,,,0.0,0.0,0.0,0.0,0,0.0
M. Chajia,Sūduva,Dinamo Batumi,LAMF,28,450000,2026-06-30,1,21,0,0.0,0,0.0,,,Belgium,"Belgium, Morocco",right,181,72,no,,,,,,,6.0,,,6.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
G. Kokhreidze,Torpedo Kutaisi,Torpedo Kutaisi,"LW, LAMF, CF",27,450000,2026-12-31,24,1521,3,3.14,2,2.6,22.37,53.7,Georgia,Georgia,right,167,73,no,5.33,5.5,56.99,1.48,44.0,0.3,0.42,0.06,1.89,2.71,1.36,3,0.18,0,0.0,4.73,0.18,3,0.18,0.19,1,0.06,55,3.25,30.91,5.455,0.12,2.6,18.18,1.83,16.13,0.77,23.08,0.3,5.03,63.53,12.84,54.84,2.66,2.31,0.47,22.37,0.71,3.2,29.47,72.69,9.59,64.81,5.44,93.48,9.88,73.05,23.85,80.15,3.2,57.41,19.56,36.79,0.15,1.36,0.0,0.0,0.12,50.0,0.47,4.85,65.85,2.72,41.3,0.59,40.0,1.24,0.71,5.8,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.12,0.47,25.0,1.48,0,0.0
