Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Kerkez,Posušje,Kauno Žalgiris,"LCB, RCB",30,750000,2026-06-30,8,615,0,0.07,0,0.0,11.56,62.03,Serbia,Serbia,both,190,84,no,9.8,4.54,70.97,4.24,65.52,0.29,0.39,0.44,6.29,8.32,0.88,2,0.29,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,16.67,0.15,0.0,0.0,42.59,0.15,0.15,54.88,88.8,22.1,80.13,2.63,94.44,25.17,96.51,48.15,93.62,6.73,54.35,18.94,32.6,0.0,0.0,0.0,0.15,0.0,0.0,0.0,2.63,72.22,0.15,0.0,0.15,0.0,0.0,0.0,8.63,55.93,0,,0,,0,0.0,0.0,0.0,,,2.34,,,0.0,0.0,0.0,0.0,0,0.0
E. Jankauskas,Hapoel Rishon LeZion,Šiauliai,"LW, CF",27,600000,2027-06-15,28,2352,18,14.89,3,3.77,20.24,36.86,Lithuania,Lithuania,right,175,69,no,5.66,5.05,49.24,1.76,41.3,0.15,0.19,0.15,3.02,3.67,0.8,5,0.19,0,0.0,5.24,0.69,18,0.69,0.57,2,0.08,102,3.9,47.06,17.647,0.11,2.83,31.08,2.37,30.65,0.46,33.33,0.27,5.7,44.3,11.06,31.14,4.02,2.95,0.77,16.68,2.22,0.57,21.66,67.84,5.82,59.87,4.82,87.3,6.96,66.48,17.45,76.54,1.53,32.5,19.16,28.64,0.14,0.99,0.04,0.04,0.11,0.0,0.38,2.53,65.15,2.49,36.92,0.19,0.0,0.77,0.92,4.32,63.72,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.46,0.04,0.0,1.53,0,0.0
A. Smith,Ulytau,Panevėžys,CF,27,600000,2026-12-31,26,1653,8,9.18,4,1.66,23.03,35.22,Nicaragua,Nicaragua,right,186,79,no,3.27,2.5,63.04,5.99,34.55,0.05,0.07,0.05,1.63,2.08,1.2,3,0.16,0,0.0,3.38,0.44,6,0.33,0.5,0,0.0,44,2.4,56.82,18.182,0.22,1.58,20.69,0.65,33.33,0.87,12.5,0.33,2.72,62.0,10.78,30.81,4.14,1.58,0.11,13.23,2.56,1.03,19.55,73.82,3.7,69.12,5.34,89.8,6.04,66.67,16.82,79.29,1.14,66.67,16.47,21.31,0.09,0.71,0.0,0.11,0.05,0.0,0.54,1.91,68.57,1.69,48.39,0.16,0.0,0.76,0.33,1.8,78.79,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.0,0.0,0.0,0.0,2,100.0
P. Popescu,Meizhou Hakka,Hegelmann Litauen,"LAMF, LW, RW",29,500000,,35,1820,4,4.76,0,1.86,11.47,41.38,Romania,Romania,right,180,72,no,4.75,4.05,56.1,1.63,45.45,0.35,0.46,0.05,2.13,2.82,0.94,5,0.25,0,0.0,1.98,0.2,4,0.2,0.24,0,0.0,48,2.37,33.33,8.333,0.0,1.68,29.41,0.94,21.05,0.74,40.0,0.49,1.34,48.15,3.86,26.92,2.32,1.63,0.2,21.56,2.18,0.45,26.55,80.63,6.53,72.73,7.22,95.21,8.6,77.59,22.99,86.24,1.93,58.97,18.08,23.87,0.09,0.74,0.05,0.0,0.05,100.0,0.3,2.62,73.58,1.58,56.25,0.1,100.0,0.59,0.54,4.3,67.82,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.59,0.35,42.86,1.09,0,0.0
A. Hernández,Kauno Žalgiris,Kauno Žalgiris,LCB,30,500000,2026-12-31,32,3025,0,1.56,1,0.8,12.7,63.93,Colombia,Colombia,left,183,79,no,6.99,4.73,73.58,5.8,61.54,0.27,0.43,0.39,3.24,5.26,0.77,2,0.06,0,0.0,0.15,0.0,0,0.0,0.05,0,0.0,15,0.45,26.67,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.57,36.84,0.65,0.65,0.03,50.79,0.77,0.21,64.2,91.29,25.88,82.41,3.03,98.04,30.64,97.77,56.56,96.05,7.65,56.03,22.82,39.42,0.02,0.15,0.0,0.0,0.0,0.0,0.03,6.19,64.42,0.51,52.94,0.36,41.67,0.33,0.0,9.46,77.36,0,,0,,0,0.0,0.0,0.0,,,2.32,,,0.0,0.0,0.0,0.0,0,0.0
G. Sirgėdas,Kauno Žalgiris,Kauno Žalgiris,"RCMF, RDMF",31,500000,,35,2874,2,1.85,7,6.62,10.49,48.36,Lithuania,Lithuania,left,176,67,no,6.89,3.88,63.71,2.1,41.79,0.59,0.95,0.22,3.82,6.07,0.5,2,0.06,0,0.0,1.78,0.06,2,0.06,0.06,0,0.0,35,1.1,37.14,5.714,0.22,1.94,33.87,0.66,28.57,1.22,38.46,0.28,1.13,58.33,2.91,37.63,0.97,1.28,0.19,36.61,0.25,0.56,49.57,83.89,16.85,73.98,6.92,95.93,20.07,88.61,41.96,88.58,5.73,66.12,19.35,33.72,0.21,1.88,0.13,0.06,0.13,50.0,0.53,7.64,74.59,3.26,44.23,0.66,42.86,1.0,0.75,8.42,80.3,0,,0,,0,0.0,0.0,0.0,,,0.63,,,1.41,0.13,75.0,4.1,0,0.0
O. Verbickas,Žalgiris,Žalgiris,"LCMF, DMF",32,500000,,35,3208,3,4.4,3,3.83,11.64,48.67,Lithuania,Lithuania,right,178,78,no,6.26,4.18,65.77,2.13,36.84,0.42,0.58,0.25,3.09,4.27,0.59,2,0.06,0,0.0,1.15,0.08,3,0.08,0.12,1,0.03,44,1.23,31.82,6.818,0.08,1.57,28.57,0.56,10.0,1.01,38.89,0.31,0.53,47.37,3.23,33.91,2.22,0.98,0.11,32.88,1.68,0.62,45.48,80.88,15.65,69.71,8.22,96.25,14.42,83.66,40.29,85.86,3.68,48.09,17.23,26.64,0.11,1.04,0.11,0.0,0.2,28.57,0.67,6.79,64.88,3.06,48.62,0.79,17.86,1.37,0.48,6.85,79.92,0,,0,,0,0.0,0.0,0.0,,,0.42,,,0.03,0.0,0.0,0.06,1,0.0
G. Matulevičius,Žalgiris,Žalgiris,"RCMF, AMF",29,500000,2027-12-31,28,2344,1,5.1,2,2.85,15.63,43.24,Lithuania,Lithuania,right,184,79,no,5.57,3.92,62.75,2.65,39.13,0.04,0.06,0.0,3.07,4.41,0.38,2,0.08,0,0.0,2.03,0.04,1,0.04,0.2,0,0.0,33,1.27,33.33,3.03,0.08,1.69,34.09,0.46,33.33,1.23,34.38,0.23,1.57,56.1,6.64,34.68,2.73,1.08,0.04,39.97,1.61,0.84,51.18,82.97,17.39,71.08,8.98,95.3,16.09,86.87,46.15,87.69,3.46,42.22,17.13,34.19,0.11,0.96,0.12,0.0,0.42,36.36,0.38,7.3,71.58,3.99,44.23,1.15,23.33,1.34,0.54,7.49,80.51,0,,0,,0,0.0,0.0,0.0,,,0.38,,,0.08,0.0,0.0,0.12,0,0.0
J. Moutachy,Kauno Žalgiris,Žalgiris,RB,28,500000,,33,3073,0,0.83,4,4.15,19.21,51.52,France,"France, Martinique",right,175,76,no,8.67,6.15,66.67,1.44,51.02,0.15,0.21,0.21,4.42,6.28,0.62,5,0.15,1,0.03,3.46,0.0,0,0.0,0.02,0,0.0,19,0.56,26.32,0.0,0.12,4.22,32.64,0.06,0.0,4.1,32.86,0.73,3.1,62.26,9.72,42.17,0.88,3.31,0.29,43.96,2.67,1.35,56.82,79.48,22.96,73.98,6.41,92.24,19.59,82.51,46.57,87.86,6.3,46.98,20.47,40.09,0.12,1.11,0.03,0.06,0.09,0.0,0.35,9.81,70.15,4.83,38.79,0.76,23.08,0.62,1.44,13.68,77.3,0,,0,,0,0.0,0.0,0.0,,,0.79,,,0.18,0.03,0.0,2.26,0,0.0
V. Šarkauskas,Žalgiris,Hegelmann Litauen,GK,26,450000,,26,2531,0,0.0,0,0.45,0.57,100.0,Lithuania,Lithuania,right,191,84,no,0.68,0.0,0.0,0.36,100.0,0.0,0.0,0.0,0.68,0.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,11.63,0.32,0.36,18.24,82.65,10.81,73.68,0.0,0.0,7.04,95.96,10.49,97.63,7.68,62.5,34.11,50.24,0.02,0.04,0.0,0.0,0.0,0.0,0.07,1.88,45.28,0.11,66.67,0.14,25.0,0.04,0.0,6.01,71.01,28,1.0,104,3.7,10,73.08,27.96,0.99,-0.04,-0.001,0.0,1.0,0.36,,,,0.0,0,0.0
M. Burba,Kauno Žalgiris,Žalgiris,"CF, RW, LW",22,450000,2026-12-31,18,1328,4,4.62,3,3.43,20.26,41.81,Lithuania,Lithuania,right,177,70,no,6.17,5.63,66.27,3.52,23.08,0.07,0.1,0.2,2.37,3.38,0.88,0,0.0,0,0.0,2.64,0.27,4,0.27,0.31,0,0.0,28,1.9,32.14,14.286,0.2,2.3,38.24,0.61,66.67,1.69,28.0,0.34,1.76,57.69,8.0,37.29,4.34,1.29,0.34,22.36,2.03,1.69,28.6,72.99,6.91,59.8,7.52,91.89,8.06,78.15,24.4,77.22,1.97,62.07,16.46,31.46,0.23,1.36,0.0,0.07,0.27,50.0,0.54,3.32,63.27,2.71,40.0,0.41,33.33,0.88,0.95,3.8,78.57,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.0,0.0,0.0,0.07,0,0.0
K. Šilkaitis,Asiagoal,Džiugas Telšiai,"AMF, CF, LDMF",30,400000,2026-12-31,28,2176,1,0.98,2,1.0,16.92,47.19,Lithuania,Lithuania,right,178,80,no,7.36,6.45,66.03,2.15,48.08,0.21,0.26,0.21,2.9,3.62,1.08,2,0.08,0,0.0,0.91,0.04,1,0.04,0.04,0,0.0,14,0.58,28.57,7.143,0.08,0.41,60.0,0.37,66.67,0.04,0.0,0.08,0.99,45.83,5.71,26.09,0.87,0.58,0.12,22.17,0.62,0.83,33.92,84.27,10.26,71.77,6.87,93.98,11.04,89.89,29.99,88.0,3.52,55.29,17.46,31.0,0.04,0.7,0.08,0.04,0.08,50.0,0.33,4.59,72.07,0.91,59.09,0.17,25.0,0.5,0.25,5.13,70.97,0,,0,,0,0.0,0.0,0.0,,,0.91,,,0.21,0.0,0.0,0.25,0,0.0
